rediscovery_c1ccc2cccc-2cc1_mean,rediscovery_c1ccc2cccc-2cc1_med,rediscovery_c1ccc2cccc-2cc1_min,rediscovery_c1ccc2cccc-2cc1_max,rediscovery_c1ccc2cccc-2cc1_std,total_mean,total_med,total_min,total_max,total_std,objective_calls,n_replaced,timestamps,n_failed_obj_computation,n_not_improvers_among_success_obj_computation,n_discarded_tabu,n_discarded_filters,n_discarded_rdfilters,n_discarded_sillywalks,n_discarded_sascore,n_discarded_custom_filter
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.000331878662109375,0,0,0,0,0,0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0006937980651855469,0,0,0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0.0031232833862304688,0,0,5,0,0,0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.005445241928100586,0,0,6,0,0,0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1,0.025072336196899414,0,0,1,0,0,0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0.027896642684936523,0,0,9,0,0,0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0.030374765396118164,0,0,4,0,0,0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0.03256702423095703,0,0,2,0,0,0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,1,0.03496503829956055,0,0,1,0,0,0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,1,0.03748893737792969,0,0,3,0,0,0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,2,0.04249000549316406,0,0,12,0,0,0,0,0
0.006349206349206349,0.0,0.0,0.05714285714285714,0.017958267458705972,0.006349206349206349,0.0,0.0,0.05714285714285714,0.017958267458705972,8,2,0.05093955993652344,0,0,29,0,0,0,0,0
0.0047619047619047615,0.0,0.0,0.05714285714285714,0.015793451382644763,0.0047619047619047615,0.0,0.0,0.05714285714285714,0.015793451382644763,11,3,0.059194326400756836,0,0,26,0,0,0,0,0
0.0035714285714285713,0.0,0.0,0.05714285714285714,0.013832083379312203,0.0035714285714285713,0.0,0.0,0.05714285714285714,0.013832083379312203,15,4,0.06692004203796387,0,0,17,0,0,0,0,0
0.010874060874060875,0.0,0.0,0.05714285714285714,0.021287966348434256,0.010874060874060875,0.0,0.0,0.05714285714285714,0.021287966348434256,23,8,0.08089709281921387,0,0,29,0,0,0,0,0
0.015881077098587357,0.0,0.0,0.11428571428571428,0.028446217925403458,0.015881077098587357,0.0,0.0,0.11428571428571428,0.028446217925403458,33,10,0.09889841079711914,0,0,26,0,0,0,0,0
0.016818884155036375,0.0,0.0,0.11428571428571428,0.029984002425708464,0.016818884155036375,0.0,0.0,0.11428571428571428,0.029984002425708464,43,10,0.11502337455749512,0,0,26,0,0,0,0,0
0.02381963009920645,0.0,0.0,0.11428571428571428,0.033126404727969294,0.02381963009920645,0.0,0.0,0.11428571428571428,0.033126404727969294,53,10,0.13270854949951172,0,0,23,0,0,0,0,0
0.029437045565472747,0.0,0.0,0.11428571428571428,0.0340044062988654,0.029437045565472747,0.0,0.0,0.11428571428571428,0.0340044062988654,63,10,0.14962434768676758,0,0,20,0,0,0,0,0
0.03373608237281032,0.044444444444444446,0.0,0.11428571428571428,0.03399159622426033,0.03373608237281032,0.044444444444444446,0.0,0.11428571428571428,0.03399159622426033,73,10,0.17042279243469238,0,0,37,0,0,0,0,0
0.035879205110121035,0.045454545454545456,0.0,0.11428571428571428,0.03404328602938918,0.035879205110121035,0.045454545454545456,0.0,0.11428571428571428,0.03404328602938918,83,10,0.18399786949157715,0,0,10,0,0,0,0,0
0.037732852544660106,0.045454545454545456,0.0,0.11428571428571428,0.03367813792232541,0.037732852544660106,0.045454545454545456,0.0,0.11428571428571428,0.03367813792232541,93,10,0.19771552085876465,0,0,9,0,0,0,0,0
0.03787396241395695,0.045454545454545456,0.0,0.11428571428571428,0.033374000461491096,0.03787396241395695,0.045454545454545456,0.0,0.11428571428571428,0.033374000461491096,103,10,0.21707797050476074,0,0,20,0,0,0,0,0
0.03887767986232718,0.045454545454545456,0.0,0.11428571428571428,0.03225217714353805,0.03887767986232718,0.045454545454545456,0.0,0.11428571428571428,0.03225217714353805,113,10,0.2432260513305664,0,0,38,0,0,0,0,0
0.040291794592015207,0.045454545454545456,0.0,0.11428571428571428,0.032692071584941786,0.040291794592015207,0.045454545454545456,0.0,0.11428571428571428,0.032692071584941786,123,10,0.2684166431427002,0,0,39,0,0,0,0,0
0.041378269651778356,0.0459830866807611,0.0,0.11428571428571428,0.03255093078109903,0.041378269651778356,0.0459830866807611,0.0,0.11428571428571428,0.03255093078109903,133,10,0.2830953598022461,0,0,8,0,0,0,0,0
0.04347526954042805,0.046511627906976744,0.0,0.11428571428571428,0.0330252763859054,0.04347526954042805,0.046511627906976744,0.0,0.11428571428571428,0.0330252763859054,143,10,0.3038146495819092,0,0,22,0,0,0,0,0
0.04525538390933327,0.046511627906976744,0.0,0.11428571428571428,0.03351441460473921,0.04525538390933327,0.046511627906976744,0.0,0.11428571428571428,0.03351441460473921,153,10,0.322887659072876,0,0,19,0,0,0,0,0
0.045782763936962824,0.046511627906976744,0.0,0.11428571428571428,0.03321336432383525,0.045782763936962824,0.046511627906976744,0.0,0.11428571428571428,0.03321336432383525,163,10,0.3471188545227051,0,0,27,0,0,0,0,0
0.04673541330219569,0.046511627906976744,0.0,0.11428571428571428,0.033047743355608665,0.04673541330219569,0.046511627906976744,0.0,0.11428571428571428,0.033047743355608665,173,10,0.3656446933746338,0,0,17,0,0,0,0,0
0.04753078272674351,0.046511627906976744,0.0,0.11428571428571428,0.03290540683233989,0.04753078272674351,0.046511627906976744,0.0,0.11428571428571428,0.03290540683233989,183,10,0.3890056610107422,0,0,19,0,0,0,0,0
0.048122313762983364,0.047619047619047616,0.0,0.11428571428571428,0.03297806983959904,0.048122313762983364,0.047619047619047616,0.0,0.11428571428571428,0.03297806983959904,193,10,0.41602087020874023,0,0,36,0,0,0,0,0
0.04928945080518496,0.04878048780487805,0.0,0.11428571428571428,0.032939032007631965,0.04928945080518496,0.04878048780487805,0.0,0.11428571428571428,0.032939032007631965,203,10,0.438762903213501,0,0,29,0,0,0,0,0
0.05004590515655844,0.04878048780487805,0.0,0.11428571428571428,0.033221115200978195,0.05004590515655844,0.04878048780487805,0.0,0.11428571428571428,0.033221115200978195,213,10,0.4775362014770508,0,0,56,0,0,0,0,0
0.051084853089088576,0.05,0.0,0.11428571428571428,0.03338052377477756,0.051084853089088576,0.05,0.0,0.11428571428571428,0.03338052377477756,223,10,0.5071184635162354,0,0,37,0,0,0,0,0
0.05157724453010789,0.05,0.0,0.11428571428571428,0.033271753749420166,0.05157724453010789,0.05,0.0,0.11428571428571428,0.033271753749420166,233,10,0.5387461185455322,0,0,38,0,0,0,0,0
0.05230962163826174,0.05,0.0,0.11428571428571428,0.03297327826376519,0.05230962163826174,0.05,0.0,0.11428571428571428,0.03297327826376519,243,10,0.5779390335083008,0,0,63,0,0,0,0,0
0.0524424701135141,0.05,0.0,0.11428571428571428,0.03287905349463883,0.0524424701135141,0.05,0.0,0.11428571428571428,0.03287905349463883,253,10,0.6115248203277588,0,0,48,0,0,0,0,0
0.05259995394692766,0.05,0.0,0.11428571428571428,0.03293399988879205,0.05259995394692766,0.05,0.0,0.11428571428571428,0.03293399988879205,263,10,0.649956226348877,0,0,55,0,0,0,0,0
0.053005225324808065,0.05,0.0,0.11428571428571428,0.03286059050099204,0.053005225324808065,0.05,0.0,0.11428571428571428,0.03286059050099204,273,10,0.6825759410858154,0,0,31,0,0,0,0,0
0.052734182078847086,0.05,0.0,0.11428571428571428,0.03279434091025067,0.052734182078847086,0.05,0.0,0.11428571428571428,0.03279434091025067,283,10,0.7209298610687256,0,0,61,0,0,0,0,0
0.05271114473471391,0.05,0.0,0.11428571428571428,0.032792645694858374,0.05271114473471391,0.05,0.0,0.11428571428571428,0.032792645694858374,293,10,0.7624838352203369,0,0,60,0,0,0,0,0
0.05288582094325241,0.05,0.0,0.11428571428571428,0.03266915995217326,0.05288582094325241,0.05,0.0,0.11428571428571428,0.03266915995217326,303,10,0.7884728908538818,0,0,23,0,0,0,0,0
0.05257904145195515,0.05,0.0,0.11428571428571428,0.03280465775573838,0.05257904145195515,0.05,0.0,0.11428571428571428,0.03280465775573838,313,10,0.8343594074249268,0,0,73,0,0,0,0,0
0.05268821061919491,0.05,0.0,0.11428571428571428,0.032771640672060516,0.05268821061919491,0.05,0.0,0.11428571428571428,0.032771640672060516,323,10,0.8651587963104248,0,0,36,0,0,0,0,0
0.05375400331195749,0.05,0.0,0.38235294117647056,0.03723675502509404,0.05375400331195749,0.05,0.0,0.38235294117647056,0.03723675502509404,333,10,0.8995323181152344,0,0,42,0,0,0,0,0
0.054190137486069066,0.05128205128205128,0.0,0.38235294117647056,0.03715853853083148,0.054190137486069066,0.05128205128205128,0.0,0.38235294117647056,0.03715853853083148,343,10,0.9440016746520996,0,0,75,0,0,0,0,0
0.05438538449897035,0.05128205128205128,0.0,0.38235294117647056,0.037055014301762786,0.05438538449897035,0.05128205128205128,0.0,0.38235294117647056,0.037055014301762786,353,10,0.988677978515625,0,0,68,0,0,0,0,0
0.05435269179918324,0.05128205128205128,0.0,0.38235294117647056,0.036823670330750805,0.05435269179918324,0.05128205128205128,0.0,0.38235294117647056,0.036823670330750805,363,10,1.0258958339691162,0,0,48,0,0,0,0,0
0.05484184951552022,0.05128205128205128,0.0,0.38235294117647056,0.03725297425984873,0.05484184951552022,0.05128205128205128,0.0,0.38235294117647056,0.03725297425984873,373,10,1.0663807392120361,0,0,57,0,0,0,0,0
0.05533490306645741,0.05128205128205128,0.0,0.38235294117647056,0.03730549665527354,0.05533490306645741,0.05128205128205128,0.0,0.38235294117647056,0.03730549665527354,383,10,1.1031553745269775,0,0,50,0,0,0,0,0
0.05657880229764844,0.05405405405405406,0.0,0.38235294117647056,0.039153099602395956,0.05657880229764844,0.05405405405405406,0.0,0.38235294117647056,0.039153099602395956,393,10,1.136315107345581,0,0,40,0,0,0,0,0
0.05674747850227965,0.05405405405405406,0.0,0.38235294117647056,0.03938719240461141,0.05674747850227965,0.05405405405405406,0.0,0.38235294117647056,0.03938719240461141,403,10,1.178269386291504,0,0,66,0,0,0,0,0
0.05689506618929091,0.05405405405405406,0.0,0.38235294117647056,0.03951366430666171,0.05689506618929091,0.05405405405405406,0.0,0.38235294117647056,0.03951366430666171,413,10,1.2276575565338135,0,0,87,0,0,0,0,0
0.0576201547289113,0.05405405405405406,0.0,0.38235294117647056,0.039577205610995175,0.0576201547289113,0.05405405405405406,0.0,0.38235294117647056,0.039577205610995175,423,10,1.3326818943023682,0,0,21,0,0,0,0,0
0.05911517657493804,0.05714285714285714,0.0,0.38235294117647056,0.04271523562781909,0.05911517657493804,0.05714285714285714,0.0,0.38235294117647056,0.04271523562781909,433,10,1.3570680618286133,0,0,21,0,0,0,0,0
0.059737340039184274,0.06061224489795918,0.0,0.38235294117647056,0.04280560339689768,0.059737340039184274,0.06061224489795918,0.0,0.38235294117647056,0.04280560339689768,443,10,1.375218152999878,0,0,9,0,0,0,0,0
0.05981790195019596,0.06061224489795918,0.0,0.38235294117647056,0.04354334128419651,0.05981790195019596,0.06061224489795918,0.0,0.38235294117647056,0.04354334128419651,453,10,1.3973655700683594,0,0,16,0,0,0,0,0
0.06105263267813353,0.06186224489795918,0.0,0.3888888888888889,0.04594753678950141,0.06105263267813353,0.06186224489795918,0.0,0.3888888888888889,0.04594753678950141,463,10,1.4173245429992676,0,0,7,0,0,0,0,0
0.0618281382991759,0.0625,0.0,0.3888888888888889,0.04647581466351719,0.0618281382991759,0.0625,0.0,0.3888888888888889,0.04647581466351719,473,10,1.443984031677246,0,0,12,0,0,0,0,0
0.06294147337118701,0.06382978723404255,0.0,0.3888888888888889,0.04753116793992468,0.06294147337118701,0.06382978723404255,0.0,0.3888888888888889,0.04753116793992468,483,10,1.4634966850280762,0,0,8,0,0,0,0,0
0.06365943716190996,0.06382978723404255,0.0,0.3888888888888889,0.04812659029169159,0.06365943716190996,0.06382978723404255,0.0,0.3888888888888889,0.04812659029169159,493,10,1.4848229885101318,0,0,9,0,0,0,0,0
0.0646232374863304,0.06382978723404255,0.0,0.3888888888888889,0.04908022268114055,0.0646232374863304,0.06382978723404255,0.0,0.3888888888888889,0.04908022268114055,503,10,1.5009183883666992,0,0,5,0,0,0,0,0
0.06611356885270861,0.06521739130434782,0.0,0.3888888888888889,0.05102096801402441,0.06611356885270861,0.06521739130434782,0.0,0.3888888888888889,0.05102096801402441,513,10,1.5441486835479736,0,0,5,0,0,0,0,0
0.06742139713986046,0.06521739130434782,0.0,0.4117647058823529,0.05426086499206527,0.06742139713986046,0.06521739130434782,0.0,0.4117647058823529,0.05426086499206527,523,10,1.5646963119506836,0,0,7,0,0,0,0,0
0.06878999479552002,0.06521739130434782,0.0,0.4117647058823529,0.056210225358001235,0.06878999479552002,0.06521739130434782,0.0,0.4117647058823529,0.056210225358001235,533,10,1.5859692096710205,0,0,10,0,0,0,0,0
0.06953086745420364,0.06521739130434782,0.0,0.4117647058823529,0.057337385671328775,0.06953086745420364,0.06521739130434782,0.0,0.4117647058823529,0.057337385671328775,543,10,1.6047735214233398,0,0,5,0,0,0,0,0
0.07034823035359222,0.06666666666666667,0.0,0.4117647058823529,0.05793802382969551,0.07034823035359222,0.06666666666666667,0.0,0.4117647058823529,0.05793802382969551,553,10,1.627521276473999,0,0,14,0,0,0,0,0
0.07120943023808503,0.06666666666666667,0.0,0.4117647058823529,0.059542132075377556,0.07120943023808503,0.06666666666666667,0.0,0.4117647058823529,0.059542132075377556,563,10,1.6494958400726318,0,0,11,0,0,0,0,0
0.07160887121950876,0.06742424242424241,0.0,0.4117647058823529,0.05936791310016955,0.07160887121950876,0.06742424242424241,0.0,0.4117647058823529,0.05936791310016955,573,10,1.6695971488952637,0,0,8,0,0,0,0,0
0.07219524265862037,0.06818181818181818,0.0,0.4117647058823529,0.059376743718080466,0.07219524265862037,0.06818181818181818,0.0,0.4117647058823529,0.059376743718080466,583,10,1.693483591079712,0,0,12,0,0,0,0,0
0.07231668951447831,0.06818181818181818,0.0,0.4117647058823529,0.059200272212424826,0.07231668951447831,0.06818181818181818,0.0,0.4117647058823529,0.059200272212424826,593,10,1.7185478210449219,0,0,22,0,0,0,0,0
0.07314313195835424,0.06976744186046512,0.0,0.4117647058823529,0.06010991952564254,0.07314313195835424,0.06976744186046512,0.0,0.4117647058823529,0.06010991952564254,603,10,1.7413771152496338,0,0,13,0,0,0,0,0
0.07310199192403538,0.06897463002114165,0.0,0.4117647058823529,0.06033074891134879,0.07310199192403538,0.06897463002114165,0.0,0.4117647058823529,0.06033074891134879,613,10,1.7778005599975586,0,0,47,0,0,0,0,0
0.07310518385303166,0.06976744186046512,0.0,0.4117647058823529,0.060278239388623166,0.07310518385303166,0.06976744186046512,0.0,0.4117647058823529,0.060278239388623166,623,10,1.8029005527496338,0,0,24,0,0,0,0,0
0.07315549419774808,0.06976744186046512,0.0,0.4117647058823529,0.06059681949459987,0.07315549419774808,0.06976744186046512,0.0,0.4117647058823529,0.06059681949459987,633,10,1.8271844387054443,0,0,14,0,0,0,0,0
