step,error
23,C=CCC (Mutation error)
24,C=CC=C (Mutation error)
24,C=CC(C)=CC (Mutation error)
24,C=CCCC=C (Mutation error)
24,C=CCC(=C)CC (Mutation error)
24,C=CC(CC)C(=C)C (Mutation error)
25,C=CC(=C)C (Mutation error)
25,C=CC=C (Mutation error)
25,C=CC(C)=CC (Mutation error)
25,C=CCC(=C)C (Mutation error)
25,C=CCCC=C (Mutation error)
25,C=C(C)C(=C)CC (Mutation error)
25,C=CC(=CC)CC (Mutation error)
25,C=CCCCC=C (Mutation error)
26,C=CC(=C)CCC (Mutation error)
26,C=CCC=C (Mutation error)
26,C=CCC(=C)C (Mutation error)
26,C=CC#CC=C (Mutation error)
26,C=C(C)C(=C)CC (Mutation error)
26,C=CC(=CC)CC (Mutation error)
27,C=CC(=C)CCC (Mutation error)
27,C=CC=C (Mutation error)
27,C=CCC=C (Mutation error)
27,C=CCC(=C)C (Mutation error)
27,C=CC(C)=CC (Mutation error)
27,C=CC#CC=C (Mutation error)
27,C=CCCC=C (Mutation error)
27,C=CCC(=C)CC (Mutation error)
27,C=C(C)C(=C)C(C)C (Mutation error)
28,C=CC(=C)C (Mutation error)
28,C=CC(=C)CCC (Mutation error)
28,C=CC(=C)C1C=C1 (Mutation error)
28,C=CC=C (Mutation error)
28,C=CC(=C)CC1CC1 (Mutation error)
28,C=CCC=C (Mutation error)
29,C=CC(=C)C (Mutation error)
29,C=CC=C (Mutation error)
29,C=CC(=C)CCCC (Mutation error)
29,C=CC(=C)CC1CC1 (Mutation error)
29,C=CCC=C (Mutation error)
29,C=C(C)C(=C)C (Mutation error)
29,C=CC(C)=CC (Mutation error)
29,C=CC(C)C(=C)C (Mutation error)
29,C=C(C)C(=C)CC (Mutation error)
30,C=CC(=C)CC (Mutation error)
30,C=CC=C (Mutation error)
30,C=CCC=C (Mutation error)
30,C=CCC(=C)C (Mutation error)
30,C=CCCC=C (Mutation error)
30,C=CC#CC=C (Mutation error)
31,C=CC(=C)C (Mutation error)
31,C#CC(=C)C=C (Mutation error)
31,C=CC(=C)CCC (Mutation error)
31,C=CC=C (Mutation error)
31,C=CC(=C)CC1CC1 (Mutation error)
31,C=C(C)C(=C)C (Mutation error)
31,C=CCC=C (Mutation error)
31,C=CC(C)=CC (Mutation error)
32,C=CC(=C)C (Mutation error)
32,C#CC(=C)C=C (Mutation error)
32,C=CC(=C)CC (Mutation error)
32,C=CC(=C)CCC (Mutation error)
32,C=CC=C (Mutation error)
32,C=CC(=C)CCCCC (Mutation error)
32,C=CCC=C (Mutation error)
33,C=CC(=C)C (Mutation error)
33,C=CC(=C)CC (Mutation error)
33,C=CC(=C)CCC (Mutation error)
33,C=CC(=C)C1C=C1C (Mutation error)
33,C=CC=C (Mutation error)
33,C=CC(=C)CCCCC (Mutation error)
33,C#CCCCC(=C)C=C (Mutation error)
34,C=CC(=C)C=CCC (Mutation error)
34,C=CC(=C)C#CC (Mutation error)
34,C#CCC(=C)C=C (Mutation error)
34,C=CC(=C)CCC (Mutation error)
34,C=CC=C (Mutation error)
35,C=CC(=C)C (Mutation error)
35,C=CC(=C)CC (Mutation error)
35,C=CC(=C)C1CC1 (Mutation error)
35,C=CC=C (Mutation error)
36,C=CC(=C)C1C=C1 (Mutation error)
37,C=CC(=C)C=C(C)CC(C)C (Mutation error)
37,C=CC(=C)C (Mutation error)
37,C#CC(=C)C=C (Mutation error)
37,C=CC(=C)C1CC1 (Mutation error)
37,C=CC(=C)C#CC (Mutation error)
37,C=CC(=C)C1C=C1C (Mutation error)
