step,error
29,C1=C2C=C2C1 (Mutation error)
29,C1=CC2=C1C2 (Mutation error)
30,Cc1cccc2c1C2 (Mutation error)
30,c1c2ccc=2c#1 (Mutation error)
30,C1=C2C=C12 (Mutation error)
30,C1=CC=C1 (Mutation error)
31,Cc1cccc2c1C2 (Mutation error)
31,c1c2ccc=2c#1 (Mutation error)
31,C1=CC2=C(C=CC1)C2 (Mutation error)
31,C1=CCC2=C(C=C1)C2 (Mutation error)
31,C1=CCC2=C(C=CC1)C2 (Mutation error)
31,C1=CC=C1 (Mutation error)
31,C1=C2C=C12 (Mutation error)
31,c1ccc2c(c#1)C2 (Mutation error)
31,C1=C2C=C1C2 (Mutation error)
31,CC1=CC=C1 (Mutation error)
31,C1=CC2=CC=12 (Mutation error)
32,c1ccc2c(c1)C2 (Mutation error)
32,CC1(C)c2ccccc21 (Mutation error)
32,Cc1ccc2c(c1)C2 (Mutation error)
32,c1c2ccc=2c#1 (Mutation error)
32,C1=CCC2=C(C=C1)C2 (Mutation error)
32,C1=C2C=C12 (Mutation error)
32,C1=CC=C1 (Mutation error)
33,Cc1ccccc1 (Mutation error)
33,Cc1cccc2c1C2 (Mutation error)
33,Cc1cccc2c1C2C (Mutation error)
33,CC1=CC=CCC=C1 (Mutation error)
33,C1=CCC2=C(C=C1)C2 (Mutation error)
33,C1=CCC2=C(C=CC1)C2 (Mutation error)
33,C1=CC=C1 (Mutation error)
33,C1=C2C=C12 (Mutation error)
33,c1c2cc-2c2c1C2 (Mutation error)
33,C1=C2C=C1C2 (Mutation error)
34,Cc1ccccc1 (Mutation error)
34,CC1c2ccccc21 (Mutation error)
34,Cc1cccc2c1C2 (Mutation error)
34,Cc1cccc2c1C2C (Mutation error)
35,CC1c2ccccc21 (Mutation error)
36,c1ccc2c(c1)C2 (Mutation error)
36,CC1(C)c2ccccc21 (Mutation error)
36,Cc1cccc2c1C2C (Mutation error)
36,CC1C=CC=CC=C1 (Mutation error)
36,C1=CCC2=C(C=C1)C2 (Mutation error)
36,C1=CC2=C(C=CC1)C2 (Mutation error)
37,c1ccc2c(c1)C2 (Mutation error)
37,CC1(C)c2ccccc21 (Mutation error)
37,CCC1c2ccccc21 (Mutation error)
37,C1=C2c3cccc1c32 (Mutation error)
37,Cc1ccc2c(c1)C2 (Mutation error)
38,Cc1ccccc1 (Mutation error)
38,Cc1cccc2c1C2 (Mutation error)
38,Cc1ccc2c(c1)C2 (Mutation error)
39,c1ccc2c(c1)C2 (Mutation error)
39,C1=C2c3cccc1c32 (Mutation error)
39,CCc1cccc2c1C2 (Mutation error)
39,Cc1cccc2c1CC2C (Mutation error)
40,c1ccc2c(c1)C2 (Mutation error)
41,Cc1ccccc1 (Mutation error)
41,C1=C2c3cccc1c32 (Mutation error)
41,CCC1c2cccc(C)c21 (Mutation error)
42,CC1(C)c2ccccc21 (Mutation error)
42,c1ccc2c(c1)CCC2 (Mutation error)
43,c1ccccc1 (Mutation error)
43,c1ccc2c(c1)CC2 (Mutation error)
43,c1ccc2c(c1)CCC2 (Mutation error)
43,CCCC1c2ccccc21 (Mutation error)
43,Cc1cccc(C(C)C)c1 (Mutation error)
44,c1ccc2c(c1)C2 (Mutation error)
44,CC1c2ccccc21 (Mutation error)
44,CC1(C)c2ccccc21 (Mutation error)
44,c1ccc2c(c1)CCC2 (Mutation error)
45,c1ccccc1 (Mutation error)
45,CC(C)c1ccccc1 (Mutation error)
45,Cc1ccccc1C (Mutation error)
45,CC1(C)c2ccccc21 (Mutation error)
45,CC1Cc2ccccc21 (Mutation error)
45,c1ccc2c(c1)CCC2 (Mutation error)
45,c1cc2cc(c1)C2 (Mutation error)
45,C1=C2c3cccc1c32 (Mutation error)
46,c1ccccc1 (Mutation error)
46,Cc1ccccc1 (Mutation error)
46,CC(C)c1ccccc1 (Mutation error)
46,CC1c2ccccc21 (Mutation error)
46,CC1(C)c2ccccc21 (Mutation error)
46,c1ccc2c(c1)CCC2 (Mutation error)
46,CCCC1c2ccccc21 (Mutation error)
46,c1cc2cc(c1)C2 (Mutation error)
46,Cc1cccc(C(C)C)c1 (Mutation error)
47,c1ccc2c(c1)C2 (Mutation error)
47,c1ccc2c(c1)CC2 (Mutation error)
47,CC1Cc2ccccc21 (Mutation error)
47,CCC1c2ccccc21 (Mutation error)
47,Cc1ccccc1C1C#C1 (Mutation error)
47,CCCC1c2ccccc21 (Mutation error)
47,CCc1ccc(C)cc1 (Mutation error)
48,c1ccccc1 (Mutation error)
48,c1ccc2c(c1)C2 (Mutation error)
48,Cc1ccccc1C (Mutation error)
48,CC1c2ccccc21 (Mutation error)
49,c1ccccc1 (Mutation error)
49,CCc1ccccc1 (Mutation error)
49,CC1c2ccccc21 (Mutation error)
49,CCc1ccccc1C (Mutation error)
50,C1=Cc2ccccc21 (Mutation error)
50,CCCCc1ccccc1 (Mutation error)
50,CCc1ccccc1C (Mutation error)
51,c1ccccc1 (Mutation error)
51,Cc1ccccc1 (Mutation error)
51,c1cc2cc-2c1 (Mutation error)
51,CCCc1ccccc1 (Mutation error)
51,c1ccc2c(c1)C2 (Mutation error)
