step,error
74,Cc1c(C=C2C=C2)c2ccc1=2 (Mutation error)
75,Cc1ccc2ccccc2c1 (Mutation error)
75,c1cc2c1c1ccc21 (Mutation error)
75,Cc1cccc2c1CC=C2 (Mutation error)
76,CC1=Cc2ccccc21 (Mutation error)
76,Cc1cccc2c1C=C2 (Mutation error)
76,C1=C2C1=C2Cc1cc2ccc1=2 (Mutation error)
77,CC1=Cc2cccc(C)c21 (Mutation error)
77,C#Cc1ccccc1 (Mutation error)
78,CC1=Cc2cccc(C)c21 (Mutation error)
78,Cc1cccc2c1CC=C2 (Mutation error)
78,C#Cc1ccccc1 (Mutation error)
78,Cc1cccc2c1CC=CC2 (Mutation error)
79,C1=Cc2ccccc21 (Mutation error)
79,CC1=Cc2ccccc21 (Mutation error)
79,CC1=Cc2cccc(C)c21 (Mutation error)
79,C=Cc1ccccc1 (Mutation error)
80,Cc1ccc2ccccc2c1 (Mutation error)
80,c1cc2c1c1ccc21 (Mutation error)
80,Cc1cccc2c1CC=C2 (Mutation error)
81,c1cc2c1c1ccc21 (Mutation error)
81,Cc1cccc2c1C=C2 (Mutation error)
81,Cc1ccccc1 (Mutation error)
81,C#Cc1ccccc1 (Mutation error)
82,C1=Cc2ccccc2C1 (Mutation error)
83,C1=Cc2ccccc21 (Mutation error)
83,CC1=Cc2ccccc21 (Mutation error)
83,Cc1cccc2c1C=C2 (Mutation error)
83,Cc1ccccc1 (Mutation error)
84,Cc1ccc2ccccc2c1 (Mutation error)
84,Cc1ccc2ccccc2c1C (Mutation error)
84,C1=Cc2ccccc21 (Mutation error)
85,Cc1ccc2ccccc2c1C (Mutation error)
85,c1cc2c1c1ccc21 (Mutation error)
85,Cc1ccc2cc(C)ccc2c1 (Mutation error)
85,c1c2c3cc4c2c1c34 (Mutation error)
85,C1=Cc2cccc1c2 (Mutation error)
85,C1=Cc2ccccc21 (Mutation error)
85,Cc1ccccc1 (Mutation error)
86,Cc1ccc2ccccc2c1 (Mutation error)
86,c1cc2c1c1ccc21 (Mutation error)
86,Cc1ccc2cc(C)ccc2c1 (Mutation error)
86,C1=Cc2ccccc21 (Mutation error)
87,Cc1ccc2ccccc2c1C (Mutation error)
87,CC1=CCc2c(C)cccc2C(C)=C1 (Mutation error)
88,Cc1cccc2ccccc12 (Mutation error)
88,c1c2c3cc4c2c1c34 (Mutation error)
88,C1=Cc2cccc1c2 (Mutation error)
88,C1=Cc2ccccc21 (Mutation error)
88,CC1=CCc2c(C)cccc2C(C)=C1 (Mutation error)
88,CCC1=C(C)C=CCc2ccccc21 (Mutation error)
88,CC1=CCCc2ccccc2C(C)=C1 (Mutation error)
88,CC1=Cc2ccccc21 (Mutation error)
88,Cc1cccc2c1C=C2 (Mutation error)
90,Cc1cc2c3ccc3c12 (Mutation error)
91,Cc1cccc2ccccc12 (Mutation error)
91,Cc1ccc2ccccc2c1 (Mutation error)
91,Cc1ccc2ccccc2c1C (Mutation error)
91,Cc1ccc2cccc(C)c2c1C (Mutation error)
91,Cc1ccc2cc(C)ccc2c1 (Mutation error)
91,C1=CCc2ccccc2C=C1 (Mutation error)
91,CC1=CCc2ccccc2C(C)=C1 (Mutation error)
92,Cc1ccc2ccccc2c1 (Mutation error)
92,CCc1ccc2cccc(C)c2c1C (Mutation error)
93,c1ccc2ccccc2c1 (Mutation error)
93,Cc1ccc2ccccc2c1 (Mutation error)
93,Cc1cc2ccccc2c(C)c1C (Mutation error)
93,Cc1ccc2ccc(C)cc2c1 (Mutation error)
95,c1cc2c3cc(ccc3c1)CCC2 (Mutation error)
95,c1cc2c1c1ccc21 (Mutation error)
96,CCc1ccc2c3c-2cccc13 (Mutation error)
97,Cc1ccc2ccccc2c1 (Mutation error)
97,CCCc1ccc2ccccc2c1C (Mutation error)
98,Cc1ccc2cccc(C)c2c1C (Mutation error)
98,Cc1ccc2cccc(C)c2c1 (Mutation error)
99,c1ccc2ccccc2c1 (Mutation error)
99,Cc1cccc2ccccc12 (Mutation error)
99,CCc1ccc2c3c-2cccc13 (Mutation error)
100,CCc1cccc2ccccc12 (Mutation error)
101,c1ccc2ccccc2c1 (Mutation error)
101,Cc1ccc(C)c2ccccc12 (Mutation error)
101,Cc1ccc2cccc(C)c2c1C (Mutation error)
102,Cc1cccc2ccccc12 (Mutation error)
102,CCc1ccc2ccccc2c1 (Mutation error)
103,Cc1cccc2cccc(C)c12 (Mutation error)
103,Cc1ccc2ccccc2c1C (Mutation error)
103,Cc1c2ccc3cccc(c13)C2 (Mutation error)
103,CCCc1ccc2ccccc2c1 (Mutation error)
104,c1ccc2ccccc2c1 (Mutation error)
104,Cc1cccc2cccc(C)c12 (Mutation error)
104,Cc1ccc2ccccc2c1 (Mutation error)
104,Cc1ccc2cccc(C)c2c1C (Mutation error)
105,Cc1cccc2ccccc12 (Mutation error)
106,Cc1cccc2cccc(C)c12 (Mutation error)
106,CCc1cccc2ccccc12 (Mutation error)
106,CCc1ccc2ccccc2c1 (Mutation error)
106,Cc1cccc2ccc3c(c12)C3 (Mutation error)
106,Cc1ccc2cccc(C)c2c1C (Mutation error)
107,c1ccc2ccccc2c1 (Mutation error)
