smiles,n_success_mut,n_failures_mut,rediscovery_c1cc2cccc3c4cccc5cccc(c(c1)c23)c54,total,obj_computation_time,history_data
Cc1cccc2cccc3cccc4c5cccc(c(c1)c25)c34,1,14,0.8285714285714286,0.8285714285714286,0.0006563663482666016,C
C=C(C)c1cc2c3cccc4c2cccc1cccc1cccc3c14,0,0,0.7051282051282052,0.7051282051282052,0.0007631778717041016,
C1#CC1=c1c2cccc3c4cccc(cccc5cccc5c13)c24,0,38,0.7466666666666667,0.7466666666666667,0.0007317066192626953,
C1#CC1c1cc2c1c1cccc3cccc4c5cccc(c(ccc1)c52)c34,2,16,0.7283950617283951,0.7283950617283951,0.0009152889251708984,
c1ccc2ccc3c4cccc(c5c(c1)cccc45)c23,2,60,0.8181818181818182,0.8181818181818182,0.0005679130554199219,
CCC=c1c2cccc3cccc4c5cccc(c1c5ccc2)c34,1,140,0.7466666666666667,0.7466666666666667,0.0006978511810302734,
CC1CCc2c(c3cccc4cccc5c6cccc(c(ccc3)c26)c45)C1,0,0,0.7073170731707317,0.7073170731707317,0.0008146762847900391,
c1cc2cccc3c4cccc(c5cccc(c1)c45)c3c1ccc21,12,111,0.7837837837837838,0.7837837837837838,0.0008988380432128906,
CC#CCc1c(C)c2cccc3cccc4c5cccc(c(ccc2)c15)c34,0,0,0.7160493827160493,0.7160493827160493,0.0008044242858886719,
C#Cc1c(CC)c2cccc3cccc4c5cccc(c(ccc2)c15)c34,6,86,0.7435897435897436,0.7435897435897436,0.0008187294006347656,
CC1C(C)C12c1c2c2c3cccc4c2cccc1cccc1cccc3c14,0,0,0.725,0.725,0.0008723735809326172,
CC1=Cc2c(c3c4cccc5c3cccc2cccc2cccc4c25)CC1,0,0,0.7073170731707317,0.7073170731707317,0.0009341239929199219,
c1cc2cccc3c4cccc(c5cccc(c1)c54)c3c1c2CC12CCC2,0,0,0.7073170731707317,0.7073170731707317,0.0008795261383056641,
C1=Cc2c(c3c4cccc5c3cccc2cccc2cccc4c25)C1,0,33,0.7532467532467533,0.7532467532467533,0.0008139610290527344,
CCC=c1c2cccc3c1c1cccc1cccc1cccc2c13,0,17,0.7236842105263158,0.7236842105263158,0.0006780624389648438,
C#CC(C)=c1c(=C)c2c3cccc4c2cccc1cccc1cccc3c14,0,1,0.725,0.725,0.0008199214935302734,
C1=C2c3c(c4c5cccc6c4cccc3cccc3cccc5c36)C2C1,0,3,0.725,0.725,0.0008726119995117188,
CC1C2CC1c1c2c2cccc3cccc4c5cccc(c(ccc2)c15)c34,0,0,0.7073170731707317,0.7073170731707317,0.0008442401885986328,
CCc1cc2cccc3c4cccc5c6cccc(cccc1c2c35)c46,0,2,0.7125,0.7125,0.000797271728515625,
CC(C)C1Cc2c1c1c3cccc4c1cccc2cccc1cccc3c14,0,0,0.7160493827160493,0.7160493827160493,0.0008893013000488281,
C=Cc1cccc2cccc3c4cccc(c5cccc(c1)c54)c23,5,42,0.7945205479452054,0.7945205479452054,0.0006976127624511719,
CC1CCCc2c1c1cccc3cccc4c5cccc(c(ccc1)c25)c34,0,0,0.7073170731707317,0.7073170731707317,0.0008206367492675781,
