smiles,n_success_mut,n_failures_mut,rediscovery_c1cc2ccc3ccc4ccc5ccc1c1c2c3c4c51,total,obj_computation_time,history_data
C1#CCC(=c2c3c4ccc5ccc(cc4)c3c3c4ccc(cc4)c3c25)C1,7,383,0.725,0.725,0.0008590221405029297,
C1=CC1CC=c1c2c3ccc4ccc(cc3)c2c2c3ccc(cc3)c2c14,26,699,0.7341772151898734,0.7341772151898734,0.0008382797241210938,
C1=CC1=CC=c1c2c3ccc4ccc(cc3)c2c2c3ccc(cc3)c2c14,37,675,0.7341772151898734,0.7341772151898734,0.0008387565612792969,
CCc1c2cccc3ccc4ccc(cc2)c2c1c3c1c3ccc(cc3)c1c42,3,478,0.7228915662650602,0.7228915662650602,0.000873565673828125,
C=c1ccc2ccc3ccc(cc1)c1c(=CC)c2c3c2c3ccc(cc3)c12,1,236,0.7160493827160493,0.7160493827160493,0.0008332729339599609,
C=C(C=c1c2c3ccc4ccc(cc3)c2c2c3ccc(cc3)c2c14)C1C#C1,2,215,0.7160493827160493,0.7160493827160493,0.0008325576782226562,
C=c1c2ccc3ccc4ccc5ccc6ccc2c2c4c3c1c5c62,0,237,0.7236842105263158,0.7236842105263158,0.0008943080902099609,
C#CC1C2C(=c3c4c5ccc6ccc(cc5)c4c4c5ccc(cc5)c4c36)C12,0,185,0.7160493827160493,0.7160493827160493,0.0008399486541748047,
Cc1cc2ccc2c2c1c1c3ccc4ccc5ccc(cc3)c2c5c41,2,711,0.7402597402597403,0.7402597402597403,0.0007281303405761719,
Cc1c2c3cccc4ccc5ccc6ccc(cc3)c2c4c5c16,3,503,0.7777777777777778,0.7777777777777778,0.0005905628204345703,
CC1C2CC1C2=c1c2c3ccc4ccc(cc3)c2c2c3ccc(cc3)c2c14,0,238,0.7160493827160493,0.7160493827160493,0.0008611679077148438,
c1cc2ccc3ccc1c1c(=C4C56C78CC75C486)c2c2c4ccc(cc4)c2c31,0,217,0.7160493827160493,0.7160493827160493,0.0009508132934570312,
C=C(C)c1cc2ccc3ccc4ccc1c1c5c6ccc(cc6)c5c2c3c41,4,391,0.7160493827160493,0.7160493827160493,0.0009503364562988281,
C=C(C)c1c2ccc3ccc4ccc(c2)c2c1c3c4c1c3ccc(cc3)c21,5,845,0.7375,0.7375,0.0008256435394287109,
C=C1C2C(=c3c4c5ccc6ccc(cc5)c4c4c5ccc(cc5)c4c36)C12C,14,365,0.725,0.725,0.0008482933044433594,
Cc1cc2ccc3ccc4ccc1c1c5c6ccc(cc6)c5c2c3c41,9,936,0.7631578947368421,0.7631578947368421,0.0009000301361083984,
C=C=C(C)C(C)=c1c2c3ccc4ccc(cc3)c2c2c3ccc(cc3)c2c14,6,387,0.725,0.725,0.0008833408355712891,
CC(C)(C)C=c1c2c3ccc4ccc(cc3)c2c2c3ccc(cc3)c2c14,1,737,0.7532467532467533,0.7532467532467533,0.0007920265197753906,
