rediscovery_C=CC=CC=CC=CC=CC=CC=CC=CC=CC=CC=CC=C_mean,rediscovery_C=CC=CC=CC=CC=CC=CC=CC=CC=CC=CC=CC=C_med,rediscovery_C=CC=CC=CC=CC=CC=CC=CC=CC=CC=CC=CC=C_min,rediscovery_C=CC=CC=CC=CC=CC=CC=CC=CC=CC=CC=CC=C_max,rediscovery_C=CC=CC=CC=CC=CC=CC=CC=CC=CC=CC=CC=C_std,total_mean,total_med,total_min,total_max,total_std,objective_calls,n_replaced,timestamps,n_failed_obj_computation,n_not_improvers_among_success_obj_computation,n_discarded_tabu,n_discarded_filters,n_discarded_rdfilters,n_discarded_sillywalks,n_discarded_sascore,n_discarded_custom_filter
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.00023317337036132812,0,0,0,0,0,0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0.0006821155548095703,0,0,0,0,0,0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1,0.0036978721618652344,0,0,4,0,0,0,0,0
0.007042253521126761,0.0,0.0,0.028169014084507043,0.012197540898372375,0.007042253521126761,0.0,0.0,0.028169014084507043,0.012197540898372375,3,1,0.005925655364990234,0,0,0,0,0,0,0,0
0.007042253521126761,0.0,0.0,0.028169014084507043,0.012197540898372375,0.007042253521126761,0.0,0.0,0.028169014084507043,0.012197540898372375,3,0,0.008565187454223633,0,0,5,0,0,0,0,0
0.011544150749244324,0.0,0.0,0.0410958904109589,0.016746945313673527,0.011544150749244324,0.0,0.0,0.0410958904109589,0.016746945313673527,5,2,0.011700630187988281,0,0,5,0,0,0,0,0
0.012036491440311622,0.0,0.0,0.0410958904109589,0.01602267433803105,0.012036491440311622,0.0,0.0,0.0410958904109589,0.01602267433803105,7,2,0.015877246856689453,0,0,8,0,0,0,0,0
0.010443508902539946,0.0,0.0,0.0410958904109589,0.016060290450645175,0.010443508902539946,0.0,0.0,0.0410958904109589,0.016060290450645175,12,5,0.021332979202270508,0,0,10,0,0,0,0,0
0.00754253420738996,0.0,0.0,0.0410958904109589,0.014427944909062653,0.00754253420738996,0.0,0.0,0.0410958904109589,0.014427944909062653,17,5,0.03197622299194336,0,0,33,0,0,0,0,0
0.007508546707242849,0.0,0.0,0.0410958904109589,0.013727112890134282,0.007508546707242849,0.0,0.0,0.0410958904109589,0.013727112890134282,24,7,0.049007415771484375,0,0,48,0,0,0,0,0
0.006238777340759799,0.0,0.0,0.0410958904109589,0.012241336976174666,0.006238777340759799,0.0,0.0,0.0410958904109589,0.012241336976174666,33,9,0.06753730773925781,0,0,45,0,0,0,0,0
0.005104964308768936,0.0,0.0,0.0410958904109589,0.01110676681405112,0.005104964308768936,0.0,0.0,0.0410958904109589,0.01110676681405112,43,10,0.08962297439575195,0,0,44,0,0,0,0,0
0.005085526473811725,0.0,0.0,0.0410958904109589,0.01117242108032358,0.005085526473811725,0.0,0.0,0.0410958904109589,0.01117242108032358,53,10,0.11240720748901367,0,0,50,0,0,0,0,0
0.005447126024983954,0.0,0.0,0.0410958904109589,0.01101225333888239,0.005447126024983954,0.0,0.0,0.0410958904109589,0.01101225333888239,63,10,0.14241695404052734,0,0,73,0,0,0,0,0
0.006519242395545948,0.0,0.0,0.0410958904109589,0.011437168105336676,0.006519242395545948,0.0,0.0,0.0410958904109589,0.011437168105336676,73,10,0.16175413131713867,0,0,33,0,0,0,0,0
0.006314382985137988,0.0,0.0,0.0410958904109589,0.01093939232363672,0.006314382985137988,0.0,0.0,0.0410958904109589,0.01093939232363672,83,10,0.1878969669342041,0,0,39,0,0,0,0,0
0.008529624275299252,0.0,0.0,0.10666666666666667,0.015141119833278793,0.008529624275299252,0.0,0.0,0.10666666666666667,0.015141119833278793,93,10,0.21279478073120117,0,0,47,0,0,0,0,0
0.010158076962657315,0.0,0.0,0.11267605633802817,0.018004042049788702,0.010158076962657315,0.0,0.0,0.11267605633802817,0.018004042049788702,103,10,0.23618817329406738,0,0,35,0,0,0,0,0
0.010707561598903128,0.0,0.0,0.11267605633802817,0.01757243341043019,0.010707561598903128,0.0,0.0,0.11267605633802817,0.01757243341043019,113,10,0.2594897747039795,0,0,38,0,0,0,0,0
0.012311157133502247,0.005376344086021506,0.0,0.11267605633802817,0.018449640780442887,0.012311157133502247,0.005376344086021506,0.0,0.11267605633802817,0.018449640780442887,123,10,0.2839999198913574,0,0,39,0,0,0,0,0
0.014061422926174726,0.01129979570990807,0.0,0.11267605633802817,0.019415843589179724,0.014061422926174726,0.01129979570990807,0.0,0.11267605633802817,0.019415843589179724,133,10,0.3010256290435791,0,0,18,0,0,0,0,0
0.0154847736761074,0.011561079925153702,0.0,0.11267605633802817,0.02010447949597719,0.0154847736761074,0.011561079925153702,0.0,0.11267605633802817,0.02010447949597719,143,10,0.3189704418182373,0,0,28,0,0,0,0,0
0.016770813497247763,0.011834733893557423,0.0,0.11267605633802817,0.020313825612331464,0.016770813497247763,0.011834733893557423,0.0,0.11267605633802817,0.020313825612331464,153,10,0.33459925651550293,0,0,15,0,0,0,0,0
0.0177544653716304,0.011904761904761904,0.0,0.11267605633802817,0.020714138980538532,0.0177544653716304,0.011904761904761904,0.0,0.11267605633802817,0.020714138980538532,163,10,0.35594844818115234,0,0,24,0,0,0,0,0
