smiles,n_success_mut,n_failures_mut,rediscovery_c1ccc2ccccc2c1,total,obj_computation_time,history_data
Cc1ccccccc2cc1-2,14,13,0.37777777777777777,0.37777777777777777,0.0002105236053466797,
CC1=CCC1=Cc1ccccc1,0,0,0.3,0.3,0.00021600723266601562,
Cc1c2cccc1C=C2,0,0,0.21739130434782608,0.21739130434782608,0.00017452239990234375,
c1ccc2c(c1)CCCC2,3,0,0.25,0.25,0.00019288063049316406,
CC1=C(c2ccc(C)cc2)C=CC1,0,0,0.21818181818181817,0.21818181818181817,0.0002384185791015625,
CC1C=CC(c2ccccc2)=C1,46,40,0.3541666666666667,0.3541666666666667,0.00021648406982421875,
CC1C=C2C(=C1)c1ccccc12,0,0,0.27450980392156865,0.27450980392156865,0.0002551078796386719,
Cc1ccc(C)cc2cc-2cc1,0,0,0.23076923076923078,0.23076923076923078,0.00022935867309570312,
Cc1cc(C)c2ccccc2c1,0,0,0.3333333333333333,0.3333333333333333,0.00023245811462402344,
c1ccc2c(c1)C1CC3CC231,0,0,0.23529411764705882,0.23529411764705882,0.00022649765014648438,
C1=C2CC12c1ccccc1,58,81,0.3488372093023256,0.3488372093023256,0.0002014636993408203,
C#Cc1ccccc1,0,0,0.325,0.325,0.00014352798461914062,
CC1=CC(=Cc2ccccc2C)C1,0,0,0.24528301886792453,0.24528301886792453,0.00022745132446289062,
C1=CC2C=C1c1cccc2c1,0,0,0.23529411764705882,0.23529411764705882,0.00023865699768066406,
CCCCCCc1ccccc1,1,0,0.25,0.25,0.00020599365234375,
Cc1ccccc1CC1=CC1,13,4,0.2708333333333333,0.2708333333333333,0.00021004676818847656,
Cc1ccccc1C1=CCC=C1,0,0,0.3,0.3,0.000213623046875,
CCCc1ccccc1CCC,1,0,0.23076923076923078,0.23076923076923078,0.0001995563507080078,
C1=C2CC=C2c2ccc1cc2,0,0,0.23529411764705882,0.23529411764705882,0.0002608299255371094,
Cc1ccccc(C)cc(C(C)C)cc1,0,0,0.3148148148148148,0.3148148148148148,0.00026345252990722656,
CCc1ccccc1CC,2,2,0.2608695652173913,0.2608695652173913,0.00016880035400390625,
Cc1ccccc1CC1=CCC1,1,1,0.2549019607843137,0.2549019607843137,0.0002219676971435547,
C1=C2CCC2c2ccccc21,0,0,0.26,0.26,0.00022935867309570312,
CCCc1cccccc2c(C)cc1-2,0,0,0.2727272727272727,0.2727272727272727,0.00027060508728027344,
C=C=CCc1ccccc1,0,0,0.2826086956521739,0.2826086956521739,0.00017070770263671875,
CC1=C(c2ccccc2)CC1,0,0,0.2916666666666667,0.2916666666666667,0.0001957416534423828,
CCC1CC1c1ccccc1,0,0,0.2653061224489796,0.2653061224489796,0.0002052783966064453,
Cc1cccc(CC2C=C2)c1,0,0,0.22,0.22,0.00020623207092285156,
CCCc1ccccc1CC(C)C,0,0,0.2222222222222222,0.2222222222222222,0.00022339820861816406,
CC1=C(Cc2ccc(C)cc2)C=C1,0,0,0.21818181818181817,0.21818181818181817,0.00023746490478515625,
CC=CC=Cc1ccccc1,0,0,0.2653061224489796,0.2653061224489796,0.00019073486328125,
CC(C)(C1=CC1)c1ccccc1,0,0,0.3125,0.3125,0.00021219253540039062,
CC1C2=Cc3cccc(c3)C1=C2,0,0,0.2037037037037037,0.2037037037037037,0.00026535987854003906,
Cc1ccccc2cc-2cc1,11,16,0.37777777777777777,0.37777777777777777,0.00021028518676757812,
Cc1ccccc1C(C)C,11,2,0.26666666666666666,0.26666666666666666,0.00016260147094726562,
Cc1ccccc(C)c(C)cc(C)c1,0,0,0.25925925925925924,0.25925925925925924,0.0002474784851074219,
Cc1ccc(CC2C=C2)cc1,0,0,0.24489795918367346,0.24489795918367346,0.0001976490020751953,
CCC1=CC1(C)c1ccccc1,0,0,0.30612244897959184,0.30612244897959184,0.0002231597900390625,
CC1=C(c2ccccc2)C=CC1,0,0,0.32653061224489793,0.32653061224489793,0.00021123886108398438,
C1=CC2=C1CC2c1ccccc1,0,0,0.32,0.32,0.00023651123046875,
C1=C2C1=C2c1ccccc1,17,8,0.3409090909090909,0.3409090909090909,0.0002143383026123047,
C1=C(c2ccccc2)C1,60,140,0.36585365853658536,0.36585365853658536,0.00017189979553222656,
C=CC=CCc1ccccc1,0,0,0.2653061224489796,0.2653061224489796,0.0001895427703857422,
Cc1ccccc2cc(cc1C)C2,0,0,0.2692307692307692,0.2692307692307692,0.0002627372741699219,
Cc1cccc(C(C)C)ccc(C)cc1,0,0,0.24561403508771928,0.24561403508771928,0.00026679039001464844,
Cc1cccc(C)c2ccc-2c1,0,0,0.2549019607843137,0.2549019607843137,0.00023293495178222656,
Cc1ccccccccc1C1CC1C,0,0,0.3333333333333333,0.3333333333333333,0.0002789497375488281,
Cc1ccccc1CC(C)C,0,0,0.25,0.25,0.0001838207244873047,
Cc1ccccc1C1=CC(C)C1,0,0,0.26,0.26,0.00021576881408691406,
CC1C=CC(c2ccccc2)C1,0,0,0.3,0.3,0.00022411346435546875,
C1=CC(c2ccccc2)C2=C1C2,0,0,0.32,0.32,0.00023484230041503906,
CC1c2ccccc21,15,5,0.2926829268292683,0.2926829268292683,0.0001494884490966797,
C=C(C)c1ccccc1C,0,0,0.26666666666666666,0.26666666666666666,0.00017452239990234375,
CCC1c2cccccccc1c2,0,0,0.36,0.36,0.0002472400665283203,
Cc1cccccc(C2CC2)ccc1,4,1,0.4,0.4,0.0002529621124267578,
CC1(c2ccccc2)C=C1,46,86,0.3488372093023256,0.3488372093023256,0.00017905235290527344,
C=C1CC1c1ccccc1C,0,0,0.25,0.25,0.00020503997802734375,
C1=CC2C=C1c1ccccc1C2,0,0,0.29411764705882354,0.29411764705882354,0.00026226043701171875,
c1ccc2c(c1)CCC2,5,2,0.26666666666666666,0.26666666666666666,0.00016236305236816406,
CC1=CC(c2ccccc2)=C1C,0,0,0.30612244897959184,0.30612244897959184,0.00022482872009277344,
C1=CCC(Cc2ccccc2)=CC1,0,0,0.3269230769230769,0.3269230769230769,0.00023555755615234375,
CC1C2=CC21c1ccccc1,0,0,0.32608695652173914,0.32608695652173914,0.00021338462829589844,
CC1C2=CC2c2ccccc21,0,0,0.2653061224489796,0.2653061224489796,0.0002262592315673828,
CC1(c2c3cccc2-3)C=C1,0,0,0.20833333333333334,0.20833333333333334,0.00019598007202148438,
CC1=CC(c2cccc(C)c2)=C1,0,0,0.21153846153846154,0.21153846153846154,0.000217437744140625,
CC(C)=CCc1ccccc1,0,0,0.2708333333333333,0.2708333333333333,0.00018978118896484375,
Cc1ccccccc2c(c1)C(C)C2,0,0,0.32075471698113206,0.32075471698113206,0.0002665519714355469,
C=C(C)Cc1ccccc1C,0,0,0.25,0.25,0.00019121170043945312,
CCC(C)c1ccccc1C,0,0,0.25,0.25,0.00018787384033203125,
Cc1ccc2ccccc2c1,8,0,0.55,0.55,0.00021696090698242188,
C1=C(c2ccccc2)C2=C1C2,0,0,0.3125,0.3125,0.00022363662719726562,
C=C1C(C)C1c1ccccc1,0,0,0.30434782608695654,0.30434782608695654,0.0002002716064453125,
C1=C2CC=1c1ccccc12,0,0,0.2553191489361702,0.2553191489361702,0.00022554397583007812,
CCc1ccccccccc1,0,0,0.3541666666666667,0.3541666666666667,0.0002040863037109375,
C1=C2CC(=C1)c1ccc2cc1,0,0,0.23529411764705882,0.23529411764705882,0.0002510547637939453,
CCCC(C)(CC)c1ccccc1,0,0,0.24528301886792453,0.24528301886792453,0.00021195411682128906,
CCCc1ccccccc2cc1-2,0,0,0.3333333333333333,0.3333333333333333,0.0002357959747314453,
C1=CC1=C1Cc2cccc1c2,0,0,0.21568627450980393,0.21568627450980393,0.00023555755615234375,
Cc1ccccc2cc-2c(C)c1,0,0,0.28,0.28,0.0002224445343017578,
Cc1cccc(C2=CC2)c1,0,0,0.20833333333333334,0.20833333333333334,0.0001842975616455078,
CC1=C(c2ccccc2)CC1C,0,0,0.28,0.28,0.0002040863037109375,
CCC(C)=Cc1ccccc1CC,0,0,0.2222222222222222,0.2222222222222222,0.00021910667419433594,
CC=CC(C)c1ccccc1,0,0,0.2708333333333333,0.2708333333333333,0.00018477439880371094,
C=C1C=CC(c2ccccc2)CC1C,0,0,0.2962962962962963,0.2962962962962963,0.00024962425231933594,
CCCc1ccccccccc1C,0,0,0.34615384615384615,0.34615384615384615,0.00024509429931640625,
CC1=CC2=C(c3ccccc3)C12,0,0,0.3,0.3,0.0002281665802001953,
c1ccccc2cc-2cc#1,0,0,0.25,0.25,0.00020360946655273438,
CCC(C1=CC1)c1ccccc1,0,0,0.30612244897959184,0.30612244897959184,0.00021529197692871094,
C1=CCCC(Cc2ccccc2)=C1,0,0,0.3269230769230769,0.3269230769230769,0.00023126602172851562,
CCC(C1=CC=C1)c1ccccc1,0,0,0.34,0.34,0.00022912025451660156,
CCCc1ccccccc(CC)cc1,0,4,0.37735849056603776,0.37735849056603776,0.00025582313537597656,
CCC(CC)c1ccccc1,0,0,0.2708333333333333,0.2708333333333333,0.00018262863159179688,
CC1C=CCCC1c1ccccc1,0,0,0.2830188679245283,0.2830188679245283,0.00023055076599121094,
Cc1ccc2cccc-2c(C)c1,0,0,0.2549019607843137,0.2549019607843137,0.00022864341735839844,
C1=CC(=Cc2ccccc2)CC1,0,0,0.32,0.32,0.000225067138671875,
C=C1C(C)=CC1c1ccccc1,0,0,0.30612244897959184,0.30612244897959184,0.000213623046875,
CCCC(CC)c1ccccc1,0,0,0.2549019607843137,0.2549019607843137,0.00020241737365722656,
Cc1ccc(C2=CC2(C)C)cc1,0,0,0.21568627450980393,0.21568627450980393,0.00020623207092285156,
CCCc1ccc(C)cc1,0,0,0.20833333333333334,0.20833333333333334,0.0001633167266845703,
CC1=c2c1cc1cccc2c1,0,0,0.24,0.24,0.00025200843811035156,
CC1=CC2=C1C2c1ccccc1C,0,0,0.24074074074074073,0.24074074074074073,0.0002522468566894531,
c1cc2ccc3c-2cc-3c1,0,0,0.2765957446808511,0.2765957446808511,0.00024366378784179688,
CC1=C(C(C)c2ccccc2)C=C1,0,0,0.3137254901960784,0.3137254901960784,0.00023293495178222656,
Cc1c#cccc(C)cccc1,0,0,0.30612244897959184,0.30612244897959184,0.00021314620971679688,
CC1=C(c2ccccc2)CCC1,0,0,0.27450980392156865,0.27450980392156865,0.00021648406982421875,
CCCCc1cccc(C)ccc(C)cc1,0,0,0.22950819672131148,0.22950819672131148,0.0002753734588623047,
c1ccc2c(c1)CC2,6,7,0.2857142857142857,0.2857142857142857,0.000148773193359375,
C1=CC1=CCc1ccccc1,7,6,0.34782608695652173,0.34782608695652173,0.00020360946655273438,
CC(C1=CCC=C1)c1ccccc1,0,0,0.3333333333333333,0.3333333333333333,0.00022745132446289062,
Cc1ccccc1C1=CC1,12,1,0.28888888888888886,0.28888888888888886,0.00019407272338867188,
CCc1ccccc(C)cccc1C,0,0,0.35294117647058826,0.35294117647058826,0.0002396106719970703,
CC1=CC1=Cc1ccccc1,0,0,0.32608695652173914,0.32608695652173914,0.0002048015594482422,
Cc1ccc(CCC2=CC=C2)cc1,0,0,0.24074074074074073,0.24074074074074073,0.00023818016052246094,
CCc1ccc2c3cccc2c13,0,0,0.22641509433962265,0.22641509433962265,0.0002636909484863281,
CCC1=C(c2ccccc2)C=C1,0,0,0.32653061224489793,0.32653061224489793,0.0002186298370361328,
C1=CC2C=C1c1cccc(c1)C2,0,0,0.2222222222222222,0.2222222222222222,0.00025773048400878906,
Cc1ccccc1C1=CC=C1,1,1,0.32608695652173914,0.32608695652173914,0.00020885467529296875,
CC(Cc1ccccc1C)=C1C=C1,0,0,0.2692307692307692,0.2692307692307692,0.00023794174194335938,
Cc1cccccc2c(C)c-2c1,0,0,0.30612244897959184,0.30612244897959184,0.0002224445343017578,
c1cccc2cc-2ccc1,13,27,0.42857142857142855,0.42857142857142855,0.0002028942108154297,
c1ccc2c3cc-3cc2c1,21,15,0.36363636363636365,0.36363636363636365,0.00022482872009277344,
CCC1C2c3ccccccc(C)cc3C12,0,0,0.288135593220339,0.288135593220339,0.00031948089599609375,
C1=CCC=C(c2ccccc2)C=1,4,1,0.3469387755102041,0.3469387755102041,0.0002167224884033203,
Cc1ccc(C2=CC=CCC2)cc1,0,0,0.23636363636363636,0.23636363636363636,0.0002338886260986328,
Cc1ccc(C=C2C=C2)cc1,0,0,0.24489795918367346,0.24489795918367346,0.00020074844360351562,
c1cc2c3ccc1c1c2c31,0,0,0.22448979591836735,0.22448979591836735,0.000255584716796875,
CC1=CC1(C)Cc1ccccc1,0,0,0.3125,0.3125,0.00021839141845703125,
C1=CC=1CCc1ccccc1,0,0,0.3191489361702128,0.3191489361702128,0.0002315044403076172,
C1=CC2CC(c3ccccc3)=C12,0,0,0.32,0.32,0.00024175643920898438,
c1ccc(C2CCC2)cc1,7,2,0.2826086956521739,0.2826086956521739,0.00018072128295898438,
CC1CC=Cc2ccc1cc2,0,0,0.24,0.24,0.000225067138671875,
CC1(C)C=CC(c2ccccc2)=C1,0,0,0.34,0.34,0.00023365020751953125,
Cc1ccccc1C1CC2=C1C=C2,0,0,0.25925925925925924,0.25925925925925924,0.0002524852752685547,
C1=Cc2ccccc2C1,0,0,0.32558139534883723,0.32558139534883723,0.0001735687255859375,
