smiles,n_success_mut,n_failures_mut,rediscovery_c1cc2cccc3c4cccc5cccc(c(c1)c23)c54,total,obj_computation_time,history_data
c1cc2cc3c4cccc(c2ccc2cccc5c(c1)c25)c43,0,125,0.75,0.75,0.0006458759307861328,C
C=Cc1ccc2c3cccc(cccc4cccc5c(cc1)c45)c32,0,17,0.7466666666666667,0.7466666666666667,0.0005960464477539062,
CC(C)c1c2cccc3c4cccc(cccc5ccccc2c15)c43,4,310,0.75,0.75,0.0006375312805175781,
C=C=C(C)c1cccc2cccc3cccc4c(cccc5c(c1)c25)c34,2,275,0.7435897435897436,0.7435897435897436,0.0006346702575683594,
C=c1c2cccc3cccc4cccc5c(cccc2c14)c35,1,12,0.8656716417910447,0.8656716417910447,0.0005822181701660156,
c1cc2cccc3c4cc5ccc(cccc6c(c1)c26)c5c34,0,377,0.75,0.75,0.0006556510925292969,
C1=CC1=c1c2cccc3cccc4cccc5c(cccc2c14)c35,0,10,0.7945205479452054,0.7945205479452054,0.0006835460662841797,
c1cc2cccc3c(cccc4c5ccc6c7c(cccc(c1)c45)c67)c23,0,13,0.7792207792207793,0.7792207792207793,0.0008039474487304688,
C#Cc1c2ccccc3cccc4cccc5c(cccc2c13)c45,8,202,0.7702702702702703,0.7702702702702703,0.0006101131439208984,
CC1(C=c2c3cccc4cccc5cccc6c(cccc3c25)c46)C=C1,2,18,0.7435897435897436,0.7435897435897436,0.0007088184356689453,
C=CC=C=c1c2cccc3cccc4cccc5c(cccc2c14)c35,0,20,0.7631578947368421,0.7631578947368421,0.0006542205810546875,
C=c1c2ccccc3cccc4c5cccc(ccccc1c32)c45,3,466,0.7466666666666667,0.7466666666666667,0.0006442070007324219,
c1cc2cccc3c(cccc4c5c6ccc5c5c6cccc(c1)c45)c23,2,601,0.7468354430379747,0.7468354430379747,0.0008034706115722656,
C=Cc1c2cccc3cccc4c5cccc(ccccc2c13)c45,4,177,0.7702702702702703,0.7702702702702703,0.0005884170532226562,
