rediscovery_C(=Cc1ccccc1)c1ccccc1_mean,rediscovery_C(=Cc1ccccc1)c1ccccc1_med,rediscovery_C(=Cc1ccccc1)c1ccccc1_min,rediscovery_C(=Cc1ccccc1)c1ccccc1_max,rediscovery_C(=Cc1ccccc1)c1ccccc1_std,total_mean,total_med,total_min,total_max,total_std,objective_calls,n_replaced,timestamps,n_failed_obj_computation,n_not_improvers_among_success_obj_computation,n_discarded_tabu,n_discarded_filters,n_discarded_rdfilters,n_discarded_sillywalks,n_discarded_sascore,n_discarded_custom_filter
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.00033211708068847656,0,0,0,0,0,0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0007128715515136719,0,0,0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0024628639221191406,0,0,0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0.004277706146240234,0,0,0,0,0,0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1,0.02250218391418457,0,0,7,0,0,0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,2,0.026053190231323242,0,0,4,0,0,0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,3,0.03197503089904785,0,0,16,0,0,0,0,0
0.0019342359767891683,0.0,0.0,0.02127659574468085,0.00611659121889435,0.0019342359767891683,0.0,0.0,0.02127659574468085,0.00611659121889435,10,3,0.04137778282165527,0,0,31,0,0,0,0,0
0.004435208733949507,0.0,0.0,0.04081632653061224,0.01147441553676297,0.004435208733949507,0.0,0.0,0.04081632653061224,0.01147441553676297,13,3,0.05177021026611328,0,0,37,0,0,0,0,0
0.0059593299146942875,0.0,0.0,0.04081632653061224,0.013400624801873573,0.0059593299146942875,0.0,0.0,0.04081632653061224,0.013400624801873573,16,3,0.060385942459106445,0,0,15,0,0,0,0,0
0.005375774885051591,0.0,0.0,0.04081632653061224,0.012985869809974482,0.005375774885051591,0.0,0.0,0.04081632653061224,0.012985869809974482,25,9,0.0743551254272461,0,0,33,0,0,0,0,0
0.006608826224864129,0.0,0.0,0.0425531914893617,0.014010293480680957,0.006608826224864129,0.0,0.0,0.0425531914893617,0.014010293480680957,35,10,0.09120845794677734,0,0,42,0,0,0,0,0
0.008500659847737468,0.0,0.0,0.0425531914893617,0.015607015847144395,0.008500659847737468,0.0,0.0,0.0425531914893617,0.015607015847144395,45,10,0.11167764663696289,0,0,33,0,0,0,0,0
0.012096566180825354,0.0,0.0,0.08,0.01895801521155462,0.012096566180825354,0.0,0.0,0.08,0.01895801521155462,55,10,0.12558531761169434,0,0,13,0,0,0,0,0
0.016039634813964674,0.0,0.0,0.0851063829787234,0.02117287941701762,0.016039634813964674,0.0,0.0,0.0851063829787234,0.02117287941701762,65,10,0.14281296730041504,0,0,24,0,0,0,0,0
0.017627477653742833,0.0,0.0,0.0851063829787234,0.021470974589410503,0.017627477653742833,0.0,0.0,0.0851063829787234,0.021470974589410503,75,10,0.15835285186767578,0,0,14,0,0,0,0,0
0.020184410065055117,0.019615384615384618,0.0,0.0851063829787234,0.02156468188997356,0.020184410065055117,0.019615384615384618,0.0,0.0851063829787234,0.02156468188997356,85,10,0.17580103874206543,0,0,17,0,0,0,0,0
0.020921263133523382,0.020638297872340425,0.0,0.0851063829787234,0.0217795664250732,0.020921263133523382,0.020638297872340425,0.0,0.0851063829787234,0.0217795664250732,95,10,0.19902896881103516,0,0,28,0,0,0,0,0
0.02110663155897815,0.026022913256955812,0.0,0.0851063829787234,0.02132121115288905,0.02110663155897815,0.026022913256955812,0.0,0.0851063829787234,0.02132121115288905,105,10,0.2234506607055664,0,0,44,0,0,0,0,0
0.023703050123426238,0.03333333333333333,0.0,0.0851063829787234,0.022554011075502676,0.023703050123426238,0.03333333333333333,0.0,0.0851063829787234,0.022554011075502676,115,10,0.24731230735778809,0,0,27,0,0,0,0,0
0.02489450210469154,0.03361581920903955,0.0,0.0851063829787234,0.022643152749202457,0.02489450210469154,0.03361581920903955,0.0,0.0851063829787234,0.022643152749202457,125,10,0.26459169387817383,0,0,16,0,0,0,0,0
0.026228634723556833,0.03419053185271771,0.0,0.0851063829787234,0.02300174629539501,0.026228634723556833,0.03419053185271771,0.0,0.0851063829787234,0.02300174629539501,135,10,0.2827293872833252,0,0,20,0,0,0,0,0
0.027340374729424684,0.034482758620689655,0.0,0.0851063829787234,0.02295619162417041,0.027340374729424684,0.034482758620689655,0.0,0.0851063829787234,0.02295619162417041,145,10,0.333268404006958,0,0,3,0,0,0,0,0
0.029537779929010518,0.03508771929824561,0.0,0.0851063829787234,0.024004631284678297,0.029537779929010518,0.03508771929824561,0.0,0.0851063829787234,0.024004631284678297,155,10,0.3463597297668457,0,0,5,0,0,0,0,0
0.031322627332647186,0.03540100250626566,0.0,0.0851063829787234,0.024631373135673672,0.031322627332647186,0.03540100250626566,0.0,0.0851063829787234,0.024631373135673672,165,10,0.3583641052246094,0,0,3,0,0,0,0,0
0.03266239268962834,0.03571428571428571,0.0,0.0851063829787234,0.024741584424502187,0.03266239268962834,0.03571428571428571,0.0,0.0851063829787234,0.024741584424502187,175,10,0.37444305419921875,0,0,11,0,0,0,0,0
0.033955066027873085,0.03571428571428571,0.0,0.0851063829787234,0.024920239318656168,0.033955066027873085,0.03571428571428571,0.0,0.0851063829787234,0.024920239318656168,185,10,0.3887753486633301,0,0,8,0,0,0,0,0
0.03475688272700915,0.03636363636363636,0.0,0.0851063829787234,0.024769137363793894,0.03475688272700915,0.03636363636363636,0.0,0.0851063829787234,0.024769137363793894,195,10,0.4107851982116699,0,0,18,0,0,0,0,0
0.03546551738591165,0.03636363636363636,0.0,0.1206896551724138,0.02506175282291667,0.03546551738591165,0.03636363636363636,0.0,0.1206896551724138,0.02506175282291667,205,10,0.43154001235961914,0,0,18,0,0,0,0,0
0.03635944731895578,0.03636363636363636,0.0,0.1206896551724138,0.0251391024131652,0.03635944731895578,0.03636363636363636,0.0,0.1206896551724138,0.0251391024131652,215,10,0.4462413787841797,0,0,7,0,0,0,0,0
0.037201564113867165,0.03636363636363636,0.0,0.1206896551724138,0.02554351234958015,0.037201564113867165,0.03636363636363636,0.0,0.1206896551724138,0.02554351234958015,225,10,0.46714258193969727,0,0,14,0,0,0,0,0
0.038111606148409416,0.03636363636363636,0.0,0.1206896551724138,0.02556300563843206,0.038111606148409416,0.03636363636363636,0.0,0.1206896551724138,0.02556300563843206,235,10,0.4859504699707031,0,0,18,0,0,0,0,0
0.038366151071380826,0.03636363636363636,0.0,0.1206896551724138,0.025374791039017203,0.038366151071380826,0.03636363636363636,0.0,0.1206896551724138,0.025374791039017203,245,10,0.5058269500732422,0,0,13,0,0,0,0,0
0.03900226040885259,0.03636363636363636,0.0,0.1206896551724138,0.02526758638536833,0.03900226040885259,0.03636363636363636,0.0,0.1206896551724138,0.02526758638536833,255,10,0.5332114696502686,0,0,42,0,0,0,0,0
0.03951845338822124,0.03636363636363636,0.0,0.1206896551724138,0.025393846627268075,0.03951845338822124,0.03636363636363636,0.0,0.1206896551724138,0.025393846627268075,265,10,0.557349443435669,0,0,23,0,0,0,0,0
0.040006167178409185,0.03636363636363636,0.0,0.1206896551724138,0.025261241966214144,0.040006167178409185,0.03636363636363636,0.0,0.1206896551724138,0.025261241966214144,275,10,0.587486982345581,0,0,43,0,0,0,0,0
0.04002457810365524,0.03636363636363636,0.0,0.1206896551724138,0.025241141599727533,0.04002457810365524,0.03636363636363636,0.0,0.1206896551724138,0.025241141599727533,285,10,0.6136667728424072,0,0,33,0,0,0,0,0
0.04063979130530405,0.03636363636363636,0.0,0.1206896551724138,0.025351999068568012,0.04063979130530405,0.03636363636363636,0.0,0.1206896551724138,0.025351999068568012,295,10,0.6339218616485596,0,0,17,0,0,0,0,0
0.04141453780798584,0.037037037037037035,0.0,0.1206896551724138,0.025627467088908607,0.04141453780798584,0.037037037037037035,0.0,0.1206896551724138,0.025627467088908607,305,10,0.662078857421875,0,0,28,0,0,0,0,0
0.042023194552800965,0.0373864430468204,0.0,0.1206896551724138,0.025733540134226494,0.042023194552800965,0.0373864430468204,0.0,0.1206896551724138,0.025733540134226494,315,10,0.6816210746765137,0,0,12,0,0,0,0,0
0.042713498811303846,0.03773584905660377,0.0,0.1206896551724138,0.02583583578265749,0.042713498811303846,0.03773584905660377,0.0,0.1206896551724138,0.02583583578265749,325,10,0.7073447704315186,0,0,23,0,0,0,0,0
0.04340509102815463,0.03773584905660377,0.0,0.1206896551724138,0.025985089001455748,0.04340509102815463,0.03773584905660377,0.0,0.1206896551724138,0.025985089001455748,335,10,0.7246670722961426,0,0,7,0,0,0,0,0
0.04437339219875406,0.038461538461538464,0.0,0.1206896551724138,0.026510877480971178,0.04437339219875406,0.038461538461538464,0.0,0.1206896551724138,0.026510877480971178,345,10,0.7394802570343018,0,0,1,0,0,0,0,0
0.0450311392144723,0.038461538461538464,0.0,0.1206896551724138,0.026590446433844728,0.0450311392144723,0.038461538461538464,0.0,0.1206896551724138,0.026590446433844728,355,10,0.763068675994873,0,0,17,0,0,0,0,0
0.04592356677512231,0.0392156862745098,0.0,0.1206896551724138,0.026841434306696155,0.04592356677512231,0.0392156862745098,0.0,0.1206896551724138,0.026841434306696155,365,10,0.7791337966918945,0,0,3,0,0,0,0,0
0.04733386249315702,0.04081632653061224,0.0,0.2545454545454545,0.029172081370082856,0.04733386249315702,0.04081632653061224,0.0,0.2545454545454545,0.029172081370082856,375,10,0.7968800067901611,0,0,3,0,0,0,0,0
0.048184745996820794,0.04081632653061224,0.0,0.2545454545454545,0.02936082315030021,0.048184745996820794,0.04081632653061224,0.0,0.2545454545454545,0.02936082315030021,385,10,0.8129100799560547,0,0,2,0,0,0,0,0
0.049009510791574805,0.04366465544617339,0.0,0.2545454545454545,0.02971467092776723,0.049009510791574805,0.04366465544617339,0.0,0.2545454545454545,0.02971467092776723,395,10,0.8277308940887451,0,0,2,0,0,0,0,0
0.04968930435912695,0.05,0.0,0.2545454545454545,0.029836480562241807,0.04968930435912695,0.05,0.0,0.2545454545454545,0.029836480562241807,405,10,0.8423633575439453,0,0,4,0,0,0,0,0
0.05016365164860016,0.05084745762711865,0.0,0.2545454545454545,0.02973689633325223,0.05016365164860016,0.05084745762711865,0.0,0.2545454545454545,0.02973689633325223,415,10,0.8592004776000977,0,0,4,0,0,0,0,0
0.0509559933140249,0.05172413793103448,0.0,0.2545454545454545,0.03030057195643222,0.0509559933140249,0.05172413793103448,0.0,0.2545454545454545,0.03030057195643222,425,10,0.8771734237670898,0,0,4,0,0,0,0,0
0.05159467700639188,0.05263157894736842,0.0,0.2545454545454545,0.03029119379155433,0.05159467700639188,0.05263157894736842,0.0,0.2545454545454545,0.03029119379155433,435,10,0.8942904472351074,0,0,1,0,0,0,0,0
