rediscovery_c1ccccc1_mean,rediscovery_c1ccccc1_med,rediscovery_c1ccccc1_min,rediscovery_c1ccccc1_max,rediscovery_c1ccccc1_std,total_mean,total_med,total_min,total_max,total_std,objective_calls,n_replaced,timestamps,n_failed_obj_computation,n_not_improvers_among_success_obj_computation,n_discarded_tabu,n_discarded_filters,n_discarded_rdfilters,n_discarded_sillywalks,n_discarded_sascore,n_discarded_custom_filter
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0006458759307861328,0,0,0,0,0,0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0.0014367103576660156,0,0,0,0,0,0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1,0.0043792724609375,0,0,0,0,0,0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0.0067865848541259766,0,0,4,0,0,0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,2,0.010248661041259766,0,0,5,0,0,0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,3,0.016230106353759766,0,0,18,0,0,0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,3,0.021857261657714844,0,0,17,0,0,0,0,0
0.005115089514066496,0.0,0.0,0.08695652173913043,0.02046035805626598,0.005115089514066496,0.0,0.0,0.08695652173913043,0.02046035805626598,16,6,0.03279995918273926,0,0,25,0,0,0,0,0
0.006585767424842978,0.0,0.0,0.08695652173913043,0.021595293296648256,0.006585767424842978,0.0,0.0,0.08695652173913043,0.021595293296648256,22,6,0.04758119583129883,0,0,32,0,0,0,0,0
0.004886214541012532,0.0,0.0,0.08695652173913043,0.01882314953378656,0.004886214541012532,0.0,0.0,0.08695652173913043,0.01882314953378656,30,8,0.06888890266418457,0,0,36,0,0,0,0,0
0.004632541200803097,0.0,0.0,0.08695652173913043,0.017336820791936484,0.004632541200803097,0.0,0.0,0.08695652173913043,0.017336820791936484,40,10,0.09604454040527344,0,0,67,0,0,0,0,0
0.005837489549229504,0.0,0.0,0.08695652173913043,0.019116142424698522,0.005837489549229504,0.0,0.0,0.08695652173913043,0.019116142424698522,50,10,0.3320729732513428,0,0,56,0,0,0,0,0
0.007206831621565027,0.0,0.0,0.08695652173913043,0.02045941859171877,0.007206831621565027,0.0,0.0,0.08695652173913043,0.02045941859171877,60,10,0.35038256645202637,0,0,24,0,0,0,0,0
0.010963827749670958,0.0,0.0,0.08695652173913043,0.023390255672887623,0.010963827749670958,0.0,0.0,0.08695652173913043,0.023390255672887623,70,10,0.36629533767700195,0,0,25,0,0,0,0,0
0.014127579635414807,0.0,0.0,0.13793103448275862,0.027683457964548172,0.014127579635414807,0.0,0.0,0.13793103448275862,0.027683457964548172,80,10,0.3908271789550781,0,0,32,0,0,0,0,0
0.017367699382138547,0.0,0.0,0.17391304347826086,0.032115285826607116,0.017367699382138547,0.0,0.0,0.17391304347826086,0.032115285826607116,90,10,0.40514516830444336,0,0,9,0,0,0,0,0
0.02000389910914419,0.0,0.0,0.17391304347826086,0.03266302275424422,0.02000389910914419,0.0,0.0,0.17391304347826086,0.03266302275424422,100,10,0.41823291778564453,0,0,9,0,0,0,0,0
0.022768544230705547,0.0,0.0,0.17391304347826086,0.03323245095855666,0.022768544230705547,0.0,0.0,0.17391304347826086,0.03323245095855666,110,10,0.43767452239990234,0,0,24,0,0,0,0,0
0.02411337004146845,0.0,0.0,0.17391304347826086,0.034089335039441365,0.02411337004146845,0.0,0.0,0.17391304347826086,0.034089335039441365,120,10,0.454303503036499,0,0,18,0,0,0,0,0
0.02644172423679501,0.0,0.0,0.17391304347826086,0.03523562511893592,0.02644172423679501,0.0,0.0,0.17391304347826086,0.03523562511893592,130,10,0.47559618949890137,0,0,34,0,0,0,0,0
0.028933196191170983,0.0,0.0,0.17391304347826086,0.03675083844678714,0.028933196191170983,0.0,0.0,0.17391304347826086,0.03675083844678714,140,10,0.49233555793762207,0,0,18,0,0,0,0,0
0.03054901031542795,0.0,0.0,0.17391304347826086,0.03782297489096216,0.03054901031542795,0.0,0.0,0.17391304347826086,0.03782297489096216,150,10,0.5167760848999023,0,0,37,0,0,0,0,0
0.030915729071711452,0.0,0.0,0.17391304347826086,0.03776793358377793,0.030915729071711452,0.0,0.0,0.17391304347826086,0.03776793358377793,160,10,0.5327906608581543,0,0,12,0,0,0,0,0
0.0322843280278685,0.025,0.0,0.17391304347826086,0.0382300196374752,0.0322843280278685,0.025,0.0,0.17391304347826086,0.0382300196374752,170,10,0.561063289642334,0,0,43,0,0,0,0,0
0.03380029707872482,0.02702702702702703,0.0,0.17391304347826086,0.03821543031401272,0.03380029707872482,0.02702702702702703,0.0,0.17391304347826086,0.03821543031401272,180,10,0.5863533020019531,0,0,47,0,0,0,0,0
0.035218859643719944,0.027777777777777776,0.0,0.17391304347826086,0.03865035598100563,0.035218859643719944,0.027777777777777776,0.0,0.17391304347826086,0.03865035598100563,190,10,0.6050019264221191,0,0,24,0,0,0,0,0
0.03659371394821097,0.029411764705882353,0.0,0.17391304347826086,0.03879869216245722,0.03659371394821097,0.029411764705882353,0.0,0.17391304347826086,0.03879869216245722,200,10,0.6295158863067627,0,0,33,0,0,0,0,0
