1,benzene,c1ccccc1
2,naphthalene,c1ccc2ccccc2c1
3,azulene,c1ccc2cccc-2cc1
4,biphenyl,c1ccc(-c2ccccc2)cc1
5,stilbene,C(=Cc1ccccc1)c1ccccc1
6,dibenzopentalene,C1=C2C=c3ccccc3=C2c2ccccc21
7,tetracosadodecaene,C=CC=CC=CC=CC=CC=CC=CC=CC=CC=CC=CC=C
8,dendralene12,C=CC(=C)C(=C)C(=C)C(=C)C(=C)C(=C)C(=C)C(=C)C(=C)C(=C)C=C
9,perylene,c1cc2cccc3c4cccc5cccc(c(c1)c23)c54
10,corranulene,c1cc2ccc3ccc4ccc5ccc1c1c2c3c4c51
11,circulene7,c1cc2ccc3ccc4ccc5ccc6ccc7ccc1c1c2c3c4c5c6c71
12,flap,C1=Cc2cc3cc4ccccc4cc3cc2C=Cc2cc3cc4ccccc4cc3cc21
13,cpp_benzenoid,c1cc2ccc1-c1ccc(cc1)-c1ccc(cc1)-c1ccc(cc1)-c1ccc(cc1)-c1ccc-2cc1
14,cpp_quinoid,c1cc2ccc1=c1ccc(cc1)=c1ccc(cc1)=c1ccc(cc1)=c1ccc(cc1)=c1ccc=2cc1
15,chichibabin,c1ccc(C(c2ccccc2)=c2ccc(=c3ccc(=C(c4ccccc4)c4ccccc4)cc3)cc2)cc1
16,cppm6,c1cc2ccc1cc1ccc(cc1)cc1ccc(cc1)cc1ccc(cc1)cc1ccc(cc1)cc1ccc(cc1)c2
17,cppa6,C1#Cc2ccc(cc2)C#Cc2ccc(cc2)C#Cc2ccc(cc2)C#Cc2ccc(cc2)C#Cc2ccc(cc2)C#Cc2ccc1cc2
18,cyclacene12,c1c2cc3cc4cc5cc6cc7cc8cc9cc%10cc%11cc%12cc1c1cc2cc3cc4cc5cc6cc7cc8cc9cc%10cc%11cc%12c1
19,cnb66,c1cc2cc3c4ccc5cc6c(ccc7cc8c(ccc9cc%10c(ccc%11cc%12c(ccc%13cc(c1cc%13%12)c2c4)cc%11%10)cc98)cc76)cc53
20,infinitene,c1cc2ccc3ccc4ccc5ccc6c7ccc8ccc9ccc%10ccc%11ccc%12ccc%13c(ccc1c%13c2c3c4c57)c%12c%11c%10c9c86
21,tris12dba,c1c2ccccc2c#cc2c3c#cc4ccccc4c#cc4ccccc4c#cc3c3c#cc4ccccc4c#cc4ccccc4c#cc3c2c#cc2ccccc2c#1
22,mobiusannulene,C1#Cc2ccc3ccccc3c2-c2c(ccc3ccccc23)C#CC#Cc2ccc3ccccc3c2-c2c(ccc3ccccc23)C#CC#Cc2ccc3ccccc3c2-c2c(ccc3ccccc23)C#C1
23,helicene16,c1ccc2c(c1)ccc1ccc3ccc4ccc5ccc6ccc7ccc8ccc9ccc%10ccc%11ccc%12ccc%13ccc%14ccc%15ccccc%15c%14c%13c%12c%11c%10c9c8c7c6c5c4c3c12
24,cc4,c1cc2c3ccc4c5ccc(cc5ccc24)-c2ccc4c(ccc5c6ccc(cc6ccc45)-c4ccc5c(ccc6c7ccc(cc7ccc56)-c5ccc6c(ccc7c8ccc(cc8ccc67)-c1c3)c5)c4)c2
25,mobiuscnb3,c1cc2cc3ccc4cc5ccc6cc7ccc8cc9c%10ccc%11cc%12ccc%13cc%14ccc%15cc%16ccc%17cc%18c(ccc%19cc%20ccc%21cc%22ccc%23cc%24ccc%25cc(c1cc%25c%24cc%23c%22cc%21c%20cc%19%18)c2cc3c4cc5c6cc7c8c%10)cc%17c%16cc%15c%14cc%13c%12cc%119
26,mobiuscnb1,c1cc2cc3c4ccc5cc6c(ccc7cc8c(ccc9cc%10c(ccc%11cc%12c(ccc%13cc%14c(ccc%15cc%16c(ccc%17cc%18c(ccc%19cc%20c(ccc%21cc%22c(ccc%23cc%24c(ccc%25cc%26c(ccc%27cc%28c(ccc%29cc%30c(ccc%31cc%32c(ccc%33cc%34c(ccc%35cc%36c(ccc%37cc%38c(ccc%39cc%40c(ccc%41cc%42c(ccc%43cc%44c(ccc%45cc%46c(ccc%47cc%48c(ccc%49cc%50c(ccc%51cc(c1cc%51%50)c2c4)cc%49%48)cc%47%46)cc%45%44)cc%43%42)cc%41%40)cc%39%38)cc%37%36)cc%35%34)cc%33%32)cc%31%30)cc%29%28)cc%27%26)cc%25%24)cc%23%22)cc%21%20)cc%19%18)cc%17%16)cc%15%14)cc%13%12)cc%11%10)cc98)cc76)cc53
27,fullerene,c12c3c4c5c1c1c6c7c2c2c8c3c3c9c4c4c%10c5c5c1c1c6c6c%11c7c2c2c7c8c3c3c8c9c4c4c9c%10c5c5c1c1c6c6c%11c2c2c7c3c3c8c4c4c9c5c1c1c6c2c3c41
28,helicalng,c1cc2c3cccc4c5cccc6c5c5c(c34)c3c2c(c1)c1cccc2c4cccc7c4c(c3c12)c5c1c6c2c3c4cccc5c6cccc8c9cccc%10c%11cccc%12c%13cccc%14c%13c%13c(c%11%12)c(c9%10)c(c86)c(c54)c%13c3c%14c3c4c5c6cccc8c9cccc%10c%11cccc%12c%13cccc%14c%15cccc%16c%15c%15c(c%13%14)c(c%12%11)c(c%109)c(c86)c%15c5c%16c5c6c8cccc9c%10cccc%11c%12cccc%13c%14cccc%15c%16cccc%17c%16c%16c(c%14%15)c(c%12%13)c(c%11%10)c(c98)c%16c6c%17c(c(c71)c23)c54
