step,error
26,C=C1C=C1 (Mutation error)
26,C1=CCC=1 (Mutation error)
26,C1=CCC1 (Mutation error)
26,CC1(C)C=C1 (Mutation error)
26,C=C1C=CC1 (Mutation error)
27,C1=CC=C1 (Mutation error)
27,c1cc2cc-2c1 (Mutation error)
27,CCC1C=CC=CC1C (Mutation error)
27,CCC1=CC=C1 (Mutation error)
27,CC1=CC=CC1 (Mutation error)
27,C1=CC1 (Mutation error)
27,C1=CC=1 (Mutation error)
27,CC1=CC=CCC1 (Mutation error)
27,CC1=CCCC=C1 (Mutation error)
27,CC1=CCC(C)C=C1 (Mutation error)
27,C1=CCC=1 (Mutation error)
27,C=C1C=C1 (Mutation error)
27,C1=C2C=C12 (Mutation error)
27,CC1C=C1 (Mutation error)
27,C1#CC=C1 (Mutation error)
27,C1=C=CC=1 (Mutation error)
27,C1=CCC1 (Mutation error)
27,CC1C=C=C1 (Mutation error)
28,CC1=CC=C1 (Mutation error)
28,CC1C=CC=CC1C (Mutation error)
28,CCC1C=CC=CC1C (Mutation error)
28,CCC1=CC=C1 (Mutation error)
28,CC1=CC=CC1 (Mutation error)
28,CC1=CCC=C1 (Mutation error)
28,C1=CC=1 (Mutation error)
28,C1=CC1 (Mutation error)
28,C1=CCC=1 (Mutation error)
28,CC1C=C1 (Mutation error)
28,C1=CCC1 (Mutation error)
28,C=C1C=C1 (Mutation error)
28,C1#CC=C1 (Mutation error)
28,C1=C2C=C12 (Mutation error)
28,C1=C=CC=1 (Mutation error)
28,CC1=CC=CCCC1 (Mutation error)
28,CC1(C)C=C1 (Mutation error)
29,C1=CC=C1 (Mutation error)
29,C1=CCC=C1 (Mutation error)
29,CC1=CC=C1 (Mutation error)
29,CC1=CCC=C1 (Mutation error)
29,CC1=CC=CC1 (Mutation error)
29,C1=CC1 (Mutation error)
29,C1=CC=1 (Mutation error)
29,CC1=CC=CCC1 (Mutation error)
29,C1=C2C=C12 (Mutation error)
29,CC1C=C1 (Mutation error)
29,C1=CCC=1 (Mutation error)
29,C1=CCC1 (Mutation error)
29,C=C1C=C1 (Mutation error)
30,C1=CC=C1 (Mutation error)
30,C1=CCC=C1 (Mutation error)
30,CC1=CC=C1 (Mutation error)
30,CC1C=CC=CC1C (Mutation error)
30,C1=CC2C=C12 (Mutation error)
30,C1=CC=1 (Mutation error)
30,C1=CC1 (Mutation error)
30,C1=C=CC=1 (Mutation error)
30,CC1C=C1 (Mutation error)
30,C1=CCC=1 (Mutation error)
30,C1=CCC1 (Mutation error)
31,CCC1=CC=C1 (Mutation error)
31,CC1=CC=CC1 (Mutation error)
32,C1=CC=C1 (Mutation error)
32,c1cc2cc-2c1 (Mutation error)
32,CC1C=CC=C1 (Mutation error)
32,CC1=CC=C1 (Mutation error)
32,CCC1=CC=C1 (Mutation error)
32,CC1=CC=CC1 (Mutation error)
32,CC1=CCC=C1 (Mutation error)
32,C1=CC1 (Mutation error)
32,C1=CC=1 (Mutation error)
32,CC1=CC=CCC1 (Mutation error)
33,C1=CC=C1 (Mutation error)
33,C1=CCC=C1 (Mutation error)
34,C1=CC=C1 (Mutation error)
34,C1=CCC=C1 (Mutation error)
34,CC1C=CC=C1 (Mutation error)
34,C1=CCCCC=C1 (Mutation error)
34,C1=CC=CCCC=1 (Mutation error)
35,C1=CC=C1 (Mutation error)
35,C1=CC=CC=1 (Mutation error)
35,CC1C=CC=CC1 (Mutation error)
35,C1=CCC2=CC2=C1 (Mutation error)
35,CC1=CC=C1 (Mutation error)
35,CC1C=CC=CCC1 (Mutation error)
36,C1=CC=C1 (Mutation error)
36,C1=CCC=C1 (Mutation error)
36,C1=CC=CCCC=1 (Mutation error)
36,C1=CCCCC=C1 (Mutation error)
37,C1=CC=C1 (Mutation error)
37,c1cc2cc-2c1 (Mutation error)
37,C1=CCC=C1 (Mutation error)
37,CC1C=CC=C1 (Mutation error)
37,C1=CCCC=C1 (Mutation error)
37,C1=CCC=CC1 (Mutation error)
37,CC1C=CCC=C1 (Mutation error)
37,C1=CCC2=CC2=C1 (Mutation error)
38,C1=CC=C1 (Mutation error)
38,C1=CCC=C1 (Mutation error)
38,C1=CC=CC=1 (Mutation error)
38,CC1CC2C=CC=CC1C=C2 (Mutation error)
38,CC1CC2(C)C=CC=CC1C=C2 (Mutation error)
38,C1=CCC=CC1 (Mutation error)
38,C1=CC=CCC=1 (Mutation error)
39,C1=CC=C1 (Mutation error)
39,C1=CCC=C1 (Mutation error)
40,C1=CC=C1 (Mutation error)
40,c1cc2cc-2c1 (Mutation error)
40,C1=CCC=C1 (Mutation error)
41,C1=CC=C1 (Mutation error)
41,C1=CC=CCC=CCC=1 (Mutation error)
41,C1=CC=CC=1 (Mutation error)
41,C1=CCC=C1 (Mutation error)
42,C1=CC=C1 (Mutation error)
42,C1=CC=CCC=CC=1 (Mutation error)
42,c1cc2cc-2c1 (Mutation error)
42,C1=CCC=C1 (Mutation error)
