smiles,n_success_mut,n_failures_mut,rediscovery_C1=C2C=c3ccccc3=C2c2ccccc21,total,obj_computation_time,history_data
C1=C(C2C3=C(C4=c5ccccc5=C4)C32)c2ccccc21,10,106,0.5970149253731343,0.5970149253731343,0.0004889965057373047,C
CCCC12C=C1c1ccccc1C=C1C=c3ccccc3=C12,1,4,0.6142857142857143,0.6142857142857143,0.0004715919494628906,
C(=C1C=C(C2=c3ccccc3=C2)C1)C1=Cc2ccccc21,0,5,0.5714285714285714,0.5714285714285714,0.0004954338073730469,
CC(=C=CC1=c2ccccc2=C1)CC1=Cc2ccccc21,0,5,0.5714285714285714,0.5714285714285714,0.0004432201385498047,
C1=CC1(CCC1=c2ccccc2=C1)C1=Cc2ccccc21,0,5,0.5714285714285714,0.5714285714285714,0.00048089027404785156,
C(C=CC1=c2ccccc2=C1)=CC1=Cc2ccccc21,6,71,0.5882352941176471,0.5882352941176471,0.00045228004455566406,
C=C=CC(C1=Cc2ccccc21)C1=c2ccccc2=C1,7,143,0.5970149253731343,0.5970149253731343,0.00043320655822753906,
C=C(CC#CC1=Cc2ccccc21)C1=c2ccccc2=C1,0,5,0.5714285714285714,0.5714285714285714,0.0004398822784423828,
C1=C(CC(C2=c3ccccc3=C2)C2CC2)c2ccccc21,0,5,0.5714285714285714,0.5714285714285714,0.0004699230194091797,
CC(=CC1=Cc2ccccc21)C(C)C1=c2ccccc2=C1,0,11,0.5797101449275363,0.5797101449275363,0.0004451274871826172,
CC1=CC2=CC1CC1=c3ccccc3=CC1=Cc1ccccc12,0,0,0.589041095890411,0.589041095890411,0.0005216598510742188,
C=CC1=CC(CC)C2=c3ccccc3=CC2=Cc2ccccc21,0,0,0.5972222222222222,0.5972222222222222,0.0005071163177490234,
C1=C(C2(CC3=c4ccccc4=C3)C3CC32)c2ccccc21,0,5,0.5714285714285714,0.5714285714285714,0.0004868507385253906,
CC(C1=Cc2ccccc21)C1=c2ccccc2=CC1,0,5,0.5757575757575758,0.5757575757575758,0.00040221214294433594,
