rediscovery_C1=C2C=c3ccccc3=C2c2ccccc21_mean,rediscovery_C1=C2C=c3ccccc3=C2c2ccccc21_med,rediscovery_C1=C2C=c3ccccc3=C2c2ccccc21_min,rediscovery_C1=C2C=c3ccccc3=C2c2ccccc21_max,rediscovery_C1=C2C=c3ccccc3=C2c2ccccc21_std,total_mean,total_med,total_min,total_max,total_std,objective_calls,n_replaced,timestamps,n_failed_obj_computation,n_not_improvers_among_success_obj_computation,n_discarded_tabu,n_discarded_filters,n_discarded_rdfilters,n_discarded_sillywalks,n_discarded_sascore,n_discarded_custom_filter
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0003333091735839844,0,0,0,0,0,0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0.0009357929229736328,0,0,0,0,0,0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.003885984420776367,0,0,5,0,0,0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1,0.0062444210052490234,0,0,0,0,0,0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,1,0.024824142456054688,0,0,16,0,0,0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,1,0.027980804443359375,0,0,6,0,0,0,0,0
0.006289308176100628,0.0,0.0,0.03773584905660377,0.014063320613206224,0.006289308176100628,0.0,0.0,0.03773584905660377,0.014063320613206224,5,1,0.03187251091003418,0,0,7,0,0,0,0,0
0.0047169811320754715,0.0,0.0,0.03773584905660377,0.012479959014455616,0.0047169811320754715,0.0,0.0,0.03773584905660377,0.012479959014455616,7,2,0.0373232364654541,0,0,13,0,0,0,0,0
0.003144654088050314,0.0,0.0,0.03773584905660377,0.010429637705520125,0.003144654088050314,0.0,0.0,0.03773584905660377,0.010429637705520125,11,4,0.04262900352478027,0,0,7,0,0,0,0,0
0.004439511653718091,0.0,0.0,0.03773584905660377,0.01215810338524231,0.004439511653718091,0.0,0.0,0.03773584905660377,0.01215810338524231,16,5,0.054619550704956055,0,0,34,0,0,0,0,0
0.007958672635967692,0.0,0.0,0.03773584905660377,0.014915191045013803,0.007958672635967692,0.0,0.0,0.03773584905660377,0.014915191045013803,26,10,0.06897902488708496,0,0,19,0,0,0,0,0
0.01423213794763544,0.0,0.0,0.14,0.0263730245566089,0.01423213794763544,0.0,0.0,0.14,0.0263730245566089,36,10,0.08988094329833984,0,0,43,0,0,0,0,0
0.015533955159887326,0.0,0.0,0.14,0.02475965166665679,0.015533955159887326,0.0,0.0,0.14,0.02475965166665679,46,10,0.11038947105407715,0,0,26,0,0,0,0,0
0.017537009367696508,0.0,0.0,0.14,0.023591582413713223,0.017537009367696508,0.0,0.0,0.14,0.023591582413713223,56,10,0.12718796730041504,0,0,12,0,0,0,0,0
0.020204171425667907,0.03076923076923077,0.0,0.14,0.024075819402342068,0.020204171425667907,0.03076923076923077,0.0,0.14,0.024075819402342068,66,10,0.15657925605773926,0,0,55,0,0,0,0,0
0.02296488600634624,0.031746031746031744,0.0,0.14,0.025665076139239417,0.02296488600634624,0.031746031746031744,0.0,0.14,0.025665076139239417,76,10,0.17244768142700195,0,0,12,0,0,0,0,0
0.02515168927338592,0.03225806451612903,0.0,0.14,0.02650979066436615,0.02515168927338592,0.03225806451612903,0.0,0.14,0.02650979066436615,86,10,0.19099855422973633,0,0,20,0,0,0,0,0
0.027485095122350395,0.03278688524590164,0.0,0.14,0.028540057132947973,0.027485095122350395,0.03278688524590164,0.0,0.14,0.028540057132947973,96,10,0.21016144752502441,0,0,22,0,0,0,0,0
0.02941443961258627,0.03278688524590164,0.0,0.14,0.028535884571866902,0.02941443961258627,0.03278688524590164,0.0,0.14,0.028535884571866902,106,10,0.24036598205566406,0,0,51,0,0,0,0,0
0.032275945572679085,0.03278688524590164,0.0,0.14,0.02930634049782954,0.032275945572679085,0.03278688524590164,0.0,0.14,0.02930634049782954,116,10,0.2625713348388672,0,0,26,0,0,0,0,0
0.035178635863759154,0.03278688524590164,0.0,0.14,0.030818677656530815,0.035178635863759154,0.03278688524590164,0.0,0.14,0.030818677656530815,126,10,0.27716493606567383,0,0,6,0,0,0,0,0
0.03715567052524269,0.03278688524590164,0.0,0.14,0.03186076199279317,0.03715567052524269,0.03278688524590164,0.0,0.14,0.03186076199279317,136,10,0.29884815216064453,0,0,21,0,0,0,0,0
0.03851148955127816,0.03333333333333333,0.0,0.14,0.03164651051543415,0.03851148955127816,0.03333333333333333,0.0,0.14,0.03164651051543415,146,10,0.31238746643066406,0,0,4,0,0,0,0,0
0.04035331036955407,0.03389830508474576,0.0,0.14,0.03195053096039014,0.04035331036955407,0.03389830508474576,0.0,0.14,0.03195053096039014,156,10,0.348466157913208,0,0,56,0,0,0,0,0
0.04126963875574341,0.03389830508474576,0.0,0.14,0.03203279116668261,0.04126963875574341,0.03389830508474576,0.0,0.14,0.03203279116668261,166,10,0.3715345859527588,0,0,23,0,0,0,0,0
0.04186841268698726,0.03389830508474576,0.0,0.14,0.032224116352189976,0.04186841268698726,0.03389830508474576,0.0,0.14,0.032224116352189976,176,10,0.39664697647094727,0,0,27,0,0,0,0,0
0.04228711984687385,0.03389830508474576,0.0,0.14,0.03196789082281354,0.04228711984687385,0.03389830508474576,0.0,0.14,0.03196789082281354,186,10,0.42456817626953125,0,0,18,0,0,0,0,0
