[9.512901306152344e-05]Start running EvoMol from [H][H]...
[0.033600568771362305] Updated in round 1! max:(0.0547945205479452, 'c1ccccc1'), min:(-99999, '')
[0.03985738754272461] Updated in round 2! max:(0.1095890410958904, 'c1ccc(-c2ccccc2)cc1'), min:(-99999, '')
[0.05222439765930176] Updated in round 3! max:(0.1643835616438356, 'c1ccc(-c2cccc(-c3ccccc3)c2)cc1'), min:(-99999, '')
[0.07625889778137207] Updated in round 4! max:(0.2191780821917808, 'c1ccc(-c2ccc(-c3cccc(-c4ccccc4)c3)cc2)cc1'), min:(-99999, '')
[0.1174156665802002] Updated in round 5! max:(0.273972602739726, 'c1ccc(-c2cccc(-c3ccc(-c4cccc(-c5ccccc5)c4)cc3)c2)cc1'), min:(-99999, '')
[0.18260979652404785] Updated in round 6! max:(0.273972602739726, 'c1ccc(-c2cccc(-c3ccc(-c4cccc(-c5ccccc5)c4)cc3)c2)cc1'), min:(-99999, '')
[0.19027996063232422] Updated in round 7! max:(0.3287671232876712, 'c1ccc(-c2cccc(-c3ccc(-c4cccc(-c5cccc(-c6ccccc6)c5)c4)cc3)c2)cc1'), min:(-99999, '')
[0.294083833694458] Updated in round 8! max:(0.3287671232876712, 'c1ccc(-c2cccc(-c3ccc(-c4cccc(-c5cccc(-c6ccccc6)c5)c4)cc3)c2)cc1'), min:(-99999, '')
[0.30201005935668945] Updated in round 9! max:(0.3835616438356164, 'c1ccc(-c2cccc(-c3cccc(-c4ccc(-c5cccc(-c6cccc(-c7ccccc7)c6)c5)cc4)c3)c2)cc1'), min:(-99999, '')
[0.4541597366333008] Updated in round 10! max:(0.3835616438356164, 'c1ccc(-c2cccc(-c3cccc(-c4ccc(-c5cccc(-c6cccc(-c7ccccc7)c6)c5)cc4)c3)c2)cc1'), min:(-99999, '')
[0.46456336975097656] Updated in round 11! max:(0.410958904109589, 'c1ccc(-c2cccc(-c3cccc(-c4ccc5c(ccc6ccc(-c7cccc(-c8ccccc8)c7)cc65)c4)c3)c2)cc1'), min:(-99999, '')
[0.6358458995819092] Updated in round 12! max:(0.410958904109589, 'c1ccc(-c2cccc(-c3cccc(-c4ccc5c(ccc6ccc(-c7cccc(-c8ccccc8)c7)cc65)c4)c3)c2)cc1'), min:(-99999, '')
[0.64373779296875] Updated in round 13! max:(0.410958904109589, 'c1ccc(-c2cccc(-c3cccc(-c4ccc5c(ccc6ccc(-c7cccc(-c8ccccc8)c7)cc65)c4)c3)c2)cc1'), min:(-99999, '')
[0.6512479782104492] Updated in round 14! max:(0.410958904109589, 'c1ccc(-c2cccc(-c3cccc(-c4ccc5c(ccc6ccc(-c7cccc(-c8ccccc8)c7)cc65)c4)c3)c2)cc1'), min:(-99999, '')
[0.6591994762420654] Updated in round 15! max:(0.410958904109589, 'c1ccc(-c2cccc(-c3cccc(-c4ccc5c(ccc6ccc(-c7cccc(-c8ccccc8)c7)cc65)c4)c3)c2)cc1'), min:(-99999, '')
[0.6695435047149658] Updated in round 16! max:(0.4520547945205479, 'c1ccc(-c2cccc(-c3cccc(-c4ccc5c(ccc6ccc(-c7cccc(-c8ccc9ccccc9c8)c7)cc65)c4)c3)c2)cc1'), min:(-99999, '')
[0.8841679096221924] Updated in round 17! max:(0.4520547945205479, 'c1ccc(-c2cccc(-c3cccc(-c4ccc5c(ccc6ccc(-c7cccc(-c8ccc9ccccc9c8)c7)cc65)c4)c3)c2)cc1'), min:(-99999, '')
[0.8950972557067871] Updated in round 18! max:(0.4520547945205479, 'c1ccc(-c2cccc(-c3cccc(-c4ccc5c(ccc6ccc(-c7cccc(-c8ccc9ccccc9c8)c7)cc65)c4)c3)c2)cc1'), min:(-99999, '')
[0.9014832973480225] Updated in round 19! max:(0.4520547945205479, 'c1ccc(-c2cccc(-c3cccc(-c4ccc5c(ccc6ccc(-c7cccc(-c8ccc9ccccc9c8)c7)cc65)c4)c3)c2)cc1'), min:(-99999, '')
[0.9096212387084961] Updated in round 20! max:(0.4657534246575342, 'C=Cc1cc2ccccc2cc1-c1cccc(-c2ccc3ccc4cc(-c5cccc(-c6cccc(-c7ccccc7)c6)c5)ccc4c3c2)c1'), min:(-99999, '')
[1.1604046821594238] Updated in round 21! max:(0.4657534246575342, 'C=Cc1cc2ccccc2cc1-c1cccc(-c2ccc3ccc4cc(-c5cccc(-c6cccc(-c7ccccc7)c6)c5)ccc4c3c2)c1'), min:(-99999, '')
[1.1662282943725586] Updated in round 22! max:(0.4657534246575342, 'C=Cc1cc2ccccc2cc1-c1cccc(-c2ccc3ccc4cc(-c5cccc(-c6cccc(-c7ccccc7)c6)c5)ccc4c3c2)c1'), min:(-99999, '')
[1.1763675212860107] Updated in round 23! max:(0.4794520547945205, 'C=Cc1ccc(-c2cccc(-c3cccc(-c4ccc5c(ccc6ccc(-c7cccc(-c8cc9ccccc9cc8C=C)c7)cc65)c4)c3)c2)cc1'), min:(-99999, '')
[1.455981731414795] Updated in round 24! max:(0.4794520547945205, 'C=Cc1ccc(-c2cccc(-c3cccc(-c4ccc5c(ccc6ccc(-c7cccc(-c8cc9ccccc9cc8C=C)c7)cc65)c4)c3)c2)cc1'), min:(-99999, '')
[1.467970371246338] Updated in round 25! max:(0.4794520547945205, 'C=Cc1ccc(-c2cccc(-c3cccc(-c4ccc5c(ccc6ccc(-c7cccc(-c8cc9ccccc9cc8C=C)c7)cc65)c4)c3)c2)cc1'), min:(-99999, '')
[1.483485460281372] Updated in round 26! max:(0.4794520547945205, 'C=Cc1ccc(-c2cccc(-c3cccc(-c4ccc5c(ccc6ccc(-c7cccc(-c8cc9ccccc9cc8C=C)c7)cc65)c4)c3)c2)cc1'), min:(-99999, '')
[1.4962973594665527] Updated in round 27! max:(0.4794520547945205, 'C=Cc1ccc(-c2cccc(-c3cccc(-c4ccc5c(ccc6ccc(-c7cccc(-c8cc9ccccc9cc8C=C)c7)cc65)c4)c3)c2)cc1'), min:(-99999, '')
[1.508145809173584] Updated in round 28! max:(0.4794520547945205, 'C=Cc1ccc(-c2cccc(-c3cccc(-c4ccc5c(ccc6ccc(-c7cccc(-c8cc9ccccc9cc8C=C)c7)cc65)c4)c3)c2)cc1'), min:(-99999, '')
[1.5223278999328613] Updated in round 29! max:(0.4794520547945205, 'C=Cc1ccc(-c2cccc(-c3cccc(-c4ccc5c(ccc6ccc(-c7cccc(-c8cc9ccccc9cc8C=C)c7)cc65)c4)c3)c2)cc1'), min:(-99999, '')
[1.5319373607635498] Updated in round 30! max:(0.4794520547945205, 'C=Cc1ccc(-c2cccc(-c3cccc(-c4ccc5c(ccc6ccc(-c7cccc(-c8cc9ccccc9cc8C=C)c7)cc65)c4)c3)c2)cc1'), min:(-99999, '')
[1.544654369354248] Updated in round 31! max:(0.4931506849315068, 'C=Cc1ccc(-c2cccc(-c3cccc(-c4ccc5c(ccc6ccc(-c7cccc(-c8cc9c(C=C)cccc9cc8C=C)c7)cc65)c4)c3)c2)cc1'), min:(-99999, '')
[1.8477578163146973] Updated in round 32! max:(0.5205479452054794, 'C=Cc1cc2cccc(C=C)c2cc1-c1cccc(-c2ccc3ccc4cc(-c5cccc(-c6cccc(-c7ccc8ccccc8c7)c6)c5)ccc4c3c2)c1'), min:(-99999, '')
[2.1783573627471924] Updated in round 33! max:(0.5205479452054794, 'C=Cc1cc2cccc(C=C)c2cc1-c1cccc(-c2ccc3ccc4cc(-c5cccc(-c6cccc(-c7ccc8ccccc8c7)c6)c5)ccc4c3c2)c1'), min:(-99999, '')
[2.18623423576355] Updated in round 34! max:(0.5342465753424658, 'C=Cc1ccc(-c2ccc3ccccc3c2)cc1-c1cccc(-c2ccc3c(ccc4ccc(-c5cccc(-c6cc7c(C=C)cccc7cc6C=C)c5)cc43)c2)c1'), min:(-99999, '')
[2.543179750442505] Updated in round 35! max:(0.5342465753424658, 'C=Cc1ccc(-c2ccc3ccccc3c2)cc1-c1cccc(-c2ccc3c(ccc4ccc(-c5cccc(-c6cc7c(C=C)cccc7cc6C=C)c5)cc43)c2)c1'), min:(-99999, '')
[2.552806854248047] Updated in round 36! max:(0.5342465753424658, 'C=Cc1ccc(-c2ccc3ccccc3c2)cc1-c1cccc(-c2ccc3c(ccc4ccc(-c5cccc(-c6cc7c(C=C)cccc7cc6C=C)c5)cc43)c2)c1'), min:(-99999, '')
[2.560917854309082] Updated in round 37! max:(0.5342465753424658, 'C=Cc1ccc(-c2ccc3ccccc3c2)cc1-c1cccc(-c2ccc3c(ccc4ccc(-c5cccc(-c6cc7c(C=C)cccc7cc6C=C)c5)cc43)c2)c1'), min:(-99999, '')
[2.5699355602264404] Updated in round 38! max:(0.5342465753424658, 'C=Cc1ccc(-c2ccc3ccccc3c2)cc1-c1cccc(-c2ccc3c(ccc4ccc(-c5cccc(-c6cc7c(C=C)cccc7cc6C=C)c5)cc43)c2)c1'), min:(-99999, '')
[2.5792393684387207] Updated in round 39! max:(0.5342465753424658, 'C=Cc1ccc(-c2ccc3ccccc3c2)cc1-c1cccc(-c2ccc3c(ccc4ccc(-c5cccc(-c6cc7c(C=C)cccc7cc6C=C)c5)cc43)c2)c1'), min:(-99999, '')
[2.5891823768615723] Updated in round 40! max:(0.547945205479452, 'C=Cc1ccc(-c2ccc3ccccc3c2)cc1-c1ccc(C=C)c(-c2ccc3c(ccc4ccc(-c5cccc(-c6cc7c(C=C)cccc7cc6C=C)c5)cc43)c2)c1'), min:(-99999, '')
[2.9727704524993896] Updated in round 41! max:(0.547945205479452, 'C=Cc1ccc(-c2ccc3ccccc3c2)cc1-c1ccc(C=C)c(-c2ccc3c(ccc4ccc(-c5cccc(-c6cc7c(C=C)cccc7cc6C=C)c5)cc43)c2)c1'), min:(-99999, '')
[2.9822869300842285] Updated in round 42! max:(0.547945205479452, 'C=Cc1ccc(-c2ccc3ccccc3c2)cc1-c1ccc(C=C)c(-c2ccc3c(ccc4ccc(-c5cccc(-c6cc7c(C=C)cccc7cc6C=C)c5)cc43)c2)c1'), min:(-99999, '')
[2.991971015930176] Updated in round 43! max:(0.589041095890411, 'C=Cc1ccc(-c2ccc3ccc4ccccc4c3c2)cc1-c1ccc(C=C)c(-c2ccc3c(ccc4ccc(-c5cccc(-c6cc7c(C=C)cccc7cc6C=C)c5)cc43)c2)c1'), min:(-99999, '')
[3.444605588912964] Updated in round 44! max:(0.589041095890411, 'C=Cc1ccc(-c2ccc3ccc4ccccc4c3c2)cc1-c1ccc(C=C)c(-c2ccc3c(ccc4ccc(-c5cccc(-c6cc7c(C=C)cccc7cc6C=C)c5)cc43)c2)c1'), min:(-99999, '')
[3.457638740539551] Updated in round 45! max:(0.6027397260273972, 'C=CC=Cc1cccc2cc(C=C)c(-c3cccc(-c4ccc5ccc6cc(-c7cc(-c8cc(-c9ccc%10ccc%11ccccc%11c%10c9)ccc8C=C)ccc7C=C)ccc6c5c4)c3)cc12'), min:(-99999, '')
[3.965160846710205] Updated in round 46! max:(0.6027397260273972, 'C=CC=Cc1cccc2cc(C=C)c(-c3cccc(-c4ccc5ccc6cc(-c7cc(-c8cc(-c9ccc%10ccc%11ccccc%11c%10c9)ccc8C=C)ccc7C=C)ccc6c5c4)c3)cc12'), min:(-99999, '')
[3.9884018898010254] Updated in round 47! max:(0.6027397260273972, 'C=CC=Cc1cccc2cc(C=C)c(-c3cccc(-c4ccc5ccc6cc(-c7cc(-c8cc(-c9ccc%10ccc%11ccccc%11c%10c9)ccc8C=C)ccc7C=C)ccc6c5c4)c3)cc12'), min:(-99999, '')
[4.011325359344482] Updated in round 48! max:(0.6027397260273972, 'C=CC=Cc1cccc2cc(C=C)c(-c3cccc(-c4ccc5ccc6cc(-c7cc(-c8cc(-c9ccc%10ccc%11ccccc%11c%10c9)ccc8C=C)ccc7C=C)ccc6c5c4)c3)cc12'), min:(-99999, '')
[4.02882719039917] Updated in round 49! max:(0.6027397260273972, 'C=CC=Cc1cccc2cc(C=C)c(-c3cccc(-c4ccc5ccc6cc(-c7cc(-c8cc(-c9ccc%10ccc%11ccccc%11c%10c9)ccc8C=C)ccc7C=C)ccc6c5c4)c3)cc12'), min:(-99999, '')
[4.05344295501709] Updated in round 50! max:(0.6027397260273972, 'C=CC=Cc1cccc2cc(C=C)c(-c3cccc(-c4ccc5ccc6cc(-c7cc(-c8cc(-c9ccc%10ccc%11ccccc%11c%10c9)ccc8C=C)ccc7C=C)ccc6c5c4)c3)cc12'), min:(-99999, '')
[4.070899963378906] Updated in round 51! max:(0.6027397260273972, 'C=CC=Cc1cccc2cc(C=C)c(-c3cccc(-c4ccc5ccc6cc(-c7cc(-c8cc(-c9ccc%10ccc%11ccccc%11c%10c9)ccc8C=C)ccc7C=C)ccc6c5c4)c3)cc12'), min:(-99999, '')
[4.092325925827026] Updated in round 52! max:(0.6027397260273972, 'C=CC=Cc1cccc2cc(C=C)c(-c3cccc(-c4ccc5ccc6cc(-c7cc(-c8cc(-c9ccc%10ccc%11ccccc%11c%10c9)ccc8C=C)ccc7C=C)ccc6c5c4)c3)cc12'), min:(-99999, '')
[4.115321636199951] Updated in round 53! max:(0.6027397260273972, 'C=CC=Cc1cccc2cc(C=C)c(-c3cccc(-c4ccc5ccc6cc(-c7cc(-c8cc(-c9ccc%10ccc%11ccccc%11c%10c9)ccc8C=C)ccc7C=C)ccc6c5c4)c3)cc12'), min:(-99999, '')
[4.136565685272217] Updated in round 54! max:(0.6164383561643836, 'C=CC=Cc1cccc2cc(C=C)c(-c3cccc(-c4ccc5ccc6cc(-c7cc(-c8cc(-c9ccc%10ccc%11cc(C=C)ccc%11c%10c9)ccc8C=C)ccc7C=C)ccc6c5c4)c3)cc12'), min:(-99999, '')
[4.683321475982666] Updated in round 55! max:(0.6164383561643836, 'C=CC=Cc1cccc2cc(C=C)c(-c3cccc(-c4ccc5ccc6cc(-c7cc(-c8cc(-c9ccc%10ccc%11cc(C=C)ccc%11c%10c9)ccc8C=C)ccc7C=C)ccc6c5c4)c3)cc12'), min:(-99999, '')
[4.705237627029419] Updated in round 56! max:(0.6164383561643836, 'C=CC=Cc1cccc2cc(C=C)c(-c3cccc(-c4ccc5ccc6cc(-c7cc(-c8cc(-c9ccc%10ccc%11cc(C=C)ccc%11c%10c9)ccc8C=C)ccc7C=C)ccc6c5c4)c3)cc12'), min:(-99999, '')
[4.730035305023193] Updated in round 57! max:(0.6164383561643836, 'C=CC=Cc1cccc2cc(C=C)c(-c3cccc(-c4ccc5ccc6cc(-c7cc(-c8cc(-c9ccc%10ccc%11cc(C=C)ccc%11c%10c9)ccc8C=C)ccc7C=C)ccc6c5c4)c3)cc12'), min:(-99999, '')
[4.7599358558654785] Updated in round 58! max:(0.6164383561643836, 'C=CC=Cc1cccc2cc(C=C)c(-c3cccc(-c4ccc5ccc6cc(-c7cc(-c8cc(-c9ccc%10ccc%11cc(C=C)ccc%11c%10c9)ccc8C=C)ccc7C=C)ccc6c5c4)c3)cc12'), min:(-99999, '')
[4.788115501403809] Updated in round 59! max:(0.6164383561643836, 'C=CC=Cc1cccc2cc(C=C)c(-c3cccc(-c4ccc5ccc6cc(-c7cc(-c8cc(-c9ccc%10ccc%11cc(C=C)ccc%11c%10c9)ccc8C=C)ccc7C=C)ccc6c5c4)c3)cc12'), min:(-99999, '')
[4.804771423339844] Updated in round 60! max:(0.6164383561643836, 'C=CC=Cc1cccc2cc(C=C)c(-c3cccc(-c4ccc5ccc6cc(-c7cc(-c8cc(-c9ccc%10ccc%11cc(C=C)ccc%11c%10c9)ccc8C=C)ccc7C=C)ccc6c5c4)c3)cc12'), min:(-99999, '')
[4.833979845046997] Updated in round 61! max:(0.6712328767123288, 'C=Cc1ccc2c(ccc3ccc(-c4ccc(C=C)c(-c5ccc(C=C)c(-c6ccc7c(ccc8ccc(-c9cccc(-c%10cc%11c(C=CC(=C)c%12ccccc%12)cccc%11cc%10C=C)c9)cc87)c6)c5)c4)cc32)c1'), min:(-99999, '')
[5.540361404418945] Updated in round 62! max:(0.6712328767123288, 'C=Cc1ccc2c(ccc3ccc(-c4ccc(C=C)c(-c5ccc(C=C)c(-c6ccc7c(ccc8ccc(-c9cccc(-c%10cc%11c(C=CC(=C)c%12ccccc%12)cccc%11cc%10C=C)c9)cc87)c6)c5)c4)cc32)c1'), min:(-99999, '')
[5.563462257385254] Updated in round 63! max:(0.6712328767123288, 'C=Cc1ccc2c(ccc3ccc(-c4ccc(C=C)c(-c5ccc(C=C)c(-c6ccc7c(ccc8ccc(-c9cccc(-c%10cc%11c(C=CC(=C)c%12ccccc%12)cccc%11cc%10C=C)c9)cc87)c6)c5)c4)cc32)c1'), min:(-99999, '')
[5.584160566329956] Updated in round 64! max:(0.6712328767123288, 'C=Cc1ccc2c(ccc3ccc(-c4ccc(C=C)c(-c5ccc(C=C)c(-c6ccc7c(ccc8ccc(-c9cccc(-c%10cc%11c(C=CC(=C)c%12ccccc%12)cccc%11cc%10C=C)c9)cc87)c6)c5)c4)cc32)c1'), min:(-99999, '')
[5.610335350036621] Updated in round 65! max:(0.684931506849315, 'C=Cc1ccc2c(ccc3ccc(-c4ccc(C=C)c(-c5ccc(C=C)c(-c6ccc7c(ccc8ccc(-c9cc(-c%10cc%11c(C=CC(=C)c%12ccccc%12)cccc%11cc%10C=C)ccc9C=C)cc87)c6)c5)c4)cc32)c1'), min:(-99999, '')
[6.3450493812561035] Updated in round 66! max:(0.684931506849315, 'C=Cc1ccc2c(ccc3ccc(-c4ccc(C=C)c(-c5ccc(C=C)c(-c6ccc7c(ccc8ccc(-c9cc(-c%10cc%11c(C=CC(=C)c%12ccccc%12)cccc%11cc%10C=C)ccc9C=C)cc87)c6)c5)c4)cc32)c1'), min:(-99999, '')
[6.388612270355225] Updated in round 67! max:(0.684931506849315, 'C=Cc1ccc2c(ccc3ccc(-c4ccc(C=C)c(-c5ccc(C=C)c(-c6ccc7c(ccc8ccc(-c9cc(-c%10cc%11c(C=CC(=C)c%12ccccc%12)cccc%11cc%10C=C)ccc9C=C)cc87)c6)c5)c4)cc32)c1'), min:(-99999, '')
[6.414441108703613] Updated in round 68! max:(0.684931506849315, 'C=Cc1ccc2c(ccc3ccc(-c4ccc(C=C)c(-c5ccc(C=C)c(-c6ccc7c(ccc8ccc(-c9cc(-c%10cc%11c(C=CC(=C)c%12ccccc%12)cccc%11cc%10C=C)ccc9C=C)cc87)c6)c5)c4)cc32)c1'), min:(-99999, '')
[6.462734937667847] Updated in round 69! max:(0.684931506849315, 'C=Cc1ccc2c(ccc3ccc(-c4ccc(C=C)c(-c5ccc(C=C)c(-c6ccc7c(ccc8ccc(-c9cc(-c%10cc%11c(C=CC(=C)c%12ccccc%12)cccc%11cc%10C=C)ccc9C=C)cc87)c6)c5)c4)cc32)c1'), min:(-99999, '')
[6.481994152069092] Updated in round 70! max:(0.684931506849315, 'C=Cc1ccc2c(ccc3ccc(-c4ccc(C=C)c(-c5ccc(C=C)c(-c6ccc7c(ccc8ccc(-c9cc(-c%10cc%11c(C=CC(=C)c%12ccccc%12)cccc%11cc%10C=C)ccc9C=C)cc87)c6)c5)c4)cc32)c1'), min:(-99999, '')
[6.520354986190796] Updated in round 71! max:(0.684931506849315, 'C=Cc1ccc2c(ccc3ccc(-c4ccc(C=C)c(-c5ccc(C=C)c(-c6ccc7c(ccc8ccc(-c9cc(-c%10cc%11c(C=CC(=C)c%12ccccc%12)cccc%11cc%10C=C)ccc9C=C)cc87)c6)c5)c4)cc32)c1'), min:(-99999, '')
[6.5387091636657715] Updated in round 72! max:(0.684931506849315, 'C=Cc1ccc2c(ccc3ccc(-c4ccc(C=C)c(-c5ccc(C=C)c(-c6ccc7c(ccc8ccc(-c9cc(-c%10cc%11c(C=CC(=C)c%12ccccc%12)cccc%11cc%10C=C)ccc9C=C)cc87)c6)c5)c4)cc32)c1'), min:(-99999, '')
[6.5629963874816895] Updated in round 73! max:(0.684931506849315, 'C=Cc1ccc2c(ccc3ccc(-c4ccc(C=C)c(-c5ccc(C=C)c(-c6ccc7c(ccc8ccc(-c9cc(-c%10cc%11c(C=CC(=C)c%12ccccc%12)cccc%11cc%10C=C)ccc9C=C)cc87)c6)c5)c4)cc32)c1'), min:(-99999, '')
[6.5869059562683105] Updated in round 74! max:(0.684931506849315, 'C=Cc1ccc2c(ccc3ccc(-c4ccc(C=C)c(-c5ccc(C=C)c(-c6ccc7c(ccc8ccc(-c9cc(-c%10cc%11c(C=CC(=C)c%12ccccc%12)cccc%11cc%10C=C)ccc9C=C)cc87)c6)c5)c4)cc32)c1'), min:(-99999, '')
[6.602220058441162] Updated in round 75! max:(0.684931506849315, 'C=Cc1ccc2c(ccc3ccc(-c4ccc(C=C)c(-c5ccc(C=C)c(-c6ccc7c(ccc8ccc(-c9cc(-c%10cc%11c(C=CC(=C)c%12ccccc%12)cccc%11cc%10C=C)ccc9C=C)cc87)c6)c5)c4)cc32)c1'), min:(-99999, '')
[6.6318113803863525] Updated in round 76! max:(0.684931506849315, 'C=Cc1ccc2c(ccc3ccc(-c4ccc(C=C)c(-c5ccc(C=C)c(-c6ccc7c(ccc8ccc(-c9cc(-c%10cc%11c(C=CC(=C)c%12ccccc%12)cccc%11cc%10C=C)ccc9C=C)cc87)c6)c5)c4)cc32)c1'), min:(-99999, '')
[6.664157867431641] Updated in round 77! max:(0.684931506849315, 'C=Cc1ccc2c(ccc3ccc(-c4ccc(C=C)c(-c5ccc(C=C)c(-c6ccc7c(ccc8ccc(-c9cc(-c%10cc%11c(C=CC(=C)c%12ccccc%12)cccc%11cc%10C=C)ccc9C=C)cc87)c6)c5)c4)cc32)c1'), min:(-99999, '')
[6.684772491455078] Updated in round 78! max:(0.684931506849315, 'C=Cc1ccc2c(ccc3ccc(-c4ccc(C=C)c(-c5ccc(C=C)c(-c6ccc7c(ccc8ccc(-c9cc(-c%10cc%11c(C=CC(=C)c%12ccccc%12)cccc%11cc%10C=C)ccc9C=C)cc87)c6)c5)c4)cc32)c1'), min:(-99999, '')
[6.709691047668457] Updated in round 79! max:(0.684931506849315, 'C=Cc1ccc2c(ccc3ccc(-c4ccc(C=C)c(-c5ccc(C=C)c(-c6ccc7c(ccc8ccc(-c9cc(-c%10cc%11c(C=CC(=C)c%12ccccc%12)cccc%11cc%10C=C)ccc9C=C)cc87)c6)c5)c4)cc32)c1'), min:(-99999, '')
[6.738865852355957] Updated in round 80! max:(0.684931506849315, 'C=Cc1ccc2c(ccc3ccc(-c4ccc(C=C)c(-c5ccc(C=C)c(-c6ccc7c(ccc8ccc(-c9cc(-c%10cc%11c(C=CC(=C)c%12ccccc%12)cccc%11cc%10C=C)ccc9C=C)cc87)c6)c5)c4)cc32)c1'), min:(-99999, '')
[6.779343605041504] Updated in round 81! max:(0.684931506849315, 'C=Cc1ccc2c(ccc3ccc(-c4ccc(C=C)c(-c5ccc(C=C)c(-c6ccc7c(ccc8ccc(-c9cc(-c%10cc%11c(C=CC(=C)c%12ccccc%12)cccc%11cc%10C=C)ccc9C=C)cc87)c6)c5)c4)cc32)c1'), min:(-99999, '')
