[6.580352783203125e-05]Start running EvoMol from [H][H]...
[0.0009572505950927734] Updated in round 1! max:(0.025, 'C=C'), min:(-99999, '')
[0.001977205276489258] Updated in round 2! max:(0.05, 'C=CC=C'), min:(-99999, '')
[0.006579399108886719] Updated in round 3! max:(0.075, 'C=CC=CC=C'), min:(-99999, '')
[0.010858297348022461] Updated in round 4! max:(0.1, 'c1ccccc1'), min:(-99999, '')
[0.014957427978515625] Updated in round 5! max:(0.125, 'C#Cc1ccccc1'), min:(-99999, '')
[0.01765298843383789] Updated in round 6! max:(0.15, 'C=CC#Cc1ccccc1'), min:(-99999, '')
[0.021706104278564453] Updated in round 7! max:(0.175, 'C#Cc1ccccc1C#CC=C'), min:(-99999, '')
[0.025943279266357422] Updated in round 8! max:(0.2, 'C=CC#Cc1ccccc1C#CC=C'), min:(-99999, '')
[0.03161811828613281] Updated in round 9! max:(0.225, 'C=CC#Cc1ccccc1C#CC=CC=C'), min:(-99999, '')
[0.03937792778015137] Updated in round 10! max:(0.25, 'C#Cc1ccc(C#CC=C)c(C#CC=CC=C)c1'), min:(-99999, '')
[0.046625614166259766] Updated in round 11! max:(0.25, 'C#Cc1ccc(C#CC=C)c(C#CC=CC=C)c1'), min:(-99999, '')
[0.048406124114990234] Updated in round 12! max:(0.275, 'C#CC=CC#Cc1ccc(C#C)cc1C#CC=CC=C'), min:(-99999, '')
[0.058275461196899414] Updated in round 13! max:(0.3, 'C#Cc1ccc(C#CC=CC#CC=C)c(C#CC=CC=C)c1'), min:(-99999, '')
[0.07034039497375488] Updated in round 14! max:(0.325, 'C#Cc1ccc2c(c1)C#CC=CC=CC=CC#CC=CC#C2'), min:(-99999, '')
[0.08213138580322266] Updated in round 15! max:(0.325, 'C#Cc1ccc2c(c1)C#CC=CC=CC=CC#CC=CC#C2'), min:(-99999, '')
[0.08376884460449219] Updated in round 16! max:(0.325, 'C#Cc1ccc2c(c1)C#CC=CC=CC=CC#CC=CC#C2'), min:(-99999, '')
[0.08572053909301758] Updated in round 17! max:(0.35, 'C#Cc1ccc2c(c1)C#Cc1ccccc1C#CC=CC#C2'), min:(-99999, '')
[0.09588336944580078] Updated in round 18! max:(0.35, 'C#Cc1ccc2c(c1)C#Cc1ccccc1C#CC=CC#C2'), min:(-99999, '')
[0.09843301773071289] Updated in round 19! max:(0.375, 'C=CC#Cc1ccc2c(c1)C#Cc1ccccc1C#CC=CC#C2'), min:(-99999, '')
[0.11189627647399902] Updated in round 20! max:(0.4, 'C#Cc1cc(C#CC=C)cc2c1C#CC=CC#Cc1ccccc1C#C2'), min:(-99999, '')
[0.12586188316345215] Updated in round 21! max:(0.425, 'C#Cc1cc(C#CC=C)cc2c1C#CC(C=C)=CC#Cc1ccccc1C#C2'), min:(-99999, '')
[0.14268803596496582] Updated in round 22! max:(0.45, 'C#Cc1cc(C#CC=C)cc2c1C#CC(C=CC=C)=CC#Cc1ccccc1C#C2'), min:(-99999, '')
[0.1644878387451172] Updated in round 23! max:(0.45, 'C#Cc1cc(C#CC=C)cc2c1C#CC(C=CC=C)=CC#Cc1ccccc1C#C2'), min:(-99999, '')
[0.16729187965393066] Updated in round 24! max:(0.475, 'C#Cc1cc(C#CC(=C)C=C)cc2c1C#CC(C=CC=C)=CC#Cc1ccccc1C#C2'), min:(-99999, '')
[0.19326543807983398] Updated in round 25! max:(0.475, 'C#Cc1cc(C#CC(=C)C=C)cc2c1C#CC(C=CC=C)=CC#Cc1ccccc1C#C2'), min:(-99999, '')
[0.19574475288391113] Updated in round 26! max:(0.475, 'C#Cc1cc(C#CC(=C)C=C)cc2c1C#CC(C=CC=C)=CC#Cc1ccccc1C#C2'), min:(-99999, '')
[0.19817161560058594] Updated in round 27! max:(0.475, 'C#Cc1cc(C#CC(=C)C=C)cc2c1C#CC(C=CC=C)=CC#Cc1ccccc1C#C2'), min:(-99999, '')
[0.20061206817626953] Updated in round 28! max:(0.475, 'C#Cc1cc(C#CC(=C)C=C)cc2c1C#CC(C=CC=C)=CC#Cc1ccccc1C#C2'), min:(-99999, '')
[0.20387673377990723] Updated in round 29! max:(0.5, 'C#Cc1c(C#CC(=C)C=C)cc2c(c1C#C)C#CC(C=CC=C)=CC#Cc1ccccc1C#C2'), min:(-99999, '')
[0.23141121864318848] Updated in round 30! max:(0.5, 'C#Cc1c(C#CC(=C)C=C)cc2c(c1C#C)C#CC(C=CC=C)=CC#Cc1ccccc1C#C2'), min:(-99999, '')
[0.23441195487976074] Updated in round 31! max:(0.525, 'C#Cc1c(C#CC(C=C)=CC=C)cc2c(c1C#C)C#CC(C=CC=C)=CC#Cc1ccccc1C#C2'), min:(-99999, '')
