[9.655952453613281e-05]Start running EvoMol from [H][H]...
[0.002431154251098633] Updated in round 1! max:(0.14705882352941177, 'c1ccccc1'), min:(-99999, '')
[0.007774829864501953] Updated in round 2! max:(0.36363636363636365, 'c1ccc2ccccc2c1'), min:(-99999, '')
[0.019122600555419922] Updated in round 3! max:(0.45714285714285713, 'c1ccc2c(c1)ccc1ccccc12'), min:(-99999, '')
[0.03950357437133789] Updated in round 4! max:(0.5428571428571428, 'c1cc2ccc3cccc4ccc(c1)c2c34'), min:(-99999, '')
[0.06399154663085938] Updated in round 5! max:(0.5428571428571428, 'c1cc2ccc3cccc4ccc(c1)c2c34'), min:(-99999, '')
[0.06492805480957031] Updated in round 6! max:(0.7647058823529411, 'c1ccc2c(c1)c1cccc3ccc4cccc2c4c31'), min:(-99999, '')
[0.10315346717834473] Updated in round 7! max:(0.7647058823529411, 'c1ccc2c(c1)c1cccc3ccc4cccc2c4c31'), min:(-99999, '')
[0.10444307327270508] Updated in round 8! max:(0.7647058823529411, 'c1ccc2c(c1)c1cccc3ccc4cccc2c4c31'), min:(-99999, '')
[0.10566902160644531] Updated in round 9! max:(0.7647058823529411, 'c1ccc2c(c1)c1cccc3ccc4cccc2c4c31'), min:(-99999, '')
[0.10681605339050293] Updated in round 10! max:(0.7647058823529411, 'c1ccc2c(c1)c1cccc3ccc4cccc2c4c31'), min:(-99999, '')
[0.10787796974182129] Updated in round 11! max:(0.7647058823529411, 'c1ccc2c(c1)c1cccc3ccc4cccc2c4c31'), min:(-99999, '')
[0.10896086692810059] Updated in round 12! max:(0.7647058823529411, 'c1ccc2c(c1)c1cccc3ccc4cccc2c4c31'), min:(-99999, '')
[0.11011481285095215] Updated in round 13! max:(0.7647058823529411, 'c1ccc2c(c1)c1cccc3ccc4cccc2c4c31'), min:(-99999, '')
[0.1466078758239746] Updated in round 14! max:(0.7647058823529411, 'c1ccc2c(c1)c1cccc3ccc4cccc2c4c31'), min:(-99999, '')
[0.14800214767456055] Updated in round 15! max:(0.7647058823529411, 'c1ccc2c(c1)c1cccc3ccc4cccc2c4c31'), min:(-99999, '')
[0.14940524101257324] Updated in round 16! max:(0.7647058823529411, 'c1ccc2c(c1)c1cccc3ccc4cccc2c4c31'), min:(-99999, '')
[0.15071797370910645] Updated in round 17! max:(0.7647058823529411, 'c1ccc2c(c1)c1cccc3ccc4cccc2c4c31'), min:(-99999, '')
[0.15203213691711426] Updated in round 18! max:(0.7647058823529411, 'c1ccc2c(c1)c1cccc3ccc4cccc2c4c31'), min:(-99999, '')
[0.15329599380493164] Updated in round 19! max:(0.7647058823529411, 'c1ccc2c(c1)c1cccc3ccc4cccc2c4c31'), min:(-99999, '')
[0.15459704399108887] Updated in round 20! max:(0.7647058823529411, 'c1ccc2c(c1)c1cccc3ccc4cccc2c4c31'), min:(-99999, '')
[0.15588712692260742] Updated in round 21! max:(0.7647058823529411, 'c1ccc2c(c1)c1cccc3ccc4cccc2c4c31'), min:(-99999, '')
[0.1571488380432129] Updated in round 22! max:(0.7647058823529411, 'c1ccc2c(c1)c1cccc3ccc4cccc2c4c31'), min:(-99999, '')
[0.15848827362060547] Updated in round 23! max:(0.78125, 'c1cc2cccc3c4cc5cccc(c(c1)c23)c54'), min:(-99999, '')
[0.18810224533081055] Updated in round 24! max:(0.78125, 'c1cc2cccc3c4cc5cccc(c(c1)c23)c54'), min:(-99999, '')
[0.18930935859680176] Updated in round 25! max:(0.78125, 'c1cc2cccc3c4cc5cccc(c(c1)c23)c54'), min:(-99999, '')
[0.19044160842895508] Updated in round 26! max:(0.78125, 'c1cc2cccc3c4cc5cccc(c(c1)c23)c54'), min:(-99999, '')
[0.19157004356384277] Updated in round 27! max:(0.78125, 'c1cc2cccc3c4cc5cccc(c(c1)c23)c54'), min:(-99999, '')
[0.19271183013916016] Updated in round 28! max:(0.78125, 'c1cc2cccc3c4cc5cccc(c(c1)c23)c54'), min:(-99999, '')
[0.19390368461608887] Updated in round 29! max:(0.78125, 'c1cc2cccc3c4cc5cccc(c(c1)c23)c54'), min:(-99999, '')
[0.1950361728668213] Updated in round 30! max:(0.78125, 'c1cc2cccc3c4cc5cccc(c(c1)c23)c54'), min:(-99999, '')
[0.19614601135253906] Updated in round 31! max:(0.78125, 'c1cc2cccc3c4cc5cccc(c(c1)c23)c54'), min:(-99999, '')
[0.19731497764587402] Updated in round 32! max:(0.78125, 'c1cc2cccc3c4cc5cccc(c(c1)c23)c54'), min:(-99999, '')
[0.1984391212463379] Updated in round 33! max:(0.78125, 'c1cc2cccc3c4cc5cccc(c(c1)c23)c54'), min:(-99999, '')
[0.19968342781066895] Updated in round 34! max:(0.78125, 'c1cc2cccc3c4cc5cccc(c(c1)c23)c54'), min:(-99999, '')
[0.20104622840881348] Updated in round 35! max:(0.78125, 'c1cc2cccc3c4cc5cccc(c(c1)c23)c54'), min:(-99999, '')
[0.24692392349243164] Updated in round 36! max:(0.78125, 'c1cc2cccc3c4cc5cccc(c(c1)c23)c54'), min:(-99999, '')
[0.24841547012329102] Updated in round 37! max:(0.78125, 'c1cc2cccc3c4cc5cccc(c(c1)c23)c54'), min:(-99999, '')
[0.2498471736907959] Updated in round 38! max:(0.78125, 'c1cc2cccc3c4cc5cccc(c(c1)c23)c54'), min:(-99999, '')
[0.2512843608856201] Updated in round 39! max:(0.78125, 'c1cc2cccc3c4cc5cccc(c(c1)c23)c54'), min:(-99999, '')
[0.2969636917114258] Updated in round 40! max:(0.78125, 'c1cc2cccc3c4cc5cccc(c(c1)c23)c54'), min:(-99999, '')
[0.34332942962646484] Updated in round 41! max:(0.78125, 'c1cc2cccc3c4cc5cccc(c(c1)c23)c54'), min:(-99999, '')
[0.344987154006958] Updated in round 42! max:(0.78125, 'c1cc2cccc3c4cc5cccc(c(c1)c23)c54'), min:(-99999, '')
[0.3466033935546875] Updated in round 43! max:(0.78125, 'c1cc2cccc3c4cc5cccc(c(c1)c23)c54'), min:(-99999, '')
[0.3483846187591553] Updated in round 44! max:(0.78125, 'c1cc2cccc3c4cc5cccc(c(c1)c23)c54'), min:(-99999, '')
[0.35006093978881836] Updated in round 45! max:(0.78125, 'c1cc2cccc3c4cc5cccc(c(c1)c23)c54'), min:(-99999, '')
[0.3515448570251465] Updated in round 46! max:(0.78125, 'c1cc2cccc3c4cc5cccc(c(c1)c23)c54'), min:(-99999, '')
[0.3531200885772705] Updated in round 47! max:(0.78125, 'c1cc2cccc3c4cc5cccc(c(c1)c23)c54'), min:(-99999, '')
[0.35455751419067383] Updated in round 48! max:(0.78125, 'c1cc2cccc3c4cc5cccc(c(c1)c23)c54'), min:(-99999, '')
[0.35622239112854004] Updated in round 49! max:(0.78125, 'c1cc2cccc3c4cc5cccc(c(c1)c23)c54'), min:(-99999, '')
[0.35784411430358887] Updated in round 50! max:(0.78125, 'c1cc2cccc3c4cc5cccc(c(c1)c23)c54'), min:(-99999, '')
[0.3592836856842041] Updated in round 51! max:(0.78125, 'c1cc2cccc3c4cc5cccc(c(c1)c23)c54'), min:(-99999, '')
[0.36081528663635254] Updated in round 52! max:(0.78125, 'c1cc2cccc3c4cc5cccc(c(c1)c23)c54'), min:(-99999, '')
[0.36224937438964844] Updated in round 53! max:(0.78125, 'c1cc2cccc3c4cc5cccc(c(c1)c23)c54'), min:(-99999, '')
[0.363757848739624] Updated in round 54! max:(0.78125, 'c1cc2cccc3c4cc5cccc(c(c1)c23)c54'), min:(-99999, '')
[0.3651285171508789] Updated in round 55! max:(0.78125, 'c1cc2cccc3c4cc5cccc(c(c1)c23)c54'), min:(-99999, '')
[0.36651182174682617] Updated in round 56! max:(0.78125, 'c1cc2cccc3c4cc5cccc(c(c1)c23)c54'), min:(-99999, '')
[0.414339542388916] Updated in round 57! max:(0.78125, 'c1cc2cccc3c4cc5cccc(c(c1)c23)c54'), min:(-99999, '')
[0.4159822463989258] Updated in round 58! max:(0.78125, 'c1cc2cccc3c4cc5cccc(c(c1)c23)c54'), min:(-99999, '')
[0.41757678985595703] Updated in round 59! max:(0.78125, 'c1cc2cccc3c4cc5cccc(c(c1)c23)c54'), min:(-99999, '')
[0.419252872467041] Updated in round 60! max:(0.78125, 'c1cc2cccc3c4cc5cccc(c(c1)c23)c54'), min:(-99999, '')
