[7.605552673339844e-05]Start running EvoMol from [H][H]...
[0.0017092227935791016] Updated in round 1! max:(0.08163265306122448, 'c1ccccc1'), min:(-99999, '')
[0.00990152359008789] Updated in round 2! max:(0.16326530612244897, 'c1ccc(-c2ccccc2)cc1'), min:(-99999, '')
[0.03027200698852539] Updated in round 3! max:(0.16326530612244897, 'c1ccc(-c2ccccc2)cc1'), min:(-99999, '')
[0.03489851951599121] Updated in round 4! max:(0.24489795918367346, 'c1ccc(-c2ccccc2-c2ccccc2)cc1'), min:(-99999, '')
[0.07687950134277344] Updated in round 5! max:(0.32653061224489793, 'c1ccc(-c2ccccc2-c2ccccc2-c2ccccc2)cc1'), min:(-99999, '')
[0.1444554328918457] Updated in round 6! max:(0.3877551020408163, 'c1ccc(-c2ccccc2-c2ccccc2-c2cccc3ccccc23)cc1'), min:(-99999, '')
[0.23385286331176758] Updated in round 7! max:(0.40816326530612246, 'C=Cc1cccc(-c2cccc3ccccc23)c1-c1ccccc1-c1ccccc1'), min:(-99999, '')
[0.3378763198852539] Updated in round 8! max:(0.40816326530612246, 'C=Cc1cccc(-c2cccc3ccccc23)c1-c1ccccc1-c1ccccc1'), min:(-99999, '')
[0.3430323600769043] Updated in round 9! max:(0.40816326530612246, 'C=Cc1cccc(-c2cccc3ccccc23)c1-c1ccccc1-c1ccccc1'), min:(-99999, '')
[0.35040831565856934] Updated in round 10! max:(0.4489795918367347, 'C=Cc1ccc2ccc3ccc4ccccc4c3c2c1-c1ccccc1-c1ccccc1'), min:(-99999, '')
[0.47072649002075195] Updated in round 11! max:(0.4897959183673469, 'C=Cc1ccc2ccc3ccc4ccccc4c3c2c1-c1cccc2ccc3ccccc3c12'), min:(-99999, '')
[0.6051290035247803] Updated in round 12! max:(0.4897959183673469, 'C=Cc1ccc2ccc3ccc4ccccc4c3c2c1-c1cccc2ccc3ccccc3c12'), min:(-99999, '')
[0.6132123470306396] Updated in round 13! max:(0.4897959183673469, 'C=Cc1ccc2ccc3ccc4ccccc4c3c2c1-c1cccc2ccc3ccccc3c12'), min:(-99999, '')
[0.6234121322631836] Updated in round 14! max:(0.4897959183673469, 'C=Cc1ccc2ccc3ccc4ccccc4c3c2c1-c1cccc2ccc3ccccc3c12'), min:(-99999, '')
[0.6325747966766357] Updated in round 15! max:(0.4897959183673469, 'C=Cc1ccc2ccc3ccc4ccccc4c3c2c1-c1cccc2ccc3ccccc3c12'), min:(-99999, '')
[0.6421363353729248] Updated in round 16! max:(0.4897959183673469, 'C=Cc1ccc2ccc3ccc4ccccc4c3c2c1-c1cccc2ccc3ccccc3c12'), min:(-99999, '')
[0.6506342887878418] Updated in round 17! max:(0.4897959183673469, 'C=Cc1ccc2ccc3ccc4ccccc4c3c2c1-c1cccc2ccc3ccccc3c12'), min:(-99999, '')
[0.6585848331451416] Updated in round 18! max:(0.5714285714285714, 'C=Cc1ccc2ccc3ccc4ccccc4c3c2c1-c1cccc2ccc3cccc(-c4ccccc4)c3c12'), min:(-99999, '')
[0.8586246967315674] Updated in round 19! max:(0.6122448979591837, 'C=Cc1ccc2ccc3ccc4ccccc4c3c2c1-c1cccc2ccc3ccc4ccc5ccccc5c4c3c12'), min:(-99999, '')
[1.078714370727539] Updated in round 20! max:(0.6122448979591837, 'C=Cc1ccc2ccc3ccc4ccccc4c3c2c1-c1cccc2ccc3ccc4ccc5ccccc5c4c3c12'), min:(-99999, '')
[1.0903935432434082] Updated in round 21! max:(0.6326530612244898, 'c1ccc2c(c1)ccc1ccc3ccc4ccc5ccc6ccc7ccc8ccc9ccccc9c8c7c6c5c4c3c12'), min:(-99999, '')
[1.3102624416351318] Updated in round 22! max:(0.6326530612244898, 'c1ccc2c(c1)ccc1ccc3ccc4ccc5ccc6ccc7ccc8ccc9ccccc9c8c7c6c5c4c3c12'), min:(-99999, '')
[1.3272302150726318] Updated in round 23! max:(0.6326530612244898, 'c1ccc2c(c1)ccc1ccc3ccc4ccc5ccc6ccc7ccc8ccc9ccccc9c8c7c6c5c4c3c12'), min:(-99999, '')
[1.341566562652588] Updated in round 24! max:(0.6326530612244898, 'c1ccc2c(c1)ccc1ccc3ccc4ccc5ccc6ccc7ccc8ccc9ccccc9c8c7c6c5c4c3c12'), min:(-99999, '')
[1.3557744026184082] Updated in round 25! max:(0.6326530612244898, 'c1ccc2c(c1)ccc1ccc3ccc4ccc5ccc6ccc7ccc8ccc9ccccc9c8c7c6c5c4c3c12'), min:(-99999, '')
[1.3726046085357666] Updated in round 26! max:(0.6326530612244898, 'c1ccc2c(c1)ccc1ccc3ccc4ccc5ccc6ccc7ccc8ccc9ccccc9c8c7c6c5c4c3c12'), min:(-99999, '')
[1.3866493701934814] Updated in round 27! max:(0.6326530612244898, 'c1ccc2c(c1)ccc1ccc3ccc4ccc5ccc6ccc7ccc8ccc9ccccc9c8c7c6c5c4c3c12'), min:(-99999, '')
[1.4313716888427734] Updated in round 28! max:(0.6530612244897959, 'C=Cc1ccc2ccc3ccc4ccc5ccc6ccc7ccc8ccc9ccc%10ccccc%10c9c8c7c6c5c4c3c2c1'), min:(-99999, '')
[1.7047920227050781] Updated in round 29! max:(0.6530612244897959, 'C=Cc1ccc2ccc3ccc4ccc5ccc6ccc7ccc8ccc9ccc%10ccccc%10c9c8c7c6c5c4c3c2c1'), min:(-99999, '')
[1.7250771522521973] Updated in round 30! max:(0.6530612244897959, 'C=Cc1ccc2ccc3ccc4ccc5ccc6ccc7ccc8ccc9ccc%10ccccc%10c9c8c7c6c5c4c3c2c1'), min:(-99999, '')
[1.7786846160888672] Updated in round 31! max:(0.673469387755102, 'C=CC=Cc1ccc2ccc3ccc4ccc5ccc6ccc7ccc8ccc9ccc%10ccccc%10c9c8c7c6c5c4c3c2c1'), min:(-99999, '')
[2.1124308109283447] Updated in round 32! max:(0.6938775510204082, 'C=CC=Cc1ccc2ccc3ccc4ccc5ccc6ccc7ccc8ccc9ccc%10ccccc%10c9c8c7c6c5c4c3c2c1C=C'), min:(-99999, '')
[2.442779064178467] Updated in round 33! max:(0.6938775510204082, 'C=CC=Cc1ccc2ccc3ccc4ccc5ccc6ccc7ccc8ccc9ccc%10ccccc%10c9c8c7c6c5c4c3c2c1C=C'), min:(-99999, '')
[2.4974498748779297] Updated in round 34! max:(0.7142857142857143, 'C=CC=Cc1ccc2ccc3ccc4ccc5ccc6ccc7ccc8ccc9ccc%10cccc(C=C)c%10c9c8c7c6c5c4c3c2c1C=C'), min:(-99999, '')
[2.848604679107666] Updated in round 35! max:(0.7142857142857143, 'C=CC=Cc1ccc2ccc3ccc4ccc5ccc6ccc7ccc8ccc9ccc%10cccc(C=C)c%10c9c8c7c6c5c4c3c2c1C=C'), min:(-99999, '')
[2.9084737300872803] Updated in round 36! max:(0.7142857142857143, 'C=CC=Cc1ccc2ccc3ccc4ccc5ccc6ccc7ccc8ccc9ccc%10cccc(C=C)c%10c9c8c7c6c5c4c3c2c1C=C'), min:(-99999, '')
[2.9618849754333496] Updated in round 37! max:(0.7551020408163265, 'C=CC=Cc1ccc2ccc3ccc4ccc5ccc6ccc7ccc8ccc9ccc%10ccc%11ccccc%11c%10c9c8c7c6c5c4c3c2c1C=C'), min:(-99999, '')
[3.392972707748413] Updated in round 38! max:(0.7551020408163265, 'C=CC=Cc1ccc2ccc3ccc4ccc5ccc6ccc7ccc8ccc9ccc%10ccc%11ccccc%11c%10c9c8c7c6c5c4c3c2c1C=C'), min:(-99999, '')
[3.439081907272339] Updated in round 39! max:(0.7551020408163265, 'C=CC=Cc1ccc2ccc3ccc4ccc5ccc6ccc7ccc8ccc9ccc%10ccc%11ccccc%11c%10c9c8c7c6c5c4c3c2c1C=C'), min:(-99999, '')
[3.4981019496917725] Updated in round 40! max:(0.7551020408163265, 'C=CC=Cc1ccc2ccc3ccc4ccc5ccc6ccc7ccc8ccc9ccc%10ccc%11ccccc%11c%10c9c8c7c6c5c4c3c2c1C=C'), min:(-99999, '')
[3.5675909519195557] Updated in round 41! max:(0.8367346938775511, 'C=CC=Cc1ccc2ccc3ccc4ccc5ccc6ccc7ccc8ccc9ccc%10ccc%11ccccc%11c%10c9c8c7c6c5c4c3c2c1C=Cc1ccccc1'), min:(-99999, '')
[4.159447908401489] Updated in round 42! max:(0.8367346938775511, 'C=CC=Cc1ccc2ccc3ccc4ccc5ccc6ccc7ccc8ccc9ccc%10ccc%11ccccc%11c%10c9c8c7c6c5c4c3c2c1C=Cc1ccccc1'), min:(-99999, '')
[4.232553243637085] Updated in round 43! max:(0.8367346938775511, 'C=CC=Cc1ccc2ccc3ccc4ccc5ccc6ccc7ccc8ccc9ccc%10ccc%11ccccc%11c%10c9c8c7c6c5c4c3c2c1C=Cc1ccccc1'), min:(-99999, '')
