[5.602836608886719e-05]Start running EvoMol from [H][H]...
[0.012511730194091797] Updated in round 1! max:(0.02702702702702703, 'C=C'), min:(-99999, '')
[0.013236045837402344] Updated in round 2! max:(0.05405405405405406, 'C=CC=C'), min:(-99999, '')
[0.015136957168579102] Updated in round 3! max:(0.08108108108108109, 'C=CC=CC=C'), min:(-99999, '')
[0.05324268341064453] Updated in round 4! max:(0.10810810810810811, 'C=CC=CC=CC=C'), min:(-99999, '')
[0.05626869201660156] Updated in round 5! max:(0.13513513513513514, 'C=CC=CC=C(C=C)C=C'), min:(-99999, '')
[0.08147382736206055] Updated in round 6! max:(0.16216216216216217, 'C=CC=CC=C(C=C)C=CC=C'), min:(-99999, '')
[0.08781003952026367] Updated in round 7! max:(0.1891891891891892, 'C=CC=CC=C(C=C)C=C(C=C)C=C'), min:(-99999, '')
[0.09556341171264648] Updated in round 8! max:(0.21621621621621623, 'C=CC(=C)C=CC=C(C=C)C=C(C=C)C=C'), min:(-99999, '')
[0.10497212409973145] Updated in round 9! max:(0.24324324324324326, 'C=CC=C(C=C)C=CC=C(C=C)C=C(C=C)C=C'), min:(-99999, '')
[0.11753129959106445] Updated in round 10! max:(0.2702702702702703, 'C=CC=CC=C(C=C)C=CC=C(C=C)C=C(C=C)C=C'), min:(-99999, '')
[0.13392996788024902] Updated in round 11! max:(0.2702702702702703, 'C=CC=CC=C(C=C)C=CC=C(C=C)C=C(C=C)C=C'), min:(-99999, '')
[0.1779494285583496] Updated in round 12! max:(0.2972972972972973, 'C=CC(=C)C=CC=C(C=C)C=CC=C(C=C)C=C(C=C)C=C'), min:(-99999, '')
[0.19888758659362793] Updated in round 13! max:(0.32432432432432434, 'C=CC(=C)C=CC=C(C=CC=C(C=C)C=C(C=C)C=C)C(=C)C=C'), min:(-99999, '')
[0.22200345993041992] Updated in round 14! max:(0.35135135135135137, 'C=CC(=C)C=C(C=C)C=C(C=CC=C(C=C)C=C(C=C)C=C)C(=C)C=C'), min:(-99999, '')
[0.2481982707977295] Updated in round 15! max:(0.35135135135135137, 'C=CC(=C)C=C(C=C)C=C(C=CC=C(C=C)C=C(C=C)C=C)C(=C)C=C'), min:(-99999, '')
[0.2513871192932129] Updated in round 16! max:(0.35135135135135137, 'C=CC(=C)C=C(C=C)C=C(C=CC=C(C=C)C=C(C=C)C=C)C(=C)C=C'), min:(-99999, '')
[0.2538609504699707] Updated in round 17! max:(0.35135135135135137, 'C=CC(=C)C=C(C=C)C=C(C=CC=C(C=C)C=C(C=C)C=C)C(=C)C=C'), min:(-99999, '')
[0.25844860076904297] Updated in round 18! max:(0.3783783783783784, 'C=CC=CC(=C)C=C(C=C)C=C(C=CC=C(C=C)C=C(C=C)C=C)C(=C)C=C'), min:(-99999, '')
[0.29333972930908203] Updated in round 19! max:(0.3783783783783784, 'C=CC=CC(=C)C=C(C=C)C=C(C=CC=C(C=C)C=C(C=C)C=C)C(=C)C=C'), min:(-99999, '')
[0.2988319396972656] Updated in round 20! max:(0.40540540540540543, 'C=CC=CC(=CC=C)C=C(C=C)C=C(C=CC=C(C=C)C=C(C=C)C=C)C(=C)C=C'), min:(-99999, '')
[0.3416259288787842] Updated in round 21! max:(0.40540540540540543, 'C=CC=CC(=CC=C)C=C(C=C)C=C(C=CC=C(C=C)C=C(C=C)C=C)C(=C)C=C'), min:(-99999, '')
[0.38644981384277344] Updated in round 22! max:(0.40540540540540543, 'C=CC=CC(=CC=C)C=C(C=C)C=C(C=CC=C(C=C)C=C(C=C)C=C)C(=C)C=C'), min:(-99999, '')
[0.3912687301635742] Updated in round 23! max:(0.43243243243243246, 'C=CC=CC(=CC=C)C=C(C=C)C=C(C=CC=C(C=C)C=C(C=C)C(=C)C=C)C(=C)C=C'), min:(-99999, '')
[0.4383554458618164] Updated in round 24! max:(0.4594594594594595, 'C=CC=CC(=CC=C)C=c1cc(C=CC=C(C=C)C=C(C=C)C(=C)C=C)c(C=C)cc1=C'), min:(-99999, '')
[0.48782944679260254] Updated in round 25! max:(0.4594594594594595, 'C=CC=CC(=CC=C)C=c1cc(C=CC=C(C=C)C=C(C=C)C(=C)C=C)c(C=C)cc1=C'), min:(-99999, '')
[0.49149227142333984] Updated in round 26! max:(0.4594594594594595, 'C=CC=CC(=CC=C)C=c1cc(C=CC=C(C=C)C=C(C=C)C(=C)C=C)c(C=C)cc1=C'), min:(-99999, '')
[0.4951908588409424] Updated in round 27! max:(0.4594594594594595, 'C=CC=CC(=CC=C)C=c1cc(C=CC=C(C=C)C=C(C=C)C(=C)C=C)c(C=C)cc1=C'), min:(-99999, '')
[0.5002455711364746] Updated in round 28! max:(0.4864864864864865, 'C=CC=c1cc2cc(C=C)c(C=CC=C(C=C)C=C(C=C)C(=C)C=C)cc2cc1=CC=C'), min:(-99999, '')
[0.5488715171813965] Updated in round 29! max:(0.4864864864864865, 'C=CC=c1cc2cc(C=C)c(C=CC=C(C=C)C=C(C=C)C(=C)C=C)cc2cc1=CC=C'), min:(-99999, '')
[0.5518231391906738] Updated in round 30! max:(0.4864864864864865, 'C=CC=c1cc2cc(C=C)c(C=CC=C(C=C)C=C(C=C)C(=C)C=C)cc2cc1=CC=C'), min:(-99999, '')
[0.5556674003601074] Updated in round 31! max:(0.5135135135135135, 'C=CC(=C)C(C=C)=CC(C=C)=CC=Cc1cc2cc3cc(=C)c(=C)cc3cc2cc1C=C'), min:(-99999, '')
[0.6015949249267578] Updated in round 32! max:(0.5405405405405406, 'C=CC(=CC=Cc1cc2cc3cc(=C)c(=C)cc3cc2cc1C=C)C=c1ccccc1=C'), min:(-99999, '')
[0.6508293151855469] Updated in round 33! max:(0.5405405405405406, 'C=CC(=CC=Cc1cc2cc3cc(=C)c(=C)cc3cc2cc1C=C)C=c1ccccc1=C'), min:(-99999, '')
[0.6547513008117676] Updated in round 34! max:(0.5675675675675675, 'C=CC(=Cc1ccc2cc3cc4cc(=C)c(=C)cc4cc3cc2c1)C=c1ccccc1=C'), min:(-99999, '')
[0.7046074867248535] Updated in round 35! max:(0.5675675675675675, 'C=CC(=Cc1ccc2cc3cc4cc(=C)c(=C)cc4cc3cc2c1)C=c1ccccc1=C'), min:(-99999, '')
[0.708594560623169] Updated in round 36! max:(0.5675675675675675, 'C=CC(=Cc1ccc2cc3cc4cc(=C)c(=C)cc4cc3cc2c1)C=c1ccccc1=C'), min:(-99999, '')
[0.7124373912811279] Updated in round 37! max:(0.5675675675675675, 'C=CC(=Cc1ccc2cc3cc4cc(=C)c(=C)cc4cc3cc2c1)C=c1ccccc1=C'), min:(-99999, '')
[0.7161493301391602] Updated in round 38! max:(0.5675675675675675, 'C=CC(=Cc1ccc2cc3cc4cc(=C)c(=C)cc4cc3cc2c1)C=c1ccccc1=C'), min:(-99999, '')
[0.7213027477264404] Updated in round 39! max:(0.5945945945945946, 'C=c1cc2cc3cc4cc5ccc(C=c6ccccc6=C)cc5cc4cc3cc2cc1=C'), min:(-99999, '')
