[8.726119995117188e-05]Start running EvoMol from [H][H]...
[0.22945952415466309] Updated in round 54! max:(0.68, 'C1#CC(c2ccccc2)=C1c1ccccc1'), min:(-99999, '')
[0.2303774356842041] Updated in round 55! max:(0.68, 'C1#CC(c2ccccc2)=C1c1ccccc1'), min:(-99999, '')
[0.23125338554382324] Updated in round 56! max:(0.68, 'C1#CC(c2ccccc2)=C1c1ccccc1'), min:(-99999, '')
[0.2321033477783203] Updated in round 57! max:(0.68, 'C1#CC(c2ccccc2)=C1c1ccccc1'), min:(-99999, '')
[0.23298120498657227] Updated in round 58! max:(0.68, 'C1#CC(c2ccccc2)=C1c1ccccc1'), min:(-99999, '')
[0.24573588371276855] Updated in round 59! max:(0.68, 'C1#CC(c2ccccc2)=C1c1ccccc1'), min:(-99999, '')
[0.260021448135376] Updated in round 60! max:(0.68, 'C1#CC(c2ccccc2)=C1c1ccccc1'), min:(-99999, '')
[0.2609560489654541] Updated in round 61! max:(0.68, 'C1#CC(c2ccccc2)=C1c1ccccc1'), min:(-99999, '')
[0.26182055473327637] Updated in round 62! max:(0.68, 'C1#CC(c2ccccc2)=C1c1ccccc1'), min:(-99999, '')
[0.2627084255218506] Updated in round 63! max:(0.68, 'C1#CC(c2ccccc2)=C1c1ccccc1'), min:(-99999, '')
[0.26350927352905273] Updated in round 64! max:(0.68, 'C1#CC(c2ccccc2)=C1c1ccccc1'), min:(-99999, '')
[0.264345645904541] Updated in round 65! max:(0.68, 'C1#CC(c2ccccc2)=C1c1ccccc1'), min:(-99999, '')
[0.2651963233947754] Updated in round 66! max:(0.68, 'C1#CC(c2ccccc2)=C1c1ccccc1'), min:(-99999, '')
[0.26598119735717773] Updated in round 67! max:(0.68, 'C1#CC(c2ccccc2)=C1c1ccccc1'), min:(-99999, '')
[0.266770601272583] Updated in round 68! max:(0.68, 'C1#CC(c2ccccc2)=C1c1ccccc1'), min:(-99999, '')
[0.28391528129577637] Updated in round 69! max:(0.68, 'C1#CC(c2ccccc2)=C1c1ccccc1'), min:(-99999, '')
[0.28489160537719727] Updated in round 70! max:(0.68, 'C1#CC(c2ccccc2)=C1c1ccccc1'), min:(-99999, '')
[0.2858588695526123] Updated in round 71! max:(0.68, 'C1#CC(c2ccccc2)=C1c1ccccc1'), min:(-99999, '')
[0.2867903709411621] Updated in round 72! max:(0.68, 'C1#CC(c2ccccc2)=C1c1ccccc1'), min:(-99999, '')
[0.28772807121276855] Updated in round 73! max:(0.68, 'C1#CC(c2ccccc2)=C1c1ccccc1'), min:(-99999, '')
[0.28861498832702637] Updated in round 74! max:(0.68, 'C1#CC(c2ccccc2)=C1c1ccccc1'), min:(-99999, '')
[0.2895781993865967] Updated in round 75! max:(0.68, 'C1#CC(c2ccccc2)=C1c1ccccc1'), min:(-99999, '')
[0.3055543899536133] Updated in round 76! max:(0.68, 'C1#CC(c2ccccc2)=C1c1ccccc1'), min:(-99999, '')
[0.3066866397857666] Updated in round 77! max:(0.68, 'C1#CC(c2ccccc2)=C1c1ccccc1'), min:(-99999, '')
[0.30769920349121094] Updated in round 78! max:(0.68, 'C1#CC(c2ccccc2)=C1c1ccccc1'), min:(-99999, '')
[0.3086714744567871] Updated in round 79! max:(0.68, 'C1#CC(c2ccccc2)=C1c1ccccc1'), min:(-99999, '')
[0.30977296829223633] Updated in round 80! max:(0.68, 'C1#CC(c2ccccc2)=C1c1ccccc1'), min:(-99999, '')
[0.3108193874359131] Updated in round 81! max:(0.68, 'C1#CC(c2ccccc2)=C1c1ccccc1'), min:(-99999, '')
[0.32773375511169434] Updated in round 82! max:(0.68, 'C1#CC(c2ccccc2)=C1c1ccccc1'), min:(-99999, '')
[0.3287851810455322] Updated in round 83! max:(0.68, 'C1#CC(c2ccccc2)=C1c1ccccc1'), min:(-99999, '')
[0.32978248596191406] Updated in round 84! max:(0.68, 'C1#CC(c2ccccc2)=C1c1ccccc1'), min:(-99999, '')
[0.33075928688049316] Updated in round 85! max:(0.68, 'C1#CC(c2ccccc2)=C1c1ccccc1'), min:(-99999, '')
[0.33166980743408203] Updated in round 86! max:(0.68, 'C1#CC(c2ccccc2)=C1c1ccccc1'), min:(-99999, '')
[0.33260393142700195] Updated in round 87! max:(0.68, 'C1#CC(c2ccccc2)=C1c1ccccc1'), min:(-99999, '')
[0.3335072994232178] Updated in round 88! max:(0.68, 'C1#CC(c2ccccc2)=C1c1ccccc1'), min:(-99999, '')
[0.33440446853637695] Updated in round 89! max:(0.68, 'C1#CC(c2ccccc2)=C1c1ccccc1'), min:(-99999, '')
[0.3352956771850586] Updated in round 90! max:(0.68, 'C1#CC(c2ccccc2)=C1c1ccccc1'), min:(-99999, '')
[0.34966206550598145] Updated in round 91! max:(0.68, 'C1#CC(c2ccccc2)=C1c1ccccc1'), min:(-99999, '')
[0.3505985736846924] Updated in round 92! max:(0.68, 'C1#CC(c2ccccc2)=C1c1ccccc1'), min:(-99999, '')
