[5.91278076171875e-05]Start running EvoMol from [H][H]...
[0.0002834796905517578] Updated in round 1! max:(0.0, '[H][H]'), min:(-99999, '')
[0.0006933212280273438] Updated in round 2! max:(0.0, '[H][H]'), min:(-99999, '')
[0.0018494129180908203] Updated in round 3! max:(0.11428571428571428, 'C1=CC=C1'), min:(-99999, '')
[0.003693103790283203] Updated in round 4! max:(0.11428571428571428, 'C1=CC=C1'), min:(-99999, '')
[0.005914211273193359] Updated in round 5! max:(0.2702702702702703, 'c1cc2ccc1=2'), min:(-99999, '')
[0.007810831069946289] Updated in round 6! max:(0.2702702702702703, 'c1cc2ccc1=2'), min:(-99999, '')
[0.010708093643188477] Updated in round 7! max:(0.2702702702702703, 'c1cc2ccc1=2'), min:(-99999, '')
[0.015260696411132812] Updated in round 8! max:(0.35, 'C1=Cc2ccccc21'), min:(-99999, '')
[0.018970012664794922] Updated in round 9! max:(0.35, 'C1=Cc2ccccc21'), min:(-99999, '')
[0.02269911766052246] Updated in round 10! max:(0.35, 'C1=Cc2ccccc21'), min:(-99999, '')
[0.026316404342651367] Updated in round 11! max:(0.35, 'C1=Cc2ccccc21'), min:(-99999, '')
[0.02679729461669922] Updated in round 12! max:(0.35, 'C1=Cc2ccccc21'), min:(-99999, '')
[0.02954840660095215] Updated in round 13! max:(0.35, 'C1=Cc2ccccc21'), min:(-99999, '')
[0.03264117240905762] Updated in round 14! max:(0.35, 'C1=Cc2ccccc21'), min:(-99999, '')
[0.0360722541809082] Updated in round 15! max:(0.35, 'C1=Cc2ccccc21'), min:(-99999, '')
[0.036651611328125] Updated in round 16! max:(0.35, 'C1=Cc2ccccc21'), min:(-99999, '')
[0.04129981994628906] Updated in round 17! max:(0.35, 'C1=Cc2ccccc21'), min:(-99999, '')
[0.04632115364074707] Updated in round 18! max:(0.35, 'C1=Cc2ccccc21'), min:(-99999, '')
[0.046944379806518555] Updated in round 19! max:(0.36363636363636365, 'c1ccc2c3cc-3cc2c1'), min:(-99999, '')
[0.05333542823791504] Updated in round 20! max:(0.42857142857142855, 'c1cccc2cc-2ccc1'), min:(-99999, '')
[0.05970454216003418] Updated in round 21! max:(0.42857142857142855, 'c1cccc2cc-2ccc1'), min:(-99999, '')
[0.06029939651489258] Updated in round 22! max:(0.42857142857142855, 'c1cccc2cc-2ccc1'), min:(-99999, '')
[0.066375732421875] Updated in round 23! max:(0.42857142857142855, 'c1cccc2cc-2ccc1'), min:(-99999, '')
[0.06708669662475586] Updated in round 24! max:(0.42857142857142855, 'c1cccc2cc-2ccc1'), min:(-99999, '')
[0.0677027702331543] Updated in round 25! max:(0.5, 'c1ccc2cccc-2cc1'), min:(-99999, '')
[0.07418227195739746] Updated in round 26! max:(0.5, 'c1ccc2cccc-2cc1'), min:(-99999, '')
[0.07474851608276367] Updated in round 27! max:(0.5, 'c1ccc2cccc-2cc1'), min:(-99999, '')
[0.07542133331298828] Updated in round 28! max:(0.5, 'c1ccc2cccc-2cc1'), min:(-99999, '')
[0.0817108154296875] Reproduced in round 29!!
