[6.079673767089844e-05]Start running EvoMol from [H][H]...
[0.00991511344909668] Updated in round 1! max:(0.1, 'c1ccccc1'), min:(-99999, '')
[0.014791250228881836] Updated in round 2! max:(0.125, 'C#Cc1ccccc1'), min:(-99999, '')
[0.01927328109741211] Updated in round 3! max:(0.225, 'C(#Cc1ccccc1)c1ccccc1'), min:(-99999, '')
[0.029307126998901367] Updated in round 4! max:(0.25, 'C#Cc1ccccc1C#Cc1ccccc1'), min:(-99999, '')
[0.03965330123901367] Updated in round 5! max:(0.275, 'C#Cc1cccc(C#C)c1C#Cc1ccccc1'), min:(-99999, '')
[0.050454139709472656] Updated in round 6! max:(0.375, 'C#Cc1cccc(C#Cc2ccccc2)c1C#Cc1ccccc1'), min:(-99999, '')
[0.07196187973022461] Updated in round 7! max:(0.375, 'C#Cc1cccc(C#Cc2ccccc2)c1C#Cc1ccccc1'), min:(-99999, '')
[0.0737769603729248] Updated in round 8! max:(0.375, 'C#Cc1cccc(C#Cc2ccccc2)c1C#Cc1ccccc1'), min:(-99999, '')
[0.07550954818725586] Updated in round 9! max:(0.375, 'C#Cc1cccc(C#Cc2ccccc2)c1C#Cc1ccccc1'), min:(-99999, '')
[0.07721138000488281] Updated in round 10! max:(0.375, 'C#Cc1cccc(C#Cc2ccccc2)c1C#Cc1ccccc1'), min:(-99999, '')
[0.07960128784179688] Updated in round 11! max:(0.4, 'C#Cc1ccccc1C#Cc1cccc(C#C)c1C#Cc1ccccc1'), min:(-99999, '')
[0.10268664360046387] Updated in round 12! max:(0.425, 'C#Cc1ccccc1C#Cc1cccc(C#CC=C)c1C#Cc1ccccc1'), min:(-99999, '')
[0.13257193565368652] Updated in round 13! max:(0.425, 'C#Cc1ccccc1C#Cc1cccc(C#CC=C)c1C#Cc1ccccc1'), min:(-99999, '')
[0.13553833961486816] Updated in round 14! max:(0.525, 'C=CC#Cc1cccc(C#Cc2ccccc2C#Cc2ccccc2)c1C#Cc1ccccc1'), min:(-99999, '')
[0.18958425521850586] Updated in round 15! max:(0.55, 'C=CC=CC#Cc1cccc(C#Cc2ccccc2C#Cc2ccccc2)c1C#Cc1ccccc1'), min:(-99999, '')
[0.25460386276245117] Updated in round 16! max:(0.55, 'C=CC=CC#Cc1cccc(C#Cc2ccccc2C#Cc2ccccc2)c1C#Cc1ccccc1'), min:(-99999, '')
[0.25746631622314453] Updated in round 17! max:(0.55, 'C=CC=CC#Cc1cccc(C#Cc2ccccc2C#Cc2ccccc2)c1C#Cc1ccccc1'), min:(-99999, '')
[0.2603569030761719] Updated in round 18! max:(0.55, 'C=CC=CC#Cc1cccc(C#Cc2ccccc2C#Cc2ccccc2)c1C#Cc1ccccc1'), min:(-99999, '')
[0.2636721134185791] Updated in round 19! max:(0.575, 'C=CC=C(C#Cc1cccc(C#Cc2ccccc2C#Cc2ccccc2)c1C#Cc1ccccc1)C=C'), min:(-99999, '')
[0.33701419830322266] Updated in round 20! max:(0.575, 'C=CC=C(C#Cc1cccc(C#Cc2ccccc2C#Cc2ccccc2)c1C#Cc1ccccc1)C=C'), min:(-99999, '')
[0.3399536609649658] Updated in round 21! max:(0.575, 'C=CC=C(C#Cc1cccc(C#Cc2ccccc2C#Cc2ccccc2)c1C#Cc1ccccc1)C=C'), min:(-99999, '')
[0.34295177459716797] Updated in round 22! max:(0.575, 'C=CC=C(C#Cc1cccc(C#Cc2ccccc2C#Cc2ccccc2)c1C#Cc1ccccc1)C=C'), min:(-99999, '')
[0.3458700180053711] Updated in round 23! max:(0.575, 'C=CC=C(C#Cc1cccc(C#Cc2ccccc2C#Cc2ccccc2)c1C#Cc1ccccc1)C=C'), min:(-99999, '')
[0.3487741947174072] Updated in round 24! max:(0.575, 'C=CC=C(C#Cc1cccc(C#Cc2ccccc2C#Cc2ccccc2)c1C#Cc1ccccc1)C=C'), min:(-99999, '')
[0.3525674343109131] Updated in round 25! max:(0.6, 'C(#Cc1ccccc1C#Cc1cccc(C#Cc2ccccc2)c1C#Cc1ccccc1)c1ccccc1'), min:(-99999, '')
[0.420534610748291] Updated in round 26! max:(0.6, 'C(#Cc1ccccc1C#Cc1cccc(C#Cc2ccccc2)c1C#Cc1ccccc1)c1ccccc1'), min:(-99999, '')
[0.42400169372558594] Updated in round 27! max:(0.625, 'C#Cc1ccccc1C#Cc1cccc(C#Cc2ccccc2C#Cc2ccccc2)c1C#Cc1ccccc1'), min:(-99999, '')
[0.49387073516845703] Updated in round 28! max:(0.625, 'C#Cc1ccccc1C#Cc1cccc(C#Cc2ccccc2C#Cc2ccccc2)c1C#Cc1ccccc1'), min:(-99999, '')
[0.49647092819213867] Updated in round 29! max:(0.625, 'C#Cc1ccccc1C#Cc1cccc(C#Cc2ccccc2C#Cc2ccccc2)c1C#Cc1ccccc1'), min:(-99999, '')
[0.49904823303222656] Updated in round 30! max:(0.625, 'C#Cc1ccccc1C#Cc1cccc(C#Cc2ccccc2C#Cc2ccccc2)c1C#Cc1ccccc1'), min:(-99999, '')
[0.5016422271728516] Updated in round 31! max:(0.625, 'C#Cc1ccccc1C#Cc1cccc(C#Cc2ccccc2C#Cc2ccccc2)c1C#Cc1ccccc1'), min:(-99999, '')
[0.5042159557342529] Updated in round 32! max:(0.625, 'C#Cc1ccccc1C#Cc1cccc(C#Cc2ccccc2C#Cc2ccccc2)c1C#Cc1ccccc1'), min:(-99999, '')
[0.5068964958190918] Updated in round 33! max:(0.625, 'C#Cc1ccccc1C#Cc1cccc(C#Cc2ccccc2C#Cc2ccccc2)c1C#Cc1ccccc1'), min:(-99999, '')
[0.5096762180328369] Updated in round 34! max:(0.625, 'C#Cc1ccccc1C#Cc1cccc(C#Cc2ccccc2C#Cc2ccccc2)c1C#Cc1ccccc1'), min:(-99999, '')
[0.5123031139373779] Updated in round 35! max:(0.625, 'C#Cc1ccccc1C#Cc1cccc(C#Cc2ccccc2C#Cc2ccccc2)c1C#Cc1ccccc1'), min:(-99999, '')
[0.5149528980255127] Updated in round 36! max:(0.625, 'C#Cc1ccccc1C#Cc1cccc(C#Cc2ccccc2C#Cc2ccccc2)c1C#Cc1ccccc1'), min:(-99999, '')
[0.5179932117462158] Updated in round 37! max:(0.65, 'C#Cc1ccccc1C#Cc1ccc(C#C)c(C#Cc2ccccc2C#Cc2ccccc2)c1C#Cc1ccccc1'), min:(-99999, '')
[0.5912609100341797] Updated in round 38! max:(0.65, 'C#Cc1ccccc1C#Cc1ccc(C#C)c(C#Cc2ccccc2C#Cc2ccccc2)c1C#Cc1ccccc1'), min:(-99999, '')
[0.5940215587615967] Updated in round 39! max:(0.65, 'C#Cc1ccccc1C#Cc1ccc(C#C)c(C#Cc2ccccc2C#Cc2ccccc2)c1C#Cc1ccccc1'), min:(-99999, '')
[0.5972199440002441] Updated in round 40! max:(0.675, 'C#Cc1ccccc1C#Cc1ccc2c(c1C#Cc1ccccc1)C#Cc1ccccc1C#Cc1ccccc1C#C2'), min:(-99999, '')
[0.6672604084014893] Updated in round 41! max:(0.7, 'c1c2ccccc2c#cc2ccc3c#cc4ccccc4c#cc4ccccc4c#cc3c2c#cc2ccccc2c#1'), min:(-99999, '')
[0.7358183860778809] Updated in round 42! max:(0.7, 'c1c2ccccc2c#cc2ccc3c#cc4ccccc4c#cc4ccccc4c#cc3c2c#cc2ccccc2c#1'), min:(-99999, '')
[0.7392935752868652] Updated in round 43! max:(0.7, 'c1c2ccccc2c#cc2ccc3c#cc4ccccc4c#cc4ccccc4c#cc3c2c#cc2ccccc2c#1'), min:(-99999, '')
[0.7427937984466553] Updated in round 44! max:(0.7, 'c1c2ccccc2c#cc2ccc3c#cc4ccccc4c#cc4ccccc4c#cc3c2c#cc2ccccc2c#1'), min:(-99999, '')
[0.746103048324585] Updated in round 45! max:(0.7, 'c1c2ccccc2c#cc2ccc3c#cc4ccccc4c#cc4ccccc4c#cc3c2c#cc2ccccc2c#1'), min:(-99999, '')
[0.7495105266571045] Updated in round 46! max:(0.7, 'c1c2ccccc2c#cc2ccc3c#cc4ccccc4c#cc4ccccc4c#cc3c2c#cc2ccccc2c#1'), min:(-99999, '')
[0.7529652118682861] Updated in round 47! max:(0.7, 'c1c2ccccc2c#cc2ccc3c#cc4ccccc4c#cc4ccccc4c#cc3c2c#cc2ccccc2c#1'), min:(-99999, '')
[0.7562553882598877] Updated in round 48! max:(0.7, 'c1c2ccccc2c#cc2ccc3c#cc4ccccc4c#cc4ccccc4c#cc3c2c#cc2ccccc2c#1'), min:(-99999, '')
[0.7596769332885742] Updated in round 49! max:(0.7, 'c1c2ccccc2c#cc2ccc3c#cc4ccccc4c#cc4ccccc4c#cc3c2c#cc2ccccc2c#1'), min:(-99999, '')
[0.7630972862243652] Updated in round 50! max:(0.7, 'c1c2ccccc2c#cc2ccc3c#cc4ccccc4c#cc4ccccc4c#cc3c2c#cc2ccccc2c#1'), min:(-99999, '')
[0.7668404579162598] Updated in round 51! max:(0.725, 'C#Cc1cc2c#cc3ccccc3c#cc3ccccc3c#cc2c2c#cc3ccccc3c#cc3ccccc3c#cc12'), min:(-99999, '')
[0.8367030620574951] Updated in round 52! max:(0.75, 'C=CC#Cc1cc2c#cc3ccccc3c#cc3ccccc3c#cc2c2c#cc3ccccc3c#cc3ccccc3c#cc12'), min:(-99999, '')
[0.9237797260284424] Updated in round 53! max:(0.75, 'C=CC#Cc1cc2c#cc3ccccc3c#cc3ccccc3c#cc2c2c#cc3ccccc3c#cc3ccccc3c#cc12'), min:(-99999, '')
[0.9276537895202637] Updated in round 54! max:(0.75, 'C=CC#Cc1cc2c#cc3ccccc3c#cc3ccccc3c#cc2c2c#cc3ccccc3c#cc3ccccc3c#cc12'), min:(-99999, '')
[0.9316372871398926] Updated in round 55! max:(0.75, 'C=CC#Cc1cc2c#cc3ccccc3c#cc3ccccc3c#cc2c2c#cc3ccccc3c#cc3ccccc3c#cc12'), min:(-99999, '')
[0.9359328746795654] Updated in round 56! max:(0.825, 'C(#Cc1cc2c#cc3ccccc3c#cc3ccccc3c#cc2c2c#cc3ccccc3c#cc3ccccc3c#cc12)c1ccccc1'), min:(-99999, '')
