[5.8650970458984375e-05]Start running EvoMol from [H][H]...
[0.036562442779541016] Updated in round 1! max:(0.02702702702702703, 'C=C'), min:(-99999, '')
[0.06542325019836426] Updated in round 2! max:(0.08108108108108109, 'C=CC=CC=C'), min:(-99999, '')
[0.14048051834106445] Updated in round 3! max:(0.10810810810810811, 'C=CC=CC=CC=C'), min:(-99999, '')
[0.20959973335266113] Updated in round 4! max:(0.13513513513513514, 'C=CC=CC=CC(=C)C=C'), min:(-99999, '')
[0.21633076667785645] Updated in round 5! max:(0.16216216216216217, 'C=CC=c1ccc(=C)cc1'), min:(-99999, '')
[0.24600768089294434] Updated in round 6! max:(0.16216216216216217, 'C=CC=c1ccc(=C)cc1'), min:(-99999, '')
[0.2910616397857666] Updated in round 7! max:(0.1891891891891892, 'C=CC=c1ccc(=C)c(C=C)c1'), min:(-99999, '')
[0.3014347553253174] Updated in round 8! max:(0.21621621621621623, 'C=CC=CC=c1ccc(=C)c(C=C)c1'), min:(-99999, '')
[0.31415343284606934] Updated in round 9! max:(0.21621621621621623, 'C=CC=CC=c1ccc(=C)c(C=C)c1'), min:(-99999, '')
[0.3398745059967041] Updated in round 10! max:(0.24324324324324326, 'C=CC=CC=c1cc(C=C)c(=C)cc1C=C'), min:(-99999, '')
[0.3676180839538574] Updated in round 11! max:(0.2702702702702703, 'C=CC=CC=c1cc(C=C)c(=CC=C)cc1C=C'), min:(-99999, '')
[0.38862085342407227] Updated in round 12! max:(0.2972972972972973, 'C=CC=c1cc(C=C)c(=CC=CC(=C)C=C)cc1C=C'), min:(-99999, '')
[0.42350149154663086] Updated in round 13! max:(0.2972972972972973, 'C=CC=c1cc(C=C)c(=CC=CC(=C)C=C)cc1C=C'), min:(-99999, '')
[0.425612211227417] Updated in round 14! max:(0.2972972972972973, 'C=CC=c1cc(C=C)c(=CC=CC(=C)C=C)cc1C=C'), min:(-99999, '')
[0.46234822273254395] Updated in round 15! max:(0.32432432432432434, 'C=CC=c1cc2ccccc(=C)cccc2cc1C=C'), min:(-99999, '')
[0.49295854568481445] Updated in round 16! max:(0.35135135135135137, 'C=CC=c1ccccc2cc(=CC=C)c(C=C)cc2ccc1'), min:(-99999, '')
[0.527944803237915] Updated in round 17! max:(0.35135135135135137, 'C=CC=c1ccccc2cc(=CC=C)c(C=C)cc2ccc1'), min:(-99999, '')
[0.5568575859069824] Updated in round 18! max:(0.3783783783783784, 'C=CC=CC=c1cc2ccccc(=CC=C)cccc2cc1C=C'), min:(-99999, '')
[0.6016995906829834] Updated in round 19! max:(0.3783783783783784, 'C=CC=CC=c1cc2ccccc(=CC=C)cccc2cc1C=C'), min:(-99999, '')
[0.6079261302947998] Updated in round 20! max:(0.3783783783783784, 'C=CC=CC=c1cc2ccccc(=CC=C)cccc2cc1C=C'), min:(-99999, '')
[0.6386799812316895] Updated in round 21! max:(0.3783783783783784, 'C=CC=CC=c1cc2ccccc(=CC=C)cccc2cc1C=C'), min:(-99999, '')
[0.6424117088317871] Updated in round 22! max:(0.3783783783783784, 'C=CC=CC=c1cc2ccccc(=CC=C)cccc2cc1C=C'), min:(-99999, '')
[0.6463184356689453] Updated in round 23! max:(0.3783783783783784, 'C=CC=CC=c1cc2ccccc(=CC=C)cccc2cc1C=C'), min:(-99999, '')
[0.6517965793609619] Updated in round 24! max:(0.3783783783783784, 'C=CC=CC=c1cc2ccccc(=CC=C)cccc2cc1C=C'), min:(-99999, '')
[0.6559946537017822] Updated in round 25! max:(0.3783783783783784, 'C=CC=CC=c1cc2ccccc(=CC=C)cccc2cc1C=C'), min:(-99999, '')
[0.6616144180297852] Updated in round 26! max:(0.3783783783783784, 'C=CC=CC=c1cc2ccccc(=CC=C)cccc2cc1C=C'), min:(-99999, '')
[0.66581130027771] Updated in round 27! max:(0.3783783783783784, 'C=CC=CC=c1cc2ccccc(=CC=C)cccc2cc1C=C'), min:(-99999, '')
[0.6711599826812744] Updated in round 28! max:(0.3783783783783784, 'C=CC=CC=c1cc2ccccc(=CC=C)cccc2cc1C=C'), min:(-99999, '')
[0.6788530349731445] Updated in round 29! max:(0.3783783783783784, 'C=CC=CC=c1cc2ccccc(=CC=C)cccc2cc1C=C'), min:(-99999, '')
[0.6856153011322021] Updated in round 30! max:(0.3783783783783784, 'C=CC=CC=c1cc2ccccc(=CC=C)cccc2cc1C=C'), min:(-99999, '')
[0.6901359558105469] Updated in round 31! max:(0.3783783783783784, 'C=CC=CC=c1cc2ccccc(=CC=C)cccc2cc1C=C'), min:(-99999, '')
