[6.246566772460938e-05]Start running EvoMol from [H][H]...
[0.0014324188232421875] Updated in round 1! max:(0.10810810810810811, 'c1ccccc1'), min:(-99999, '')
[0.00652623176574707] Updated in round 2! max:(0.21621621621621623, 'c1ccc(-c2ccccc2)cc1'), min:(-99999, '')
[0.0171964168548584] Updated in round 3! max:(0.32432432432432434, 'c1ccc(-c2ccc(-c3ccccc3)cc2)cc1'), min:(-99999, '')
[0.039305925369262695] Updated in round 4! max:(0.3783783783783784, 'c1ccc(-c2ccc3c(ccc4ccccc43)c2)cc1'), min:(-99999, '')
[0.06414127349853516] Updated in round 5! max:(0.40540540540540543, 'C=Cc1cccc(-c2ccc3c(ccc4ccccc43)c2)c1'), min:(-99999, '')
[0.09596037864685059] Updated in round 6! max:(0.5135135135135135, 'C(=Cc1cccc(-c2ccc3c(ccc4ccccc43)c2)c1)c1ccccc1'), min:(-99999, '')
[0.15501737594604492] Updated in round 7! max:(0.6216216216216216, 'C(=Cc1cccc(-c2ccc3c(ccc4cc(-c5ccccc5)ccc43)c2)c1)c1ccccc1'), min:(-99999, '')
[0.2564115524291992] Updated in round 8! max:(0.7027027027027027, 'C(=Cc1ccc2ccccc2c1)c1cccc(-c2ccc3c(ccc4cc(-c5ccccc5)ccc43)c2)c1'), min:(-99999, '')
[0.38765883445739746] Updated in round 9! max:(0.7567567567567568, 'C(=Cc1ccc2ccccc2c1)c1cccc(-c2ccc3c(ccc4cc5c(ccc6ccccc65)cc43)c2)c1'), min:(-99999, '')
[0.5357880592346191] Updated in round 10! max:(0.7567567567567568, 'C(=Cc1ccc2ccccc2c1)c1cccc(-c2ccc3c(ccc4cc5c(ccc6ccccc65)cc43)c2)c1'), min:(-99999, '')
[0.5426106452941895] Updated in round 11! max:(0.7837837837837838, 'C=Cc1ccc(C=Cc2ccc3ccccc3c2)cc1-c1ccc2c(ccc3cc4c(ccc5ccccc54)cc32)c1'), min:(-99999, '')
[0.7128846645355225] Updated in round 12! max:(0.7837837837837838, 'C=Cc1ccc(C=Cc2ccc3ccccc3c2)cc1-c1ccc2c(ccc3cc4c(ccc5ccccc54)cc32)c1'), min:(-99999, '')
[0.7192487716674805] Updated in round 13! max:(0.7837837837837838, 'C=Cc1ccc(C=Cc2ccc3ccccc3c2)cc1-c1ccc2c(ccc3cc4c(ccc5ccccc54)cc32)c1'), min:(-99999, '')
[0.7262091636657715] Updated in round 14! max:(0.7837837837837838, 'C=Cc1ccc(C=Cc2ccc3ccccc3c2)cc1-c1ccc2c(ccc3cc4c(ccc5ccccc54)cc32)c1'), min:(-99999, '')
[0.7333066463470459] Updated in round 15! max:(0.7837837837837838, 'C=Cc1ccc(C=Cc2ccc3ccccc3c2)cc1-c1ccc2c(ccc3cc4c(ccc5ccccc54)cc32)c1'), min:(-99999, '')
[0.7418966293334961] Updated in round 16! max:(0.8648648648648649, 'C=Cc1ccc(C=Cc2ccc3ccc4ccccc4c3c2)cc1-c1ccc2c(ccc3cc4c(ccc5ccccc54)cc32)c1'), min:(-99999, '')
[0.9670770168304443] Updated in round 17! max:(0.8648648648648649, 'C=Cc1ccc(C=Cc2ccc3ccc4ccccc4c3c2)cc1-c1ccc2c(ccc3cc4c(ccc5ccccc54)cc32)c1'), min:(-99999, '')
[0.9764184951782227] Updated in round 18! max:(0.8648648648648649, 'C=Cc1ccc(C=Cc2ccc3ccc4ccccc4c3c2)cc1-c1ccc2c(ccc3cc4c(ccc5ccccc54)cc32)c1'), min:(-99999, '')
[0.98557448387146] Updated in round 19! max:(0.8648648648648649, 'C=Cc1ccc(C=Cc2ccc3ccc4ccccc4c3c2)cc1-c1ccc2c(ccc3cc4c(ccc5ccccc54)cc32)c1'), min:(-99999, '')
[0.9954090118408203] Updated in round 20! max:(0.8648648648648649, 'C=Cc1ccc(C=Cc2ccc3ccc4ccccc4c3c2)cc1-c1ccc2c(ccc3cc4c(ccc5ccccc54)cc32)c1'), min:(-99999, '')
[1.0072376728057861] Updated in round 21! max:(0.8648648648648649, 'C=Cc1ccc(C=Cc2ccc3ccc4ccccc4c3c2)cc1-c1ccc2c(ccc3cc4c(ccc5ccccc54)cc32)c1'), min:(-99999, '')
[1.0128707885742188] Updated in round 22! max:(0.8648648648648649, 'C=Cc1ccc(C=Cc2ccc3ccc4ccccc4c3c2)cc1-c1ccc2c(ccc3cc4c(ccc5ccccc54)cc32)c1'), min:(-99999, '')
[1.0203533172607422] Updated in round 23! max:(0.8648648648648649, 'C=Cc1ccc(C=Cc2ccc3ccc4ccccc4c3c2)cc1-c1ccc2c(ccc3cc4c(ccc5ccccc54)cc32)c1'), min:(-99999, '')
[1.0285923480987549] Updated in round 24! max:(0.8648648648648649, 'C=Cc1ccc(C=Cc2ccc3ccc4ccccc4c3c2)cc1-c1ccc2c(ccc3cc4c(ccc5ccccc54)cc32)c1'), min:(-99999, '')
[1.0370349884033203] Updated in round 25! max:(0.8648648648648649, 'C=Cc1ccc(C=Cc2ccc3ccc4ccccc4c3c2)cc1-c1ccc2c(ccc3cc4c(ccc5ccccc54)cc32)c1'), min:(-99999, '')
[1.0460901260375977] Updated in round 26! max:(0.8648648648648649, 'C=Cc1ccc(C=Cc2ccc3ccc4ccccc4c3c2)cc1-c1ccc2c(ccc3cc4c(ccc5ccccc54)cc32)c1'), min:(-99999, '')
[1.0567901134490967] Updated in round 27! max:(0.8648648648648649, 'C=Cc1ccc(C=Cc2ccc3ccc4ccccc4c3c2)cc1-c1ccc2c(ccc3cc4c(ccc5ccccc54)cc32)c1'), min:(-99999, '')
[1.0697736740112305] Updated in round 28! max:(0.8648648648648649, 'C=Cc1ccc(C=Cc2ccc3ccc4ccccc4c3c2)cc1-c1ccc2c(ccc3cc4c(ccc5ccccc54)cc32)c1'), min:(-99999, '')
[1.0818612575531006] Updated in round 29! max:(0.8648648648648649, 'C=Cc1ccc(C=Cc2ccc3ccc4ccccc4c3c2)cc1-c1ccc2c(ccc3cc4c(ccc5ccccc54)cc32)c1'), min:(-99999, '')
[1.0908284187316895] Updated in round 30! max:(0.8648648648648649, 'C=Cc1ccc(C=Cc2ccc3ccc4ccccc4c3c2)cc1-c1ccc2c(ccc3cc4c(ccc5ccccc54)cc32)c1'), min:(-99999, '')
[1.098278522491455] Updated in round 31! max:(0.8648648648648649, 'C=Cc1ccc(C=Cc2ccc3ccc4ccccc4c3c2)cc1-c1ccc2c(ccc3cc4c(ccc5ccccc54)cc32)c1'), min:(-99999, '')
[1.1078336238861084] Updated in round 32! max:(0.8648648648648649, 'C=Cc1ccc(C=Cc2ccc3ccc4ccccc4c3c2)cc1-c1ccc2c(ccc3cc4c(ccc5ccccc54)cc32)c1'), min:(-99999, '')
[1.1172280311584473] Updated in round 33! max:(0.8648648648648649, 'C=Cc1ccc(C=Cc2ccc3ccc4ccccc4c3c2)cc1-c1ccc2c(ccc3cc4c(ccc5ccccc54)cc32)c1'), min:(-99999, '')
[1.1254141330718994] Updated in round 34! max:(0.8648648648648649, 'C=Cc1ccc(C=Cc2ccc3ccc4ccccc4c3c2)cc1-c1ccc2c(ccc3cc4c(ccc5ccccc54)cc32)c1'), min:(-99999, '')
[1.1332871913909912] Updated in round 35! max:(0.8648648648648649, 'C=Cc1ccc(C=Cc2ccc3ccc4ccccc4c3c2)cc1-c1ccc2c(ccc3cc4c(ccc5ccccc54)cc32)c1'), min:(-99999, '')
[1.1392652988433838] Updated in round 36! max:(0.8648648648648649, 'C=Cc1ccc(C=Cc2ccc3ccc4ccccc4c3c2)cc1-c1ccc2c(ccc3cc4c(ccc5ccccc54)cc32)c1'), min:(-99999, '')
[1.1526291370391846] Updated in round 37! max:(0.8648648648648649, 'C=Cc1ccc(C=Cc2ccc3ccc4ccccc4c3c2)cc1-c1ccc2c(ccc3cc4c(ccc5ccccc54)cc32)c1'), min:(-99999, '')
[1.1600615978240967] Updated in round 38! max:(0.8648648648648649, 'C=Cc1ccc(C=Cc2ccc3ccc4ccccc4c3c2)cc1-c1ccc2c(ccc3cc4c(ccc5ccccc54)cc32)c1'), min:(-99999, '')
[1.169466257095337] Updated in round 39! max:(0.8648648648648649, 'C=Cc1ccc(C=Cc2ccc3ccc4ccccc4c3c2)cc1-c1ccc2c(ccc3cc4c(ccc5ccccc54)cc32)c1'), min:(-99999, '')
[1.1786139011383057] Updated in round 40! max:(0.8648648648648649, 'C=Cc1ccc(C=Cc2ccc3ccc4ccccc4c3c2)cc1-c1ccc2c(ccc3cc4c(ccc5ccccc54)cc32)c1'), min:(-99999, '')
[1.187509298324585] Updated in round 41! max:(0.8648648648648649, 'C=Cc1ccc(C=Cc2ccc3ccc4ccccc4c3c2)cc1-c1ccc2c(ccc3cc4c(ccc5ccccc54)cc32)c1'), min:(-99999, '')
[1.2018656730651855] Updated in round 42! max:(0.8648648648648649, 'C=Cc1ccc(C=Cc2ccc3ccc4ccccc4c3c2)cc1-c1ccc2c(ccc3cc4c(ccc5ccccc54)cc32)c1'), min:(-99999, '')
[1.20827317237854] Updated in round 43! max:(0.8918918918918919, 'C=Cc1cc2c(ccc3cc4c(ccc5ccccc54)cc32)cc1-c1ccc2c(ccc3cc4c(ccc5ccccc54)cc32)c1'), min:(-99999, '')
[1.5727312564849854] Updated in round 44! max:(0.8918918918918919, 'C=Cc1cc2c(ccc3cc4c(ccc5ccccc54)cc32)cc1-c1ccc2c(ccc3cc4c(ccc5ccccc54)cc32)c1'), min:(-99999, '')
[1.579035997390747] Updated in round 45! max:(0.8918918918918919, 'C=Cc1cc2c(ccc3cc4c(ccc5ccccc54)cc32)cc1-c1ccc2c(ccc3cc4c(ccc5ccccc54)cc32)c1'), min:(-99999, '')
[1.583916187286377] Updated in round 46! max:(0.8918918918918919, 'C=Cc1cc2c(ccc3cc4c(ccc5ccccc54)cc32)cc1-c1ccc2c(ccc3cc4c(ccc5ccccc54)cc32)c1'), min:(-99999, '')
[1.601792573928833] Updated in round 47! max:(0.8918918918918919, 'C=Cc1cc2c(ccc3cc4c(ccc5ccccc54)cc32)cc1-c1ccc2c(ccc3cc4c(ccc5ccccc54)cc32)c1'), min:(-99999, '')
[1.6070797443389893] Updated in round 48! max:(0.8918918918918919, 'C=Cc1cc2c(ccc3cc4c(ccc5ccccc54)cc32)cc1-c1ccc2c(ccc3cc4c(ccc5ccccc54)cc32)c1'), min:(-99999, '')
[1.6131651401519775] Updated in round 49! max:(0.8918918918918919, 'C=Cc1cc2c(ccc3cc4c(ccc5ccccc54)cc32)cc1-c1ccc2c(ccc3cc4c(ccc5ccccc54)cc32)c1'), min:(-99999, '')
[1.6181929111480713] Updated in round 50! max:(0.8918918918918919, 'C=Cc1cc2c(ccc3cc4c(ccc5ccccc54)cc32)cc1-c1ccc2c(ccc3cc4c(ccc5ccccc54)cc32)c1'), min:(-99999, '')
