[5.054473876953125e-05]Start running EvoMol from [H][H]...
[0.0007789134979248047] Updated in round 1! max:(0.17391304347826086, 'c1ccccc1'), min:(-99999, '')
[0.0052433013916015625] Updated in round 2! max:(0.30434782608695654, 'c1ccc2ccccc2c1'), min:(-99999, '')
[0.012104511260986328] Updated in round 3! max:(0.43478260869565216, 'c1ccc2cc3ccccc3cc2c1'), min:(-99999, '')
[0.02399134635925293] Updated in round 4! max:(0.4782608695652174, 'C=Cc1ccc2cc3ccccc3cc2c1'), min:(-99999, '')
[0.0393671989440918] Updated in round 5! max:(0.5217391304347826, 'C=CC=Cc1ccc2cc3ccccc3cc2c1'), min:(-99999, '')
[0.05964803695678711] Updated in round 6! max:(0.5652173913043478, 'C=CC=CC=Cc1ccc2cc3ccccc3cc2c1'), min:(-99999, '')
[0.08532929420471191] Updated in round 7! max:(0.6521739130434783, 'C(=Cc1ccc2cc3ccccc3cc2c1)c1ccccc1'), min:(-99999, '')
[0.1181192398071289] Updated in round 8! max:(0.6521739130434783, 'C(=Cc1ccc2cc3ccccc3cc2c1)c1ccccc1'), min:(-99999, '')
[0.12047004699707031] Updated in round 9! max:(0.782608695652174, 'C(=Cc1ccc2cc3ccccc3cc2c1)c1ccc2ccccc2c1'), min:(-99999, '')
[0.16791462898254395] Updated in round 10! max:(0.782608695652174, 'C(=Cc1ccc2cc3ccccc3cc2c1)c1ccc2ccccc2c1'), min:(-99999, '')
[0.1702578067779541] Updated in round 11! max:(0.782608695652174, 'C(=Cc1ccc2cc3ccccc3cc2c1)c1ccc2ccccc2c1'), min:(-99999, '')
[0.17274236679077148] Updated in round 12! max:(0.782608695652174, 'C(=Cc1ccc2cc3ccccc3cc2c1)c1ccc2ccccc2c1'), min:(-99999, '')
[0.17550396919250488] Updated in round 13! max:(0.9130434782608695, 'C(=Cc1ccc2cc3ccccc3cc2c1)c1ccc2cc3ccccc3cc2c1'), min:(-99999, '')
[0.24156475067138672] Updated in round 14! max:(0.9130434782608695, 'C(=Cc1ccc2cc3ccccc3cc2c1)c1ccc2cc3ccccc3cc2c1'), min:(-99999, '')
[0.24417471885681152] Updated in round 15! max:(0.9130434782608695, 'C(=Cc1ccc2cc3ccccc3cc2c1)c1ccc2cc3ccccc3cc2c1'), min:(-99999, '')
[0.2468709945678711] Updated in round 16! max:(0.9130434782608695, 'C(=Cc1ccc2cc3ccccc3cc2c1)c1ccc2cc3ccccc3cc2c1'), min:(-99999, '')
[0.24968385696411133] Updated in round 17! max:(0.9565217391304348, 'C=Cc1cc2cc3ccccc3cc2cc1C=Cc1ccc2cc3ccccc3cc2c1'), min:(-99999, '')
[0.3252091407775879] Updated in round 18! max:(0.9565217391304348, 'C=Cc1cc2cc3ccccc3cc2cc1C=Cc1ccc2cc3ccccc3cc2c1'), min:(-99999, '')
[0.327986478805542] Updated in round 19! max:(0.9565217391304348, 'C=Cc1cc2cc3ccccc3cc2cc1C=Cc1ccc2cc3ccccc3cc2c1'), min:(-99999, '')
[0.3307061195373535] Updated in round 20! max:(0.9565217391304348, 'C=Cc1cc2cc3ccccc3cc2cc1C=Cc1ccc2cc3ccccc3cc2c1'), min:(-99999, '')
[0.3334200382232666] Updated in round 21! max:(0.9565217391304348, 'C=Cc1cc2cc3ccccc3cc2cc1C=Cc1ccc2cc3ccccc3cc2c1'), min:(-99999, '')
[0.3360025882720947] Updated in round 22! max:(0.9565217391304348, 'C=Cc1cc2cc3ccccc3cc2cc1C=Cc1ccc2cc3ccccc3cc2c1'), min:(-99999, '')
[0.33875298500061035] Updated in round 23! max:(0.9565217391304348, 'C=Cc1cc2cc3ccccc3cc2cc1C=Cc1ccc2cc3ccccc3cc2c1'), min:(-99999, '')
[0.3414485454559326] Updated in round 24! max:(0.9565217391304348, 'C=Cc1cc2cc3ccccc3cc2cc1C=Cc1ccc2cc3ccccc3cc2c1'), min:(-99999, '')
[0.3443796634674072] Reproduced in round 25!!
