[6.437301635742188e-05]Start running EvoMol from [H][H]...
[0.00028705596923828125] Updated in round 1! max:(0.0, '[H][H]'), min:(-99999, '')
[0.0006887912750244141] Updated in round 2! max:(0.0, '[H][H]'), min:(-99999, '')
[0.0018253326416015625] Updated in round 3! max:(0.11428571428571428, 'C1=CC=C1'), min:(-99999, '')
[0.0036046504974365234] Updated in round 4! max:(0.11428571428571428, 'C1=CC=C1'), min:(-99999, '')
[0.005792856216430664] Updated in round 5! max:(0.14634146341463414, 'C1=CC2=CC1=C2'), min:(-99999, '')
[0.008815288543701172] Updated in round 6! max:(0.14634146341463414, 'C1=CC2=CC1=C2'), min:(-99999, '')
[0.012412548065185547] Updated in round 7! max:(0.23076923076923078, 'c1cc2cc-2c1'), min:(-99999, '')
[0.016991138458251953] Updated in round 8! max:(0.2631578947368421, 'c1ccccc1'), min:(-99999, '')
[0.022314071655273438] Updated in round 9! max:(0.325, 'C=Cc1ccccc1'), min:(-99999, '')
[0.025823593139648438] Updated in round 10! max:(0.35, 'C1=Cc2ccccc21'), min:(-99999, '')
[0.02950739860534668] Updated in round 11! max:(0.35, 'C1=Cc2ccccc21'), min:(-99999, '')
[0.030025959014892578] Updated in round 12! max:(0.35, 'C1=Cc2ccccc21'), min:(-99999, '')
[0.03304624557495117] Updated in round 13! max:(0.35, 'C1=Cc2ccccc21'), min:(-99999, '')
[0.03676342964172363] Updated in round 14! max:(0.35, 'C1=Cc2ccccc21'), min:(-99999, '')
[0.0402379035949707] Updated in round 15! max:(0.35, 'C1=Cc2ccccc21'), min:(-99999, '')
[0.042973995208740234] Updated in round 16! max:(0.35, 'C1=Cc2ccccc21'), min:(-99999, '')
[0.0460362434387207] Updated in round 17! max:(0.35, 'C1=Cc2ccccc21'), min:(-99999, '')
[0.046582937240600586] Updated in round 18! max:(0.35, 'C1=Cc2ccccc21'), min:(-99999, '')
[0.05133318901062012] Updated in round 19! max:(0.35, 'C1=Cc2ccccc21'), min:(-99999, '')
[0.05717301368713379] Updated in round 20! max:(0.35, 'C1=Cc2ccccc21'), min:(-99999, '')
[0.057846784591674805] Updated in round 21! max:(0.35, 'C1=Cc2ccccc21'), min:(-99999, '')
[0.05849575996398926] Updated in round 22! max:(0.35, 'C1=Cc2ccccc21'), min:(-99999, '')
[0.06522655487060547] Updated in round 23! max:(0.35, 'C1=Cc2ccccc21'), min:(-99999, '')
[0.06596517562866211] Updated in round 24! max:(0.40476190476190477, 'C1=CC(c2ccccc2)=C1'), min:(-99999, '')
[0.07118368148803711] Updated in round 25! max:(0.40476190476190477, 'C1=CC(c2ccccc2)=C1'), min:(-99999, '')
[0.0717766284942627] Updated in round 26! max:(0.40476190476190477, 'C1=CC(c2ccccc2)=C1'), min:(-99999, '')
[0.07800126075744629] Updated in round 27! max:(0.40476190476190477, 'C1=CC(c2ccccc2)=C1'), min:(-99999, '')
[0.0786752700805664] Updated in round 28! max:(0.5, 'c1cccc2ccc-2cc1'), min:(-99999, '')
[0.08510208129882812] Updated in round 29! max:(0.5, 'c1cccc2ccc-2cc1'), min:(-99999, '')
[0.08571147918701172] Updated in round 30! max:(0.5, 'c1cccc2ccc-2cc1'), min:(-99999, '')
[0.09238457679748535] Updated in round 31! max:(0.5, 'c1cccc2ccc-2cc1'), min:(-99999, '')
[0.09311223030090332] Updated in round 32! max:(0.5, 'c1cccc2ccc-2cc1'), min:(-99999, '')
[0.10043668746948242] Updated in round 33! max:(0.5, 'c1cccc2ccc-2cc1'), min:(-99999, '')
[0.10107994079589844] Updated in round 34! max:(0.5, 'c1cccc2ccc-2cc1'), min:(-99999, '')
[0.1017148494720459] Updated in round 35! max:(0.5, 'c1cccc2ccc-2cc1'), min:(-99999, '')
[0.10233426094055176] Updated in round 36! max:(0.5, 'c1cccc2ccc-2cc1'), min:(-99999, '')
[0.10297036170959473] Updated in round 37! max:(0.5, 'c1cccc2ccc-2cc1'), min:(-99999, '')
[0.11133599281311035] Updated in round 38! max:(0.5, 'c1cccc2ccc-2cc1'), min:(-99999, '')
[0.11205720901489258] Updated in round 39! max:(0.5, 'c1cccc2ccc-2cc1'), min:(-99999, '')
[0.12186908721923828] Updated in round 40! max:(0.5, 'c1cccc2ccc-2cc1'), min:(-99999, '')
[0.12269067764282227] Updated in round 41! max:(0.5, 'c1cccc2ccc-2cc1'), min:(-99999, '')
[0.12344837188720703] Updated in round 42! max:(0.5, 'c1cccc2ccc-2cc1'), min:(-99999, '')
[0.12421989440917969] Updated in round 43! max:(0.5, 'c1cccc2ccc-2cc1'), min:(-99999, '')
[0.12492728233337402] Updated in round 44! max:(0.5, 'c1cccc2ccc-2cc1'), min:(-99999, '')
[0.1343555450439453] Updated in round 45! max:(0.5, 'c1cccc2ccc-2cc1'), min:(-99999, '')
[0.13506054878234863] Updated in round 46! max:(0.5, 'c1cccc2ccc-2cc1'), min:(-99999, '')
[0.1448814868927002] Updated in round 47! max:(0.5, 'c1cccc2ccc-2cc1'), min:(-99999, '')
[0.15462994575500488] Updated in round 48! max:(0.5116279069767442, 'C=c1c2cccccccc1c2'), min:(-99999, '')
[0.16361069679260254] Updated in round 49! max:(0.5116279069767442, 'C=c1c2cccccccc1c2'), min:(-99999, '')
[0.1643660068511963] Updated in round 50! max:(0.5116279069767442, 'C=c1c2cccccccc1c2'), min:(-99999, '')
[0.16504788398742676] Updated in round 51! max:(0.5116279069767442, 'C=c1c2cccccccc1c2'), min:(-99999, '')
[0.1657545566558838] Updated in round 52! max:(0.5116279069767442, 'C=c1c2cccccccc1c2'), min:(-99999, '')
[0.18140816688537598] Updated in round 53! max:(0.5116279069767442, 'C=c1c2cccccccc1c2'), min:(-99999, '')
[0.18207645416259766] Updated in round 54! max:(0.5116279069767442, 'C=c1c2cccccccc1c2'), min:(-99999, '')
[0.18268537521362305] Updated in round 55! max:(0.5116279069767442, 'C=c1c2cccccccc1c2'), min:(-99999, '')
[0.19446659088134766] Updated in round 56! max:(0.5116279069767442, 'C=c1c2cccccccc1c2'), min:(-99999, '')
[0.19536519050598145] Updated in round 57! max:(0.5116279069767442, 'C=c1c2cccccccc1c2'), min:(-99999, '')
[0.19614005088806152] Updated in round 58! max:(0.5319148936170213, 'c1cccc2cccc3c2cc-3cc1'), min:(-99999, '')
