[6.4849853515625e-05]Start running EvoMol from [H][H]...
[0.0014400482177734375] Updated in round 1! max:(0.1, 'c1ccccc1'), min:(-99999, '')
[0.008244037628173828] Updated in round 2! max:(0.125, 'C#Cc1ccccc1'), min:(-99999, '')
[0.015302658081054688] Updated in round 3! max:(0.225, 'C(#Cc1ccccc1)c1ccccc1'), min:(-99999, '')
[0.034758806228637695] Updated in round 4! max:(0.25, 'C#Cc1ccc(C#Cc2ccccc2)cc1'), min:(-99999, '')
[0.054160118103027344] Updated in round 5! max:(0.275, 'C=CC#Cc1ccc(C#Cc2ccccc2)cc1'), min:(-99999, '')
[0.07897210121154785] Updated in round 6! max:(0.275, 'C=CC#Cc1ccc(C#Cc2ccccc2)cc1'), min:(-99999, '')
[0.08207178115844727] Updated in round 7! max:(0.3, 'C#Cc1cc(C#Cc2ccccc2)ccc1C#CC=C'), min:(-99999, '')
[0.10735249519348145] Updated in round 8! max:(0.3, 'C#Cc1cc(C#Cc2ccccc2)ccc1C#CC=C'), min:(-99999, '')
[0.11036324501037598] Updated in round 9! max:(0.325, 'C=CC#Cc1ccc(C#Cc2ccccc2)cc1C#CC=C'), min:(-99999, '')
[0.140671968460083] Updated in round 10! max:(0.4, 'C=CC#Cc1ccc(C#Cc2ccccc2)cc1C#Cc1ccccc1'), min:(-99999, '')
[0.19209623336791992] Updated in round 11! max:(0.4, 'C=CC#Cc1ccc(C#Cc2ccccc2)cc1C#Cc1ccccc1'), min:(-99999, '')
[0.19472956657409668] Updated in round 12! max:(0.4, 'C=CC#Cc1ccc(C#Cc2ccccc2)cc1C#Cc1ccccc1'), min:(-99999, '')
[0.1970367431640625] Updated in round 13! max:(0.4, 'C=CC#Cc1ccc(C#Cc2ccccc2)cc1C#Cc1ccccc1'), min:(-99999, '')
[0.2000899314880371] Updated in round 14! max:(0.4, 'C=CC#Cc1ccc(C#Cc2ccccc2)cc1C#Cc1ccccc1'), min:(-99999, '')
[0.2031862735748291] Updated in round 15! max:(0.425, 'C#Cc1ccccc1C#Cc1ccc(C#CC=C)c(C#Cc2ccccc2)c1'), min:(-99999, '')
[0.2561311721801758] Updated in round 16! max:(0.45, 'C#Cc1ccccc1C#Cc1ccc(C#CC=C)c(C#Cc2ccccc2C#C)c1'), min:(-99999, '')
[0.30970311164855957] Updated in round 17! max:(0.475, 'C#Cc1ccccc1C#Cc1ccc(C#CC=CC=C)c(C#Cc2ccccc2C#C)c1'), min:(-99999, '')
[0.37340307235717773] Updated in round 18! max:(0.475, 'C#Cc1ccccc1C#Cc1ccc(C#CC=CC=C)c(C#Cc2ccccc2C#C)c1'), min:(-99999, '')
[0.37645554542541504] Updated in round 19! max:(0.475, 'C#Cc1ccccc1C#Cc1ccc(C#CC=CC=C)c(C#Cc2ccccc2C#C)c1'), min:(-99999, '')
[0.3792412281036377] Updated in round 20! max:(0.475, 'C#Cc1ccccc1C#Cc1ccc(C#CC=CC=C)c(C#Cc2ccccc2C#C)c1'), min:(-99999, '')
[0.3824319839477539] Updated in round 21! max:(0.475, 'C#Cc1ccccc1C#Cc1ccc(C#CC=CC=C)c(C#Cc2ccccc2C#C)c1'), min:(-99999, '')
[0.3852663040161133] Updated in round 22! max:(0.5, 'C#Cc1ccccc1C#Cc1cc(C#C)c(C#CC=CC=C)c(C#Cc2ccccc2C#C)c1'), min:(-99999, '')
[0.45276689529418945] Updated in round 23! max:(0.6, 'C#Cc1ccccc1C#Cc1cc(C#Cc2ccccc2)c(C#CC=CC=C)c(C#Cc2ccccc2C#C)c1'), min:(-99999, '')
[0.5667340755462646] Updated in round 24! max:(0.625, 'C#Cc1ccccc1C#Cc1cc(C#Cc2ccccc2)c(C#CC=CC=C)c(C#Cc2ccccc2C#C)c1C#C'), min:(-99999, '')
[0.6853017807006836] Updated in round 25! max:(0.625, 'C#Cc1ccccc1C#Cc1cc(C#Cc2ccccc2)c(C#CC=CC=C)c(C#Cc2ccccc2C#C)c1C#C'), min:(-99999, '')
[0.6888771057128906] Updated in round 26! max:(0.625, 'C#Cc1ccccc1C#Cc1cc(C#Cc2ccccc2)c(C#CC=CC=C)c(C#Cc2ccccc2C#C)c1C#C'), min:(-99999, '')
