[0.00011968612670898438]Start running EvoMol from [H][H]...
[656.4150402545929] Updated in round 28! max:(0.7049180327868853, 'c1ccc2c(c1)-c1cc3cc4ccc(c-2c14)c1cccc2c1ccc1c2cc2c4cc5ccccc5c5c6ccc3c3c7cccc8c1c2c(c45)c(c78)c63'), min:(-99999, '')
[656.6810455322266] Updated in round 29! max:(0.7049180327868853, 'c1ccc2c(c1)-c1cc3cc4ccc(c-2c14)c1cccc2c1ccc1c2cc2c4cc5ccccc5c5c6ccc3c3c7cccc8c1c2c(c45)c(c78)c63'), min:(-99999, '')
[656.834769487381] Updated in round 30! max:(0.7540983606557377, 'c1ccc2c(c1)-c1cc3cc4ccc(c-2c14)c1cc2ccccc2c2c1ccc1c2cc2c4cc5ccccc5c5c6ccc3c3c7cccc8c1c2c(c45)c(c78)c63'), min:(-99999, '')
[765.0437879562378] Updated in round 31! max:(0.7540983606557377, 'c1ccc2c(c1)-c1cc3cc4ccc(c-2c14)c1cc2ccccc2c2c1ccc1c2cc2c4cc5ccccc5c5c6ccc3c3c7cccc8c1c2c(c45)c(c78)c63'), min:(-99999, '')
[767.1422829627991] Updated in round 32! max:(0.7540983606557377, 'c1ccc2c(c1)-c1cc3cc4ccc(c-2c14)c1cc2ccccc2c2c1ccc1c2cc2c4cc5ccccc5c5c6ccc3c3c7cccc8c1c2c(c45)c(c78)c63'), min:(-99999, '')
[769.0966811180115] Updated in round 33! max:(0.7704918032786885, 'c1ccc2c(c1)-c1cc3cc4ccc(c-2c14)c1cc2ccccc2c2c1ccc1c2cc2c4cc5cccc6c7cc3c3c8cccc9c1c2c1c4c(c56)c7c3c1c98'), min:(-99999, '')
[895.5771200656891] Updated in round 34! max:(0.7704918032786885, 'c1ccc2c(c1)-c1cc3cc4ccc(c-2c14)c1cc2ccccc2c2c1ccc1c2cc2c4cc5cccc6c7cc3c3c8cccc9c1c2c1c4c(c56)c7c3c1c98'), min:(-99999, '')
[897.471928358078] Updated in round 35! max:(0.7868852459016393, 'c1cc2c3ccc4c5cc6cc7ccc(c8cc2c(c1)c1c8ccc2c1cc1c8cc9cccc%10c%11cc6c6c%12cccc%13c2c1c1c8c(c9%10)c%11c6c1c%13%12)c(c4c3)c75'), min:(-99999, '')
[1104.0262520313263] Updated in round 36! max:(0.7868852459016393, 'c1cc2c3ccc4c5cc6cc7ccc(c8cc2c(c1)c1c8ccc2c1cc1c8cc9cccc%10c%11cc6c6c%12cccc%13c2c1c1c8c(c9%10)c%11c6c1c%13%12)c(c4c3)c75'), min:(-99999, '')
[1106.0380501747131] Updated in round 37! max:(0.7868852459016393, 'c1cc2c3ccc4c5cc6cc7ccc(c8cc2c(c1)c1c8ccc2c1cc1c8cc9cccc%10c%11cc6c6c%12cccc%13c2c1c1c8c(c9%10)c%11c6c1c%13%12)c(c4c3)c75'), min:(-99999, '')
[1266.5863468647003] Updated in round 38! max:(0.819672131147541, 'c1cc2c3cc4ccc5c6cc7ccc(c8cc2c(c1)c1c8ccc2c1cc1c8cc9cccc%10c%11cc6c6c%12cccc%13c2c1c1c8c(c9%10)c%11c6c1c%13%12)c1c(c3)c4c5c71'), min:(-99999, '')
[1433.4694821834564] Updated in round 39! max:(0.8360655737704918, 'c1cc2c3cc4ccc5c6c7cc8c9cccc%10cc%11c%12cc%13c%14ccc%15c(cc2c(c1)c%15%13)c1ccc(c6c2ccc6c%14c%12c%12c%11c(c%109)c8c8c7c2c6c%128)c2c1c(c3)c4c52'), min:(-99999, '')
[1859.509925365448] Updated in round 40! max:(0.8524590163934426, 'c1cc2c3cc4cc5c6c7c4c(c3)c3c4ccc(c8c9ccc%10c%11c%12ccc%13c4cc2c(c1)c%13c%12cc1c2cc4cccc%12c4c4c2c(c1%11)c1c%10c9c2c(c5c%12c4c12)c86)c37'), min:(-99999, '')
[1913.8811531066895] Updated in round 41! max:(0.8524590163934426, 'c1cc2c3cc4cc5c6c7c4c(c3)c3c4ccc(c8c9ccc%10c%11c%12ccc%13c4cc2c(c1)c%13c%12cc1c2cc4cccc%12c4c4c2c(c1%11)c1c%10c9c2c(c5c%12c4c12)c86)c37'), min:(-99999, '')
[1921.9729874134064] Updated in round 42! max:(0.8524590163934426, 'c1cc2c3cc4cc5c6c7c4c(c3)c3c4ccc(c8c9ccc%10c%11c%12ccc%13c4cc2c(c1)c%13c%12cc1c2cc4cccc%12c4c4c2c(c1%11)c1c%10c9c2c(c5c%12c4c12)c86)c37'), min:(-99999, '')
[1922.083693265915] Updated in round 43! max:(0.8688524590163934, 'c1cc2cc3c4c5c6ccc7c8cc9cc%10c%11c%12c9c(c8)c8c9ccc(c%13c%14ccc%15c(c%16ccc%17c9cc7c6c%17c%165)c4c4c3c3c2c(c1)c1c%10c(c%13%11)c2c%14c%15c4c2c13)c8%12'), min:(-99999, '')
[1955.4107267856598] Updated in round 44! max:(0.8688524590163934, 'c1cc2cc3c4c5c6ccc7c8cc9cc%10c%11c%12c9c(c8)c8c9ccc(c%13c%14ccc%15c(c%16ccc%17c9cc7c6c%17c%165)c4c4c3c3c2c(c1)c1c%10c(c%13%11)c2c%14c%15c4c2c13)c8%12'), min:(-99999, '')
[1958.3462677001953] Updated in round 45! max:(0.8688524590163934, 'c1cc2cc3c4c5c6ccc7c8cc9cc%10c%11c%12c9c(c8)c8c9ccc(c%13c%14ccc%15c(c%16ccc%17c9cc7c6c%17c%165)c4c4c3c3c2c(c1)c1c%10c(c%13%11)c2c%14c%15c4c2c13)c8%12'), min:(-99999, '')
[2070.301808834076] Updated in round 46! max:(0.8852459016393442, 'c1c2cc3c4c1cc1c5c6c7ccc8c9cc%10c%11c%12ccc%13c%14c%15ccc%16c(c%17ccc%18c%12cc8c7c%18c%176)c5c5c1c4c1c3c3c4cc(c29)c%10c(c%13%11)c4c%14c3c2c%15c%16c5c12'), min:(-99999, '')
[2077.9962165355682] Updated in round 47! max:(0.8852459016393442, 'c1c2cc3c4c1cc1c5c6c7ccc8c9cc%10c%11c%12ccc%13c%14c%15ccc%16c(c%17ccc%18c%12cc8c7c%18c%176)c5c5c1c4c1c3c3c4cc(c29)c%10c(c%13%11)c4c%14c3c2c%15c%16c5c12'), min:(-99999, '')
[2085.3134689331055] Updated in round 48! max:(0.8852459016393442, 'c1c2cc3c4c1cc1c5c6c7ccc8c9cc%10c%11c%12ccc%13c%14c%15ccc%16c(c%17ccc%18c%12cc8c7c%18c%176)c5c5c1c4c1c3c3c4cc(c29)c%10c(c%13%11)c4c%14c3c2c%15c%16c5c12'), min:(-99999, '')
[2090.526251554489] Updated in round 49! max:(0.8852459016393442, 'c1c2cc3c4c1cc1c5c6c7ccc8c9cc%10c%11c%12ccc%13c%14c%15ccc%16c(c%17ccc%18c%12cc8c7c%18c%176)c5c5c1c4c1c3c3c4cc(c29)c%10c(c%13%11)c4c%14c3c2c%15c%16c5c12'), min:(-99999, '')
[2116.1022777557373] Updated in round 50! max:(0.8852459016393442, 'c1c2cc3c4c1cc1c5c6c7ccc8c9cc%10c%11c%12ccc%13c%14c%15ccc%16c(c%17ccc%18c%12cc8c7c%18c%176)c5c5c1c4c1c3c3c4cc(c29)c%10c(c%13%11)c4c%14c3c2c%15c%16c5c12'), min:(-99999, '')
[2123.9875214099884] Updated in round 51! max:(0.8852459016393442, 'c1c2cc3c4c1cc1c5c6c7ccc8c9cc%10c%11c%12ccc%13c%14c%15ccc%16c(c%17ccc%18c%12cc8c7c%18c%176)c5c5c1c4c1c3c3c4cc(c29)c%10c(c%13%11)c4c%14c3c2c%15c%16c5c12'), min:(-99999, '')
