[5.459785461425781e-05]Start running EvoMol from [H][H]...
[0.0019025802612304688] Updated in round 1! max:(0.04, 'C=C'), min:(-99999, '')
[0.007543325424194336] Updated in round 2! max:(0.08, 'C=CC=C'), min:(-99999, '')
[0.017094135284423828] Updated in round 3! max:(0.12, 'C=CC=CC=C'), min:(-99999, '')
[0.02595829963684082] Updated in round 4! max:(0.16, 'C=CC=CC=CC=C'), min:(-99999, '')
[0.03521132469177246] Updated in round 5! max:(0.2, 'C=CC=CC=CC=CC=C'), min:(-99999, '')
[0.04834699630737305] Updated in round 6! max:(0.24, 'C=CC=CC=CC=C(C=C)C=C'), min:(-99999, '')
[0.05554676055908203] Updated in round 7! max:(0.24, 'C=CC=CC=CC=C(C=C)C=C'), min:(-99999, '')
[0.06138777732849121] Updated in round 8! max:(0.28, 'C=CC=CC=CC=CC=C(C=C)C=C'), min:(-99999, '')
[0.08133935928344727] Updated in round 9! max:(0.32, 'C=CC=CC=CC=CC=C(C=C)C=CC=C'), min:(-99999, '')
[0.09871673583984375] Updated in round 10! max:(0.32, 'C=CC=CC=CC=CC=C(C=C)C=CC=C'), min:(-99999, '')
[0.10097646713256836] Updated in round 11! max:(0.36, 'C=CC=CC(C=C)=CC=CC=CC=CC(=C)C=C'), min:(-99999, '')
[0.11792397499084473] Updated in round 12! max:(0.4, 'C=CC(=C)C=CC=CC=CC=c1ccc(=C)cc1'), min:(-99999, '')
[0.1367936134338379] Updated in round 13! max:(0.44, 'C=CC=C(C=C)C=CC=CC=CC=c1ccc(=C)cc1'), min:(-99999, '')
[0.15996623039245605] Updated in round 14! max:(0.44, 'C=CC=C(C=C)C=CC=CC=CC=c1ccc(=C)cc1'), min:(-99999, '')
[0.16187119483947754] Updated in round 15! max:(0.44, 'C=CC=C(C=C)C=CC=CC=CC=c1ccc(=C)cc1'), min:(-99999, '')
[0.163618803024292] Updated in round 16! max:(0.44, 'C=CC=C(C=C)C=CC=CC=CC=c1ccc(=C)cc1'), min:(-99999, '')
[0.16531872749328613] Updated in round 17! max:(0.44, 'C=CC=C(C=C)C=CC=CC=CC=c1ccc(=C)cc1'), min:(-99999, '')
[0.16686248779296875] Updated in round 18! max:(0.44, 'C=CC=C(C=C)C=CC=CC=CC=c1ccc(=C)cc1'), min:(-99999, '')
[0.16932129859924316] Updated in round 19! max:(0.48, 'C=CC=C(C=C)C=CC=CC=CC=c1ccc(=CC=C)cc1'), min:(-99999, '')
[0.19858694076538086] Updated in round 20! max:(0.48, 'C=CC=C(C=C)C=CC=CC=CC=c1ccc(=CC=C)cc1'), min:(-99999, '')
[0.20204806327819824] Updated in round 21! max:(0.52, 'C=CC=c1ccc(=CC=CC=c2ccc(=CC=C)cc2)cc1'), min:(-99999, '')
[0.2345128059387207] Updated in round 22! max:(0.56, 'C=CC=c1ccc(=CC=CC(C=C)=c2ccc(=CC=C)cc2)cc1'), min:(-99999, '')
[0.2709810733795166] Updated in round 23! max:(0.6, 'C=CC=CC=c1ccc(=CC=CC(C=C)=c2ccc(=CC=C)cc2)cc1'), min:(-99999, '')
[0.3155961036682129] Updated in round 24! max:(0.6, 'C=CC=CC=c1ccc(=CC=CC(C=C)=c2ccc(=CC=C)cc2)cc1'), min:(-99999, '')
[0.3690979480743408] Updated in round 25! max:(0.6, 'C=CC=CC=c1ccc(=CC=CC(C=C)=c2ccc(=CC=C)cc2)cc1'), min:(-99999, '')
[0.3738064765930176] Updated in round 26! max:(0.64, 'C=CC=CC=c1ccc(=c2ccc(=c3ccc(=CC=C)cc3)cc2)cc1'), min:(-99999, '')
[0.41835522651672363] Updated in round 27! max:(0.64, 'C=CC=CC=c1ccc(=c2ccc(=c3ccc(=CC=C)cc3)cc2)cc1'), min:(-99999, '')
[0.4217650890350342] Updated in round 28! max:(0.68, 'C=CC=CC=CC=c1ccc(=c2ccc(=c3ccc(=CC=C)cc3)cc2)cc1'), min:(-99999, '')
[0.47626662254333496] Updated in round 29! max:(0.68, 'C=CC=CC=CC=c1ccc(=c2ccc(=c3ccc(=CC=C)cc3)cc2)cc1'), min:(-99999, '')
[0.47908639907836914] Updated in round 30! max:(0.68, 'C=CC=CC=CC=c1ccc(=c2ccc(=c3ccc(=CC=C)cc3)cc2)cc1'), min:(-99999, '')
[0.48272228240966797] Updated in round 31! max:(0.72, 'C=CC=CC=CC=c1ccc(=c2ccc(=c3ccc(=C(C=C)C=C)cc3)cc2)cc1'), min:(-99999, '')
[0.5446140766143799] Updated in round 32! max:(0.72, 'C=CC=CC=CC=c1ccc(=c2ccc(=c3ccc(=C(C=C)C=C)cc3)cc2)cc1'), min:(-99999, '')
[0.5474686622619629] Updated in round 33! max:(0.72, 'C=CC=CC=CC=c1ccc(=c2ccc(=c3ccc(=C(C=C)C=C)cc3)cc2)cc1'), min:(-99999, '')
[0.5510404109954834] Updated in round 34! max:(0.72, 'C=CC=CC=CC=c1ccc(=c2ccc(=c3ccc(=C(C=C)C=C)cc3)cc2)cc1'), min:(-99999, '')
[0.5548543930053711] Updated in round 35! max:(0.76, 'C=CC(C=C)=CC=CC=c1ccc(=c2ccc(=c3ccc(=C(C=C)C=C)cc3)cc2)cc1'), min:(-99999, '')
[0.6240427494049072] Updated in round 36! max:(0.76, 'C=CC(C=C)=CC=CC=c1ccc(=c2ccc(=c3ccc(=C(C=C)C=C)cc3)cc2)cc1'), min:(-99999, '')
[0.6285638809204102] Updated in round 37! max:(0.8, 'C=CC=CC(C=C)=c1ccc(=c2ccc(=c3ccc(=CC=CC=C(C=C)C=C)cc3)cc2)cc1'), min:(-99999, '')
[0.713658332824707] Updated in round 38! max:(0.8, 'C=CC=CC(C=C)=c1ccc(=c2ccc(=c3ccc(=CC=CC=C(C=C)C=C)cc3)cc2)cc1'), min:(-99999, '')
[0.7171041965484619] Updated in round 39! max:(0.8, 'C=CC=CC(C=C)=c1ccc(=c2ccc(=c3ccc(=CC=CC=C(C=C)C=C)cc3)cc2)cc1'), min:(-99999, '')
[0.7200469970703125] Updated in round 40! max:(0.8, 'C=CC=CC(C=C)=c1ccc(=c2ccc(=c3ccc(=CC=CC=C(C=C)C=C)cc3)cc2)cc1'), min:(-99999, '')
[0.7231621742248535] Updated in round 41! max:(0.8, 'C=CC=CC(C=C)=c1ccc(=c2ccc(=c3ccc(=CC=CC=C(C=C)C=C)cc3)cc2)cc1'), min:(-99999, '')
[0.7261776924133301] Updated in round 42! max:(0.8, 'C=CC=CC(C=C)=c1ccc(=c2ccc(=c3ccc(=CC=CC=C(C=C)C=C)cc3)cc2)cc1'), min:(-99999, '')
[0.7292037010192871] Updated in round 43! max:(0.8, 'C=CC=CC(C=C)=c1ccc(=c2ccc(=c3ccc(=CC=CC=C(C=C)C=C)cc3)cc2)cc1'), min:(-99999, '')
[0.7327799797058105] Updated in round 44! max:(0.8, 'C=CC=CC(C=C)=c1ccc(=c2ccc(=c3ccc(=CC=CC=C(C=C)C=C)cc3)cc2)cc1'), min:(-99999, '')
[0.7364282608032227] Updated in round 45! max:(0.8, 'C=CC=CC(C=C)=c1ccc(=c2ccc(=c3ccc(=CC=CC=C(C=C)C=C)cc3)cc2)cc1'), min:(-99999, '')
[0.7399318218231201] Updated in round 46! max:(0.8, 'C=CC=CC(C=C)=c1ccc(=c2ccc(=c3ccc(=CC=CC=C(C=C)C=C)cc3)cc2)cc1'), min:(-99999, '')
[0.7429037094116211] Updated in round 47! max:(0.8, 'C=CC=CC(C=C)=c1ccc(=c2ccc(=c3ccc(=CC=CC=C(C=C)C=C)cc3)cc2)cc1'), min:(-99999, '')
[0.7468795776367188] Updated in round 48! max:(0.84, 'C=CC=CC(C=C)=c1ccc(=c2ccc(=c3ccc(=C(C=C)C=CC=C(C=C)C=C)cc3)cc2)cc1'), min:(-99999, '')
[0.8416099548339844] Updated in round 49! max:(0.84, 'C=CC=CC(C=C)=c1ccc(=c2ccc(=c3ccc(=C(C=C)C=CC=C(C=C)C=C)cc3)cc2)cc1'), min:(-99999, '')
[0.8446156978607178] Updated in round 50! max:(0.84, 'C=CC=CC(C=C)=c1ccc(=c2ccc(=c3ccc(=C(C=C)C=CC=C(C=C)C=C)cc3)cc2)cc1'), min:(-99999, '')
[0.8482470512390137] Updated in round 51! max:(0.84, 'C=CC=CC(C=C)=c1ccc(=c2ccc(=c3ccc(=C(C=C)C=CC=C(C=C)C=C)cc3)cc2)cc1'), min:(-99999, '')
[0.850977897644043] Updated in round 52! max:(0.84, 'C=CC=CC(C=C)=c1ccc(=c2ccc(=c3ccc(=C(C=C)C=CC=C(C=C)C=C)cc3)cc2)cc1'), min:(-99999, '')
[0.8543641567230225] Updated in round 53! max:(0.84, 'C=CC=CC(C=C)=c1ccc(=c2ccc(=c3ccc(=C(C=C)C=CC=C(C=C)C=C)cc3)cc2)cc1'), min:(-99999, '')
[0.8574440479278564] Updated in round 54! max:(0.84, 'C=CC=CC(C=C)=c1ccc(=c2ccc(=c3ccc(=C(C=C)C=CC=C(C=C)C=C)cc3)cc2)cc1'), min:(-99999, '')
[0.8608407974243164] Updated in round 55! max:(0.84, 'C=CC=CC(C=C)=c1ccc(=c2ccc(=c3ccc(=C(C=C)C=CC=C(C=C)C=C)cc3)cc2)cc1'), min:(-99999, '')
