[5.3882598876953125e-05]Start running EvoMol from [H][H]...
[0.00042724609375] Updated in round 1! max:(0.06666666666666667, 'C=C'), min:(-99999, '')
[0.0010263919830322266] Updated in round 2! max:(0.13333333333333333, 'C=CC=C'), min:(-99999, '')
[0.002715587615966797] Updated in round 3! max:(0.2, 'C=CC=CC=C'), min:(-99999, '')
[0.005183219909667969] Updated in round 4! max:(0.26666666666666666, 'c1ccccc1'), min:(-99999, '')
[0.010276317596435547] Updated in round 5! max:(0.3333333333333333, 'C=Cc1ccccc1'), min:(-99999, '')
[0.015089035034179688] Updated in round 6! max:(0.4, 'C=Cc1ccccc1C=C'), min:(-99999, '')
[0.02241826057434082] Updated in round 7! max:(0.4666666666666667, 'c1ccc2ccccc2c1'), min:(-99999, '')
[0.03031134605407715] Updated in round 8! max:(0.5333333333333333, 'C=Cc1cccc2ccccc12'), min:(-99999, '')
[0.039794921875] Updated in round 9! max:(0.6, 'C=CC(=C)c1cccc2ccccc12'), min:(-99999, '')
[0.05176138877868652] Updated in round 10! max:(0.6666666666666666, 'C=CC=C(C=C)c1cccc2ccccc12'), min:(-99999, '')
[0.06674766540527344] Updated in round 11! max:(0.7333333333333333, 'C=CC=C(C=C)c1cccc2cccc(C=C)c12'), min:(-99999, '')
[0.08478355407714844] Updated in round 12! max:(0.8, 'C=Cc1cccc2cccc(-c3ccccc3)c12'), min:(-99999, '')
[0.10625147819519043] Updated in round 13! max:(0.8, 'C=Cc1cccc2cccc(-c3ccccc3)c12'), min:(-99999, '')
[0.10847091674804688] Updated in round 14! max:(0.8666666666666667, 'C=CC=Cc1cccc2cccc(-c3ccccc3)c12'), min:(-99999, '')
[0.13458561897277832] Updated in round 15! max:(0.8666666666666667, 'C=CC=Cc1cccc2cccc(-c3ccccc3)c12'), min:(-99999, '')
[0.13672161102294922] Updated in round 16! max:(0.9333333333333333, 'C=CC=c1c2ccccc2c2cccc3cccc1c32'), min:(-99999, '')
[0.16362595558166504] Updated in round 17! max:(0.9333333333333333, 'C=CC=c1c2ccccc2c2cccc3cccc1c32'), min:(-99999, '')
[0.16618871688842773] Updated in round 18! max:(0.9333333333333333, 'C=CC=c1c2ccccc2c2cccc3cccc1c32'), min:(-99999, '')
[0.16843223571777344] Updated in round 19! max:(0.9333333333333333, 'C=CC=c1c2ccccc2c2cccc3cccc1c32'), min:(-99999, '')
[0.17069125175476074] Updated in round 20! max:(0.9333333333333333, 'C=CC=c1c2ccccc2c2cccc3cccc1c32'), min:(-99999, '')
[0.17264223098754883] Updated in round 21! max:(0.9333333333333333, 'C=CC=c1c2ccccc2c2cccc3cccc1c32'), min:(-99999, '')
[0.17530107498168945] Updated in round 22! max:(0.9333333333333333, 'C=CC=c1c2ccccc2c2cccc3cccc1c32'), min:(-99999, '')
[0.1775834560394287] Updated in round 23! max:(0.9333333333333333, 'C=CC=c1c2ccccc2c2cccc3cccc1c32'), min:(-99999, '')
[0.17960691452026367] Updated in round 24! max:(0.9333333333333333, 'C=CC=c1c2ccccc2c2cccc3cccc1c32'), min:(-99999, '')
[0.1808915138244629] Reproduced in round 25!!
