[5.9604644775390625e-05]Start running EvoMol from [H][H]...
[0.000946044921875] Updated in round 1! max:(0.14285714285714285, 'c1ccccc1'), min:(-99999, '')
[0.007130861282348633] Updated in round 2! max:(0.17857142857142858, 'C=Cc1ccccc1'), min:(-99999, '')
[0.014504432678222656] Updated in round 3! max:(0.21428571428571427, 'C=CC=Cc1ccccc1'), min:(-99999, '')
[0.023858308792114258] Updated in round 4! max:(0.21428571428571427, 'C=CC=Cc1ccccc1'), min:(-99999, '')
[0.025652647018432617] Updated in round 5! max:(0.21428571428571427, 'C=CC=Cc1ccccc1'), min:(-99999, '')
[0.027818679809570312] Updated in round 6! max:(0.25, 'C=CC=Cc1ccc(C=C)cc1'), min:(-99999, '')
[0.03955531120300293] Updated in round 7! max:(0.2857142857142857, 'C=CC(C=C)=Cc1ccc(C=C)cc1'), min:(-99999, '')
[0.05350136756896973] Updated in round 8! max:(0.2857142857142857, 'C=CC(C=C)=Cc1ccc(C=C)cc1'), min:(-99999, '')
[0.05493783950805664] Updated in round 9! max:(0.2857142857142857, 'C=CC(C=C)=Cc1ccc(C=C)cc1'), min:(-99999, '')
[0.05611681938171387] Updated in round 10! max:(0.2857142857142857, 'C=CC(C=C)=Cc1ccc(C=C)cc1'), min:(-99999, '')
[0.05725812911987305] Updated in round 11! max:(0.2857142857142857, 'C=CC(C=C)=Cc1ccc(C=C)cc1'), min:(-99999, '')
[0.05875658988952637] Updated in round 12! max:(0.2857142857142857, 'C=CC(C=C)=Cc1ccc(C=C)cc1'), min:(-99999, '')
[0.060575246810913086] Updated in round 13! max:(0.32142857142857145, 'C=CC=Cc1ccc(C=C(C=C)C=C)cc1'), min:(-99999, '')
[0.07787966728210449] Updated in round 14! max:(0.32142857142857145, 'C=CC=Cc1ccc(C=C(C=C)C=C)cc1'), min:(-99999, '')
[0.0795137882232666] Updated in round 15! max:(0.32142857142857145, 'C=CC=Cc1ccc(C=C(C=C)C=C)cc1'), min:(-99999, '')
[0.08146810531616211] Updated in round 16! max:(0.35714285714285715, 'C=CC=CC(C=C)=Cc1ccc(C=CC=C)cc1'), min:(-99999, '')
[0.10409045219421387] Updated in round 17! max:(0.5, 'C=CC=Cc1ccc(C=C(C=C)C=CC=Cc2ccccc2)cc1'), min:(-99999, '')
[0.15448284149169922] Updated in round 18! max:(0.5, 'C=CC=Cc1ccc(C=C(C=C)C=CC=Cc2ccccc2)cc1'), min:(-99999, '')
[0.15638327598571777] Updated in round 19! max:(0.5, 'C=CC=Cc1ccc(C=C(C=C)C=CC=Cc2ccccc2)cc1'), min:(-99999, '')
[0.1591958999633789] Updated in round 20! max:(0.5357142857142857, 'C=CC(C=C)=Cc1ccc(C=C(C=C)C=CC=Cc2ccccc2)cc1'), min:(-99999, '')
[0.21685194969177246] Updated in round 21! max:(0.5357142857142857, 'C=CC(C=C)=Cc1ccc(C=C(C=C)C=CC=Cc2ccccc2)cc1'), min:(-99999, '')
[0.2191600799560547] Updated in round 22! max:(0.5357142857142857, 'C=CC(C=C)=Cc1ccc(C=C(C=C)C=CC=Cc2ccccc2)cc1'), min:(-99999, '')
[0.22151803970336914] Updated in round 23! max:(0.5357142857142857, 'C=CC(C=C)=Cc1ccc(C=C(C=C)C=CC=Cc2ccccc2)cc1'), min:(-99999, '')
[0.22407269477844238] Updated in round 24! max:(0.5357142857142857, 'C=CC(C=C)=Cc1ccc(C=C(C=C)C=CC=Cc2ccccc2)cc1'), min:(-99999, '')
[0.22660493850708008] Updated in round 25! max:(0.5714285714285714, 'C=CC(C=C)=Cc1ccc(C=C(C=C)C=CC=Cc2ccc(C=C)cc2)cc1'), min:(-99999, '')
[0.2898740768432617] Updated in round 26! max:(0.5714285714285714, 'C=CC(C=C)=Cc1ccc(C=C(C=C)C=CC=Cc2ccc(C=C)cc2)cc1'), min:(-99999, '')
[0.2921266555786133] Updated in round 27! max:(0.5714285714285714, 'C=CC(C=C)=Cc1ccc(C=C(C=C)C=CC=Cc2ccc(C=C)cc2)cc1'), min:(-99999, '')
[0.29480695724487305] Updated in round 28! max:(0.6071428571428571, 'C=CC=Cc1ccc(C=CC=CC(C=C)=Cc2ccc(C=C(C=C)C=C)cc2)cc1'), min:(-99999, '')
[0.36954808235168457] Updated in round 29! max:(0.6071428571428571, 'C=CC=Cc1ccc(C=CC=CC(C=C)=Cc2ccc(C=C(C=C)C=C)cc2)cc1'), min:(-99999, '')
[0.3718295097351074] Updated in round 30! max:(0.6071428571428571, 'C=CC=Cc1ccc(C=CC=CC(C=C)=Cc2ccc(C=C(C=C)C=C)cc2)cc1'), min:(-99999, '')
[0.3748440742492676] Updated in round 31! max:(0.6428571428571429, 'C=CC=Cc1ccc(C=c2ccc(=Cc3ccc(C=C(C=C)C=C)cc3)cc2)cc1'), min:(-99999, '')
[0.4542815685272217] Updated in round 32! max:(0.6428571428571429, 'C=CC=Cc1ccc(C=c2ccc(=Cc3ccc(C=C(C=C)C=C)cc3)cc2)cc1'), min:(-99999, '')
[0.4569261074066162] Updated in round 33! max:(0.6428571428571429, 'C=CC=Cc1ccc(C=c2ccc(=Cc3ccc(C=C(C=C)C=C)cc3)cc2)cc1'), min:(-99999, '')
[0.4597146511077881] Updated in round 34! max:(0.6428571428571429, 'C=CC=Cc1ccc(C=c2ccc(=Cc3ccc(C=C(C=C)C=C)cc3)cc2)cc1'), min:(-99999, '')
[0.4622623920440674] Updated in round 35! max:(0.6428571428571429, 'C=CC=Cc1ccc(C=c2ccc(=Cc3ccc(C=C(C=C)C=C)cc3)cc2)cc1'), min:(-99999, '')
[0.4651172161102295] Updated in round 36! max:(0.6428571428571429, 'C=CC=Cc1ccc(C=c2ccc(=Cc3ccc(C=C(C=C)C=C)cc3)cc2)cc1'), min:(-99999, '')
[0.46817684173583984] Updated in round 37! max:(0.6785714285714286, 'C=CC(C=C)=Cc1ccc(C=c2ccc(=Cc3ccc(C=C(C=C)C=C)cc3)cc2)cc1'), min:(-99999, '')
[0.5581350326538086] Updated in round 38! max:(0.7142857142857143, 'C=CC=CC(C=C)=Cc1ccc(C=c2ccc(=Cc3ccc(C=C(C=C)C=C)cc3)cc2)cc1'), min:(-99999, '')
[0.6633646488189697] Updated in round 39! max:(0.7142857142857143, 'C=CC=CC(C=C)=Cc1ccc(C=c2ccc(=Cc3ccc(C=C(C=C)C=C)cc3)cc2)cc1'), min:(-99999, '')
[0.6674385070800781] Updated in round 40! max:(0.7142857142857143, 'C=CC=CC(C=C)=Cc1ccc(C=c2ccc(=Cc3ccc(C=C(C=C)C=C)cc3)cc2)cc1'), min:(-99999, '')
[0.6718301773071289] Updated in round 41! max:(0.8571428571428571, 'C=CC(C=C)=Cc1ccc(C=c2ccc(=Cc3ccc(C=C(C=C)C=CC=Cc4ccccc4)cc3)cc2)cc1'), min:(-99999, '')
[0.8491106033325195] Updated in round 42! max:(0.8571428571428571, 'C=CC(C=C)=Cc1ccc(C=c2ccc(=Cc3ccc(C=C(C=C)C=CC=Cc4ccccc4)cc3)cc2)cc1'), min:(-99999, '')
[0.8524491786956787] Updated in round 43! max:(0.8571428571428571, 'C=CC(C=C)=Cc1ccc(C=c2ccc(=Cc3ccc(C=C(C=C)C=CC=Cc4ccccc4)cc3)cc2)cc1'), min:(-99999, '')
[0.8568856716156006] Updated in round 44! max:(0.8571428571428571, 'C=CC(C=C)=Cc1ccc(C=c2ccc(=Cc3ccc(C=C(C=C)C=CC=Cc4ccccc4)cc3)cc2)cc1'), min:(-99999, '')
[0.8622353076934814] Updated in round 45! max:(0.8571428571428571, 'C=CC(C=C)=Cc1ccc(C=c2ccc(=Cc3ccc(C=C(C=C)C=CC=Cc4ccccc4)cc3)cc2)cc1'), min:(-99999, '')
[0.866865873336792] Updated in round 46! max:(0.8571428571428571, 'C=CC(C=C)=Cc1ccc(C=c2ccc(=Cc3ccc(C=C(C=C)C=CC=Cc4ccccc4)cc3)cc2)cc1'), min:(-99999, '')
[0.8715572357177734] Updated in round 47! max:(0.8571428571428571, 'C=CC(C=C)=Cc1ccc(C=c2ccc(=Cc3ccc(C=C(C=C)C=CC=Cc4ccccc4)cc3)cc2)cc1'), min:(-99999, '')
[0.8761661052703857] Updated in round 48! max:(0.8571428571428571, 'C=CC(C=C)=Cc1ccc(C=c2ccc(=Cc3ccc(C=C(C=C)C=CC=Cc4ccccc4)cc3)cc2)cc1'), min:(-99999, '')
[0.8794548511505127] Updated in round 49! max:(0.8571428571428571, 'C=CC(C=C)=Cc1ccc(C=c2ccc(=Cc3ccc(C=C(C=C)C=CC=Cc4ccccc4)cc3)cc2)cc1'), min:(-99999, '')
[0.882765531539917] Updated in round 50! max:(0.8571428571428571, 'C=CC(C=C)=Cc1ccc(C=c2ccc(=Cc3ccc(C=C(C=C)C=CC=Cc4ccccc4)cc3)cc2)cc1'), min:(-99999, '')
[0.8868393898010254] Updated in round 51! max:(0.8571428571428571, 'C=CC(C=C)=Cc1ccc(C=c2ccc(=Cc3ccc(C=C(C=C)C=CC=Cc4ccccc4)cc3)cc2)cc1'), min:(-99999, '')
[0.8902392387390137] Updated in round 52! max:(0.8571428571428571, 'C=CC(C=C)=Cc1ccc(C=c2ccc(=Cc3ccc(C=C(C=C)C=CC=Cc4ccccc4)cc3)cc2)cc1'), min:(-99999, '')
[0.893418550491333] Updated in round 53! max:(0.8571428571428571, 'C=CC(C=C)=Cc1ccc(C=c2ccc(=Cc3ccc(C=C(C=C)C=CC=Cc4ccccc4)cc3)cc2)cc1'), min:(-99999, '')
[0.8966832160949707] Updated in round 54! max:(0.8571428571428571, 'C=CC(C=C)=Cc1ccc(C=c2ccc(=Cc3ccc(C=C(C=C)C=CC=Cc4ccccc4)cc3)cc2)cc1'), min:(-99999, '')
[0.9004826545715332] Updated in round 55! max:(0.8571428571428571, 'C=CC(C=C)=Cc1ccc(C=c2ccc(=Cc3ccc(C=C(C=C)C=CC=Cc4ccccc4)cc3)cc2)cc1'), min:(-99999, '')
[0.9037718772888184] Updated in round 56! max:(0.8571428571428571, 'C=CC(C=C)=Cc1ccc(C=c2ccc(=Cc3ccc(C=C(C=C)C=CC=Cc4ccccc4)cc3)cc2)cc1'), min:(-99999, '')
[0.9072730541229248] Updated in round 57! max:(0.8571428571428571, 'C=CC(C=C)=Cc1ccc(C=c2ccc(=Cc3ccc(C=C(C=C)C=CC=Cc4ccccc4)cc3)cc2)cc1'), min:(-99999, '')
[0.9108932018280029] Updated in round 58! max:(0.8571428571428571, 'C=CC(C=C)=Cc1ccc(C=c2ccc(=Cc3ccc(C=C(C=C)C=CC=Cc4ccccc4)cc3)cc2)cc1'), min:(-99999, '')
[0.9170756340026855] Updated in round 59! max:(0.8571428571428571, 'C=CC(C=C)=Cc1ccc(C=c2ccc(=Cc3ccc(C=C(C=C)C=CC=Cc4ccccc4)cc3)cc2)cc1'), min:(-99999, '')
[0.9222860336303711] Updated in round 60! max:(0.8928571428571429, 'C=CC(C=C)=Cc1ccc(C=c2ccc(=Cc3ccc(C=C(C=C)C=CC=Cc4ccc(C=C)cc4)cc3)cc2)cc1'), min:(-99999, '')
[1.1119742393493652] Updated in round 61! max:(0.8928571428571429, 'C=CC(C=C)=Cc1ccc(C=c2ccc(=Cc3ccc(C=C(C=C)C=CC=Cc4ccc(C=C)cc4)cc3)cc2)cc1'), min:(-99999, '')
[1.1160895824432373] Updated in round 62! max:(0.8928571428571429, 'C=CC(C=C)=Cc1ccc(C=c2ccc(=Cc3ccc(C=C(C=C)C=CC=Cc4ccc(C=C)cc4)cc3)cc2)cc1'), min:(-99999, '')
[1.12086820602417] Updated in round 63! max:(0.8928571428571429, 'C=CC(C=C)=Cc1ccc(C=c2ccc(=Cc3ccc(C=C(C=C)C=CC=Cc4ccc(C=C)cc4)cc3)cc2)cc1'), min:(-99999, '')
