[6.103515625e-05]Start running EvoMol from [H][H]...
[0.01289820671081543] Updated in round 1! max:(0.02040816326530612, 'C=C'), min:(-99999, '')
[0.01434469223022461] Updated in round 2! max:(0.04081632653061224, 'C=CC=C'), min:(-99999, '')
[0.017316102981567383] Updated in round 3! max:(0.061224489795918366, 'C=CC=CC=C'), min:(-99999, '')
[0.022463321685791016] Updated in round 4! max:(0.08163265306122448, 'c1ccccc1'), min:(-99999, '')
[0.02734851837158203] Updated in round 5! max:(0.10204081632653061, 'C=Cc1ccccc1'), min:(-99999, '')
[0.031729936599731445] Updated in round 6! max:(0.12244897959183673, 'C=Cc1ccccc1C=C'), min:(-99999, '')
[0.03642868995666504] Updated in round 7! max:(0.14285714285714285, 'C=CC(=C)c1ccccc1C=C'), min:(-99999, '')
[0.042473554611206055] Updated in round 8! max:(0.16326530612244897, 'C=CC=C(C=C)c1ccccc1C=C'), min:(-99999, '')
[0.05058097839355469] Updated in round 9! max:(0.1836734693877551, 'C=CC=Cc1ccccc1C(C=C)=CC=C'), min:(-99999, '')
[0.06105494499206543] Updated in round 10! max:(0.20408163265306123, 'C=CC=Cc1ccccc1C(C=C)=C(C=C)C=C'), min:(-99999, '')
[0.07344484329223633] Updated in round 11! max:(0.20408163265306123, 'C=CC=Cc1ccccc1C(C=C)=C(C=C)C=C'), min:(-99999, '')
[0.07515621185302734] Updated in round 12! max:(0.20408163265306123, 'C=CC=Cc1ccccc1C(C=C)=C(C=C)C=C'), min:(-99999, '')
[0.0771338939666748] Updated in round 13! max:(0.20408163265306123, 'C=CC=Cc1ccccc1C(C=C)=C(C=C)C=C'), min:(-99999, '')
[0.08071494102478027] Updated in round 14! max:(0.22448979591836735, 'C=CC=Cc1ccccc1-c1ccccc1C=C'), min:(-99999, '')
[0.09507489204406738] Updated in round 15! max:(0.24489795918367346, 'C=Cc1ccccc1-c1cccc2ccccc12'), min:(-99999, '')
[0.10809755325317383] Updated in round 16! max:(0.24489795918367346, 'C=Cc1ccccc1-c1cccc2ccccc12'), min:(-99999, '')
[0.1100010871887207] Updated in round 17! max:(0.24489795918367346, 'C=Cc1ccccc1-c1cccc2ccccc12'), min:(-99999, '')
[0.11184263229370117] Updated in round 18! max:(0.24489795918367346, 'C=Cc1ccccc1-c1cccc2ccccc12'), min:(-99999, '')
[0.1136314868927002] Updated in round 19! max:(0.24489795918367346, 'C=Cc1ccccc1-c1cccc2ccccc12'), min:(-99999, '')
[0.11557674407958984] Updated in round 20! max:(0.24489795918367346, 'C=Cc1ccccc1-c1cccc2ccccc12'), min:(-99999, '')
[0.11832451820373535] Updated in round 21! max:(0.2653061224489796, 'C=Cc1cccc(-c2cccc3ccccc23)c1C=C'), min:(-99999, '')
[0.13431286811828613] Updated in round 22! max:(0.2653061224489796, 'C=Cc1cccc(-c2cccc3ccccc23)c1C=C'), min:(-99999, '')
[0.13637876510620117] Updated in round 23! max:(0.2653061224489796, 'C=Cc1cccc(-c2cccc3ccccc23)c1C=C'), min:(-99999, '')
[0.13836312294006348] Updated in round 24! max:(0.2653061224489796, 'C=Cc1cccc(-c2cccc3ccccc23)c1C=C'), min:(-99999, '')
[0.1407606601715088] Updated in round 25! max:(0.2857142857142857, 'c1ccc2c(-c3cccc4ccccc34)cccc2c1'), min:(-99999, '')
[0.15621042251586914] Updated in round 26! max:(0.2857142857142857, 'c1ccc2c(-c3cccc4ccccc34)cccc2c1'), min:(-99999, '')
[0.15843439102172852] Updated in round 27! max:(0.30612244897959184, 'C#Cc1ccc2ccccc2c1-c1cccc2ccccc12'), min:(-99999, '')
[0.17417311668395996] Updated in round 28! max:(0.30612244897959184, 'C#Cc1ccc2ccccc2c1-c1cccc2ccccc12'), min:(-99999, '')
[0.17593097686767578] Updated in round 29! max:(0.30612244897959184, 'C#Cc1ccc2ccccc2c1-c1cccc2ccccc12'), min:(-99999, '')
[0.17759060859680176] Updated in round 30! max:(0.30612244897959184, 'C#Cc1ccc2ccccc2c1-c1cccc2ccccc12'), min:(-99999, '')
[0.1792895793914795] Updated in round 31! max:(0.30612244897959184, 'C#Cc1ccc2ccccc2c1-c1cccc2ccccc12'), min:(-99999, '')
[0.18104934692382812] Updated in round 32! max:(0.30612244897959184, 'C#Cc1ccc2ccccc2c1-c1cccc2ccccc12'), min:(-99999, '')
[0.18282747268676758] Updated in round 33! max:(0.30612244897959184, 'C#Cc1ccc2ccccc2c1-c1cccc2ccccc12'), min:(-99999, '')
[0.18487262725830078] Updated in round 34! max:(0.32653061224489793, 'C#Cc1ccc2ccccc2c1-c1c(C#C)ccc2ccccc12'), min:(-99999, '')
[0.20211553573608398] Updated in round 35! max:(0.3469387755102041, 'C#CC#Cc1ccc2ccccc2c1-c1c(C#C)ccc2ccccc12'), min:(-99999, '')
[0.2196497917175293] Updated in round 36! max:(0.3469387755102041, 'C#CC#Cc1ccc2ccccc2c1-c1c(C#C)ccc2ccccc12'), min:(-99999, '')
[0.22151660919189453] Updated in round 37! max:(0.3469387755102041, 'C#CC#Cc1ccc2ccccc2c1-c1c(C#C)ccc2ccccc12'), min:(-99999, '')
[0.2233719825744629] Updated in round 38! max:(0.3469387755102041, 'C#CC#Cc1ccc2ccccc2c1-c1c(C#C)ccc2ccccc12'), min:(-99999, '')
[0.22530007362365723] Updated in round 39! max:(0.3469387755102041, 'C#CC#Cc1ccc2ccccc2c1-c1c(C#C)ccc2ccccc12'), min:(-99999, '')
[0.2272024154663086] Updated in round 40! max:(0.3469387755102041, 'C#CC#Cc1ccc2ccccc2c1-c1c(C#C)ccc2ccccc12'), min:(-99999, '')
[0.22955060005187988] Updated in round 41! max:(0.3673469387755102, 'C#Cc1ccc2ccccc2c1-c1c(C#CC#CC=C)ccc2ccccc12'), min:(-99999, '')
[0.2528243064880371] Updated in round 42! max:(0.3673469387755102, 'C#Cc1ccc2ccccc2c1-c1c(C#CC#CC=C)ccc2ccccc12'), min:(-99999, '')
[0.25501155853271484] Updated in round 43! max:(0.3673469387755102, 'C#Cc1ccc2ccccc2c1-c1c(C#CC#CC=C)ccc2ccccc12'), min:(-99999, '')
[0.25707030296325684] Updated in round 44! max:(0.3673469387755102, 'C#Cc1ccc2ccccc2c1-c1c(C#CC#CC=C)ccc2ccccc12'), min:(-99999, '')
[0.2592020034790039] Updated in round 45! max:(0.3673469387755102, 'C#Cc1ccc2ccccc2c1-c1c(C#CC#CC=C)ccc2ccccc12'), min:(-99999, '')
[0.2612881660461426] Updated in round 46! max:(0.3673469387755102, 'C#Cc1ccc2ccccc2c1-c1c(C#CC#CC=C)ccc2ccccc12'), min:(-99999, '')
[0.2634093761444092] Updated in round 47! max:(0.3673469387755102, 'C#Cc1ccc2ccccc2c1-c1c(C#CC#CC=C)ccc2ccccc12'), min:(-99999, '')
[0.2659883499145508] Updated in round 48! max:(0.3877551020408163, 'C#CC#Cc1ccc2ccccc2c1-c1c(C#CC#CC=C)ccc2ccccc12'), min:(-99999, '')
[0.29024577140808105] Updated in round 49! max:(0.3877551020408163, 'C#CC#Cc1ccc2ccccc2c1-c1c(C#CC#CC=C)ccc2ccccc12'), min:(-99999, '')
[0.292553186416626] Updated in round 50! max:(0.3877551020408163, 'C#CC#Cc1ccc2ccccc2c1-c1c(C#CC#CC=C)ccc2ccccc12'), min:(-99999, '')
[0.2946946620941162] Updated in round 51! max:(0.3877551020408163, 'C#CC#Cc1ccc2ccccc2c1-c1c(C#CC#CC=C)ccc2ccccc12'), min:(-99999, '')
[0.29694581031799316] Updated in round 52! max:(0.3877551020408163, 'C#CC#Cc1ccc2ccccc2c1-c1c(C#CC#CC=C)ccc2ccccc12'), min:(-99999, '')
[0.2992074489593506] Updated in round 53! max:(0.3877551020408163, 'C#CC#Cc1ccc2ccccc2c1-c1c(C#CC#CC=C)ccc2ccccc12'), min:(-99999, '')
[0.3014051914215088] Updated in round 54! max:(0.3877551020408163, 'C#CC#Cc1ccc2ccccc2c1-c1c(C#CC#CC=C)ccc2ccccc12'), min:(-99999, '')
[0.3041036128997803] Updated in round 55! max:(0.40816326530612246, 'C=CC#CC#Cc1ccc2ccccc2c1-c1c(C#CC#CC=C)ccc2ccccc12'), min:(-99999, '')
[0.3335747718811035] Updated in round 56! max:(0.42857142857142855, 'C=CC#CC#Cc1ccc2ccccc2c1-c1c(C#CC#CC=CC=C)ccc2ccccc12'), min:(-99999, '')
[0.37088441848754883] Updated in round 57! max:(0.42857142857142855, 'C=CC#CC#Cc1ccc2ccccc2c1-c1c(C#CC#CC=CC=C)ccc2ccccc12'), min:(-99999, '')
[0.37447333335876465] Updated in round 58! max:(0.4489795918367347, 'C=CC#CC#Cc1ccc2ccccc2c1-c1c(C#CC#CC(C=C)=CC=C)ccc2ccccc12'), min:(-99999, '')
[0.41729259490966797] Updated in round 59! max:(0.4489795918367347, 'C=CC#CC#Cc1ccc2ccccc2c1-c1c(C#CC#CC(C=C)=CC=C)ccc2ccccc12'), min:(-99999, '')
[0.42003703117370605] Updated in round 60! max:(0.4489795918367347, 'C=CC#CC#Cc1ccc2ccccc2c1-c1c(C#CC#CC(C=C)=CC=C)ccc2ccccc12'), min:(-99999, '')
[0.422637939453125] Updated in round 61! max:(0.4489795918367347, 'C=CC#CC#Cc1ccc2ccccc2c1-c1c(C#CC#CC(C=C)=CC=C)ccc2ccccc12'), min:(-99999, '')
[0.42604947090148926] Updated in round 62! max:(0.46938775510204084, 'C=CC#CC#Cc1ccc2ccccc2c1-c1c(C#CC#CC(C=C)=CC(=C)C=C)ccc2ccccc12'), min:(-99999, '')
[0.47594118118286133] Updated in round 63! max:(0.4897959183673469, 'C=CC#CC#Cc1ccc2ccccc2c1-c1c(C#CC#CC(C=C)=C(C=C)C(=C)C=C)ccc2ccccc12'), min:(-99999, '')
[0.5319480895996094] Updated in round 64! max:(0.4897959183673469, 'C=CC#CC#Cc1ccc2ccccc2c1-c1c(C#CC#CC(C=C)=C(C=C)C(=C)C=C)ccc2ccccc12'), min:(-99999, '')
[0.535200834274292] Updated in round 65! max:(0.4897959183673469, 'C=CC#CC#Cc1ccc2ccccc2c1-c1c(C#CC#CC(C=C)=C(C=C)C(=C)C=C)ccc2ccccc12'), min:(-99999, '')
[0.5384268760681152] Updated in round 66! max:(0.4897959183673469, 'C=CC#CC#Cc1ccc2ccccc2c1-c1c(C#CC#CC(C=C)=C(C=C)C(=C)C=C)ccc2ccccc12'), min:(-99999, '')
[0.5413899421691895] Updated in round 67! max:(0.4897959183673469, 'C=CC#CC#Cc1ccc2ccccc2c1-c1c(C#CC#CC(C=C)=C(C=C)C(=C)C=C)ccc2ccccc12'), min:(-99999, '')
[0.5455892086029053] Updated in round 68! max:(0.5102040816326531, 'C=CC#CC#Cc1ccc2ccccc2c1-c1c(C#CC#CC(C=C)=C(C=C)C(=C)C(=C)C=C)ccc2ccccc12'), min:(-99999, '')
