[5.793571472167969e-05]Start running EvoMol from [H][H]...
[0.0008478164672851562] Updated in round 1! max:(0.16, 'c1ccccc1'), min:(-99999, '')
[0.007329225540161133] Updated in round 2! max:(0.32, 'c1ccc(-c2ccccc2)cc1'), min:(-99999, '')
[0.02475452423095703] Updated in round 3! max:(0.32, 'c1ccc(-c2ccccc2)cc1'), min:(-99999, '')
[0.02669382095336914] Updated in round 4! max:(0.48, 'c1ccc(-c2ccc(-c3ccccc3)cc2)cc1'), min:(-99999, '')
[0.06366133689880371] Updated in round 5! max:(0.48, 'c1ccc(-c2ccc(-c3ccccc3)cc2)cc1'), min:(-99999, '')
[0.0654306411743164] Updated in round 6! max:(0.48, 'c1ccc(-c2ccc(-c3ccccc3)cc2)cc1'), min:(-99999, '')
[0.0684514045715332] Updated in round 7! max:(0.64, 'c1ccc(-c2ccc(-c3ccc(-c4ccccc4)cc3)cc2)cc1'), min:(-99999, '')
[0.13448119163513184] Updated in round 8! max:(0.68, 'C=Cc1ccc(-c2ccc(-c3ccc(-c4ccccc4)cc3)cc2)cc1'), min:(-99999, '')
[0.21224451065063477] Updated in round 9! max:(0.68, 'C=Cc1ccc(-c2ccc(-c3ccc(-c4ccccc4)cc3)cc2)cc1'), min:(-99999, '')
[0.21618437767028809] Updated in round 10! max:(0.68, 'C=Cc1ccc(-c2ccc(-c3ccc(-c4ccccc4)cc3)cc2)cc1'), min:(-99999, '')
[0.21994566917419434] Updated in round 11! max:(0.72, 'C=Cc1ccc(-c2ccc(-c3ccc(-c4ccc(C=C)cc4)cc3)cc2)cc1'), min:(-99999, '')
[0.3042147159576416] Updated in round 12! max:(0.72, 'C=Cc1ccc(-c2ccc(-c3ccc(-c4ccc(C=C)cc4)cc3)cc2)cc1'), min:(-99999, '')
[0.30781054496765137] Updated in round 13! max:(0.72, 'C=Cc1ccc(-c2ccc(-c3ccc(-c4ccc(C=C)cc4)cc3)cc2)cc1'), min:(-99999, '')
[0.3120718002319336] Updated in round 14! max:(0.76, 'C=CC(=C)c1ccc(-c2ccc(-c3ccc(-c4ccc(C=C)cc4)cc3)cc2)cc1'), min:(-99999, '')
[0.40464305877685547] Updated in round 15! max:(0.76, 'C=CC(=C)c1ccc(-c2ccc(-c3ccc(-c4ccc(C=C)cc4)cc3)cc2)cc1'), min:(-99999, '')
[0.40856480598449707] Updated in round 16! max:(0.76, 'C=CC(=C)c1ccc(-c2ccc(-c3ccc(-c4ccc(C=C)cc4)cc3)cc2)cc1'), min:(-99999, '')
[0.41216564178466797] Updated in round 17! max:(0.76, 'C=CC(=C)c1ccc(-c2ccc(-c3ccc(-c4ccc(C=C)cc4)cc3)cc2)cc1'), min:(-99999, '')
[0.4175906181335449] Updated in round 18! max:(0.8, 'C=CC(=C)c1ccc(-c2ccc(-c3ccc(-c4ccc(C(=C)C=C)cc4)cc3)cc2)cc1'), min:(-99999, '')
[0.5200750827789307] Updated in round 19! max:(0.8, 'C=CC(=C)c1ccc(-c2ccc(-c3ccc(-c4ccc(C(=C)C=C)cc4)cc3)cc2)cc1'), min:(-99999, '')
[0.5239429473876953] Updated in round 20! max:(0.8, 'C=CC(=C)c1ccc(-c2ccc(-c3ccc(-c4ccc(C(=C)C=C)cc4)cc3)cc2)cc1'), min:(-99999, '')
[0.5286011695861816] Updated in round 21! max:(0.88, 'C=CC(=C)c1ccc(-c2ccc(-c3ccc(-c4ccc(-c5ccccc5)cc4)cc3)cc2)cc1'), min:(-99999, '')
[0.6699795722961426] Updated in round 22! max:(0.88, 'C=CC(=C)c1ccc(-c2ccc(-c3ccc(-c4ccc(-c5ccccc5)cc4)cc3)cc2)cc1'), min:(-99999, '')
[0.6729791164398193] Updated in round 23! max:(0.88, 'C=CC(=C)c1ccc(-c2ccc(-c3ccc(-c4ccc(-c5ccccc5)cc4)cc3)cc2)cc1'), min:(-99999, '')
[0.676638126373291] Updated in round 24! max:(0.88, 'C=CC(=C)c1ccc(-c2ccc(-c3ccc(-c4ccc(-c5ccccc5)cc4)cc3)cc2)cc1'), min:(-99999, '')
[0.6807448863983154] Updated in round 25! max:(0.88, 'C=CC(=C)c1ccc(-c2ccc(-c3ccc(-c4ccc(-c5ccccc5)cc4)cc3)cc2)cc1'), min:(-99999, '')
[0.6855795383453369] Updated in round 26! max:(0.88, 'C=CC(=C)c1ccc(-c2ccc(-c3ccc(-c4ccc(-c5ccccc5)cc4)cc3)cc2)cc1'), min:(-99999, '')
[0.6895575523376465] Updated in round 27! max:(0.96, 'c1ccc(-c2ccc(-c3ccc(-c4ccc(-c5ccc(-c6ccccc6)cc5)cc4)cc3)cc2)cc1'), min:(-99999, '')
[0.8564729690551758] Updated in round 28! max:(0.96, 'c1ccc(-c2ccc(-c3ccc(-c4ccc(-c5ccc(-c6ccccc6)cc5)cc4)cc3)cc2)cc1'), min:(-99999, '')
[0.8594744205474854] Updated in round 29! max:(0.96, 'c1ccc(-c2ccc(-c3ccc(-c4ccc(-c5ccc(-c6ccccc6)cc5)cc4)cc3)cc2)cc1'), min:(-99999, '')
[0.8637621402740479] Reproduced in round 30!!
