[6.270408630371094e-05]Start running EvoMol from [H][H]...
[0.0012392997741699219] Updated in round 1! max:(0.02702702702702703, 'C=C'), min:(-99999, '')
[0.001959562301635742] Updated in round 2! max:(0.05405405405405406, 'C=CC=C'), min:(-99999, '')
[0.00400996208190918] Updated in round 3! max:(0.08108108108108109, 'C=CC=CC=C'), min:(-99999, '')
[0.006867885589599609] Updated in round 4! max:(0.10810810810810811, 'C=CC=CC=CC=C'), min:(-99999, '')
[0.011033058166503906] Updated in round 5! max:(0.13513513513513514, 'C=c1ccccc1=C'), min:(-99999, '')
[0.014278888702392578] Updated in round 6! max:(0.16216216216216217, 'C=Cc1ccc(=C)c(=C)c1'), min:(-99999, '')
[0.018576383590698242] Updated in round 7! max:(0.1891891891891892, 'C=Cc1ccc(=C)c(=C)c1C=C'), min:(-99999, '')
[0.023687124252319336] Updated in round 8! max:(0.21621621621621623, 'C=CC=Cc1ccc(=C)c(=C)c1C=C'), min:(-99999, '')
[0.03097248077392578] Updated in round 9! max:(0.24324324324324326, 'C=CC(C=C)=Cc1ccc(=C)c(=C)c1C=C'), min:(-99999, '')
[0.039826154708862305] Updated in round 10! max:(0.24324324324324326, 'C=CC(C=C)=Cc1ccc(=C)c(=C)c1C=C'), min:(-99999, '')
[0.0437016487121582] Updated in round 11! max:(0.2702702702702703, 'C=CC=CC(C=C)=Cc1ccc(=C)c(=C)c1C=C'), min:(-99999, '')
[0.057675838470458984] Updated in round 12! max:(0.2972972972972973, 'C=CC=CC=CC(C=C)=Cc1ccc(=C)c(=C)c1C=C'), min:(-99999, '')
[0.07492613792419434] Updated in round 13! max:(0.32432432432432434, 'C=CC(=C)C=CC=CC(C=C)=Cc1ccc(=C)c(=C)c1C=C'), min:(-99999, '')
[0.09728384017944336] Updated in round 14! max:(0.35135135135135137, 'C=CC=CC(=C)C=CC=CC(C=C)=Cc1ccc(=C)c(=C)c1C=C'), min:(-99999, '')
[0.12362074851989746] Updated in round 15! max:(0.35135135135135137, 'C=CC=CC(=C)C=CC=CC(C=C)=Cc1ccc(=C)c(=C)c1C=C'), min:(-99999, '')
[0.1311194896697998] Updated in round 16! max:(0.3783783783783784, 'C=CC=c1c(C(C=C)=Cc2ccc(=C)c(=C)c2C=C)cccc1=C'), min:(-99999, '')
[0.15294122695922852] Updated in round 17! max:(0.3783783783783784, 'C=CC=c1c(C(C=C)=Cc2ccc(=C)c(=C)c2C=C)cccc1=C'), min:(-99999, '')
[0.1574413776397705] Updated in round 18! max:(0.40540540540540543, 'C=CC=c1c(C(=Cc2ccc(=C)c(=C)c2C=C)C(=C)C=C)cccc1=C'), min:(-99999, '')
[0.1824963092803955] Updated in round 19! max:(0.40540540540540543, 'C=CC=c1c(C(=Cc2ccc(=C)c(=C)c2C=C)C(=C)C=C)cccc1=C'), min:(-99999, '')
[0.18590235710144043] Updated in round 20! max:(0.40540540540540543, 'C=CC=c1c(C(=Cc2ccc(=C)c(=C)c2C=C)C(=C)C=C)cccc1=C'), min:(-99999, '')
[0.19097018241882324] Updated in round 21! max:(0.43243243243243246, 'C=CC=c1c(C(C(=C)C=C)=C(C=C)c2ccc(=C)c(=C)c2C=C)cccc1=C'), min:(-99999, '')
[0.22187566757202148] Updated in round 22! max:(0.4594594594594595, 'C=CC=c1c(C(C(=C)C=C)=c2c(=C)ccc3c(=C)c(=C)ccc23)cccc1=C'), min:(-99999, '')
[0.2515981197357178] Updated in round 23! max:(0.4864864864864865, 'C=CC=c1ccc2c(=C(C(=C)C=C)c3cccc(=C)c3=CC=C)c(=C)ccc2c1=C'), min:(-99999, '')
[0.2895233631134033] Updated in round 24! max:(0.5135135135135135, 'C=CC=c1c(C(C(=C)C=C)=c2c(=C)ccc3c2ccc2ccccc23)cccc1=C'), min:(-99999, '')
[0.3289303779602051] Updated in round 25! max:(0.5135135135135135, 'C=CC=c1c(C(C(=C)C=C)=c2c(=C)ccc3c2ccc2ccccc23)cccc1=C'), min:(-99999, '')
[0.333423376083374] Updated in round 26! max:(0.5405405405405406, 'C=CC(=C)C(c1cccc2ccccc12)=c1c(=C)ccc2c1ccc1ccccc12'), min:(-99999, '')
[0.37376976013183594] Updated in round 27! max:(0.5675675675675675, 'C=CC(=C)C(c1cccc2ccccc12)=c1c(=C)ccc2c1ccc1cccc(C=C)c12'), min:(-99999, '')
[0.42223381996154785] Updated in round 28! max:(0.5945945945945946, 'C=CC(=C)C(c1cccc2ccc(C=C)cc12)=c1c(=C)ccc2c1ccc1cccc(C=C)c12'), min:(-99999, '')
[0.47743988037109375] Updated in round 29! max:(0.6216216216216216, 'C=CC(=C)C(c1cccc2ccc(C=C)cc12)=c1c(=C)ccc2c1ccc1cccc(C(=C)C=C)c12'), min:(-99999, '')
[0.5427985191345215] Updated in round 30! max:(0.6486486486486487, 'C=CC(=C)c1cccc2ccc3c(=c4c(=C)ccc5ccc6ccc(C=C)cc6c45)c(=C)ccc3c12'), min:(-99999, '')
[0.607670783996582] Updated in round 31! max:(0.6486486486486487, 'C=CC(=C)c1cccc2ccc3c(=c4c(=C)ccc5ccc6ccc(C=C)cc6c45)c(=C)ccc3c12'), min:(-99999, '')
[0.6156027317047119] Updated in round 32! max:(0.6486486486486487, 'C=CC(=C)c1cccc2ccc3c(=c4c(=C)ccc5ccc6ccc(C=C)cc6c45)c(=C)ccc3c12'), min:(-99999, '')
[0.624047040939331] Updated in round 33! max:(0.6486486486486487, 'C=CC(=C)c1cccc2ccc3c(=c4c(=C)ccc5ccc6ccc(C=C)cc6c45)c(=C)ccc3c12'), min:(-99999, '')
[0.6314225196838379] Updated in round 34! max:(0.6756756756756757, 'C=CC(=C)c1cccc2ccc3c(ccc4ccc5ccc6ccc7ccc(C=C)cc7c6c5c43)c12'), min:(-99999, '')
[0.7051911354064941] Updated in round 35! max:(0.6756756756756757, 'C=CC(=C)c1cccc2ccc3c(ccc4ccc5ccc6ccc7ccc(C=C)cc7c6c5c43)c12'), min:(-99999, '')
