[7.772445678710938e-05]Start running EvoMol from [H][H]...
[0.02022862434387207] Updated in round 1! max:(0.06557377049180328, 'c1ccccc1'), min:(-99999, '')
[0.02691507339477539] Updated in round 2! max:(0.13114754098360656, 'c1ccc(-c2ccccc2)cc1'), min:(-99999, '')
[0.04641294479370117] Updated in round 3! max:(0.19672131147540983, 'c1ccc(-c2ccccc2-c2ccccc2)cc1'), min:(-99999, '')
[0.09527730941772461] Updated in round 4! max:(0.26229508196721313, 'c1ccc(-c2cccc(-c3ccccc3-c3ccccc3)c2)cc1'), min:(-99999, '')
[1.331310749053955] Updated in round 5! max:(0.26229508196721313, 'c1ccc(-c2cccc(-c3ccccc3-c3ccccc3)c2)cc1'), min:(-99999, '')
[1.3913776874542236] Updated in round 6! max:(0.2786885245901639, 'C=Cc1cccc(-c2cccc(-c3ccccc3)c2)c1-c1ccccc1'), min:(-99999, '')
[1.8593709468841553] Updated in round 7! max:(0.29508196721311475, 'C=Cc1cccc(-c2c(C=C)cccc2-c2cccc(-c3ccccc3)c2)c1'), min:(-99999, '')
[6.663999080657959] Updated in round 8! max:(0.36065573770491804, 'C=Cc1cccc(-c2cccc(-c3ccccc3)c2)c1-c1cccc(C=Cc2ccccc2)c1'), min:(-99999, '')
[7.294895887374878] Updated in round 9! max:(0.3770491803278688, 'C=Cc1cc(C=C)c(-c2cccc(C=Cc3ccccc3)c2)c(-c2cccc(-c3ccccc3)c2)c1'), min:(-99999, '')
[11.875755548477173] Updated in round 10! max:(0.3770491803278688, 'C=Cc1cc(C=C)c(-c2cccc(C=Cc3ccccc3)c2)c(-c2cccc(-c3ccccc3)c2)c1'), min:(-99999, '')
[15.763597249984741] Updated in round 11! max:(0.3770491803278688, 'C=Cc1cc(C=C)c(-c2cccc(C=Cc3ccccc3)c2)c(-c2cccc(-c3ccccc3)c2)c1'), min:(-99999, '')
[17.29621195793152] Updated in round 12! max:(0.3770491803278688, 'C=Cc1cc(C=C)c(-c2cccc(C=Cc3ccccc3)c2)c(-c2cccc(-c3ccccc3)c2)c1'), min:(-99999, '')
[19.741941452026367] Updated in round 13! max:(0.3770491803278688, 'C=Cc1cc(C=C)c(-c2cccc(C=Cc3ccccc3)c2)c(-c2cccc(-c3ccccc3)c2)c1'), min:(-99999, '')
[22.594007968902588] Updated in round 14! max:(0.4426229508196721, 'C=Cc1cc(-c2cccc(-c3ccccc3)c2)c(-c2cccc(C=Cc3ccccc3)c2)c(C=C)c1-c1ccccc1'), min:(-99999, '')
[24.5461688041687] Updated in round 15! max:(0.4426229508196721, 'C=Cc1cc(-c2cccc(-c3ccccc3)c2)c(-c2cccc(C=Cc3ccccc3)c2)c(C=C)c1-c1ccccc1'), min:(-99999, '')
[25.763420820236206] Updated in round 16! max:(0.4918032786885246, 'C=Cc1cc(-c2cccc(-c3cccc4ccccc34)c2)c(-c2cccc(C=Cc3ccccc3)c2)c(C=C)c1-c1ccccc1'), min:(-99999, '')
[35.75970911979675] Updated in round 17! max:(0.4918032786885246, 'C=Cc1cc(-c2cccc(-c3cccc4ccccc34)c2)c(-c2cccc(C=Cc3ccccc3)c2)c(C=C)c1-c1ccccc1'), min:(-99999, '')
