[6.771087646484375e-05]Start running EvoMol from [H][H]...
[0.8264472484588623] Updated in round 38! max:(0.6122448979591837, 'C(C#Cc1ccc2ccccc2c1-c1cccc2ccccc12)#Cc1ccc2ccccc2c1-c1cccc2ccccc12'), min:(-99999, '')
[0.8295166492462158] Updated in round 39! max:(0.6122448979591837, 'C(C#Cc1ccc2ccccc2c1-c1cccc2ccccc12)#Cc1ccc2ccccc2c1-c1cccc2ccccc12'), min:(-99999, '')
[0.832528829574585] Updated in round 40! max:(0.6122448979591837, 'C(C#Cc1ccc2ccccc2c1-c1cccc2ccccc12)#Cc1ccc2ccccc2c1-c1cccc2ccccc12'), min:(-99999, '')
[0.8354449272155762] Updated in round 41! max:(0.6122448979591837, 'C(C#Cc1ccc2ccccc2c1-c1cccc2ccccc12)#Cc1ccc2ccccc2c1-c1cccc2ccccc12'), min:(-99999, '')
[0.8384406566619873] Updated in round 42! max:(0.6122448979591837, 'C(C#Cc1ccc2ccccc2c1-c1cccc2ccccc12)#Cc1ccc2ccccc2c1-c1cccc2ccccc12'), min:(-99999, '')
[0.8415615558624268] Updated in round 43! max:(0.6122448979591837, 'C(C#Cc1ccc2ccccc2c1-c1cccc2ccccc12)#Cc1ccc2ccccc2c1-c1cccc2ccccc12'), min:(-99999, '')
[0.8445971012115479] Updated in round 44! max:(0.6122448979591837, 'C(C#Cc1ccc2ccccc2c1-c1cccc2ccccc12)#Cc1ccc2ccccc2c1-c1cccc2ccccc12'), min:(-99999, '')
[0.8475627899169922] Updated in round 45! max:(0.6122448979591837, 'C(C#Cc1ccc2ccccc2c1-c1cccc2ccccc12)#Cc1ccc2ccccc2c1-c1cccc2ccccc12'), min:(-99999, '')
[0.8507072925567627] Updated in round 46! max:(0.6122448979591837, 'C(C#Cc1ccc2ccccc2c1-c1cccc2ccccc12)#Cc1ccc2ccccc2c1-c1cccc2ccccc12'), min:(-99999, '')
[0.853783369064331] Updated in round 47! max:(0.6122448979591837, 'C(C#Cc1ccc2ccccc2c1-c1cccc2ccccc12)#Cc1ccc2ccccc2c1-c1cccc2ccccc12'), min:(-99999, '')
[0.8567874431610107] Updated in round 48! max:(0.6122448979591837, 'C(C#Cc1ccc2ccccc2c1-c1cccc2ccccc12)#Cc1ccc2ccccc2c1-c1cccc2ccccc12'), min:(-99999, '')
[0.8598277568817139] Updated in round 49! max:(0.6122448979591837, 'C(C#Cc1ccc2ccccc2c1-c1cccc2ccccc12)#Cc1ccc2ccccc2c1-c1cccc2ccccc12'), min:(-99999, '')
[0.862924337387085] Updated in round 50! max:(0.6122448979591837, 'C(C#Cc1ccc2ccccc2c1-c1cccc2ccccc12)#Cc1ccc2ccccc2c1-c1cccc2ccccc12'), min:(-99999, '')
[0.8659276962280273] Updated in round 51! max:(0.6122448979591837, 'C(C#Cc1ccc2ccccc2c1-c1cccc2ccccc12)#Cc1ccc2ccccc2c1-c1cccc2ccccc12'), min:(-99999, '')
[0.8693680763244629] Updated in round 52! max:(0.6326530612244898, 'C#Cc1ccc2ccccc2c1-c1c(C#CC#Cc2ccc3ccccc3c2-c2cccc3ccccc23)ccc2ccccc12'), min:(-99999, '')
[0.9856765270233154] Updated in round 53! max:(0.6326530612244898, 'C#Cc1ccc2ccccc2c1-c1c(C#CC#Cc2ccc3ccccc3c2-c2cccc3ccccc23)ccc2ccccc12'), min:(-99999, '')
[0.988776445388794] Updated in round 54! max:(0.6326530612244898, 'C#Cc1ccc2ccccc2c1-c1c(C#CC#Cc2ccc3ccccc3c2-c2cccc3ccccc23)ccc2ccccc12'), min:(-99999, '')
[0.9919912815093994] Updated in round 55! max:(0.6326530612244898, 'C#Cc1ccc2ccccc2c1-c1c(C#CC#Cc2ccc3ccccc3c2-c2cccc3ccccc23)ccc2ccccc12'), min:(-99999, '')
[0.9950840473175049] Updated in round 56! max:(0.6326530612244898, 'C#Cc1ccc2ccccc2c1-c1c(C#CC#Cc2ccc3ccccc3c2-c2cccc3ccccc23)ccc2ccccc12'), min:(-99999, '')
[0.9982485771179199] Updated in round 57! max:(0.6326530612244898, 'C#Cc1ccc2ccccc2c1-c1c(C#CC#Cc2ccc3ccccc3c2-c2cccc3ccccc23)ccc2ccccc12'), min:(-99999, '')
[1.0015995502471924] Updated in round 58! max:(0.6326530612244898, 'C#Cc1ccc2ccccc2c1-c1c(C#CC#Cc2ccc3ccccc3c2-c2cccc3ccccc23)ccc2ccccc12'), min:(-99999, '')
[1.0046710968017578] Updated in round 59! max:(0.6326530612244898, 'C#Cc1ccc2ccccc2c1-c1c(C#CC#Cc2ccc3ccccc3c2-c2cccc3ccccc23)ccc2ccccc12'), min:(-99999, '')
[1.007721185684204] Updated in round 60! max:(0.6326530612244898, 'C#Cc1ccc2ccccc2c1-c1c(C#CC#Cc2ccc3ccccc3c2-c2cccc3ccccc23)ccc2ccccc12'), min:(-99999, '')
[1.0109033584594727] Updated in round 61! max:(0.6326530612244898, 'C#Cc1ccc2ccccc2c1-c1c(C#CC#Cc2ccc3ccccc3c2-c2cccc3ccccc23)ccc2ccccc12'), min:(-99999, '')
[1.0140838623046875] Updated in round 62! max:(0.6326530612244898, 'C#Cc1ccc2ccccc2c1-c1c(C#CC#Cc2ccc3ccccc3c2-c2cccc3ccccc23)ccc2ccccc12'), min:(-99999, '')
[1.0173454284667969] Updated in round 63! max:(0.6326530612244898, 'C#Cc1ccc2ccccc2c1-c1c(C#CC#Cc2ccc3ccccc3c2-c2cccc3ccccc23)ccc2ccccc12'), min:(-99999, '')
[1.0205297470092773] Updated in round 64! max:(0.6326530612244898, 'C#Cc1ccc2ccccc2c1-c1c(C#CC#Cc2ccc3ccccc3c2-c2cccc3ccccc23)ccc2ccccc12'), min:(-99999, '')
[1.0236361026763916] Updated in round 65! max:(0.6326530612244898, 'C#Cc1ccc2ccccc2c1-c1c(C#CC#Cc2ccc3ccccc3c2-c2cccc3ccccc23)ccc2ccccc12'), min:(-99999, '')
[1.026855707168579] Updated in round 66! max:(0.6326530612244898, 'C#Cc1ccc2ccccc2c1-c1c(C#CC#Cc2ccc3ccccc3c2-c2cccc3ccccc23)ccc2ccccc12'), min:(-99999, '')
[1.0299246311187744] Updated in round 67! max:(0.6326530612244898, 'C#Cc1ccc2ccccc2c1-c1c(C#CC#Cc2ccc3ccccc3c2-c2cccc3ccccc23)ccc2ccccc12'), min:(-99999, '')
