[6.175041198730469e-05]Start running EvoMol from [H][H]...
[0.001131296157836914] Updated in round 1! max:(0.12903225806451613, 'c1ccccc1'), min:(-99999, '')
[0.0073659420013427734] Updated in round 2! max:(0.16129032258064516, 'C#Cc1ccccc1'), min:(-99999, '')
[0.013415336608886719] Updated in round 3! max:(0.16129032258064516, 'C#Cc1ccccc1'), min:(-99999, '')
[0.014438390731811523] Updated in round 4! max:(0.16129032258064516, 'C#Cc1ccccc1'), min:(-99999, '')
[0.018656492233276367] Updated in round 5! max:(0.2903225806451613, 'C(#Cc1ccccc1)c1ccccc1'), min:(-99999, '')
[0.03651690483093262] Updated in round 6! max:(0.2903225806451613, 'C(#Cc1ccccc1)c1ccccc1'), min:(-99999, '')
[0.03766918182373047] Updated in round 7! max:(0.2903225806451613, 'C(#Cc1ccccc1)c1ccccc1'), min:(-99999, '')
[0.05099058151245117] Updated in round 8! max:(0.3225806451612903, 'C#Cc1ccc(C#Cc2ccccc2)cc1'), min:(-99999, '')
[0.06949758529663086] Updated in round 9! max:(0.45161290322580644, 'C(#Cc1ccc(C#Cc2ccccc2)cc1)c1ccccc1'), min:(-99999, '')
[0.10754084587097168] Updated in round 10! max:(0.45161290322580644, 'C(#Cc1ccc(C#Cc2ccccc2)cc1)c1ccccc1'), min:(-99999, '')
[0.1109166145324707] Updated in round 11! max:(0.4838709677419355, 'C#Cc1ccc(C#Cc2ccc(C#Cc3ccccc3)cc2)cc1'), min:(-99999, '')
[0.15012216567993164] Updated in round 12! max:(0.4838709677419355, 'C#Cc1ccc(C#Cc2ccc(C#Cc3ccccc3)cc2)cc1'), min:(-99999, '')
[0.1524343490600586] Updated in round 13! max:(0.4838709677419355, 'C#Cc1ccc(C#Cc2ccc(C#Cc3ccccc3)cc2)cc1'), min:(-99999, '')
[0.15539860725402832] Updated in round 14! max:(0.6129032258064516, 'C(#Cc1ccc(C#Cc2ccc(C#Cc3ccccc3)cc2)cc1)c1ccccc1'), min:(-99999, '')
[0.22567272186279297] Updated in round 15! max:(0.6129032258064516, 'C(#Cc1ccc(C#Cc2ccc(C#Cc3ccccc3)cc2)cc1)c1ccccc1'), min:(-99999, '')
[0.22863268852233887] Updated in round 16! max:(0.6451612903225806, 'C#Cc1ccc(C#Cc2ccc(C#Cc3ccc(C#Cc4ccccc4)cc3)cc2)cc1'), min:(-99999, '')
[0.30087804794311523] Updated in round 17! max:(0.7741935483870968, 'C(#Cc1ccc(C#Cc2ccc(C#Cc3ccc(C#Cc4ccccc4)cc3)cc2)cc1)c1ccccc1'), min:(-99999, '')
[0.41914987564086914] Updated in round 18! max:(0.7741935483870968, 'C(#Cc1ccc(C#Cc2ccc(C#Cc3ccc(C#Cc4ccccc4)cc3)cc2)cc1)c1ccccc1'), min:(-99999, '')
[0.4224584102630615] Updated in round 19! max:(0.7741935483870968, 'C(#Cc1ccc(C#Cc2ccc(C#Cc3ccc(C#Cc4ccccc4)cc3)cc2)cc1)c1ccccc1'), min:(-99999, '')
[0.42630672454833984] Updated in round 20! max:(0.7741935483870968, 'C(#Cc1ccc(C#Cc2ccc(C#Cc3ccc(C#Cc4ccccc4)cc3)cc2)cc1)c1ccccc1'), min:(-99999, '')
[0.43226051330566406] Updated in round 21! max:(0.8064516129032258, 'C#Cc1ccc(C#Cc2ccc(C#Cc3ccc(C#Cc4ccc(C#Cc5ccccc5)cc4)cc3)cc2)cc1'), min:(-99999, '')
[0.5520260334014893] Updated in round 22! max:(0.8064516129032258, 'C#Cc1ccc(C#Cc2ccc(C#Cc3ccc(C#Cc4ccc(C#Cc5ccccc5)cc4)cc3)cc2)cc1'), min:(-99999, '')
[0.5579566955566406] Updated in round 23! max:(0.9354838709677419, 'C(#Cc1ccc(C#Cc2ccc(C#Cc3ccc(C#Cc4ccc(C#Cc5ccccc5)cc4)cc3)cc2)cc1)c1ccccc1'), min:(-99999, '')
[0.7408897876739502] Updated in round 24! max:(0.9354838709677419, 'C(#Cc1ccc(C#Cc2ccc(C#Cc3ccc(C#Cc4ccc(C#Cc5ccccc5)cc4)cc3)cc2)cc1)c1ccccc1'), min:(-99999, '')
[0.745194673538208] Updated in round 25! max:(0.9354838709677419, 'C(#Cc1ccc(C#Cc2ccc(C#Cc3ccc(C#Cc4ccc(C#Cc5ccccc5)cc4)cc3)cc2)cc1)c1ccccc1'), min:(-99999, '')
[0.7527532577514648] Updated in round 26! max:(0.9354838709677419, 'C(#Cc1ccc(C#Cc2ccc(C#Cc3ccc(C#Cc4ccc(C#Cc5ccccc5)cc4)cc3)cc2)cc1)c1ccccc1'), min:(-99999, '')
[0.7572109699249268] Updated in round 27! max:(0.967741935483871, 'C#Cc1ccc(C#Cc2ccc(C#Cc3ccc(C#Cc4ccc(C#Cc5ccc(C#Cc6ccccc6)cc5)cc4)cc3)cc2)cc1'), min:(-99999, '')
[0.9391179084777832] Reproduced in round 28!!
