[6.127357482910156e-05]Start running EvoMol from [H][H]...
[0.039434194564819336] Updated in round 1! max:(0.02702702702702703, 'C=C'), min:(-99999, '')
[0.07941317558288574] Updated in round 2! max:(0.05405405405405406, 'C=CC=C'), min:(-99999, '')
[0.14441204071044922] Updated in round 3! max:(0.08108108108108109, 'C=CC=CC=C'), min:(-99999, '')
[0.2228257656097412] Updated in round 4! max:(0.10810810810810811, 'C=CC=CC(=C)C=C'), min:(-99999, '')
[0.27988219261169434] Updated in round 5! max:(0.13513513513513514, 'C=c1ccc(=C)cc1'), min:(-99999, '')
[0.30859947204589844] Updated in round 6! max:(0.16216216216216217, 'C=Cc1cc(=C)ccc1=C'), min:(-99999, '')
[0.3137505054473877] Updated in round 7! max:(0.16216216216216217, 'C=Cc1cc(=C)ccc1=C'), min:(-99999, '')
[0.31582164764404297] Updated in round 8! max:(0.1891891891891892, 'C=CC=c1ccc(=C)cc1C=C'), min:(-99999, '')
[0.32414889335632324] Updated in round 9! max:(0.21621621621621623, 'C=c1ccc2cc(=C)ccc2c1'), min:(-99999, '')
[0.332275390625] Updated in round 10! max:(0.24324324324324326, 'C=CC=c1ccc2cc(=C)ccc2c1'), min:(-99999, '')
[0.3427894115447998] Updated in round 11! max:(0.24324324324324326, 'C=CC=c1ccc2cc(=C)ccc2c1'), min:(-99999, '')
[0.3453841209411621] Updated in round 12! max:(0.2702702702702703, 'C=CC=c1ccc2cc(=CC=C)ccc2c1'), min:(-99999, '')
[0.38238048553466797] Updated in round 13! max:(0.2702702702702703, 'C=CC=c1ccc2cc(=CC=C)ccc2c1'), min:(-99999, '')
[0.40990304946899414] Updated in round 14! max:(0.2972972972972973, 'C=CC=c1ccc2cc(=CC=C)c(C=C)cc2c1'), min:(-99999, '')
[0.42691564559936523] Updated in round 15! max:(0.2972972972972973, 'C=CC=c1ccc2cc(=CC=C)c(C=C)cc2c1'), min:(-99999, '')
[0.43005943298339844] Updated in round 16! max:(0.32432432432432434, 'C=CC=c1ccc2cc3cc(=C)ccc3cc2c1'), min:(-99999, '')
[0.46012115478515625] Updated in round 17! max:(0.32432432432432434, 'C=CC=c1ccc2cc3cc(=C)ccc3cc2c1'), min:(-99999, '')
[0.4635810852050781] Updated in round 18! max:(0.35135135135135137, 'C=CC(=C)C=c1ccc2cc3cc(=C)ccc3cc2c1'), min:(-99999, '')
[0.4847879409790039] Updated in round 19! max:(0.35135135135135137, 'C=CC(=C)C=c1ccc2cc3cc(=C)ccc3cc2c1'), min:(-99999, '')
[0.48842835426330566] Updated in round 20! max:(0.3783783783783784, 'C=c1ccc2cc3cc4cc(=C)ccc4cc3cc2c1'), min:(-99999, '')
[0.5091876983642578] Updated in round 21! max:(0.3783783783783784, 'C=c1ccc2cc3cc4cc(=C)ccc4cc3cc2c1'), min:(-99999, '')
[0.5121505260467529] Updated in round 22! max:(0.40540540540540543, 'C=CC=c1ccc2cc3cc4cc(=C)ccc4cc3cc2c1'), min:(-99999, '')
[0.5403096675872803] Updated in round 23! max:(0.43243243243243246, 'C=CC=c1cc2cc3cc4ccc(=C)cc4cc3cc2cc1C=C'), min:(-99999, '')
[0.5714077949523926] Updated in round 24! max:(0.43243243243243246, 'C=CC=c1cc2cc3cc4ccc(=C)cc4cc3cc2cc1C=C'), min:(-99999, '')
[0.5744190216064453] Updated in round 25! max:(0.43243243243243246, 'C=CC=c1cc2cc3cc4ccc(=C)cc4cc3cc2cc1C=C'), min:(-99999, '')
[0.5779047012329102] Updated in round 26! max:(0.4594594594594595, 'C=CC=c1ccc2cc3cc4cc(=CC=C)c(C=C)cc4cc3cc2c1'), min:(-99999, '')
[0.6166293621063232] Updated in round 27! max:(0.4594594594594595, 'C=CC=c1ccc2cc3cc4cc(=CC=C)c(C=C)cc4cc3cc2c1'), min:(-99999, '')
[0.6202659606933594] Updated in round 28! max:(0.4594594594594595, 'C=CC=c1ccc2cc3cc4cc(=CC=C)c(C=C)cc4cc3cc2c1'), min:(-99999, '')
[0.6235120296478271] Updated in round 29! max:(0.4594594594594595, 'C=CC=c1ccc2cc3cc4cc(=CC=C)c(C=C)cc4cc3cc2c1'), min:(-99999, '')
[0.6277790069580078] Updated in round 30! max:(0.4864864864864865, 'C=CC=CC=c1ccc2cc3cc4cc(=CC=C)c(C=C)cc4cc3cc2c1'), min:(-99999, '')
[0.6778519153594971] Updated in round 31! max:(0.4864864864864865, 'C=CC=CC=c1ccc2cc3cc4cc(=CC=C)c(C=C)cc4cc3cc2c1'), min:(-99999, '')
