[5.459785461425781e-05]Start running EvoMol from [H][H]...
[0.0008180141448974609] Updated in round 1! max:(0.16, 'c1ccccc1'), min:(-99999, '')
[0.007154226303100586] Updated in round 2! max:(0.2, 'C=Cc1ccccc1'), min:(-99999, '')
[0.015550613403320312] Updated in round 3! max:(0.2, 'C=Cc1ccccc1'), min:(-99999, '')
[0.018095731735229492] Updated in round 4! max:(0.36, 'C=C(c1ccccc1)c1ccccc1'), min:(-99999, '')
[0.038167715072631836] Updated in round 5! max:(0.36, 'C=C(c1ccccc1)c1ccccc1'), min:(-99999, '')
[0.039795875549316406] Updated in round 6! max:(0.36, 'C=C(c1ccccc1)c1ccccc1'), min:(-99999, '')
[0.04314160346984863] Updated in round 7! max:(0.4, 'C=CC=C(c1ccccc1)c1ccccc1'), min:(-99999, '')
[0.06903910636901855] Updated in round 8! max:(0.44, 'C=CC=CC=C(c1ccccc1)c1ccccc1'), min:(-99999, '')
[0.10645031929016113] Updated in round 9! max:(0.44, 'C=CC=CC=C(c1ccccc1)c1ccccc1'), min:(-99999, '')
[0.10948395729064941] Updated in round 10! max:(0.44, 'C=CC=CC=C(c1ccccc1)c1ccccc1'), min:(-99999, '')
[0.11644101142883301] Updated in round 11! max:(0.48, 'C=CC=CC(C=C)=C(c1ccccc1)c1ccccc1'), min:(-99999, '')
[0.15060162544250488] Updated in round 12! max:(0.48, 'C=CC=CC(C=C)=C(c1ccccc1)c1ccccc1'), min:(-99999, '')
[0.15258216857910156] Updated in round 13! max:(0.52, 'C=c1ccc(=C(c2ccccc2)c2ccccc2)cc1'), min:(-99999, '')
[0.189713716506958] Updated in round 14! max:(0.52, 'C=c1ccc(=C(c2ccccc2)c2ccccc2)cc1'), min:(-99999, '')
[0.19240641593933105] Updated in round 15! max:(0.52, 'C=c1ccc(=C(c2ccccc2)c2ccccc2)cc1'), min:(-99999, '')
[0.1940748691558838] Updated in round 16! max:(0.52, 'C=c1ccc(=C(c2ccccc2)c2ccccc2)cc1'), min:(-99999, '')
[0.1959059238433838] Updated in round 17! max:(0.52, 'C=c1ccc(=C(c2ccccc2)c2ccccc2)cc1'), min:(-99999, '')
