[9.369850158691406e-05]Start running EvoMol from [H][H]...
[995.9827010631561] Updated in round 29! max:(0.6885245901639344, 'C=Cc1c2cc3c4ccc5ccc6cc7c(=C)c8c(c2cc2c(cc(=CC=Cc9ccccc9)c9cccc(c9)c14)c1ccc(-c4ccccc4)cc1c28)c7cc6c53'), min:(-99999, '')
[3775.476079940796] Updated in round 30! max:(0.6885245901639344, 'C=Cc1c2cc3c4ccc5ccc6cc7c(=C)c8c(c2cc2c(cc(=CC=Cc9ccccc9)c9cccc(c9)c14)c1ccc(-c4ccccc4)cc1c28)c7cc6c53'), min:(-99999, '')
[3787.9841015338898] Updated in round 31! max:(0.6885245901639344, 'C=Cc1c2cc3c4ccc5ccc6cc7c(=C)c8c(c2cc2c(cc(=CC=Cc9ccccc9)c9cccc(c9)c14)c1ccc(-c4ccccc4)cc1c28)c7cc6c53'), min:(-99999, '')
[4316.793409109116] Updated in round 32! max:(0.6885245901639344, 'C=Cc1c2cc3c4ccc5ccc6cc7c(=C)c8c(c2cc2c(cc(=CC=Cc9ccccc9)c9cccc(c9)c14)c1ccc(-c4ccccc4)cc1c28)c7cc6c53'), min:(-99999, '')
[4427.4127542972565] Updated in round 33! max:(0.6885245901639344, 'C=Cc1c2cc3c4ccc5ccc6cc7c(=C)c8c(c2cc2c(cc(=CC=Cc9ccccc9)c9cccc(c9)c14)c1ccc(-c4ccccc4)cc1c28)c7cc6c53'), min:(-99999, '')
[5212.348646402359] Updated in round 34! max:(0.6885245901639344, 'C=Cc1c2cc3c4ccc5ccc6cc7c(=C)c8c(c2cc2c(cc(=CC=Cc9ccccc9)c9cccc(c9)c14)c1ccc(-c4ccccc4)cc1c28)c7cc6c53'), min:(-99999, '')
[5317.536038160324] Updated in round 35! max:(0.7049180327868853, 'C=Cc1ccccc1C=CC=c1cc2c3ccc(-c4ccccc4)cc3c3c2cc2c4cc5c(ccc6ccc7cc8c(=C)c3c2c8cc7c65)c(c4C=C)c2cccc1c2'), min:(-99999, '')
[5326.5807201862335] Updated in round 36! max:(0.7049180327868853, 'C=Cc1ccccc1C=CC=c1cc2c3ccc(-c4ccccc4)cc3c3c2cc2c4cc5c(ccc6ccc7cc8c(=C)c3c2c8cc7c65)c(c4C=C)c2cccc1c2'), min:(-99999, '')
[5337.961357355118] Updated in round 37! max:(0.7049180327868853, 'C=Cc1ccccc1C=CC=c1cc2c3ccc(-c4ccccc4)cc3c3c2cc2c4cc5c(ccc6ccc7cc8c(=C)c3c2c8cc7c65)c(c4C=C)c2cccc1c2'), min:(-99999, '')
[5342.977607727051] Updated in round 38! max:(0.7213114754098361, 'C=Cc1ccccc1C=CC=c1cc2c3ccc(-c4ccccc4)cc3c3c4c(=C)c5cc6ccc7ccc8c9cc%10c(c(=C)c(c23)c%10c4c5cc6c79)c8c2cccc1c2'), min:(-99999, '')
