[0.011400222778320312]Start running EvoMol from [H][H]...
[0.20640254020690918] Updated in round 55! max:(0.5294117647058824, 'C1#CC(c2ccccc2)=C1c1ccccc1'), min:(-99999, '')
[0.20731139183044434] Updated in round 56! max:(0.5294117647058824, 'C1#CC(c2ccccc2)=C1c1ccccc1'), min:(-99999, '')
[0.21973109245300293] Updated in round 57! max:(0.5294117647058824, 'C1#CC(c2ccccc2)=C1c1ccccc1'), min:(-99999, '')
[0.22069358825683594] Updated in round 58! max:(0.5294117647058824, 'C1#CC(c2ccccc2)=C1c1ccccc1'), min:(-99999, '')
[0.2215895652770996] Updated in round 59! max:(0.6041666666666666, 'C1#CC(c2cccc(-c3ccccc3)c2)=C1'), min:(-99999, '')
[0.2337796688079834] Updated in round 60! max:(0.6041666666666666, 'C1#CC(c2cccc(-c3ccccc3)c2)=C1'), min:(-99999, '')
[0.23463106155395508] Updated in round 61! max:(0.6041666666666666, 'C1#CC(c2cccc(-c3ccccc3)c2)=C1'), min:(-99999, '')
[0.23543453216552734] Updated in round 62! max:(0.6041666666666666, 'C1#CC(c2cccc(-c3ccccc3)c2)=C1'), min:(-99999, '')
[0.2361774444580078] Updated in round 63! max:(0.6041666666666666, 'C1#CC(c2cccc(-c3ccccc3)c2)=C1'), min:(-99999, '')
[0.2369222640991211] Updated in round 64! max:(0.6041666666666666, 'C1#CC(c2cccc(-c3ccccc3)c2)=C1'), min:(-99999, '')
[0.2506678104400635] Updated in round 65! max:(0.6041666666666666, 'C1#CC(c2cccc(-c3ccccc3)c2)=C1'), min:(-99999, '')
[0.2632288932800293] Updated in round 66! max:(0.6511627906976745, 'C=Cc1cccc(-c2ccccc2)c1'), min:(-99999, '')
[0.27462339401245117] Updated in round 67! max:(0.6511627906976745, 'C=Cc1cccc(-c2ccccc2)c1'), min:(-99999, '')
[0.27537059783935547] Updated in round 68! max:(0.7837837837837838, 'c1ccc(-c2ccccc2)cc1'), min:(-99999, '')
[0.28429436683654785] Updated in round 69! max:(0.7837837837837838, 'c1ccc(-c2ccccc2)cc1'), min:(-99999, '')
[0.2849757671356201] Updated in round 70! max:(0.7837837837837838, 'c1ccc(-c2ccccc2)cc1'), min:(-99999, '')
[0.28577542304992676] Updated in round 71! max:(0.7837837837837838, 'c1ccc(-c2ccccc2)cc1'), min:(-99999, '')
[0.28653907775878906] Updated in round 72! max:(0.7837837837837838, 'c1ccc(-c2ccccc2)cc1'), min:(-99999, '')
[0.28725576400756836] Updated in round 73! max:(0.7837837837837838, 'c1ccc(-c2ccccc2)cc1'), min:(-99999, '')
[0.29709458351135254] Updated in round 74! max:(0.7837837837837838, 'c1ccc(-c2ccccc2)cc1'), min:(-99999, '')
[0.29784464836120605] Updated in round 75! max:(0.7837837837837838, 'c1ccc(-c2ccccc2)cc1'), min:(-99999, '')
[0.29852294921875] Updated in round 76! max:(0.7837837837837838, 'c1ccc(-c2ccccc2)cc1'), min:(-99999, '')
[0.2992434501647949] Updated in round 77! max:(0.7837837837837838, 'c1ccc(-c2ccccc2)cc1'), min:(-99999, '')
[0.29988646507263184] Updated in round 78! max:(0.7837837837837838, 'c1ccc(-c2ccccc2)cc1'), min:(-99999, '')
[0.3082857131958008] Updated in round 79! max:(0.7837837837837838, 'c1ccc(-c2ccccc2)cc1'), min:(-99999, '')
[0.30905938148498535] Updated in round 80! max:(0.7837837837837838, 'c1ccc(-c2ccccc2)cc1'), min:(-99999, '')
[0.3098115921020508] Updated in round 81! max:(0.7837837837837838, 'c1ccc(-c2ccccc2)cc1'), min:(-99999, '')
[0.3106367588043213] Updated in round 82! max:(0.7837837837837838, 'c1ccc(-c2ccccc2)cc1'), min:(-99999, '')
[0.31140947341918945] Updated in round 83! max:(0.7837837837837838, 'c1ccc(-c2ccccc2)cc1'), min:(-99999, '')
[0.3121962547302246] Updated in round 84! max:(0.7837837837837838, 'c1ccc(-c2ccccc2)cc1'), min:(-99999, '')
[0.31299686431884766] Updated in round 85! max:(0.7837837837837838, 'c1ccc(-c2ccccc2)cc1'), min:(-99999, '')
[0.31377148628234863] Updated in round 86! max:(0.7837837837837838, 'c1ccc(-c2ccccc2)cc1'), min:(-99999, '')
[0.32763195037841797] Updated in round 87! max:(0.7837837837837838, 'c1ccc(-c2ccccc2)cc1'), min:(-99999, '')
[0.3422083854675293] Updated in round 88! max:(0.7837837837837838, 'c1ccc(-c2ccccc2)cc1'), min:(-99999, '')
[0.3430488109588623] Updated in round 89! max:(0.7837837837837838, 'c1ccc(-c2ccccc2)cc1'), min:(-99999, '')
[0.34391164779663086] Updated in round 90! max:(0.7837837837837838, 'c1ccc(-c2ccccc2)cc1'), min:(-99999, '')
[0.34475135803222656] Updated in round 91! max:(0.7837837837837838, 'c1ccc(-c2ccccc2)cc1'), min:(-99999, '')
[0.34559178352355957] Updated in round 92! max:(0.7837837837837838, 'c1ccc(-c2ccccc2)cc1'), min:(-99999, '')
[0.3464179039001465] Updated in round 93! max:(0.7837837837837838, 'c1ccc(-c2ccccc2)cc1'), min:(-99999, '')
[0.34720754623413086] Updated in round 94! max:(0.7837837837837838, 'c1ccc(-c2ccccc2)cc1'), min:(-99999, '')
[0.36067938804626465] Updated in round 95! max:(0.7837837837837838, 'c1ccc(-c2ccccc2)cc1'), min:(-99999, '')
[0.361602783203125] Updated in round 96! max:(0.7837837837837838, 'c1ccc(-c2ccccc2)cc1'), min:(-99999, '')
[0.3759126663208008] Updated in round 97! max:(0.7837837837837838, 'c1ccc(-c2ccccc2)cc1'), min:(-99999, '')
[0.3768441677093506] Updated in round 98! max:(0.7837837837837838, 'c1ccc(-c2ccccc2)cc1'), min:(-99999, '')
[0.3776979446411133] Updated in round 99! max:(0.7837837837837838, 'c1ccc(-c2ccccc2)cc1'), min:(-99999, '')
[0.3785722255706787] Updated in round 100! max:(0.7837837837837838, 'c1ccc(-c2ccccc2)cc1'), min:(-99999, '')
[0.3794252872467041] Updated in round 101! max:(0.7837837837837838, 'c1ccc(-c2ccccc2)cc1'), min:(-99999, '')
[0.3802676200866699] Updated in round 102! max:(0.7837837837837838, 'c1ccc(-c2ccccc2)cc1'), min:(0.0, 'C#CC#CC=C')
[0.381136417388916] Updated in round 103! max:(0.7837837837837838, 'c1ccc(-c2ccccc2)cc1'), min:(0.0, 'C=CC=C')
[0.3820488452911377] Updated in round 104! max:(0.7837837837837838, 'c1ccc(-c2ccccc2)cc1'), min:(0.030303030303030304, 'C#CC(=C)C1=C(C(C=C)=CC=C)C#C1')
[0.3829059600830078] Updated in round 105! max:(0.7837837837837838, 'c1ccc(-c2ccccc2)cc1'), min:(0.04477611940298507, 'C=CC=CC=CC1=C(C2=C3C=C32)C#C1')
[0.38373517990112305] Updated in round 106! max:(0.7837837837837838, 'c1ccc(-c2ccccc2)cc1'), min:(0.05405405405405406, 'C1#CC=C1')
[0.3845703601837158] Updated in round 107! max:(0.7837837837837838, 'c1ccc(-c2ccccc2)cc1'), min:(0.07142857142857142, 'C=CC1=CC1=C')
[0.38539552688598633] Updated in round 108! max:(0.7837837837837838, 'c1ccc(-c2ccccc2)cc1'), min:(0.08333333333333333, 'C=CC1=CC=C1C=C')
[0.3862183094024658] Updated in round 109! max:(0.7837837837837838, 'c1ccc(-c2ccccc2)cc1'), min:(0.0975609756097561, 'c1c2c3cc2c13')
[0.38701462745666504] Updated in round 110! max:(0.7837837837837838, 'c1ccc(-c2ccccc2)cc1'), min:(0.11904761904761904, 'C=C1C=CC=C1')
[0.38779473304748535] Updated in round 111! max:(0.7837837837837838, 'c1ccc(-c2ccccc2)cc1'), min:(0.12903225806451613, 'C#CC(=C)C1=C(c2ccc3cc2-3)C#C1')
[0.39948201179504395] Updated in round 112! max:(0.7837837837837838, 'c1ccc(-c2ccccc2)cc1'), min:(0.14516129032258066, 'C1#CC(c2cc3ccc2-3)=C1C1=C2C=C21')
[0.40029168128967285] Updated in round 113! max:(0.7837837837837838, 'c1ccc(-c2ccccc2)cc1'), min:(0.14893617021276595, 'C1=Cc2cc3cc1c2-3')
[0.40107154846191406] Updated in round 114! max:(0.7837837837837838, 'c1ccc(-c2ccccc2)cc1'), min:(0.15625, 'C#CC(=C)c1cccc(C(=C)C=CC=C)c1')
[0.4109816551208496] Updated in round 115! max:(0.7837837837837838, 'c1ccc(-c2ccccc2)cc1'), min:(0.16393442622950818, 'C1#CC(c2ccc3cc2-3)=C1C=C1C=C1')
[0.411724328994751] Updated in round 116! max:(0.7837837837837838, 'c1ccc(-c2ccccc2)cc1'), min:(0.16666666666666666, 'C#Cc1ccc(C=CC=CC=C)cc1')
[0.4125072956085205] Updated in round 117! max:(0.7837837837837838, 'c1ccc(-c2ccccc2)cc1'), min:(0.1694915254237288, 'C#Cc1cccc(C(=C)C=CC=C)c1')
[0.4133946895599365] Updated in round 118! max:(0.7837837837837838, 'c1ccc(-c2ccccc2)cc1'), min:(0.17391304347826086, 'C=CC=CC(=C)C1=C(c2cccc(C=C)c2)C#C1')
[0.4142792224884033] Updated in round 119! max:(0.7837837837837838, 'c1ccc(-c2ccccc2)cc1'), min:(0.17857142857142858, 'c1c2c#cc3ccc(cc3)c=2c#1')
[0.41516733169555664] Updated in round 120! max:(0.7837837837837838, 'c1ccc(-c2ccccc2)cc1'), min:(0.18181818181818182, 'c1c2c3cccc(c3)c3cc4c(cc34)c2c#1')
[0.4159567356109619] Updated in round 121! max:(0.7837837837837838, 'c1ccc(-c2ccccc2)cc1'), min:(0.18333333333333332, 'C1#CC(c2ccc3cc2-3)=C1C1=CC=C1')
[0.4167673587799072] Updated in round 122! max:(0.7837837837837838, 'c1ccc(-c2ccccc2)cc1'), min:(0.1864406779661017, 'C#CC1=C(c2ccc(C=C)cc2)C#C1')
[0.4252512454986572] Updated in round 123! max:(0.7837837837837838, 'c1ccc(-c2ccccc2)cc1'), min:(0.19047619047619047, 'C#Cc1ccc(C2=C(C3=CC3=C)C#C2)cc1')
[0.4260568618774414] Updated in round 124! max:(0.7837837837837838, 'c1ccc(-c2ccccc2)cc1'), min:(0.2, 'C1#CC2=C1c1cc3cc(c1)c1cccc3c12')
[0.4346339702606201] Updated in round 125! max:(0.7837837837837838, 'c1ccc(-c2ccccc2)cc1'), min:(0.2033898305084746, 'c1c2c3ccccc3c3c4c(c=2c#1)c34')
[0.4353950023651123] Updated in round 126! max:(0.7837837837837838, 'c1ccc(-c2ccccc2)cc1'), min:(0.20634920634920634, 'C=CC(=C)c1ccc2c3ccc(cc3)c2c1')
[0.43631887435913086] Updated in round 127! max:(0.7837837837837838, 'c1ccc(-c2ccccc2)cc1'), min:(0.20634920634920634, 'C=Cc1cccc(C2=C(C3=C4C=C43)C#C2)c1')
[0.4452846050262451] Updated in round 128! max:(0.7837837837837838, 'c1ccc(-c2ccccc2)cc1'), min:(0.20689655172413793, 'C#CC1=C(c2ccccc2C=C)C#C1')
[0.460299015045166] Updated in round 129! max:(0.7837837837837838, 'c1ccc(-c2ccccc2)cc1'), min:(0.20833333333333334, 'C=Cc1cccc(C=C)c1')
[0.4611544609069824] Updated in round 130! max:(0.7837837837837838, 'c1ccc(-c2ccccc2)cc1'), min:(0.20967741935483872, 'C#Cc1cccc(C2=C(C3=CC3=C)C#C2)c1')
[0.46206092834472656] Updated in round 131! max:(0.7837837837837838, 'c1ccc(-c2ccccc2)cc1'), min:(0.21875, 'c1c2c3ccc(cc3)c3ccc(cc3)c2c#1')
[0.46306848526000977] Updated in round 132! max:(0.7837837837837838, 'c1ccc(-c2ccccc2)cc1'), min:(0.2222222222222222, 'c1cc2c3cc1c1ccc2cc1-3')
[0.4639160633087158] Updated in round 133! max:(0.7837837837837838, 'c1ccc(-c2ccccc2)cc1'), min:(0.2222222222222222, 'C1#Cc2c1c#cc1ccccc21')
[0.464733362197876] Updated in round 134! max:(0.7837837837837838, 'c1ccc(-c2ccccc2)cc1'), min:(0.22580645161290322, 'C=CC=CC(=C)C=CC=Cc1ccccc1')
[0.4656212329864502] Updated in round 135! max:(0.7837837837837838, 'c1ccc(-c2ccccc2)cc1'), min:(0.22580645161290322, 'C=CC=C1C(=C)c2cccc(c2)C2=C1C#C2')
[0.47655558586120605] Updated in round 136! max:(0.7837837837837838, 'c1ccc(-c2ccccc2)cc1'), min:(0.22727272727272727, 'C1=C2c3cccc1c32')
[0.4774620532989502] Updated in round 137! max:(0.7837837837837838, 'c1ccc(-c2ccccc2)cc1'), min:(0.22950819672131148, 'C=CC(=C)C(=C)C=CC=Cc1ccccc1')
[0.47838759422302246] Updated in round 138! max:(0.7837837837837838, 'c1ccc(-c2ccccc2)cc1'), min:(0.23255813953488372, 'C1=c2c3cccc2=C13')
[0.4794919490814209] Updated in round 139! max:(0.7837837837837838, 'c1ccc(-c2ccccc2)cc1'), min:(0.23809523809523808, 'C1#CC(c2c3cccc2-3)=C1c1c2cccc1-2')
[0.49215006828308105] Updated in round 140! max:(0.7837837837837838, 'c1ccc(-c2ccccc2)cc1'), min:(0.2413793103448276, 'c1c2ccc(cc2)c2ccc(c#1)cc2')
[0.49316954612731934] Updated in round 141! max:(0.7837837837837838, 'c1ccc(-c2ccccc2)cc1'), min:(0.24193548387096775, 'C1=CC(c2ccc3c4ccc(cc4)c3c2)=C1')
[0.4940669536590576] Updated in round 142! max:(0.7837837837837838, 'c1ccc(-c2ccccc2)cc1'), min:(0.2459016393442623, 'C=C1C=C1c1ccc2c3ccc(cc3)c2c1')
[0.495136022567749] Updated in round 143! max:(0.7837837837837838, 'c1ccc(-c2ccccc2)cc1'), min:(0.25, 'C#CC=CC=C(C=C)c1ccccc1')
[0.5107152462005615] Updated in round 144! max:(0.7837837837837838, 'c1ccc(-c2ccccc2)cc1'), min:(0.25, 'C=CC=C(C=C)C=Cc1ccccc1')
[0.5117754936218262] Updated in round 145! max:(0.7837837837837838, 'c1ccc(-c2ccccc2)cc1'), min:(0.2545454545454545, 'C=CC(C=C)=CC(=C)c1ccccc1')
[0.5126903057098389] Updated in round 146! max:(0.7837837837837838, 'c1ccc(-c2ccccc2)cc1'), min:(0.25757575757575757, 'C=Cc1cc2ccc1c1ccccc1c1c#cc2=1')
[0.5137090682983398] Updated in round 147! max:(0.7837837837837838, 'c1ccc(-c2ccccc2)cc1'), min:(0.25806451612903225, 'c1c2c(c#1)c1c3ccc(c4ccccc24)c31')
[0.5146732330322266] Updated in round 148! max:(0.7837837837837838, 'c1ccc(-c2ccccc2)cc1'), min:(0.26229508196721313, 'C=c1ccc2cccc(c2)c2ccc1cc2')
[0.5157999992370605] Updated in round 149! max:(0.7837837837837838, 'c1ccc(-c2ccccc2)cc1'), min:(0.26229508196721313, 'C=c1c#cc2ccc(cc2)c2cccc1c2')
[0.5288209915161133] Updated in round 150! max:(0.7837837837837838, 'c1ccc(-c2ccccc2)cc1'), min:(0.26666666666666666, 'C=C(C=CC=Cc1ccccc1)C1=C2C=C21')
[0.5299484729766846] Updated in round 151! max:(0.7837837837837838, 'c1ccc(-c2ccccc2)cc1'), min:(0.26785714285714285, 'C#Cc1ccc2cc1c1cccc2c1')
[0.531602144241333] Updated in round 152! max:(0.7837837837837838, 'c1ccc(-c2ccccc2)cc1'), min:(0.2692307692307692, 'c1cc2c3c4ccc(c-2c4)c3c1')
