[4.696846008300781e-05]Start running EvoMol from [H][H]...
[0.0003578662872314453] Updated in round 1! max:(0.125, 'C=C'), min:(-99999, '')
[0.0008001327514648438] Updated in round 2! max:(0.25, 'C=CC=C'), min:(-99999, '')
[0.002035379409790039] Updated in round 3! max:(0.375, 'C=CC=CC=C'), min:(-99999, '')
[0.003657102584838867] Updated in round 4! max:(0.5, 'c1ccccc1'), min:(-99999, '')
[0.006815195083618164] Updated in round 5! max:(0.625, 'C=Cc1ccccc1'), min:(-99999, '')
[0.009745597839355469] Updated in round 6! max:(0.75, 'C=CC(=C)c1ccccc1'), min:(-99999, '')
[0.012925386428833008] Updated in round 7! max:(0.75, 'C=CC(=C)c1ccccc1'), min:(-99999, '')
[0.01373147964477539] Updated in round 8! max:(0.75, 'C=CC(=C)c1ccccc1'), min:(-99999, '')
[0.014722824096679688] Updated in round 9! max:(0.875, 'C=CC=CC(=C)c1ccccc1'), min:(-99999, '')
[0.019554615020751953] Updated in round 10! max:(0.875, 'C=CC=CC(=C)c1ccccc1'), min:(-99999, '')
[0.020462989807128906] Reproduced in round 11!!
