[4.744529724121094e-05]Start running EvoMol from [H][H]...
[0.0006349086761474609] Updated in round 1! max:(0.25, 'c1ccccc1'), min:(-99999, '')
[0.006730794906616211] Updated in round 2! max:(0.5, 'c1ccc(-c2ccccc2)cc1'), min:(-99999, '')
[0.02328968048095703] Updated in round 3! max:(0.5625, 'C=Cc1cccc(-c2ccccc2)c1'), min:(-99999, '')
[0.042322635650634766] Updated in round 4! max:(0.5625, 'C=Cc1cccc(-c2ccccc2)c1'), min:(-99999, '')
[0.04435276985168457] Updated in round 5! max:(0.5625, 'C=Cc1cccc(-c2ccccc2)c1'), min:(-99999, '')
[0.04659223556518555] Updated in round 6! max:(0.625, 'C=Cc1ccc(C=C)c(-c2ccccc2)c1'), min:(-99999, '')
[0.06859970092773438] Updated in round 7! max:(0.625, 'C=Cc1ccc(C=C)c(-c2ccccc2)c1'), min:(-99999, '')
[0.07077646255493164] Updated in round 8! max:(0.6875, 'C=Cc1ccc(C=C)c(-c2ccccc2C=C)c1'), min:(-99999, '')
[0.0953989028930664] Updated in round 9! max:(0.6875, 'C=Cc1ccc(C=C)c(-c2ccccc2C=C)c1'), min:(-99999, '')
[0.09771990776062012] Updated in round 10! max:(0.75, 'C=Cc1ccc(C=C)c2c1C(=C)c1ccccc1-2'), min:(-99999, '')
[0.12110042572021484] Updated in round 11! max:(0.75, 'C=Cc1ccc(C=C)c2c1C(=C)c1ccccc1-2'), min:(-99999, '')
[0.12314677238464355] Updated in round 12! max:(0.875, 'C=Cc1ccc(C=C)c2c1-c1cccc3cccc-2c13'), min:(-99999, '')
[0.15440082550048828] Updated in round 13! max:(0.875, 'C=Cc1ccc(C=C)c2c1-c1cccc3cccc-2c13'), min:(-99999, '')
[0.15666866302490234] Updated in round 14! max:(0.875, 'C=Cc1ccc(C=C)c2c1-c1cccc3cccc-2c13'), min:(-99999, '')
[0.15915417671203613] Updated in round 15! max:(0.875, 'C=Cc1ccc(C=C)c2c1-c1cccc3cccc-2c13'), min:(-99999, '')
[0.16140341758728027] Updated in round 16! max:(0.875, 'C=Cc1ccc(C=C)c2c1-c1cccc3cccc-2c13'), min:(-99999, '')
[0.16421842575073242] Updated in round 17! max:(0.875, 'C=Cc1ccc(C=C)c2c1-c1cccc3cccc-2c13'), min:(-99999, '')
[0.1665515899658203] Updated in round 18! max:(0.9375, 'C=Cc1ccc2ccc3ccc4cccc5c4c3c2c1-5'), min:(-99999, '')
[0.20192480087280273] Updated in round 19! max:(0.9375, 'C=Cc1ccc2ccc3ccc4cccc5c4c3c2c1-5'), min:(-99999, '')
[0.20471668243408203] Updated in round 20! max:(0.9375, 'C=Cc1ccc2ccc3ccc4cccc5c4c3c2c1-5'), min:(-99999, '')
[0.2070918083190918] Updated in round 21! max:(0.9375, 'C=Cc1ccc2ccc3ccc4cccc5c4c3c2c1-5'), min:(-99999, '')
[0.20943307876586914] Updated in round 22! max:(0.9375, 'C=Cc1ccc2ccc3ccc4cccc5c4c3c2c1-5'), min:(-99999, '')
[0.2112271785736084] Updated in round 23! max:(0.9375, 'C=Cc1ccc2ccc3ccc4cccc5c4c3c2c1-5'), min:(-99999, '')
[0.21336722373962402] Updated in round 24! max:(0.9375, 'C=Cc1ccc2ccc3ccc4cccc5c4c3c2c1-5'), min:(-99999, '')
[0.21567511558532715] Updated in round 25! max:(0.9375, 'C=Cc1ccc2ccc3ccc4cccc5c4c3c2c1-5'), min:(-99999, '')
[0.21797895431518555] Updated in round 26! max:(0.9375, 'C=Cc1ccc2ccc3ccc4cccc5c4c3c2c1-5'), min:(-99999, '')
[0.22090363502502441] Updated in round 27! max:(0.9375, 'C=Cc1ccc2ccc3ccc4cccc5c4c3c2c1-5'), min:(-99999, '')
[0.22345805168151855] Updated in round 28! max:(0.9375, 'C=Cc1ccc2ccc3ccc4cccc5c4c3c2c1-5'), min:(-99999, '')
[0.22411012649536133] Reproduced in round 29!!
