[6.580352783203125e-05]Start running EvoMol from [H][H]...
[0.0010590553283691406] Updated in round 1! max:(0.02040816326530612, 'C=C'), min:(-99999, '')
[0.0018854141235351562] Updated in round 2! max:(0.04081632653061224, 'C=CC=C'), min:(-99999, '')
[0.0040950775146484375] Updated in round 3! max:(0.061224489795918366, 'C=CC=CC=C'), min:(-99999, '')
[0.007338762283325195] Updated in round 4! max:(0.08163265306122448, 'C=CC=CC=CC=C'), min:(-99999, '')
[0.012698650360107422] Updated in round 5! max:(0.10204081632653061, 'C=c1ccccc1=C'), min:(-99999, '')
[0.01764202117919922] Updated in round 6! max:(0.12244897959183673, 'C=Cc1cccc(=C)c1=C'), min:(-99999, '')
[0.0313258171081543] Updated in round 7! max:(0.14285714285714285, 'C=CC=Cc1cccc(=C)c1=C'), min:(-99999, '')
[0.04022955894470215] Updated in round 8! max:(0.16326530612244897, 'C=CC=Cc1cccc(=CC=C)c1=C'), min:(-99999, '')
[0.06936168670654297] Updated in round 9! max:(0.1836734693877551, 'C=CC=c1ccc2ccccc2c1=C'), min:(-99999, '')
[0.0827784538269043] Updated in round 10! max:(0.1836734693877551, 'C=CC=c1ccc2ccccc2c1=C'), min:(-99999, '')
[0.0858924388885498] Updated in round 11! max:(0.20408163265306123, 'c1ccc2c(c1)ccc1ccccc12'), min:(-99999, '')
[0.10131597518920898] Updated in round 12! max:(0.20408163265306123, 'c1ccc2c(c1)ccc1ccccc12'), min:(-99999, '')
[0.10442757606506348] Updated in round 13! max:(0.22448979591836735, 'C=Cc1ccc2ccc3ccccc3c2c1'), min:(-99999, '')
[0.12493109703063965] Updated in round 14! max:(0.22448979591836735, 'C=Cc1ccc2ccc3ccccc3c2c1'), min:(-99999, '')
[0.12920522689819336] Updated in round 15! max:(0.22448979591836735, 'C=Cc1ccc2ccc3ccccc3c2c1'), min:(-99999, '')
[0.13265085220336914] Updated in round 16! max:(0.24489795918367346, 'C=Cc1ccc2ccc3ccccc3c2c1C=C'), min:(-99999, '')
[0.1548628807067871] Updated in round 17! max:(0.24489795918367346, 'C=Cc1ccc2ccc3ccccc3c2c1C=C'), min:(-99999, '')
[0.15897512435913086] Updated in round 18! max:(0.2653061224489796, 'C=Cc1ccc2ccc3ccc(C=C)c(C=C)c3c2c1'), min:(-99999, '')
[0.18612217903137207] Updated in round 19! max:(0.2653061224489796, 'C=Cc1ccc2ccc3ccc(C=C)c(C=C)c3c2c1'), min:(-99999, '')
[0.19362711906433105] Updated in round 20! max:(0.2857142857142857, 'C=CC=Cc1ccc2ccc3ccc(C=C)c(C=C)c3c2c1'), min:(-99999, '')
[0.22743988037109375] Updated in round 21! max:(0.30612244897959184, 'C=CC=Cc1ccc2ccc3ccc(C=CC=C)c(C=C)c3c2c1'), min:(-99999, '')
[0.271320104598999] Updated in round 22! max:(0.32653061224489793, 'C=CC=Cc1ccc2ccc3ccc(C=CC(=C)C=C)cc3c2c1C=C'), min:(-99999, '')
[0.3193063735961914] Updated in round 23! max:(0.32653061224489793, 'C=CC=Cc1ccc2ccc3ccc(C=CC(=C)C=C)cc3c2c1C=C'), min:(-99999, '')
[0.32590317726135254] Updated in round 24! max:(0.32653061224489793, 'C=CC=Cc1ccc2ccc3ccc(C=CC(=C)C=C)cc3c2c1C=C'), min:(-99999, '')
[0.33323168754577637] Updated in round 25! max:(0.32653061224489793, 'C=CC=Cc1ccc2ccc3ccc(C=CC(=C)C=C)cc3c2c1C=C'), min:(-99999, '')
[0.34510231018066406] Updated in round 26! max:(0.3469387755102041, 'C=CC=Cc1ccc2ccc3ccc(C=CC(C=C)=CC=C)cc3c2c1C=C'), min:(-99999, '')
[0.40186405181884766] Updated in round 27! max:(0.3673469387755102, 'C=CC=Cc1ccc2ccc3ccc(C=Cc4ccccc4)cc3c2c1C=C'), min:(-99999, '')
[0.46581387519836426] Updated in round 28! max:(0.3673469387755102, 'C=CC=Cc1ccc2ccc3ccc(C=Cc4ccccc4)cc3c2c1C=C'), min:(-99999, '')
[0.4821155071258545] Updated in round 29! max:(0.3673469387755102, 'C=CC=Cc1ccc2ccc3ccc(C=Cc4ccccc4)cc3c2c1C=C'), min:(-99999, '')
[0.48839807510375977] Updated in round 30! max:(0.3673469387755102, 'C=CC=Cc1ccc2ccc3ccc(C=Cc4ccccc4)cc3c2c1C=C'), min:(-99999, '')
[0.49989748001098633] Updated in round 31! max:(0.3673469387755102, 'C=CC=Cc1ccc2ccc3ccc(C=Cc4ccccc4)cc3c2c1C=C'), min:(-99999, '')
[0.5085828304290771] Updated in round 32! max:(0.3673469387755102, 'C=CC=Cc1ccc2ccc3ccc(C=Cc4ccccc4)cc3c2c1C=C'), min:(-99999, '')
[0.5214126110076904] Updated in round 33! max:(0.3877551020408163, 'C=CC=Cc1ccc2ccc3ccc(C=Cc4ccccc4)cc3c2c1C=CC=C'), min:(-99999, '')
[0.5978038311004639] Updated in round 34! max:(0.40816326530612246, 'C=CC=CC=Cc1c(C=CC=C)ccc2ccc3ccc(C=Cc4ccccc4)cc3c12'), min:(-99999, '')
[0.6907434463500977] Updated in round 35! max:(0.40816326530612246, 'C=CC=CC=Cc1c(C=CC=C)ccc2ccc3ccc(C=Cc4ccccc4)cc3c12'), min:(-99999, '')
[0.7103724479675293] Updated in round 36! max:(0.40816326530612246, 'C=CC=CC=Cc1c(C=CC=C)ccc2ccc3ccc(C=Cc4ccccc4)cc3c12'), min:(-99999, '')
[0.7260606288909912] Updated in round 37! max:(0.40816326530612246, 'C=CC=CC=Cc1c(C=CC=C)ccc2ccc3ccc(C=Cc4ccccc4)cc3c12'), min:(-99999, '')
[0.7416582107543945] Updated in round 38! max:(0.40816326530612246, 'C=CC=CC=Cc1c(C=CC=C)ccc2ccc3ccc(C=Cc4ccccc4)cc3c12'), min:(-99999, '')
[0.7641017436981201] Updated in round 39! max:(0.42857142857142855, 'C=CC=CC(C=C)=Cc1c(C=CC=C)ccc2ccc3ccc(C=Cc4ccccc4)cc3c12'), min:(-99999, '')
[0.8739702701568604] Updated in round 40! max:(0.4489795918367347, 'C=CC=CC(C=C)=Cc1c(C=CC=C)ccc2ccc3ccc(C=Cc4ccc(C=C)cc4)cc3c12'), min:(-99999, '')
[1.0014495849609375] Updated in round 41! max:(0.46938775510204084, 'C=CC=CC(C=C)=Cc1c(C=CC=C)ccc2ccc3ccc(C=Cc4ccc(C=CC=C)cc4)cc3c12'), min:(-99999, '')
[1.1419763565063477] Updated in round 42! max:(0.46938775510204084, 'C=CC=CC(C=C)=Cc1c(C=CC=C)ccc2ccc3ccc(C=Cc4ccc(C=CC=C)cc4)cc3c12'), min:(-99999, '')
[1.1788747310638428] Updated in round 43! max:(0.46938775510204084, 'C=CC=CC(C=C)=Cc1c(C=CC=C)ccc2ccc3ccc(C=Cc4ccc(C=CC=C)cc4)cc3c12'), min:(-99999, '')
[1.2040586471557617] Updated in round 44! max:(0.4897959183673469, 'C=CC=Cc1ccc(C=Cc2ccc3ccc4ccc(C=CC=C)c(C=c5ccccc5=C)c4c3c2)cc1'), min:(-99999, '')
[1.3541018962860107] Updated in round 45! max:(0.4897959183673469, 'C=CC=Cc1ccc(C=Cc2ccc3ccc4ccc(C=CC=C)c(C=c5ccccc5=C)c4c3c2)cc1'), min:(-99999, '')
[1.3693366050720215] Updated in round 46! max:(0.4897959183673469, 'C=CC=Cc1ccc(C=Cc2ccc3ccc4ccc(C=CC=C)c(C=c5ccccc5=C)c4c3c2)cc1'), min:(-99999, '')
[1.3950114250183105] Updated in round 47! max:(0.4897959183673469, 'C=CC=Cc1ccc(C=Cc2ccc3ccc4ccc(C=CC=C)c(C=c5ccccc5=C)c4c3c2)cc1'), min:(-99999, '')
[1.4248864650726318] Updated in round 48! max:(0.5102040816326531, 'C=CC=Cc1ccc2ccc3ccc4ccc5ccc(C=CC=C)c(C=c6ccccc6=C)c5c4c3c2c1'), min:(-99999, '')
[1.5687835216522217] Updated in round 49! max:(0.5306122448979592, 'C=CC=Cc1ccc2ccc3ccc4ccc5ccc6ccc(=C)c(=c7ccccc7=C)c6c5c4c3c2c1'), min:(-99999, '')
[1.6911356449127197] Updated in round 50! max:(0.5306122448979592, 'C=CC=Cc1ccc2ccc3ccc4ccc5ccc6ccc(=C)c(=c7ccccc7=C)c6c5c4c3c2c1'), min:(-99999, '')
[1.712458610534668] Updated in round 51! max:(0.5306122448979592, 'C=CC=Cc1ccc2ccc3ccc4ccc5ccc6ccc(=C)c(=c7ccccc7=C)c6c5c4c3c2c1'), min:(-99999, '')
[1.7322657108306885] Updated in round 52! max:(0.5306122448979592, 'C=CC=Cc1ccc2ccc3ccc4ccc5ccc6ccc(=C)c(=c7ccccc7=C)c6c5c4c3c2c1'), min:(-99999, '')
[1.7593541145324707] Updated in round 53! max:(0.5510204081632653, 'C=CC=Cc1ccc2ccc3ccc4ccc5ccc6ccc(=C)c(=c7ccccc7=C)c6c5c4c3c2c1C=C'), min:(-99999, '')
[1.9077363014221191] Updated in round 54! max:(0.5510204081632653, 'C=CC=Cc1ccc2ccc3ccc4ccc5ccc6ccc(=C)c(=c7ccccc7=C)c6c5c4c3c2c1C=C'), min:(-99999, '')
[1.924304485321045] Updated in round 55! max:(0.5510204081632653, 'C=CC=Cc1ccc2ccc3ccc4ccc5ccc6ccc(=C)c(=c7ccccc7=C)c6c5c4c3c2c1C=C'), min:(-99999, '')
[1.9491982460021973] Updated in round 56! max:(0.5714285714285714, 'C=CC=Cc1ccc2ccc3ccc4ccc5ccc6ccc(=C)c(=c7cc(C=C)ccc7=C)c6c5c4c3c2c1C=C'), min:(-99999, '')
[2.0965747833251953] Updated in round 57! max:(0.5714285714285714, 'C=CC=Cc1ccc2ccc3ccc4ccc5ccc6ccc(=C)c(=c7cc(C=C)ccc7=C)c6c5c4c3c2c1C=C'), min:(-99999, '')
[2.1242973804473877] Updated in round 58! max:(0.5714285714285714, 'C=CC=Cc1ccc2ccc3ccc4ccc5ccc6ccc(=C)c(=c7cc(C=C)ccc7=C)c6c5c4c3c2c1C=C'), min:(-99999, '')
[2.1463639736175537] Updated in round 59! max:(0.5714285714285714, 'C=CC=Cc1ccc2ccc3ccc4ccc5ccc6ccc(=C)c(=c7cc(C=C)ccc7=C)c6c5c4c3c2c1C=C'), min:(-99999, '')
[2.1694297790527344] Updated in round 60! max:(0.5714285714285714, 'C=CC=Cc1ccc2ccc3ccc4ccc5ccc6ccc(=C)c(=c7cc(C=C)ccc7=C)c6c5c4c3c2c1C=C'), min:(-99999, '')
[2.1935136318206787] Updated in round 61! max:(0.5918367346938775, 'C=CC=Cc1ccc2ccc3ccc4ccc5ccc6ccc(=C)c(=c7cc(C=C)ccc7=C)c6c5c4c3c2c1C=CC=C'), min:(-99999, '')
[2.3748621940612793] Updated in round 62! max:(0.5918367346938775, 'C=CC=Cc1ccc2ccc3ccc4ccc5ccc6ccc(=C)c(=c7cc(C=C)ccc7=C)c6c5c4c3c2c1C=CC=C'), min:(-99999, '')
[2.3963820934295654] Updated in round 63! max:(0.5918367346938775, 'C=CC=Cc1ccc2ccc3ccc4ccc5ccc6ccc(=C)c(=c7cc(C=C)ccc7=C)c6c5c4c3c2c1C=CC=C'), min:(-99999, '')
[2.4190878868103027] Updated in round 64! max:(0.6122448979591837, 'C=CC=c1c(=C)ccc2ccc3ccc4ccc5ccc6ccc7ccc(=C)c(=c8cc(C=C)ccc8=C)c7c6c5c4c3c12'), min:(-99999, '')
[2.591278076171875] Updated in round 65! max:(0.6326530612244898, 'C=Cc1ccc(=C)c(=c2c(=C)ccc3ccc4ccc5ccc6ccc7ccc8ccc9ccccc9c8c7c6c5c4c23)c1'), min:(-99999, '')
[2.7674214839935303] Updated in round 66! max:(0.6530612244897959, 'C=Cc1ccc(=C)c(=c2c(=C)ccc3ccc4ccc5ccc6ccc7ccc8ccc9ccc(C=C)cc9c8c7c6c5c4c23)c1'), min:(-99999, '')
[2.9688220024108887] Updated in round 67! max:(0.6530612244897959, 'C=Cc1ccc(=C)c(=c2c(=C)ccc3ccc4ccc5ccc6ccc7ccc8ccc9ccc(C=C)cc9c8c7c6c5c4c23)c1'), min:(-99999, '')
[2.9798781871795654] Updated in round 68! max:(0.6530612244897959, 'C=Cc1ccc(=C)c(=c2c(=C)ccc3ccc4ccc5ccc6ccc7ccc8ccc9ccc(C=C)cc9c8c7c6c5c4c23)c1'), min:(-99999, '')
[2.9958066940307617] Updated in round 69! max:(0.6530612244897959, 'C=Cc1ccc(=C)c(=c2c(=C)ccc3ccc4ccc5ccc6ccc7ccc8ccc9ccc(C=C)cc9c8c7c6c5c4c23)c1'), min:(-99999, '')
[3.027122735977173] Updated in round 70! max:(0.6530612244897959, 'C=Cc1ccc(=C)c(=c2c(=C)ccc3ccc4ccc5ccc6ccc7ccc8ccc9ccc(C=C)cc9c8c7c6c5c4c23)c1'), min:(-99999, '')
[3.0445821285247803] Updated in round 71! max:(0.6530612244897959, 'C=Cc1ccc(=C)c(=c2c(=C)ccc3ccc4ccc5ccc6ccc7ccc8ccc9ccc(C=C)cc9c8c7c6c5c4c23)c1'), min:(-99999, '')
[3.053581953048706] Updated in round 72! max:(0.6530612244897959, 'C=Cc1ccc(=C)c(=c2c(=C)ccc3ccc4ccc5ccc6ccc7ccc8ccc9ccc(C=C)cc9c8c7c6c5c4c23)c1'), min:(-99999, '')
