[7.82012939453125e-05]Start running EvoMol from [H][H]...
[0.0012025833129882812] Updated in round 1! max:(0.018867924528301886, 'C=C'), min:(-99999, '')
[0.0021028518676757812] Updated in round 2! max:(0.03773584905660377, 'C=CC=C'), min:(-99999, '')
[0.004538774490356445] Updated in round 3! max:(0.05660377358490566, 'C=CC=CC=C'), min:(-99999, '')
[0.007965564727783203] Updated in round 4! max:(0.07547169811320754, 'C=CC=CC=CC=C'), min:(-99999, '')
[0.013255119323730469] Updated in round 5! max:(0.09433962264150944, 'C=c1ccccc1=C'), min:(-99999, '')
[0.01830124855041504] Updated in round 6! max:(0.11320754716981132, 'C=Cc1cccc(=C)c1=C'), min:(-99999, '')
[0.029520750045776367] Updated in round 7! max:(0.1320754716981132, 'C=CC=Cc1cccc(=C)c1=C'), min:(-99999, '')
[0.038355112075805664] Updated in round 8! max:(0.1509433962264151, 'C=CC=Cc1cccc(=CC=C)c1=C'), min:(-99999, '')
[0.052671194076538086] Updated in round 9! max:(0.16981132075471697, 'C=CC=c1ccc2ccccc2c1=C'), min:(-99999, '')
[0.06689953804016113] Updated in round 10! max:(0.18867924528301888, 'C=CC(=C)C=c1ccc2ccccc2c1=C'), min:(-99999, '')
[0.0829324722290039] Updated in round 11! max:(0.20754716981132076, 'C=CC(=C)C=c1ccc2cc(C=C)ccc2c1=C'), min:(-99999, '')
[0.1024479866027832] Updated in round 12! max:(0.22641509433962265, 'C=Cc1ccc2c(ccc3cc(C=C)ccc32)c1'), min:(-99999, '')
[0.12703585624694824] Updated in round 13! max:(0.24528301886792453, 'C=Cc1ccc2c(ccc3c(C=C)c(C=C)ccc32)c1'), min:(-99999, '')
[0.15418601036071777] Updated in round 14! max:(0.2641509433962264, 'C=CC(=C)c1ccc2c(ccc3c(C=C)c(C=C)ccc32)c1'), min:(-99999, '')
[0.18540334701538086] Updated in round 15! max:(0.2830188679245283, 'C=CC(=C)c1ccc2c(ccc3c4ccccc4ccc23)c1'), min:(-99999, '')
[0.22208499908447266] Updated in round 16! max:(0.2830188679245283, 'C=CC(=C)c1ccc2c(ccc3c4ccccc4ccc23)c1'), min:(-99999, '')
[0.2262578010559082] Updated in round 17! max:(0.3018867924528302, 'C=CC(=C)c1ccc2c(ccc3c4ccc(C=C)cc4ccc23)c1'), min:(-99999, '')
[0.26850390434265137] Updated in round 18! max:(0.32075471698113206, 'C=CC=Cc1ccc2c(ccc3c4ccc(C(=C)C=C)cc4ccc23)c1'), min:(-99999, '')
