[5.817413330078125e-05]Start running EvoMol from [H][H]...
[0.0008616447448730469] Updated in round 1! max:(0.03225806451612903, 'C=C'), min:(-99999, '')
[0.0017442703247070312] Updated in round 2! max:(0.06451612903225806, 'C=CC=C'), min:(-99999, '')
[0.004409313201904297] Updated in round 3! max:(0.0967741935483871, 'C=CC=CC=C'), min:(-99999, '')
[0.007012844085693359] Updated in round 4! max:(0.12903225806451613, 'c1ccccc1'), min:(-99999, '')
[0.010104894638061523] Updated in round 5! max:(0.16129032258064516, 'C#Cc1ccccc1'), min:(-99999, '')
[0.012536764144897461] Updated in round 6! max:(0.1935483870967742, 'C=CC#Cc1ccccc1'), min:(-99999, '')
[0.015645742416381836] Updated in round 7! max:(0.22580645161290322, 'C#Cc1ccc(C#CC=C)cc1'), min:(-99999, '')
[0.019246816635131836] Updated in round 8! max:(0.25806451612903225, 'C#Cc1ccc(C#CC=CC=C)cc1'), min:(-99999, '')
[0.024164199829101562] Updated in round 9! max:(0.25806451612903225, 'C#Cc1ccc(C#CC=CC=C)cc1'), min:(-99999, '')
[0.02599501609802246] Updated in round 10! max:(0.2903225806451613, 'C#Cc1ccc(C#CC=CC=CC=C)cc1'), min:(-99999, '')
[0.03331947326660156] Updated in round 11! max:(0.3225806451612903, 'C#Cc1ccc(C#Cc2ccccc2)cc1'), min:(-99999, '')
[0.03955364227294922] Updated in round 12! max:(0.3225806451612903, 'C#Cc1ccc(C#Cc2ccccc2)cc1'), min:(-99999, '')
[0.040996551513671875] Updated in round 13! max:(0.3548387096774194, 'C#Cc1ccc(C#Cc2ccc(C#C)cc2)cc1'), min:(-99999, '')
[0.04814624786376953] Updated in round 14! max:(0.3870967741935484, 'C#Cc1ccc(C#Cc2ccc(C#CC=C)cc2)cc1'), min:(-99999, '')
[0.05811452865600586] Updated in round 15! max:(0.41935483870967744, 'C=CC#Cc1ccc(C#Cc2ccc(C#CC=C)cc2)cc1'), min:(-99999, '')
[0.07084870338439941] Updated in round 16! max:(0.45161290322580644, 'C=CC#Cc1ccc(C#Cc2ccc(C#CC=CC=C)cc2)cc1'), min:(-99999, '')
[0.08692002296447754] Updated in round 17! max:(0.45161290322580644, 'C=CC#Cc1ccc(C#Cc2ccc(C#CC=CC=C)cc2)cc1'), min:(-99999, '')
[0.08951711654663086] Updated in round 18! max:(0.4838709677419355, 'C=CC#Cc1ccc(C#Cc2ccc(C#CC=CC=CC=C)cc2)cc1'), min:(-99999, '')
[0.11121106147766113] Updated in round 19! max:(0.5161290322580645, 'C#CC(C=C)=CC=CC#Cc1ccc(C#Cc2ccc(C#CC=C)cc2)cc1'), min:(-99999, '')
[0.13417768478393555] Updated in round 20! max:(0.5161290322580645, 'C#CC(C=C)=CC=CC#Cc1ccc(C#Cc2ccc(C#CC=C)cc2)cc1'), min:(-99999, '')
[0.13637590408325195] Updated in round 21! max:(0.5161290322580645, 'C#CC(C=C)=CC=CC#Cc1ccc(C#Cc2ccc(C#CC=C)cc2)cc1'), min:(-99999, '')
[0.13825297355651855] Updated in round 22! max:(0.5161290322580645, 'C#CC(C=C)=CC=CC#Cc1ccc(C#Cc2ccc(C#CC=C)cc2)cc1'), min:(-99999, '')
[0.14025020599365234] Updated in round 23! max:(0.5161290322580645, 'C#CC(C=C)=CC=CC#Cc1ccc(C#Cc2ccc(C#CC=C)cc2)cc1'), min:(-99999, '')
[0.14216923713684082] Updated in round 24! max:(0.5161290322580645, 'C#CC(C=C)=CC=CC#Cc1ccc(C#Cc2ccc(C#CC=C)cc2)cc1'), min:(-99999, '')
[0.14407014846801758] Updated in round 25! max:(0.5161290322580645, 'C#CC(C=C)=CC=CC#Cc1ccc(C#Cc2ccc(C#CC=C)cc2)cc1'), min:(-99999, '')
[0.14667940139770508] Updated in round 26! max:(0.5483870967741935, 'C=CC#CC(C=C)=CC=CC#Cc1ccc(C#Cc2ccc(C#CC=C)cc2)cc1'), min:(-99999, '')
[0.17370319366455078] Updated in round 27! max:(0.5483870967741935, 'C=CC#CC(C=C)=CC=CC#Cc1ccc(C#Cc2ccc(C#CC=C)cc2)cc1'), min:(-99999, '')
