[5.5789947509765625e-05]Start running EvoMol from [H][H]...
[0.00045180320739746094] Updated in round 1! max:(0.045454545454545456, 'C=C'), min:(-99999, '')
[0.0010917186737060547] Updated in round 2! max:(0.09090909090909091, 'C=CC=C'), min:(-99999, '')
[0.0035817623138427734] Updated in round 3! max:(0.13636363636363635, 'C=CC=CC=C'), min:(-99999, '')
[0.005976438522338867] Updated in round 4! max:(0.18181818181818182, 'c1ccccc1'), min:(-99999, '')
[0.015900611877441406] Updated in round 5! max:(0.22727272727272727, 'C=Cc1ccccc1'), min:(-99999, '')
[0.020985841751098633] Updated in round 6! max:(0.2727272727272727, 'C=CC=Cc1ccccc1'), min:(-99999, '')
[0.027690410614013672] Updated in round 7! max:(0.3181818181818182, 'C=CC=Cc1ccc(C=C)cc1'), min:(-99999, '')
[0.036289215087890625] Updated in round 8! max:(0.36363636363636365, 'C=Cc1ccc2ccccc2c1'), min:(-99999, '')
[0.047016143798828125] Updated in round 9! max:(0.4090909090909091, 'C=Cc1ccc2ccc(C=C)cc2c1'), min:(-99999, '')
[0.05967402458190918] Updated in round 10! max:(0.4090909090909091, 'C=Cc1ccc2ccc(C=C)cc2c1'), min:(-99999, '')
[0.06204414367675781] Updated in round 11! max:(0.4090909090909091, 'C=Cc1ccc2ccc(C=C)cc2c1'), min:(-99999, '')
[0.06463050842285156] Updated in round 12! max:(0.45454545454545453, 'C=Cc1ccc2ccc(C=C)c(C=C)c2c1'), min:(-99999, '')
[0.08014464378356934] Updated in round 13! max:(0.5, 'C=CC=Cc1ccc2ccc(C=C)cc2c1C=C'), min:(-99999, '')
[0.09929227828979492] Updated in round 14! max:(0.5, 'C=CC=Cc1ccc2ccc(C=C)cc2c1C=C'), min:(-99999, '')
[0.10178542137145996] Updated in round 15! max:(0.5, 'C=CC=Cc1ccc2ccc(C=C)cc2c1C=C'), min:(-99999, '')
[0.10405445098876953] Updated in round 16! max:(0.5, 'C=CC=Cc1ccc2ccc(C=C)cc2c1C=C'), min:(-99999, '')
[0.1070711612701416] Updated in round 17! max:(0.5, 'C=CC=Cc1ccc2ccc(C=C)cc2c1C=C'), min:(-99999, '')
[0.1104283332824707] Updated in round 18! max:(0.5454545454545454, 'C=CC=Cc1ccc2ccc(C=CC=C)c(C=C)c2c1'), min:(-99999, '')
[0.13539671897888184] Updated in round 19! max:(0.5454545454545454, 'C=CC=Cc1ccc2ccc(C=CC=C)c(C=C)c2c1'), min:(-99999, '')
[0.13876914978027344] Updated in round 20! max:(0.5909090909090909, 'C=CC=Cc1ccc2ccc3ccccc3c2c1C=C'), min:(-99999, '')
[0.16590023040771484] Updated in round 21! max:(0.5909090909090909, 'C=CC=Cc1ccc2ccc3ccccc3c2c1C=C'), min:(-99999, '')
[0.16879534721374512] Updated in round 22! max:(0.5909090909090909, 'C=CC=Cc1ccc2ccc3ccccc3c2c1C=C'), min:(-99999, '')
[0.17175960540771484] Updated in round 23! max:(0.5909090909090909, 'C=CC=Cc1ccc2ccc3ccccc3c2c1C=C'), min:(-99999, '')
[0.1746816635131836] Updated in round 24! max:(0.5909090909090909, 'C=CC=Cc1ccc2ccc3ccccc3c2c1C=C'), min:(-99999, '')
[0.1788492202758789] Updated in round 25! max:(0.6363636363636364, 'C=CC=Cc1ccc2ccc3ccccc3c2c1C=CC=C'), min:(-99999, '')
[0.21218156814575195] Updated in round 26! max:(0.6818181818181818, 'C=CC=Cc1ccc2ccc3cccc4c3c2c1C=CC4=C'), min:(-99999, '')
