[0.00010204315185546875]Start running EvoMol from [H][H]...
[0.0011677742004394531] Updated in round 1! max:(0.06557377049180328, 'c1ccccc1'), min:(-99999, '')
[0.009415149688720703] Updated in round 2! max:(0.13114754098360656, 'c1ccc(-c2ccccc2)cc1'), min:(-99999, '')
[0.030941486358642578] Updated in round 3! max:(0.19672131147540983, 'c1ccc(-c2cccc(-c3ccccc3)c2)cc1'), min:(-99999, '')
[0.1280820369720459] Updated in round 4! max:(0.21311475409836064, 'C=Cc1cccc(-c2cccc(-c3ccccc3)c2)c1'), min:(-99999, '')
[0.4874541759490967] Updated in round 5! max:(0.26229508196721313, 'C=Cc1cc(-c2cccc(-c3ccccc3)c2)c2ccccc2c1'), min:(-99999, '')
[0.6207935810089111] Updated in round 6! max:(0.29508196721311475, 'c1ccc(-c2cccc(-c3cc4ccccc4c4ccccc34)c2)cc1'), min:(-99999, '')
[1.0745251178741455] Updated in round 7! max:(0.36065573770491804, 'c1ccc(-c2cccc(-c3cc4ccccc4c4ccc(-c5ccccc5)cc34)c2)cc1'), min:(-99999, '')
[1.8559906482696533] Updated in round 8! max:(0.4262295081967213, 'c1ccc(-c2cccc(-c3ccc4c(c3)c(-c3cccc(-c5ccccc5)c3)cc3ccccc34)c2)cc1'), min:(-99999, '')
[72.44190859794617] Updated in round 9! max:(0.4262295081967213, 'c1ccc(-c2cccc(-c3ccc4c(c3)c(-c3cccc(-c5ccccc5)c3)cc3ccccc34)c2)cc1'), min:(-99999, '')
[82.3863353729248] Updated in round 10! max:(0.4262295081967213, 'c1ccc(-c2cccc(-c3ccc4c(c3)c(-c3cccc(-c5ccccc5)c3)cc3ccccc34)c2)cc1'), min:(-99999, '')
[89.62159585952759] Updated in round 11! max:(0.47540983606557374, 'c1ccc(-c2cccc(-c3ccc4c(c3)c(-c3cccc(-c5ccccc5)c3)cc3c5ccccc5ccc43)c2)cc1'), min:(-99999, '')
[102.8878264427185] Updated in round 12! max:(0.47540983606557374, 'c1ccc(-c2cccc(-c3ccc4c(c3)c(-c3cccc(-c5ccccc5)c3)cc3c5ccccc5ccc43)c2)cc1'), min:(-99999, '')
[131.97710609436035] Updated in round 13! max:(0.47540983606557374, 'c1ccc(-c2cccc(-c3ccc4c(c3)c(-c3cccc(-c5ccccc5)c3)cc3c5ccccc5ccc43)c2)cc1'), min:(-99999, '')
[150.50106382369995] Updated in round 14! max:(0.47540983606557374, 'c1ccc(-c2cccc(-c3ccc4c(c3)c(-c3cccc(-c5ccccc5)c3)cc3c5ccccc5ccc43)c2)cc1'), min:(-99999, '')
[172.5219235420227] Updated in round 15! max:(0.47540983606557374, 'c1ccc(-c2cccc(-c3ccc4c(c3)c(-c3cccc(-c5ccccc5)c3)cc3c5ccccc5ccc43)c2)cc1'), min:(-99999, '')
[175.24344873428345] Updated in round 16! max:(0.47540983606557374, 'c1ccc(-c2cccc(-c3ccc4c(c3)c(-c3cccc(-c5ccccc5)c3)cc3c5ccccc5ccc43)c2)cc1'), min:(-99999, '')
[205.1412694454193] Updated in round 17! max:(0.47540983606557374, 'c1ccc(-c2cccc(-c3ccc4c(c3)c(-c3cccc(-c5ccccc5)c3)cc3c5ccccc5ccc43)c2)cc1'), min:(-99999, '')
[230.35443830490112] Updated in round 18! max:(0.4918032786885246, 'c1ccc(-c2cc3cc(c2)c2cc4c5ccccc5ccc4c4ccc(cc24)c2cc(-c4ccccc4)ccc32)cc1'), min:(-99999, '')
[231.41816997528076] Updated in round 19! max:(0.5409836065573771, 'c1ccc(-c2cc3cc(c2)c2cc4c5ccccc5ccc4c4ccc(cc24)c2cc(-c4cccc5ccccc45)ccc32)cc1'), min:(-99999, '')
[242.6036298274994] Updated in round 20! max:(0.5573770491803278, 'C=Cc1cc2c3cc1c1cc(-c4cccc5ccccc45)ccc1c1cc(-c4ccccc4)cc(c1)c3cc1c3ccccc3ccc12'), min:(-99999, '')
[243.23508524894714] Updated in round 21! max:(0.5573770491803278, 'C=Cc1cc2c3cc1c1cc(-c4cccc5ccccc45)ccc1c1cc(-c4ccccc4)cc(c1)c3cc1c3ccccc3ccc12'), min:(-99999, '')
[243.5429232120514] Updated in round 22! max:(0.5573770491803278, 'C=Cc1cc2c3cc1c1cc(-c4cccc5ccccc45)ccc1c1cc(-c4ccccc4)cc(c1)c3cc1c3ccccc3ccc12'), min:(-99999, '')
[243.83015036582947] Updated in round 23! max:(0.5573770491803278, 'C=Cc1cc2c3cc1c1cc(-c4cccc5ccccc45)ccc1c1cc(-c4ccccc4)cc(c1)c3cc1c3ccccc3ccc12'), min:(-99999, '')
[244.01834535598755] Updated in round 24! max:(0.5737704918032787, 'c1ccc(-c2cc3cc(c2)c2cc4c5ccccc5ccc4c4cc5ccc6ccc7ccccc7c6c6ccc3c(c6)c5cc24)cc1'), min:(-99999, '')
[246.1675455570221] Updated in round 25! max:(0.5737704918032787, 'c1ccc(-c2cc3cc(c2)c2cc4c5ccccc5ccc4c4cc5ccc6ccc7ccccc7c6c6ccc3c(c6)c5cc24)cc1'), min:(-99999, '')
[246.73832440376282] Updated in round 26! max:(0.5737704918032787, 'c1ccc(-c2cc3cc(c2)c2cc4c5ccccc5ccc4c4cc5ccc6ccc7ccccc7c6c6ccc3c(c6)c5cc24)cc1'), min:(-99999, '')
[252.33391642570496] Updated in round 27! max:(0.5901639344262295, 'C=Cc1ccccc1-c1cc2cc(c1)c1cc3c4ccccc4ccc3c3cc4ccc5ccc6ccccc6c5c5ccc2c(c5)c4cc13'), min:(-99999, '')
[253.36161065101624] Updated in round 28! max:(0.5901639344262295, 'C=Cc1ccccc1-c1cc2cc(c1)c1cc3c4ccccc4ccc3c3cc4ccc5ccc6ccccc6c5c5ccc2c(c5)c4cc13'), min:(-99999, '')
[254.37087106704712] Updated in round 29! max:(0.5901639344262295, 'C=Cc1ccccc1-c1cc2cc(c1)c1cc3c4ccccc4ccc3c3cc4ccc5ccc6ccccc6c5c5ccc2c(c5)c4cc13'), min:(-99999, '')
[260.24592638015747] Updated in round 30! max:(0.5901639344262295, 'C=Cc1ccccc1-c1cc2cc(c1)c1cc3c4ccccc4ccc3c3cc4ccc5ccc6ccccc6c5c5ccc2c(c5)c4cc13'), min:(-99999, '')
[261.5104880332947] Updated in round 31! max:(0.5901639344262295, 'C=Cc1ccccc1-c1cc2cc(c1)c1cc3c4ccccc4ccc3c3cc4ccc5ccc6ccccc6c5c5ccc2c(c5)c4cc13'), min:(-99999, '')
[262.012704372406] Updated in round 32! max:(0.5901639344262295, 'C=Cc1ccccc1-c1cc2cc(c1)c1cc3c4ccccc4ccc3c3cc4ccc5ccc6ccccc6c5c5ccc2c(c5)c4cc13'), min:(-99999, '')
