[6.127357482910156e-05]Start running EvoMol from [H][H]...
[0.00033593177795410156] Updated in round 1! max:(0.03278688524590164, 'C=C'), min:(-99999, '')
[0.006035327911376953] Updated in round 2! max:(0.09523809523809523, 'C=CC=C'), min:(-99999, '')
[0.008123159408569336] Updated in round 3! max:(0.171875, 'C=CC(=C)C=C'), min:(-99999, '')
[0.010091781616210938] Updated in round 4! max:(0.2903225806451613, 'C=CC(=C)C(=C)C=C'), min:(-99999, '')
[0.01285696029663086] Updated in round 5! max:(0.39344262295081966, 'C=CC(=C)C(=C)C(=C)C=C'), min:(-99999, '')
[0.01653003692626953] Updated in round 6! max:(0.5, 'C=CC(=C)C(=C)C(=C)C(=C)C=C'), min:(-99999, '')
[0.021401166915893555] Updated in round 7! max:(0.5833333333333334, 'C=CC(=C)C(=C)C(=C)C(=C)C(=C)C=C'), min:(-99999, '')
[0.027665138244628906] Updated in round 8! max:(0.5833333333333334, 'C=CC(=C)C(=C)C(=C)C(=C)C(=C)C=C'), min:(-99999, '')
[0.028254270553588867] Updated in round 9! max:(0.5833333333333334, 'C=CC(=C)C(=C)C(=C)C(=C)C(=C)C=C'), min:(-99999, '')
[0.028808116912841797] Updated in round 10! max:(0.6666666666666666, 'C=CC(=C)C(=C)C(=C)C(=C)C(=C)C(=C)C=C'), min:(-99999, '')
[0.03673052787780762] Updated in round 11! max:(0.6666666666666666, 'C=CC(=C)C(=C)C(=C)C(=C)C(=C)C(=C)C=C'), min:(-99999, '')
[0.03733229637145996] Updated in round 12! max:(0.75, 'C=CC(=C)C(=C)C(=C)C(=C)C(=C)C(=C)C(=C)C=C'), min:(-99999, '')
[0.04723954200744629] Updated in round 13! max:(0.75, 'C=CC(=C)C(=C)C(=C)C(=C)C(=C)C(=C)C(=C)C=C'), min:(-99999, '')
[0.047890663146972656] Updated in round 14! max:(0.75, 'C=CC(=C)C(=C)C(=C)C(=C)C(=C)C(=C)C(=C)C=C'), min:(-99999, '')
[0.048589468002319336] Updated in round 15! max:(0.8333333333333334, 'C=CC(=C)C(=C)C(=C)C(=C)C(=C)C(=C)C(=C)C(=C)C=C'), min:(-99999, '')
[0.060540199279785156] Updated in round 16! max:(0.8333333333333334, 'C=CC(=C)C(=C)C(=C)C(=C)C(=C)C(=C)C(=C)C(=C)C=C'), min:(-99999, '')
[0.06125330924987793] Updated in round 17! max:(0.8333333333333334, 'C=CC(=C)C(=C)C(=C)C(=C)C(=C)C(=C)C(=C)C(=C)C=C'), min:(-99999, '')
[0.06196761131286621] Updated in round 18! max:(0.9166666666666666, 'C=CC(=C)C(=C)C(=C)C(=C)C(=C)C(=C)C(=C)C(=C)C(=C)C=C'), min:(-99999, '')
[0.0764305591583252] Updated in round 19! max:(0.9166666666666666, 'C=CC(=C)C(=C)C(=C)C(=C)C(=C)C(=C)C(=C)C(=C)C(=C)C=C'), min:(-99999, '')
[0.0771799087524414] Updated in round 20! max:(0.9166666666666666, 'C=CC(=C)C(=C)C(=C)C(=C)C(=C)C(=C)C(=C)C(=C)C(=C)C=C'), min:(-99999, '')
[0.07792472839355469] Updated in round 21! max:(0.9166666666666666, 'C=CC(=C)C(=C)C(=C)C(=C)C(=C)C(=C)C(=C)C(=C)C(=C)C=C'), min:(-99999, '')
[0.07864856719970703] Updated in round 22! max:(0.9166666666666666, 'C=CC(=C)C(=C)C(=C)C(=C)C(=C)C(=C)C(=C)C(=C)C(=C)C=C'), min:(-99999, '')
[0.07882952690124512] Reproduced in round 23!!
