rediscovery_c1ccc(-c2ccccc2)cc1_mean,rediscovery_c1ccc(-c2ccccc2)cc1_med,rediscovery_c1ccc(-c2ccccc2)cc1_min,rediscovery_c1ccc(-c2ccccc2)cc1_max,rediscovery_c1ccc(-c2ccccc2)cc1_std,total_mean,total_med,total_min,total_max,total_std,objective_calls,n_replaced,timestamps,n_failed_obj_computation,n_not_improvers_among_success_obj_computation,n_discarded_tabu,n_discarded_filters,n_discarded_rdfilters,n_discarded_sillywalks,n_discarded_sascore,n_discarded_custom_filter
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0002532005310058594,0,0,0,0,0,0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0006830692291259766,0,0,0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0.002454996109008789,0,0,0,0,0,0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,2,0.004564523696899414,0,0,0,0,0,0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,2,0.009362459182739258,0,0,35,0,0,0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,1,0.013720989227294922,0,0,15,0,0,0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,2,0.02058124542236328,0,0,12,0,0,0,0,0
0.01006993006993007,0.0,0.0,0.09090909090909091,0.025639838921467945,0.01006993006993007,0.0,0.0,0.09090909090909091,0.025639838921467945,12,4,0.029111623764038086,0,0,16,0,0,0,0,0
0.016057803891181936,0.0,0.0,0.09090909090909091,0.02490003221600554,0.016057803891181936,0.0,0.0,0.09090909090909091,0.02490003221600554,20,8,0.040370941162109375,0,0,12,0,0,0,0,0
0.017731569449608495,0.0,0.0,0.09090909090909091,0.025625432117873867,0.017731569449608495,0.0,0.0,0.09090909090909091,0.025625432117873867,29,9,0.056906700134277344,0,0,44,0,0,0,0,0
0.02013725291827568,0.0,0.0,0.09090909090909091,0.02433562110051546,0.02013725291827568,0.0,0.0,0.09090909090909091,0.02433562110051546,39,10,0.07252383232116699,0,0,24,0,0,0,0,0
0.024016889930880247,0.03508771929824561,0.0,0.09090909090909091,0.025793512153008027,0.024016889930880247,0.03508771929824561,0.0,0.09090909090909091,0.025793512153008027,49,10,0.08637595176696777,0,0,7,0,0,0,0,0
0.02699851058820418,0.0367003367003367,0.0,0.09090909090909091,0.025655544364611902,0.02699851058820418,0.0367003367003367,0.0,0.09090909090909091,0.025655544364611902,59,10,0.09959816932678223,0,0,7,0,0,0,0,0
0.029954154607673988,0.0373864430468204,0.0,0.09090909090909091,0.027232264673646447,0.029954154607673988,0.0373864430468204,0.0,0.09090909090909091,0.027232264673646447,69,10,0.11307787895202637,0,0,7,0,0,0,0,0
0.0327346893353236,0.03773584905660377,0.0,0.09090909090909091,0.027923632912659428,0.0327346893353236,0.03773584905660377,0.0,0.09090909090909091,0.027923632912659428,79,10,0.12470507621765137,0,0,2,0,0,0,0,0
0.03409541532679144,0.038098693759071114,0.0,0.09090909090909091,0.02875192575508515,0.03409541532679144,0.038098693759071114,0.0,0.09090909090909091,0.02875192575508515,89,10,0.13718700408935547,0,0,1,0,0,0,0,0
0.037155834813847495,0.0392156862745098,0.0,0.09615384615384616,0.029641026173378784,0.037155834813847495,0.0392156862745098,0.0,0.09615384615384616,0.029641026173378784,99,10,0.14883041381835938,0,0,5,0,0,0,0,0
0.03688468032187556,0.038838612368024134,0.0,0.09615384615384616,0.029854675525598975,0.03688468032187556,0.038838612368024134,0.0,0.09615384615384616,0.029854675525598975,109,10,0.16283488273620605,0,0,5,0,0,0,0,0
0.03904868731757345,0.0392156862745098,0.0,0.09615384615384616,0.03005982304688198,0.03904868731757345,0.0392156862745098,0.0,0.09615384615384616,0.03005982304688198,119,10,0.1755685806274414,0,0,6,0,0,0,0,0
0.03922692258121775,0.0392156862745098,0.0,0.09615384615384616,0.02988377615875828,0.03922692258121775,0.0392156862745098,0.0,0.09615384615384616,0.02988377615875828,129,10,0.188493013381958,0,0,6,0,0,0,0,0
0.04042691789697246,0.04,0.0,0.09615384615384616,0.030261359151184906,0.04042691789697246,0.04,0.0,0.09615384615384616,0.030261359151184906,139,10,0.2048935890197754,0,0,12,0,0,0,0,0
0.04166506578367533,0.04,0.0,0.10909090909090909,0.030562806006955635,0.04166506578367533,0.04,0.0,0.10909090909090909,0.030562806006955635,149,10,0.21692585945129395,0,0,0,0,0,0,0,0
0.043617916348424095,0.04081632653061224,0.0,0.10909090909090909,0.030792868596969843,0.043617916348424095,0.04081632653061224,0.0,0.10909090909090909,0.030792868596969843,159,10,0.23540830612182617,0,0,15,0,0,0,0,0
0.04369848742717308,0.04081632653061224,0.0,0.10909090909090909,0.0305913348362352,0.04369848742717308,0.04081632653061224,0.0,0.10909090909090909,0.0305913348362352,169,10,0.2588844299316406,0,0,23,0,0,0,0,0
0.0443388231365615,0.04081632653061224,0.0,0.10909090909090909,0.030555331852756388,0.0443388231365615,0.04081632653061224,0.0,0.10909090909090909,0.030555331852756388,179,10,0.2747805118560791,0,0,8,0,0,0,0,0
0.04617667669106148,0.04210992907801418,0.0,0.325,0.03631919579475579,0.04617667669106148,0.04210992907801418,0.0,0.325,0.03631919579475579,189,10,0.2929375171661377,0,0,8,0,0,0,0,0
0.04672176796953056,0.0425531914893617,0.0,0.325,0.035987566881466836,0.04672176796953056,0.0425531914893617,0.0,0.325,0.035987566881466836,199,10,0.31320786476135254,0,0,17,0,0,0,0,0
0.048002897451060754,0.04301572617946346,0.0,0.325,0.03590447758400256,0.048002897451060754,0.04301572617946346,0.0,0.325,0.03590447758400256,209,10,0.32942962646484375,0,0,11,0,0,0,0,0
0.04917997648191745,0.044444444444444446,0.0,0.325,0.035596378560641635,0.04917997648191745,0.044444444444444446,0.0,0.325,0.035596378560641635,219,10,0.35395002365112305,0,0,32,0,0,0,0,0
0.0502767318027617,0.046511627906976744,0.0,0.325,0.035375299157800494,0.0502767318027617,0.046511627906976744,0.0,0.325,0.035375299157800494,229,10,0.37490367889404297,0,0,12,0,0,0,0,0
0.05130456933537732,0.046511627906976744,0.0,0.325,0.03535810788749237,0.05130456933537732,0.046511627906976744,0.0,0.325,0.03535810788749237,239,10,0.3978548049926758,0,0,29,0,0,0,0,0
0.05206499041510956,0.04981397271599835,0.0,0.325,0.035004318429433974,0.05206499041510956,0.04981397271599835,0.0,0.325,0.035004318429433974,249,10,0.4189932346343994,0,0,12,0,0,0,0,0
0.05366723158167639,0.05357142857142857,0.0,0.325,0.03586062457403335,0.05366723158167639,0.05357142857142857,0.0,0.325,0.03586062457403335,259,10,0.438295841217041,0,0,13,0,0,0,0,0
0.05457350416322399,0.05607966457023061,0.0,0.325,0.036031987020084734,0.05457350416322399,0.05607966457023061,0.0,0.325,0.036031987020084734,269,10,0.45868754386901855,0,0,14,0,0,0,0,0
0.055398587205008044,0.057692307692307696,0.0,0.325,0.03573746313315345,0.055398587205008044,0.057692307692307696,0.0,0.325,0.03573746313315345,279,10,0.48242735862731934,0,0,20,0,0,0,0,0
0.055422907968092405,0.057692307692307696,0.0,0.325,0.03561944196711005,0.055422907968092405,0.057692307692307696,0.0,0.325,0.03561944196711005,289,10,0.5003013610839844,0,0,8,0,0,0,0,0
0.05581859720377108,0.058823529411764705,0.0,0.325,0.035306831422797336,0.05581859720377108,0.058823529411764705,0.0,0.325,0.035306831422797336,299,10,0.5172486305236816,0,0,5,0,0,0,0,0
0.05734435279646277,0.058823529411764705,0.0,0.325,0.03800552889603583,0.05734435279646277,0.058823529411764705,0.0,0.325,0.03800552889603583,309,10,0.533414363861084,0,0,5,0,0,0,0,0
0.057704856075726965,0.061224489795918366,0.0,0.325,0.0380041275139643,0.057704856075726965,0.061224489795918366,0.0,0.325,0.0380041275139643,319,10,0.55430006980896,0,0,11,0,0,0,0,0
0.05811701993947356,0.06299603174603174,0.0,0.325,0.0376518001966639,0.05811701993947356,0.06299603174603174,0.0,0.325,0.0376518001966639,329,10,0.5724122524261475,0,0,8,0,0,0,0,0
0.05879912792563245,0.06666666666666667,0.0,0.325,0.03737132581253212,0.05879912792563245,0.06666666666666667,0.0,0.325,0.03737132581253212,339,10,0.5924255847930908,0,0,11,0,0,0,0,0
0.05888930795325365,0.06666666666666667,0.0,0.325,0.03715786581188085,0.05888930795325365,0.06666666666666667,0.0,0.325,0.03715786581188085,349,10,0.6071879863739014,0,0,2,0,0,0,0,0
0.05887867862425687,0.06666666666666667,0.0,0.325,0.03725228897541074,0.05887867862425687,0.06666666666666667,0.0,0.325,0.03725228897541074,359,10,0.6237988471984863,0,0,1,0,0,0,0,0
0.059491944849772646,0.06779661016949153,0.0,0.325,0.03704893710740877,0.059491944849772646,0.06779661016949153,0.0,0.325,0.03704893710740877,369,10,0.6390745639801025,0,0,6,0,0,0,0,0
0.06054131008168354,0.06779661016949153,0.0,0.35,0.03974496555008999,0.06054131008168354,0.06779661016949153,0.0,0.35,0.03974496555008999,379,10,0.6528491973876953,0,0,3,0,0,0,0,0
0.06089970161955635,0.06798921417565484,0.0,0.35,0.0396157682432586,0.06089970161955635,0.06798921417565484,0.0,0.35,0.0396157682432586,389,10,0.6762676239013672,0,0,17,0,0,0,0,0
0.061640673326070455,0.06896551724137931,0.0,0.35,0.04185300974297543,0.061640673326070455,0.06896551724137931,0.0,0.35,0.04185300974297543,399,10,0.6942563056945801,0,0,9,0,0,0,0,0
0.06170137747120261,0.06896551724137931,0.0,0.35,0.04158374045462717,0.06170137747120261,0.06896551724137931,0.0,0.35,0.04158374045462717,409,10,0.7147846221923828,0,0,10,0,0,0,0,0
0.0622835492769796,0.06896551724137931,0.0,0.35,0.041508855316998126,0.0622835492769796,0.06896551724137931,0.0,0.35,0.041508855316998126,419,10,0.7383379936218262,0,0,16,0,0,0,0,0
0.06266347384310345,0.06896551724137931,0.0,0.35,0.04144423289456702,0.06266347384310345,0.06896551724137931,0.0,0.35,0.04144423289456702,429,10,0.75836181640625,0,0,11,0,0,0,0,0
0.0637401738636322,0.06957047791893527,0.0,0.35,0.04187639872182788,0.0637401738636322,0.06957047791893527,0.0,0.35,0.04187639872182788,439,10,0.7881393432617188,0,0,38,0,0,0,0,0
0.06424695980886441,0.07017543859649122,0.0,0.35,0.04210094120556774,0.06424695980886441,0.07017543859649122,0.0,0.35,0.04210094120556774,449,10,0.8110685348510742,0,0,12,0,0,0,0,0
0.06520460867841629,0.07017543859649122,0.0,0.35,0.04297696129633831,0.06520460867841629,0.07017543859649122,0.0,0.35,0.04297696129633831,459,10,0.8319506645202637,0,0,18,0,0,0,0,0
0.06548774143403244,0.07017543859649122,0.0,0.35,0.042920574451295726,0.06548774143403244,0.07017543859649122,0.0,0.35,0.042920574451295726,469,10,0.8553860187530518,0,0,12,0,0,0,0,0
0.06603418952768282,0.07080200501253132,0.0,0.35,0.04368093393732322,0.06603418952768282,0.07080200501253132,0.0,0.35,0.04368093393732322,479,10,0.8758549690246582,0,0,13,0,0,0,0,0
0.06571770228558658,0.07017543859649122,0.0,0.35,0.04346645675857398,0.06571770228558658,0.07017543859649122,0.0,0.35,0.04346645675857398,489,10,0.900015115737915,0,0,17,0,0,0,0,0
0.06558543713352032,0.07017543859649122,0.0,0.35,0.04328697178832062,0.06558543713352032,0.07017543859649122,0.0,0.35,0.04328697178832062,499,10,0.9189307689666748,0,0,7,0,0,0,0,0
