smiles,n_success_mut,n_failures_mut,rediscovery_C=CC=CC=CC=CC=CC=CC=CC=CC=CC=CC=CC=C,total,obj_computation_time,history_data
C=CC=CC=CC=CC=CC=CC=CC=CC(C)=CC=CC(C)CC=C,0,0,0.5483870967741935,0.5483870967741935,0.0004360675811767578,
CC=CC=CC=CC=CC=CC=CC=CC=CC=CC1(C)CC1,0,0,0.5454545454545454,0.5454545454545454,0.0004086494445800781,
C=CC=CC=CC=CC=CC=CC=CC=CC=CCCCC(C)CC=C,0,0,0.5760869565217391,0.5760869565217391,0.00044274330139160156,
C=CC(=C)C=CC=CC=CC=CC=CC=CC=CC=CC,0,0,0.5476190476190477,0.5476190476190477,0.0003502368927001953,
C=CC=CC=CCC=CC=CC=CC=CC=CC=CC=CC(C)CC=C,0,0,0.5760869565217391,0.5760869565217391,0.0004374980926513672,
C=CC=CC=CC=CC=CC=CC=CC=C(C=CC=C)CC=C,0,0,0.5813953488372093,0.5813953488372093,0.0003814697265625,
C=CC=CC=CC=CC=CC=CC=CC=CC=CC=CC(C)CC(C)C,0,0,0.6363636363636364,0.6363636363636364,0.0004553794860839844,
C=CC=CC=CC=CC=CC=CC=CC=CC=CCC1=CC1,0,0,0.5952380952380952,0.5952380952380952,0.0003764629364013672,
C=CC=CC=CC=C=CC=CC=CC=CC=CC=CC=C,0,0,0.6582278481012658,0.6582278481012658,0.00035119056701660156,
C=CC=CC=CC=CC(C)=CC=CC=CC=CC=CC=CC,0,0,0.5465116279069767,0.5465116279069767,0.0003497600555419922,
C=CC=CC=CC=CC=CC=CC=CC=CC(C)(C)C=CC=C,2,2,0.6265060240963856,0.6265060240963856,0.00038123130798339844,
C=CC=CC=CC=CC=CC=CC=CCC=CC=CC=CC(C)C,0,0,0.5617977528089888,0.5617977528089888,0.00039696693420410156,
C=CC=CC=CC=CC=CC=CC=CC=CC=CC(C)=CC(C)C=C,0,0,0.6206896551724138,0.6206896551724138,0.0004220008850097656,
C#CCC(C)=CC=CC=CC=CC=CC=CC=CC=CC=CC=C,0,0,0.6162790697674418,0.6162790697674418,0.0004067420959472656,
C=CC=CC=CC=CC=CC=CCC=C(C)C=CC=CC=C,0,0,0.5465116279069767,0.5465116279069767,0.0003542900085449219,
CC=CC=CC=CC=CC=CC=CC=CC=CC=CC,32,17,0.6,0.6,0.000335693359375,
C=CC=CC=CC=CC=CC=CC=CC(=C)C(C)CCC=CC=CC=C,0,0,0.5652173913043478,0.5652173913043478,0.0004420280456542969,
C=CC=CC=CC=CC(=C)CC=CC=CC=CC=CC=CC=CC,0,0,0.5795454545454546,0.5795454545454546,0.0003972053527832031,
C=CC=CC=CC=CC=CC=CC=CC=CCC=CC=CC(C=C)C(C)C,0,0,0.5638297872340425,0.5638297872340425,0.00046539306640625,
C=CC=CC=CC=CC=CC=CC=CC=CCC=CC=CC(C=C)CC,0,0,0.5760869565217391,0.5760869565217391,0.0004394054412841797,
C=C(C=CC=CC=CC=CC=CC=CC=CC=CC=CC)CC,0,0,0.5632183908045977,0.5632183908045977,0.00038886070251464844,
C=CC=CC=CC=CC=CC=CC=CC=CC=CCCC(C)(C)C,0,0,0.5681818181818182,0.5681818181818182,0.0004074573516845703,
C=CC=CC=CC=CC=CC=CC=CC=CC1=CC1=C,0,0,0.5487804878048781,0.5487804878048781,0.0003407001495361328,
C=CC=CC=CC=CC=CC=CC=CC=CC(=CC=CC=CC)CC,0,0,0.5955056179775281,0.5955056179775281,0.00041604042053222656,
C=CC=CC#CC(C)C=CC=CC=CC=CC=CC=CC=CC=C,0,0,0.5977011494252874,0.5977011494252874,0.000408172607421875,
C=CC=CC=CC=CC=CC=CC=CC=CC=CC=CC(C)CC1=C=C1,0,0,0.6292134831460674,0.6292134831460674,0.00048470497131347656,
CC=CC=CC=CC=CC=CC=CC=CC=CC=CC=CC=C(C)CC,0,0,0.6477272727272727,0.6477272727272727,0.00044727325439453125,
C=CC=CC=CC=CC=CC=CC=CC=CC=CC(C)C(C)=CC,0,0,0.5862068965517241,0.5862068965517241,0.0004105567932128906,
