smiles,n_success_mut,n_failures_mut,rediscovery_C(=Cc1ccccc1)c1ccccc1,total,obj_computation_time,history_data
C=C(C=Cc1ccccc1)C1C=C1,0,0,0.4107142857142857,0.4107142857142857,0.0002377033233642578,
C=C1CCC1C=Cc1ccccc1,0,0,0.3793103448275862,0.3793103448275862,0.00022602081298828125,
C(=CC1CC1)c1ccccc1,2,0,0.39622641509433965,0.39622641509433965,0.00020742416381835938,
CC(Cc1ccccc1)c1ccccc1,2,16,0.4827586206896552,0.4827586206896552,0.00026154518127441406,
CC1=C(C=Cc2ccccc2)C(C)C=C1,0,0,0.4406779661016949,0.4406779661016949,0.0002627372741699219,
CC1=C=CC=C(C=Cc2ccccc2)C1,0,0,0.43333333333333335,0.43333333333333335,0.00025725364685058594,
C=C1CC=C1C=Cc1ccccc1,0,0,0.45454545454545453,0.45454545454545453,0.00022745132446289062,
C=C1C=CC(C)C=C1C=Cc1ccccc1,0,0,0.4426229508196721,0.4426229508196721,0.0002696514129638672,
CC12C=C(C=Cc3ccccc3)C1=C2,1,1,0.45614035087719296,0.45614035087719296,0.0002532005310058594,
C1=CCCC=CC=1C=Cc1ccccc1,0,0,0.45,0.45,0.00026726722717285156,
C=C1C=CC=C(C=Cc2ccccc2)C1,4,11,0.4576271186440678,0.4576271186440678,0.0002605915069580078,
CC12CC1=C2C=Cc1ccccc1,1,0,0.43636363636363634,0.43636363636363634,0.0002503395080566406,
C(=Cc1ccccc1)C1=C2CCC12,0,0,0.42857142857142855,0.42857142857142855,0.00024700164794921875,
CCC1=C2C(C=Cc3ccccc3)=C12,1,0,0.41379310344827586,0.41379310344827586,0.00026917457580566406,
CC12C=C(C=C1C=Cc1ccccc1)C2,0,0,0.4406779661016949,0.4406779661016949,0.00030422210693359375,
C(=Cc1ccccc1)CC1=C2C=CC21,0,0,0.4067796610169492,0.4067796610169492,0.0002567768096923828,
CC(C=Cc1ccccc1)C1=CCC=C1,0,0,0.4098360655737705,0.4098360655737705,0.0002598762512207031,
C=Cc1ccccc1,65,63,0.3829787234042553,0.3829787234042553,0.00013971328735351562,
C#CC=CC=Cc1ccccc1,0,0,0.375,0.375,0.0002071857452392578,
C1=CC2CC2=CC=1C=Cc1ccccc1,0,0,0.4262295081967213,0.4262295081967213,0.0002887248992919922,
C1=CC2C=C1C=C2C=Cc1ccccc1,16,31,0.4745762711864407,0.4745762711864407,0.0003104209899902344,
CC1=C(CC=Cc2ccccc2)C1(C)C,0,0,0.36065573770491804,0.36065573770491804,0.00026869773864746094,
CCC1C(C)=C1C=Cc1ccccc1,0,0,0.41379310344827586,0.41379310344827586,0.00024199485778808594,
CC1=C(C=Cc2ccccc2)CC=C1,5,0,0.45614035087719296,0.45614035087719296,0.00024271011352539062,
C#CC(C)C=Cc1ccccc1,11,3,0.38181818181818183,0.38181818181818183,0.00020051002502441406,
C(=Cc1ccccc1)C1=C2C=C1CC2,0,0,0.423728813559322,0.423728813559322,0.0002789497375488281,
C(=Cc1ccccc1)C1=CC2=C1C2,7,3,0.44642857142857145,0.44642857142857145,0.0002620220184326172,
C=C1C(C)=CC=C1C=Cc1ccccc1,0,0,0.4406779661016949,0.4406779661016949,0.00025391578674316406,
C(=Cc1ccccc1)C1=C2CC2C=C1,0,0,0.4482758620689655,0.4482758620689655,0.00027370452880859375,
C(=CC1CC2C=CC12)c1ccccc1,0,0,0.3770491803278688,0.3770491803278688,0.00026154518127441406,
CC=C1C=CC=C1C=Cc1ccccc1,5,11,0.4576271186440678,0.4576271186440678,0.0002601146697998047,
C=C1CC(C=Cc2ccccc2)=CC=C1C,0,0,0.41935483870967744,0.41935483870967744,0.0002722740173339844,
C1=CC2(CCC2)C(C=Cc2ccccc2)=C1,0,0,0.43548387096774194,0.43548387096774194,0.00030493736267089844,
CC1(C)C=C(C=Cc2ccccc2)CC1,0,0,0.4166666666666667,0.4166666666666667,0.0002636909484863281,
CCC1=C(C=Cc2ccccc2)C=C1,9,4,0.45614035087719296,0.45614035087719296,0.0002429485321044922,
C1=CCCC(C=Cc2ccccc2)=CC1,0,0,0.45,0.45,0.000270843505859375,
CCC1C=C(C=Cc2ccccc2)C=CC1,0,0,0.43548387096774194,0.43548387096774194,0.0002765655517578125,
CC12C=C1C=C(C=Cc1ccccc1)C2,0,0,0.43333333333333335,0.43333333333333335,0.0002830028533935547,
CC1CC(C=Cc2ccccc2)C1,0,0,0.3620689655172414,0.3620689655172414,0.00022363662719726562,
CC1=CC(C)(C)C=C1C=Cc1ccccc1,0,0,0.4262295081967213,0.4262295081967213,0.0002770423889160156,
CCC1C=C(C)C(C=Cc2ccccc2)=C1,0,0,0.41935483870967744,0.41935483870967744,0.00027680397033691406,
C=CC1(C=CC=Cc2ccccc2)C=C1,0,0,0.3709677419354839,0.3709677419354839,0.0002613067626953125,
C1=CCC(C=Cc2ccccc2)C1,0,0,0.39655172413793105,0.39655172413793105,0.0002377033233642578,
CCC1CC=CC=C1C=Cc1ccccc1,0,0,0.43548387096774194,0.43548387096774194,0.00027441978454589844,
CC(=Cc1ccccc1)CC1=CC=C1,0,0,0.36666666666666664,0.36666666666666664,0.00024175643920898438,
