rediscovery_c1ccc2ccccc2c1_mean,rediscovery_c1ccc2ccccc2c1_med,rediscovery_c1ccc2ccccc2c1_min,rediscovery_c1ccc2ccccc2c1_max,rediscovery_c1ccc2ccccc2c1_std,total_mean,total_med,total_min,total_max,total_std,objective_calls,n_replaced,timestamps,n_failed_obj_computation,n_not_improvers_among_success_obj_computation,n_discarded_tabu,n_discarded_filters,n_discarded_rdfilters,n_discarded_sillywalks,n_discarded_sascore,n_discarded_custom_filter
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0003135204315185547,0,0,0,0,0,0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0.0007512569427490234,0,0,0,0,0,0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1,0.004307270050048828,0,0,13,0,0,0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,1,0.006798505783081055,0,0,4,0,0,0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,2,0.010137081146240234,0,0,7,0,0,0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,3,0.015157938003540039,0,0,12,0,0,0,0,0
0.003246753246753247,0.0,0.0,0.045454545454545456,0.011706335309948017,0.003246753246753247,0.0,0.0,0.045454545454545456,0.011706335309948017,13,5,0.024135112762451172,0,0,22,0,0,0,0,0
0.0022727272727272726,0.0,0.0,0.045454545454545456,0.009906588508046986,0.0022727272727272726,0.0,0.0,0.045454545454545456,0.009906588508046986,19,6,0.032378196716308594,0,0,14,0,0,0,0,0
0.007867217867217868,0.0,0.0,0.08888888888888889,0.021055459479745495,0.007867217867217868,0.0,0.0,0.08888888888888889,0.021055459479745495,29,10,0.044611215591430664,0,0,9,0,0,0,0,0
0.009091902762115528,0.0,0.0,0.08888888888888889,0.022860515863834505,0.009091902762115528,0.0,0.0,0.08888888888888889,0.022860515863834505,39,10,0.056029319763183594,0,0,11,0,0,0,0,0
0.014239709175879389,0.0,0.0,0.09523809523809523,0.02684779985538834,0.014239709175879389,0.0,0.0,0.09523809523809523,0.02684779985538834,49,10,0.07326412200927734,0,0,23,0,0,0,0,0
0.016721038984920666,0.0,0.0,0.09523809523809523,0.02822165498488114,0.016721038984920666,0.0,0.0,0.09523809523809523,0.02822165498488114,59,10,0.08793950080871582,0,0,10,0,0,0,0,0
0.02055498182150784,0.0,0.0,0.09523809523809523,0.030194206791385788,0.02055498182150784,0.0,0.0,0.09523809523809523,0.030194206791385788,69,10,0.10013198852539062,0,0,4,0,0,0,0,0
0.02442783159992957,0.0,0.0,0.10416666666666667,0.03220334012203352,0.02442783159992957,0.0,0.0,0.10416666666666667,0.03220334012203352,79,10,0.12263655662536621,0,0,28,0,0,0,0,0
0.028315450324627962,0.0,0.0,0.10416666666666667,0.03369810790170737,0.028315450324627962,0.0,0.0,0.10416666666666667,0.03369810790170737,89,10,0.1353602409362793,0,0,8,0,0,0,0,0
0.03293395050987232,0.03356605800214822,0.0,0.10416666666666667,0.03533096395037598,0.03293395050987232,0.03356605800214822,0.0,0.10416666666666667,0.03533096395037598,99,10,0.1497635841369629,0,0,4,0,0,0,0,0
0.036535591411985036,0.04494949494949495,0.0,0.10416666666666667,0.03616067384901192,0.036535591411985036,0.04494949494949495,0.0,0.10416666666666667,0.03616067384901192,109,10,0.16323447227478027,0,0,5,0,0,0,0,0
0.037966974014137705,0.045454545454545456,0.0,0.10416666666666667,0.03528875420193032,0.037966974014137705,0.045454545454545456,0.0,0.10416666666666667,0.03528875420193032,119,10,0.18117570877075195,0,0,11,0,0,0,0,0
0.04014756587633889,0.045454545454545456,0.0,0.10416666666666667,0.03523615151527459,0.04014756587633889,0.045454545454545456,0.0,0.10416666666666667,0.03523615151527459,129,10,0.19548392295837402,0,0,7,0,0,0,0,0
0.04107324028729215,0.045454545454545456,0.0,0.10416666666666667,0.03485136797830905,0.04107324028729215,0.045454545454545456,0.0,0.10416666666666667,0.03485136797830905,139,10,0.20904064178466797,0,0,4,0,0,0,0,0
0.042505192780354514,0.045454545454545456,0.0,0.10416666666666667,0.034415880237454254,0.042505192780354514,0.045454545454545456,0.0,0.10416666666666667,0.034415880237454254,149,10,0.22612738609313965,0,0,8,0,0,0,0,0
0.044384031611459034,0.046511627906976744,0.0,0.10416666666666667,0.03456841799017705,0.044384031611459034,0.046511627906976744,0.0,0.10416666666666667,0.03456841799017705,159,10,0.2411022186279297,0,0,5,0,0,0,0,0
0.04536184390190095,0.046511627906976744,0.0,0.14634146341463414,0.03570617841050732,0.04536184390190095,0.046511627906976744,0.0,0.14634146341463414,0.03570617841050732,169,10,0.2543816566467285,0,0,3,0,0,0,0,0
0.04621201008425199,0.046511627906976744,0.0,0.14634146341463414,0.035519221982157116,0.04621201008425199,0.046511627906976744,0.0,0.14634146341463414,0.035519221982157116,179,10,0.27172183990478516,0,0,8,0,0,0,0,0
0.04644372615723234,0.046511627906976744,0.0,0.14634146341463414,0.035713919093190966,0.04644372615723234,0.046511627906976744,0.0,0.14634146341463414,0.035713919093190966,189,10,0.2874743938446045,0,0,9,0,0,0,0,0
0.04783626100842254,0.04706533776301218,0.0,0.14634146341463414,0.035564179955374225,0.04783626100842254,0.04706533776301218,0.0,0.14634146341463414,0.035564179955374225,199,10,0.30052995681762695,0,0,2,0,0,0,0,0
0.04961266113614204,0.04878048780487805,0.0,0.14634146341463414,0.03585374880378301,0.04961266113614204,0.04878048780487805,0.0,0.14634146341463414,0.03585374880378301,209,10,0.3159918785095215,0,0,7,0,0,0,0,0
0.05089268268092397,0.05,0.0,0.14634146341463414,0.03627046813268204,0.05089268268092397,0.05,0.0,0.14634146341463414,0.03627046813268204,219,10,0.3309898376464844,0,0,8,0,0,0,0,0
0.0516670683681313,0.05,0.0,0.14634146341463414,0.03632838261218081,0.0516670683681313,0.05,0.0,0.14634146341463414,0.03632838261218081,229,10,0.34461116790771484,0,0,4,0,0,0,0,0
0.0527884074689305,0.05064102564102564,0.0,0.14634146341463414,0.03617941766636656,0.0527884074689305,0.05064102564102564,0.0,0.14634146341463414,0.03617941766636656,239,10,0.36734724044799805,0,0,21,0,0,0,0,0
0.05338999459810105,0.05128205128205128,0.0,0.14634146341463414,0.036203151997489184,0.05338999459810105,0.05128205128205128,0.0,0.14634146341463414,0.036203151997489184,249,10,0.38107872009277344,0,0,1,0,0,0,0,0
0.053959499030031874,0.05128205128205128,0.0,0.14634146341463414,0.03587576026903031,0.053959499030031874,0.05128205128205128,0.0,0.14634146341463414,0.03587576026903031,259,10,0.41027116775512695,0,0,40,0,0,0,0,0
0.0544079459831349,0.05405405405405406,0.0,0.14634146341463414,0.03569822593903388,0.0544079459831349,0.05405405405405406,0.0,0.14634146341463414,0.03569822593903388,269,10,0.43465089797973633,0,0,24,0,0,0,0,0
0.05479854246288279,0.05405405405405406,0.0,0.14634146341463414,0.03559826014371776,0.05479854246288279,0.05405405405405406,0.0,0.14634146341463414,0.03559826014371776,279,10,0.45731568336486816,0,0,26,0,0,0,0,0
0.055217949655202846,0.05405405405405406,0.0,0.14634146341463414,0.035670059382761056,0.055217949655202846,0.05405405405405406,0.0,0.14634146341463414,0.035670059382761056,289,10,0.4766719341278076,0,0,20,0,0,0,0,0
0.056257799686696496,0.05405405405405406,0.0,0.14634146341463414,0.03579366819911016,0.056257799686696496,0.05405405405405406,0.0,0.14634146341463414,0.03579366819911016,299,10,0.501194953918457,0,0,24,0,0,0,0,0
0.05673755847495651,0.054804804804804805,0.0,0.14634146341463414,0.03591472426896579,0.05673755847495651,0.054804804804804805,0.0,0.14634146341463414,0.03591472426896579,309,10,0.5281262397766113,0,0,32,0,0,0,0,0
0.05739733858263847,0.05607966457023061,0.0,0.14634146341463414,0.03602068968070115,0.05739733858263847,0.05607966457023061,0.0,0.14634146341463414,0.03602068968070115,319,10,0.5557928085327148,0,0,28,0,0,0,0,0
0.05792836066273091,0.05714285714285714,0.0,0.14634146341463414,0.03639043294599411,0.05792836066273091,0.05714285714285714,0.0,0.14634146341463414,0.03639043294599411,329,10,0.5763046741485596,0,0,11,0,0,0,0,0
0.05822141081070957,0.05714285714285714,0.0,0.23076923076923078,0.037893692735476915,0.05822141081070957,0.05714285714285714,0.0,0.23076923076923078,0.037893692735476915,339,10,0.5902097225189209,0,0,5,0,0,0,0,0
0.058633620726993955,0.05741758241758242,0.0,0.23076923076923078,0.03793139207514491,0.058633620726993955,0.05741758241758242,0.0,0.23076923076923078,0.03793139207514491,349,10,0.6061747074127197,0,0,6,0,0,0,0,0
0.06024484931385381,0.06,0.0,0.2702702702702703,0.039630601269445086,0.06024484931385381,0.06,0.0,0.2702702702702703,0.039630601269445086,359,10,0.6221990585327148,0,0,5,0,0,0,0,0
0.06094132690301915,0.06061224489795918,0.0,0.2702702702702703,0.03991695401093695,0.06094132690301915,0.06061224489795918,0.0,0.2702702702702703,0.03991695401093695,369,10,0.647749662399292,0,0,22,0,0,0,0,0
0.06153386011967898,0.06316489361702127,0.0,0.2702702702702703,0.04007144697195778,0.06153386011967898,0.06316489361702127,0.0,0.2702702702702703,0.04007144697195778,379,10,0.6680538654327393,0,0,14,0,0,0,0,0
0.06173500838011054,0.06382978723404255,0.0,0.2702702702702703,0.03969991387208088,0.06173500838011054,0.06382978723404255,0.0,0.2702702702702703,0.03969991387208088,389,10,0.6892704963684082,0,0,18,0,0,0,0,0
0.06213834999297151,0.06452358926919519,0.0,0.2702702702702703,0.03980858514912169,0.06213834999297151,0.06452358926919519,0.0,0.2702702702702703,0.03980858514912169,399,10,0.7063419818878174,0,0,6,0,0,0,0,0
0.06288878924288777,0.06594202898550725,0.0,0.2702702702702703,0.03999098553615064,0.06288878924288777,0.06594202898550725,0.0,0.2702702702702703,0.03999098553615064,409,10,0.727656364440918,0,0,13,0,0,0,0,0
0.06364598547799498,0.06818181818181818,0.0,0.2702702702702703,0.040059379871443555,0.06364598547799498,0.06818181818181818,0.0,0.2702702702702703,0.040059379871443555,419,10,0.7437005043029785,0,0,5,0,0,0,0,0
0.06444674289930881,0.07229965156794424,0.0,0.2702702702702703,0.04025245229830881,0.06444674289930881,0.07229965156794424,0.0,0.2702702702702703,0.04025245229830881,429,10,0.763704776763916,0,0,17,0,0,0,0,0
0.06488692432180934,0.07453703703703704,0.0,0.2702702702702703,0.040306375485797234,0.06488692432180934,0.07453703703703704,0.0,0.2702702702702703,0.040306375485797234,439,10,0.7889080047607422,0,0,17,0,0,0,0,0
0.06502772016815847,0.07547169811320754,0.0,0.2702702702702703,0.04010188635358623,0.06502772016815847,0.07547169811320754,0.0,0.2702702702702703,0.04010188635358623,449,10,0.8133995532989502,0,0,12,0,0,0,0,0
0.06531487833500639,0.07547169811320754,0.0,0.2702702702702703,0.0405241990797305,0.06531487833500639,0.07547169811320754,0.0,0.2702702702702703,0.0405241990797305,459,10,0.827157735824585,0,0,0,0,0,0,0,0
0.0660356044066543,0.07692307692307693,0.0,0.2702702702702703,0.04065313774941486,0.0660356044066543,0.07692307692307693,0.0,0.2702702702702703,0.04065313774941486,469,10,0.844444751739502,0,0,5,0,0,0,0,0
0.06690382747668212,0.07767722473604827,0.0,0.2702702702702703,0.040950134622647225,0.06690382747668212,0.07767722473604827,0.0,0.2702702702702703,0.040950134622647225,479,10,0.8652563095092773,0,0,8,0,0,0,0,0
0.06766771229023436,0.0784313725490196,0.0,0.2702702702702703,0.04148135113156719,0.06766771229023436,0.0784313725490196,0.0,0.2702702702702703,0.04148135113156719,489,10,0.8931317329406738,0,0,19,0,0,0,0,0
