smiles,n_success_mut,n_failures_mut,rediscovery_c1ccccc1,total,obj_computation_time,history_data
C,2,6,0.0,0.0,0.00012159347534179688,C
CC,3,8,0.0,0.0,4.076957702636719e-05,
CCC,3,7,0.0,0.0,5.3882598876953125e-05,
C=C,1,8,0.0,0.0,4.291534423828125e-05,
C=CC,3,3,0.0,0.0,5.125999450683594e-05,
C1CC1,2,5,0.0,0.0,5.984306335449219e-05,
C1#CC1,2,4,0.0,0.0,6.890296936035156e-05,
C=CCC,3,2,0.0,0.0,6.151199340820312e-05,
CCCC,5,0,0.0,0.0,5.9604644775390625e-05,
,0,5,0.0,0.0,1.239776611328125e-05,
CCCC(C)C,2,2,0.0,0.0,8.821487426757812e-05,
C=C(C)C,3,1,0.0,0.0,5.888938903808594e-05,
C1#CCC1,5,1,0.0,0.0,7.104873657226562e-05,
C=C(C)CC,3,3,0.0,0.0,6.937980651855469e-05,
CCCCC,3,3,0.0,0.0,7.319450378417969e-05,
C#C,0,6,0.0,0.0,3.886222839355469e-05,
CC1C#CC1,4,1,0.0,0.0,8.487701416015625e-05,
C=CCCC,0,3,0.0,0.0,7.2479248046875e-05,
C1CCC1,0,3,0.0,0.0,7.176399230957031e-05,
CC1C#C1,2,2,0.0,0.0,7.081031799316406e-05,
CC1CC1,3,2,0.0,0.0,6.341934204101562e-05,
C=C1CC1,2,1,0.0,0.0,7.557868957519531e-05,
C1=CC1,2,18,0.08695652173913043,0.08695652173913043,6.198883056640625e-05,
CC=CC,0,2,0.0,0.0,5.936622619628906e-05,
CCC(C)C,0,1,0.0,0.0,6.651878356933594e-05,
CCCC(C)CC,1,0,0.0,0.0,9.298324584960938e-05,
CC1=CC1,1,6,0.038461538461538464,0.038461538461538464,7.033348083496094e-05,
C1#CC2C=C12,4,3,0.03225806451612903,0.03225806451612903,9.393692016601562e-05,
C=C1CCC1,0,0,0.0,0.0,8.296966552734375e-05,
CC(C)C,0,1,0.0,0.0,5.936622619628906e-05,
CCC1C#CC1C,1,0,0.0,0.0,0.00010585784912109375,
C1=CC=1,3,16,0.08695652173913043,0.08695652173913043,6.365776062011719e-05,
C1#CC2CC=C1C2,2,2,0.02631578947368421,0.02631578947368421,0.00012636184692382812,
C=C1C=C1,5,11,0.08,0.08,7.534027099609375e-05,
CCCCCC,0,0,0.0,0.0,8.177757263183594e-05,
CC1C=CC1,5,10,0.07142857142857142,0.07142857142857142,8.153915405273438e-05,
CCC1CCCC1C,0,0,0.0,0.0,0.00011467933654785156,
C=C1CC(C)C1,0,0,0.0,0.0,0.00010037422180175781,
CCC1CC#CC1,0,0,0.0,0.0,0.00010848045349121094,
CC1(C)C#C1,0,0,0.0,0.0,8.225440979003906e-05,
CCC1CC1C,1,0,0.0,0.0,9.441375732421875e-05,
CC=C1C=C1,9,4,0.06896551724137931,0.06896551724137931,8.749961853027344e-05,
CC12C#CC1=C2,3,1,0.030303030303030304,0.030303030303030304,9.870529174804688e-05,
CCC1(C)CC1,0,0,0.0,0.0,9.250640869140625e-05,
