rediscovery_C1=C2C=c3ccccc3=C2c2ccccc21_mean,rediscovery_C1=C2C=c3ccccc3=C2c2ccccc21_med,rediscovery_C1=C2C=c3ccccc3=C2c2ccccc21_min,rediscovery_C1=C2C=c3ccccc3=C2c2ccccc21_max,rediscovery_C1=C2C=c3ccccc3=C2c2ccccc21_std,total_mean,total_med,total_min,total_max,total_std,objective_calls,n_replaced,timestamps,n_failed_obj_computation,n_not_improvers_among_success_obj_computation,n_discarded_tabu,n_discarded_filters,n_discarded_rdfilters,n_discarded_sillywalks,n_discarded_sascore,n_discarded_custom_filter
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0003287792205810547,0,0,0,0,0,0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0007061958312988281,0,0,0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.002463817596435547,0,0,0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0.004293680191040039,0,0,0,0,0,0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1,0.055492401123046875,0,0,0,0,0,0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,2,0.05789589881896973,0,0,1,0,0,0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,3,0.06405901908874512,0,0,18,0,0,0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,4,0.0739893913269043,0,0,26,0,0,0,0,0
0.0011904761904761904,0.0,0.0,0.017857142857142856,0.0044543540318737395,0.0011904761904761904,0.0,0.0,0.017857142857142856,0.0044543540318737395,14,3,0.08409547805786133,0,0,26,0,0,0,0,0
0.0008928571428571428,0.0,0.0,0.017857142857142856,0.0038918740567327444,0.0008928571428571428,0.0,0.0,0.017857142857142856,0.0038918740567327444,19,5,0.09736943244934082,0,0,34,0,0,0,0,0
0.0031709182164614824,0.0,0.0,0.03773584905660377,0.009779639223478962,0.0031709182164614824,0.0,0.0,0.03773584905660377,0.009779639223478962,28,9,0.11497235298156738,0,0,44,0,0,0,0,0
