step,error
0,C (Mutation error)
0,No more individual to be mutated
0,No replacement occured
1,No more individual to be mutated
2, (Mutation error)
2,C (Mutation error)
2,No more individual to be mutated
2,No replacement occured
3, (Mutation error)
3,No more individual to be mutated
4,CC (Mutation error)
4, (Mutation error)
4,C (Mutation error)
4,No more individual to be mutated
4,No replacement occured
5,CC (Mutation error)
5, (Mutation error)
5,C (Mutation error)
5,No more individual to be mutated
5,No replacement occured
6,CC (Mutation error)
6, (Mutation error)
6,C (Mutation error)
6,No more individual to be mutated
6,No replacement occured
7, (Mutation error)
7,C (Mutation error)
7,No more individual to be mutated
8,CC (Mutation error)
8, (Mutation error)
8,C (Mutation error)
8,No more individual to be mutated
9,CCCC (Mutation error)
9,C#C (Mutation error)
9, (Mutation error)
9,No more individual to be mutated
10,C=C (Mutation error)
10,C#C (Mutation error)
10,CC (Mutation error)
10, (Mutation error)
10,C (Mutation error)
10,No more individual to be mutated
11,C1CCCC1 (Mutation error)
11,C=C (Mutation error)
11,CCC (Mutation error)
11,CC (Mutation error)
11, (Mutation error)
11,C (Mutation error)
11,No more individual to be mutated
12,C1=CC1 (Mutation error)
12,C=C (Mutation error)
12,CCC (Mutation error)
12,CCCC (Mutation error)
12,C#C (Mutation error)
12,CC (Mutation error)
12, (Mutation error)
12,C (Mutation error)
12,No more individual to be mutated
13,CCC(C)C (Mutation error)
13,C#CC (Mutation error)
13,C=C (Mutation error)
13,CCC (Mutation error)
13,C#C (Mutation error)
13,CC (Mutation error)
13, (Mutation error)
13,C (Mutation error)
13,No more individual to be mutated
14,C1=CC1 (Mutation error)
14, (Mutation error)
14,CC (Mutation error)
14,C#C (Mutation error)
14,CCC (Mutation error)
14,C=C (Mutation error)
14,C1CCCC1 (Mutation error)
14,C#CC (Mutation error)
14,C=CC (Mutation error)
14,CCC(C)C (Mutation error)
15,C1=CC1 (Mutation error)
15,C1=CCC1 (Mutation error)
15,CC1=C=C1 (Mutation error)
15,CC1=CCCC1 (Mutation error)
15,CC1=CC(C)CC1 (Mutation error)
15,C#CC (Mutation error)
15,CC1CCC1 (Mutation error)
15,C=C (Mutation error)
15,CCC (Mutation error)
15,C#C (Mutation error)
15,CC (Mutation error)
15, (Mutation error)
15,C=CC (Mutation error)
16,C1=CC1 (Mutation error)
16,C1=CCC1 (Mutation error)
16,CC1C=C1 (Mutation error)
16,CC1=C=C1 (Mutation error)
16,CC1=CC1C (Mutation error)
16,C#CC (Mutation error)
16,CC1CCCC1 (Mutation error)
16,CCC(C)C (Mutation error)
16,CC1CCC1 (Mutation error)
16,C1C2CC1C2 (Mutation error)
16,C1CCCC1 (Mutation error)
16,C=C (Mutation error)
16,CCC (Mutation error)
16,C#C (Mutation error)
16,CC (Mutation error)
16, (Mutation error)
16,CC1=C(C)C1 (Mutation error)
16,CC1CC(C)C1 (Mutation error)
16,C#CC1CC1 (Mutation error)
17,C1=CC1 (Mutation error)
17,C1=CCC1 (Mutation error)
17,CC1=CCCC1 (Mutation error)
17,C=C (Mutation error)
17, (Mutation error)
18,C1=CC1 (Mutation error)
18,CCC1CC=CC1 (Mutation error)
18,CCC1C=C1C (Mutation error)
18,CCC1=CCC1 (Mutation error)
19,C1=CC=1 (Mutation error)
19,C1=CCC1 (Mutation error)
19,CC1CC=CC1(C)C (Mutation error)
19,CC1=CC1 (Mutation error)
19,C=CC1=CC1 (Mutation error)
19,CCC1=CC1 (Mutation error)
19,CC1=CC(C)C1 (Mutation error)
20,C1=CC=1 (Mutation error)
20,C1=CC1 (Mutation error)
20,CC1(C)C=C1 (Mutation error)
20,CC1C=CC1 (Mutation error)
20,C1#CCC=C1 (Mutation error)
20,CC1CC=CC1(C)C (Mutation error)
20,CCCC1CC=CC1 (Mutation error)
20,CC1=CC1C (Mutation error)
21,C1=CC1 (Mutation error)
21,CC1CC=CC1 (Mutation error)
22,C1=CC1 (Mutation error)
22,C1=CC=1 (Mutation error)
22,C=C1C=C1 (Mutation error)
22,C1=CCC=1 (Mutation error)
22,C1=CCCC1 (Mutation error)
22,C1#CCC=C1 (Mutation error)
22,CCC1C=CC1 (Mutation error)
22,CC1CC=CC1 (Mutation error)
23,C1=CC=1 (Mutation error)
23,C1=CC1 (Mutation error)
23,CC1C=C1 (Mutation error)
23,C1=CCC1 (Mutation error)
24,C1=CC=1 (Mutation error)
24,C1=CC1 (Mutation error)
