rediscovery_c1cc2ccc3ccc4ccc5ccc1c1c2c3c4c51_mean,rediscovery_c1cc2ccc3ccc4ccc5ccc1c1c2c3c4c51_med,rediscovery_c1cc2ccc3ccc4ccc5ccc1c1c2c3c4c51_min,rediscovery_c1cc2ccc3ccc4ccc5ccc1c1c2c3c4c51_max,rediscovery_c1cc2ccc3ccc4ccc5ccc1c1c2c3c4c51_std,total_mean,total_med,total_min,total_max,total_std,objective_calls,n_replaced,timestamps,n_failed_obj_computation,n_not_improvers_among_success_obj_computation,n_discarded_tabu,n_discarded_filters,n_discarded_rdfilters,n_discarded_sillywalks,n_discarded_sascore,n_discarded_custom_filter
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0002944469451904297,0,0,0,0,0,0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0.0007989406585693359,0,0,0,0,0,0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1,0.003958225250244141,0,0,4,0,0,0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,1,0.006232500076293945,0,0,0,0,0,0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,0.008941411972045898,0,0,5,0,0,0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,2,0.012138605117797852,0,0,5,0,0,0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,4,0.016352415084838867,0,0,4,0,0,0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,6,0.02391982078552246,0,0,12,0,0,0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,5,0.035912513732910156,0,0,47,0,0,0,0,0
0.0037802627164793537,0.0,0.0,0.03076923076923077,0.00912467744940418,0.0037802627164793537,0.0,0.0,0.03076923076923077,0.00912467744940418,30,10,0.05108141899108887,0,0,32,0,0,0,0,0
0.00561623426974078,0.0,0.0,0.043478260869565216,0.011467314092344869,0.00561623426974078,0.0,0.0,0.043478260869565216,0.011467314092344869,40,10,0.07232785224914551,0,0,39,0,0,0,0,0
0.005667715369553936,0.0,0.0,0.045454545454545456,0.011956061045329668,0.005667715369553936,0.0,0.0,0.045454545454545456,0.011956061045329668,50,10,0.09522628784179688,0,0,68,0,0,0,0,0
0.007436078395748838,0.0,0.0,0.045454545454545456,0.013135117337917264,0.007436078395748838,0.0,0.0,0.045454545454545456,0.013135117337917264,60,10,0.10868048667907715,0,0,17,0,0,0,0,0
0.009357445290386464,0.0,0.0,0.045454545454545456,0.013498726988102719,0.009357445290386464,0.0,0.0,0.045454545454545456,0.013498726988102719,70,10,0.12005448341369629,0,0,7,0,0,0,0,0
0.01067541509675466,0.0,0.0,0.045454545454545456,0.013668550837353102,0.01067541509675466,0.0,0.0,0.045454545454545456,0.013668550837353102,80,10,0.1356675624847412,0,0,9,0,0,0,0,0
0.012063653509801753,0.0,0.0,0.06153846153846154,0.014756586374314352,0.012063653509801753,0.0,0.0,0.06153846153846154,0.014756586374314352,90,10,0.14931297302246094,0,0,12,0,0,0,0,0
0.013474215524034284,0.0,0.0,0.06153846153846154,0.014958023954100718,0.013474215524034284,0.0,0.0,0.06153846153846154,0.014958023954100718,100,10,0.16631293296813965,0,0,17,0,0,0,0,0
0.014382963386260246,0.013333333333333334,0.0,0.06153846153846154,0.015034382219767113,0.014382963386260246,0.013333333333333334,0.0,0.06153846153846154,0.015034382219767113,110,10,0.18410825729370117,0,0,23,0,0,0,0,0
0.015323409932462118,0.014705882352941176,0.0,0.06153846153846154,0.014992632602152584,0.015323409932462118,0.014705882352941176,0.0,0.06153846153846154,0.014992632602152584,120,10,0.2088162899017334,0,0,34,0,0,0,0,0
0.015516443125051013,0.014705882352941176,0.0,0.06153846153846154,0.015006291144035925,0.015516443125051013,0.014705882352941176,0.0,0.06153846153846154,0.015006291144035925,130,10,0.23571538925170898,0,0,39,0,0,0,0,0
