rediscovery_c1cc2cccc3c4cccc5cccc(c(c1)c23)c54_mean,rediscovery_c1cc2cccc3c4cccc5cccc(c(c1)c23)c54_med,rediscovery_c1cc2cccc3c4cccc5cccc(c(c1)c23)c54_min,rediscovery_c1cc2cccc3c4cccc5cccc(c(c1)c23)c54_max,rediscovery_c1cc2cccc3c4cccc5cccc(c(c1)c23)c54_std,total_mean,total_med,total_min,total_max,total_std,objective_calls,n_replaced,timestamps,n_failed_obj_computation,n_not_improvers_among_success_obj_computation,n_discarded_tabu,n_discarded_filters,n_discarded_rdfilters,n_discarded_sillywalks,n_discarded_sascore,n_discarded_custom_filter
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.00027489662170410156,0,0,0,0,0,0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0.0008234977722167969,0,0,0,0,0,0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1,0.002997159957885742,0,0,0,0,0,0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0.0053997039794921875,0,0,4,0,0,0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,2,0.008725643157958984,0,0,5,0,0,0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,3,0.014731168746948242,0,0,18,0,0,0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,3,0.02033257484436035,0,0,17,0,0,0,0,0
0.0018099547511312218,0.0,0.0,0.03076923076923077,0.007239819004524887,0.0018099547511312218,0.0,0.0,0.03076923076923077,0.007239819004524887,16,6,0.031196117401123047,0,0,25,0,0,0,0,0
0.0025289778714436247,0.0,0.0,0.03076923076923077,0.008209892399713764,0.0025289778714436247,0.0,0.0,0.03076923076923077,0.008209892399713764,22,6,0.045192718505859375,0,0,32,0,0,0,0,0
0.001876338420748496,0.0,0.0,0.03076923076923077,0.007157706000112609,0.001876338420748496,0.0,0.0,0.03076923076923077,0.007157706000112609,30,8,0.06673192977905273,0,0,36,0,0,0,0,0
0.0021467618856551244,0.0,0.0,0.03076923076923077,0.007650076414577599,0.0021467618856551244,0.0,0.0,0.03076923076923077,0.007650076414577599,40,10,0.09443974494934082,0,0,67,0,0,0,0,0
0.003953636338499596,0.0,0.0,0.03076923076923077,0.009923804178579255,0.003953636338499596,0.0,0.0,0.03076923076923077,0.009923804178579255,50,10,0.11295771598815918,0,0,33,0,0,0,0,0
0.004731623879917923,0.0,0.0,0.03076923076923077,0.01069533803011594,0.004731623879917923,0.0,0.0,0.03076923076923077,0.01069533803011594,60,10,0.1309795379638672,0,0,23,0,0,0,0,0
0.006826191527015046,0.0,0.0,0.03076923076923077,0.012182221750893604,0.006826191527015046,0.0,0.0,0.03076923076923077,0.012182221750893604,70,10,0.14534783363342285,0,0,14,0,0,0,0,0
0.009732814391438702,0.0,0.0,0.05555555555555555,0.014103960943407634,0.009732814391438702,0.0,0.0,0.05555555555555555,0.014103960943407634,80,10,0.16251349449157715,0,0,19,0,0,0,0,0
0.011082585493166411,0.0,0.0,0.05555555555555555,0.014324928339946271,0.011082585493166411,0.0,0.0,0.05555555555555555,0.014324928339946271,90,10,0.17794466018676758,0,0,15,0,0,0,0,0
0.012231199372305896,0.0,0.0,0.05555555555555555,0.014481371727520861,0.012231199372305896,0.0,0.0,0.05555555555555555,0.014481371727520861,100,10,0.19596052169799805,0,0,20,0,0,0,0,0
