smiles,n_success_mut,n_failures_mut,rediscovery_c1cc2cccc3c4cccc5cccc(c(c1)c23)c54,total,obj_computation_time,history_data
C(=C1C=C1)=c1c2c3cccc4cccc4c3c3cccc-2c1ccc3,0,18,0.6962025316455697,0.6962025316455697,0.0006647109985351562,
C=C(C)C=c1c2c3cccc4cccc4c3c3cccc-2c1ccc3,9,102,0.7051282051282052,0.7051282051282052,0.0006198883056640625,
c1cc2cccc3c(c1)c1cccc4c5cccc5c1c2c34,6,149,0.75,0.75,0.0007197856903076172,
c1cc2cccc3c(c1)c1cccc4cccc4c2c(=C2CC2)c13,0,248,0.7236842105263158,0.7236842105263158,0.0006470680236816406,
c1ccc2cccc3c4ccccc5c4c(c1)cccc3c25,12,119,0.8,0.8,0.0006215572357177734,
c1cc2cccc3c4ccc4c4c5cccc3c2c2cccc(c1)c4c25,2,46,0.7037037037037037,0.7037037037037037,0.000762939453125,
c1cc2cccc2c2cccc3cccc2c2c(c1)c(=C1CC1)c32,2,98,0.7012987012987013,0.7012987012987013,0.0006248950958251953,
CCc1cc2cccc3c4cccc2c2c5cccc(cccc5c42)c13,1,70,0.691358024691358,0.691358024691358,0.0007021427154541016,
Cc1cccc2cccc3c4cccc5cccc1c5c(C)c4c23,5,123,0.7105263157894737,0.7105263157894737,0.0005810260772705078,
C1=CC1c1c2cccc3c(ccc2)c2c4cccc(ccccc14)c32,0,42,0.6962025316455697,0.6962025316455697,0.0006279945373535156,
C=c1c(=C)c2c3cccc4c(ccc3)c3c4c4cccc1cccc4c23,0,48,0.7215189873417721,0.7215189873417721,0.0007319450378417969,
C=Cc1cccc2c3c4cccc5cccc4c(c(c1)C=CC=3)c52,1,56,0.7012987012987013,0.7012987012987013,0.0006368160247802734,
C#CC=C=c1c2c3cccc4c(cccc5cccc52)c1c4ccc3,2,149,0.6962025316455697,0.6962025316455697,0.0006504058837890625,
c1cc2cccc3c(c1)c1ccc4cc(c2c2cccc42)c31,1,97,0.726027397260274,0.726027397260274,0.0006849765777587891,
CC(C)=Cc1cc2c3cccc4cccc1c2c1cccc2c(ccc1)c3c42,1,36,0.6904761904761905,0.6904761904761905,0.0007414817810058594,
c1cc2ccc3c4cc4c4c5cccc6c(ccc5)c(c2c4c1)c36,0,3,0.6923076923076923,0.6923076923076923,0.0007493495941162109,
